game,2014,9,20141102,201411020sfo,ram,"St. Louis Rams",13,sfo,"San Francisco 49ers",10
team,201411020sfo,ram,First Downs,13,,,,,,
team,201411020sfo,sfo,First Downs,20,,,,,,
team,201411020sfo,ram,Rush-Yds-TDs,27-91-0,,,,,,
team,201411020sfo,sfo,Rush-Yds-TDs,21-80-0,,,,,,
team,201411020sfo,ram,Cmp-Att-Yd-TD-INT,13-24-105-1-2,,,,,,
team,201411020sfo,sfo,Cmp-Att-Yd-TD-INT,22-33-237-1-0,,,,,,
team,201411020sfo,ram,Sacked-Yards,1-3,,,,,,
team,201411020sfo,sfo,Sacked-Yards,8-54,,,,,,
team,201411020sfo,ram,Net Pass Yards,102,,,,,,
team,201411020sfo,sfo,Net Pass Yards,183,,,,,,
team,201411020sfo,ram,Total Yards,193,,,,,,
team,201411020sfo,sfo,Total Yards,263,,,,,,
team,201411020sfo,ram,Fumbles-Lost,0-0,,,,,,
team,201411020sfo,sfo,Fumbles-Lost,3-2,,,,,,
team,201411020sfo,ram,Turnovers,2,,,,,,
team,201411020sfo,sfo,Turnovers,2,,,,,,
team,201411020sfo,ram,Penalties-Yards,9-83,,,,,,
team,201411020sfo,sfo,Penalties-Yards,9-44,,,,,,
team,201411020sfo,ram,Third Down Conv.,4-12,,,,,,
team,201411020sfo,sfo,Third Down Conv.,3-12,,,,,,
team,201411020sfo,ram,Fourth Down Conv.,0-0,,,,,,
team,201411020sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201411020sfo,ram,Time of Possession,27:34,,,,,,
team,201411020sfo,sfo,Time of Possession,32:26,,,,,,
player,201411020sfo,ram,DaviAu00,pass_cmp,13,,,,,
player,201411020sfo,ram,DaviAu00,pass_att,24,,,,,
player,201411020sfo,ram,DaviAu00,pass_yds,105,,,,,
player,201411020sfo,ram,DaviAu00,pass_td,1,,,,,
player,201411020sfo,ram,DaviAu00,pass_int,2,,,,,
player,201411020sfo,ram,DaviAu00,pass_sacked,1,,,,,
player,201411020sfo,ram,DaviAu00,pass_sacked_yds,3,,,,,
player,201411020sfo,ram,DaviAu00,pass_long,21,,,,,
player,201411020sfo,ram,DaviAu00,pass_rating,44.6,,,,,
player,201411020sfo,ram,DaviAu00,rush_att,2,,,,,
player,201411020sfo,ram,DaviAu00,rush_yds,9,,,,,
player,201411020sfo,ram,DaviAu00,rush_td,0,,,,,
player,201411020sfo,ram,DaviAu00,rush_long,10,,,,,
player,201411020sfo,ram,DaviAu00,targets,0,,,,,
player,201411020sfo,ram,DaviAu00,rec,0,,,,,
player,201411020sfo,ram,DaviAu00,rec_yds,0,,,,,
player,201411020sfo,ram,DaviAu00,rec_td,0,,,,,
player,201411020sfo,ram,DaviAu00,rec_long,0,,,,,
player,201411020sfo,ram,DaviAu00,fumbles,0,,,,,
player,201411020sfo,ram,DaviAu00,fumbles_lost,0,,,,,
player,201411020sfo,ram,MasoTr00,pass_cmp,0,,,,,
player,201411020sfo,ram,MasoTr00,pass_att,0,,,,,
player,201411020sfo,ram,MasoTr00,pass_yds,0,,,,,
player,201411020sfo,ram,MasoTr00,pass_td,0,,,,,
player,201411020sfo,ram,MasoTr00,pass_int,0,,,,,
player,201411020sfo,ram,MasoTr00,pass_sacked,0,,,,,
player,201411020sfo,ram,MasoTr00,pass_sacked_yds,0,,,,,
player,201411020sfo,ram,MasoTr00,pass_long,0,,,,,
player,201411020sfo,ram,MasoTr00,pass_rating,,,,,,
player,201411020sfo,ram,MasoTr00,rush_att,19,,,,,
player,201411020sfo,ram,MasoTr00,rush_yds,65,,,,,
player,201411020sfo,ram,MasoTr00,rush_td,0,,,,,
player,201411020sfo,ram,MasoTr00,rush_long,21,,,,,
player,201411020sfo,ram,MasoTr00,targets,2,,,,,
player,201411020sfo,ram,MasoTr00,rec,1,,,,,
player,201411020sfo,ram,MasoTr00,rec_yds,-8,,,,,
player,201411020sfo,ram,MasoTr00,rec_td,0,,,,,
player,201411020sfo,ram,MasoTr00,rec_long,-8,,,,,
player,201411020sfo,ram,MasoTr00,fumbles,0,,,,,
player,201411020sfo,ram,MasoTr00,fumbles_lost,0,,,,,
player,201411020sfo,ram,CunnBe01,pass_cmp,0,,,,,
player,201411020sfo,ram,CunnBe01,pass_att,0,,,,,
player,201411020sfo,ram,CunnBe01,pass_yds,0,,,,,
player,201411020sfo,ram,CunnBe01,pass_td,0,,,,,
player,201411020sfo,ram,CunnBe01,pass_int,0,,,,,
player,201411020sfo,ram,CunnBe01,pass_sacked,0,,,,,
player,201411020sfo,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201411020sfo,ram,CunnBe01,pass_long,0,,,,,
player,201411020sfo,ram,CunnBe01,pass_rating,,,,,,
player,201411020sfo,ram,CunnBe01,rush_att,4,,,,,
player,201411020sfo,ram,CunnBe01,rush_yds,10,,,,,
player,201411020sfo,ram,CunnBe01,rush_td,0,,,,,
player,201411020sfo,ram,CunnBe01,rush_long,8,,,,,
player,201411020sfo,ram,CunnBe01,targets,3,,,,,
player,201411020sfo,ram,CunnBe01,rec,3,,,,,
player,201411020sfo,ram,CunnBe01,rec_yds,38,,,,,
player,201411020sfo,ram,CunnBe01,rec_td,0,,,,,
player,201411020sfo,ram,CunnBe01,rec_long,17,,,,,
player,201411020sfo,ram,CunnBe01,fumbles,0,,,,,
player,201411020sfo,ram,CunnBe01,fumbles_lost,0,,,,,
player,201411020sfo,ram,AustTa00,pass_cmp,0,,,,,
player,201411020sfo,ram,AustTa00,pass_att,0,,,,,
player,201411020sfo,ram,AustTa00,pass_yds,0,,,,,
player,201411020sfo,ram,AustTa00,pass_td,0,,,,,
player,201411020sfo,ram,AustTa00,pass_int,0,,,,,
player,201411020sfo,ram,AustTa00,pass_sacked,0,,,,,
player,201411020sfo,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201411020sfo,ram,AustTa00,pass_long,0,,,,,
player,201411020sfo,ram,AustTa00,pass_rating,,,,,,
player,201411020sfo,ram,AustTa00,rush_att,2,,,,,
player,201411020sfo,ram,AustTa00,rush_yds,7,,,,,
player,201411020sfo,ram,AustTa00,rush_td,0,,,,,
player,201411020sfo,ram,AustTa00,rush_long,4,,,,,
player,201411020sfo,ram,AustTa00,targets,3,,,,,
player,201411020sfo,ram,AustTa00,rec,2,,,,,
player,201411020sfo,ram,AustTa00,rec_yds,11,,,,,
player,201411020sfo,ram,AustTa00,rec_td,0,,,,,
player,201411020sfo,ram,AustTa00,rec_long,7,,,,,
player,201411020sfo,ram,AustTa00,fumbles,0,,,,,
player,201411020sfo,ram,AustTa00,fumbles_lost,0,,,,,
player,201411020sfo,ram,BritKe00,pass_cmp,0,,,,,
player,201411020sfo,ram,BritKe00,pass_att,0,,,,,
player,201411020sfo,ram,BritKe00,pass_yds,0,,,,,
player,201411020sfo,ram,BritKe00,pass_td,0,,,,,
player,201411020sfo,ram,BritKe00,pass_int,0,,,,,
player,201411020sfo,ram,BritKe00,pass_sacked,0,,,,,
player,201411020sfo,ram,BritKe00,pass_sacked_yds,0,,,,,
player,201411020sfo,ram,BritKe00,pass_long,0,,,,,
player,201411020sfo,ram,BritKe00,pass_rating,,,,,,
player,201411020sfo,ram,BritKe00,rush_att,0,,,,,
player,201411020sfo,ram,BritKe00,rush_yds,0,,,,,
player,201411020sfo,ram,BritKe00,rush_td,0,,,,,
player,201411020sfo,ram,BritKe00,rush_long,0,,,,,
player,201411020sfo,ram,BritKe00,targets,4,,,,,
player,201411020sfo,ram,BritKe00,rec,2,,,,,
player,201411020sfo,ram,BritKe00,rec_yds,32,,,,,
player,201411020sfo,ram,BritKe00,rec_td,1,,,,,
player,201411020sfo,ram,BritKe00,rec_long,21,,,,,
player,201411020sfo,ram,BritKe00,fumbles,0,,,,,
player,201411020sfo,ram,BritKe00,fumbles_lost,0,,,,,
player,201411020sfo,ram,CookJa02,pass_cmp,0,,,,,
player,201411020sfo,ram,CookJa02,pass_att,0,,,,,
player,201411020sfo,ram,CookJa02,pass_yds,0,,,,,
player,201411020sfo,ram,CookJa02,pass_td,0,,,,,
player,201411020sfo,ram,CookJa02,pass_int,0,,,,,
player,201411020sfo,ram,CookJa02,pass_sacked,0,,,,,
player,201411020sfo,ram,CookJa02,pass_sacked_yds,0,,,,,
player,201411020sfo,ram,CookJa02,pass_long,0,,,,,
player,201411020sfo,ram,CookJa02,pass_rating,,,,,,
player,201411020sfo,ram,CookJa02,rush_att,0,,,,,
player,201411020sfo,ram,CookJa02,rush_yds,0,,,,,
player,201411020sfo,ram,CookJa02,rush_td,0,,,,,
player,201411020sfo,ram,CookJa02,rush_long,0,,,,,
player,201411020sfo,ram,CookJa02,targets,5,,,,,
player,201411020sfo,ram,CookJa02,rec,2,,,,,
player,201411020sfo,ram,CookJa02,rec_yds,12,,,,,
player,201411020sfo,ram,CookJa02,rec_td,0,,,,,
player,201411020sfo,ram,CookJa02,rec_long,9,,,,,
player,201411020sfo,ram,CookJa02,fumbles,0,,,,,
player,201411020sfo,ram,CookJa02,fumbles_lost,0,,,,,
player,201411020sfo,ram,BailSt01,pass_cmp,0,,,,,
player,201411020sfo,ram,BailSt01,pass_att,0,,,,,
player,201411020sfo,ram,BailSt01,pass_yds,0,,,,,
player,201411020sfo,ram,BailSt01,pass_td,0,,,,,
player,201411020sfo,ram,BailSt01,pass_int,0,,,,,
player,201411020sfo,ram,BailSt01,pass_sacked,0,,,,,
player,201411020sfo,ram,BailSt01,pass_sacked_yds,0,,,,,
player,201411020sfo,ram,BailSt01,pass_long,0,,,,,
player,201411020sfo,ram,BailSt01,pass_rating,,,,,,
player,201411020sfo,ram,BailSt01,rush_att,0,,,,,
player,201411020sfo,ram,BailSt01,rush_yds,0,,,,,
player,201411020sfo,ram,BailSt01,rush_td,0,,,,,
player,201411020sfo,ram,BailSt01,rush_long,0,,,,,
player,201411020sfo,ram,BailSt01,targets,1,,,,,
player,201411020sfo,ram,BailSt01,rec,1,,,,,
player,201411020sfo,ram,BailSt01,rec_yds,7,,,,,
player,201411020sfo,ram,BailSt01,rec_td,0,,,,,
player,201411020sfo,ram,BailSt01,rec_long,7,,,,,
player,201411020sfo,ram,BailSt01,fumbles,0,,,,,
player,201411020sfo,ram,BailSt01,fumbles_lost,0,,,,,
player,201411020sfo,ram,KendLa00,pass_cmp,0,,,,,
player,201411020sfo,ram,KendLa00,pass_att,0,,,,,
player,201411020sfo,ram,KendLa00,pass_yds,0,,,,,
player,201411020sfo,ram,KendLa00,pass_td,0,,,,,
player,201411020sfo,ram,KendLa00,pass_int,0,,,,,
player,201411020sfo,ram,KendLa00,pass_sacked,0,,,,,
player,201411020sfo,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201411020sfo,ram,KendLa00,pass_long,0,,,,,
player,201411020sfo,ram,KendLa00,pass_rating,,,,,,
player,201411020sfo,ram,KendLa00,rush_att,0,,,,,
player,201411020sfo,ram,KendLa00,rush_yds,0,,,,,
player,201411020sfo,ram,KendLa00,rush_td,0,,,,,
player,201411020sfo,ram,KendLa00,rush_long,0,,,,,
player,201411020sfo,ram,KendLa00,targets,2,,,,,
player,201411020sfo,ram,KendLa00,rec,1,,,,,
player,201411020sfo,ram,KendLa00,rec_yds,7,,,,,
player,201411020sfo,ram,KendLa00,rec_td,0,,,,,
player,201411020sfo,ram,KendLa00,rec_long,7,,,,,
player,201411020sfo,ram,KendLa00,fumbles,0,,,,,
player,201411020sfo,ram,KendLa00,fumbles_lost,0,,,,,
player,201411020sfo,ram,WattTr00,pass_cmp,0,,,,,
player,201411020sfo,ram,WattTr00,pass_att,0,,,,,
player,201411020sfo,ram,WattTr00,pass_yds,0,,,,,
player,201411020sfo,ram,WattTr00,pass_td,0,,,,,
player,201411020sfo,ram,WattTr00,pass_int,0,,,,,
player,201411020sfo,ram,WattTr00,pass_sacked,0,,,,,
player,201411020sfo,ram,WattTr00,pass_sacked_yds,0,,,,,
player,201411020sfo,ram,WattTr00,pass_long,0,,,,,
player,201411020sfo,ram,WattTr00,pass_rating,,,,,,
player,201411020sfo,ram,WattTr00,rush_att,0,,,,,
player,201411020sfo,ram,WattTr00,rush_yds,0,,,,,
player,201411020sfo,ram,WattTr00,rush_td,0,,,,,
player,201411020sfo,ram,WattTr00,rush_long,0,,,,,
player,201411020sfo,ram,WattTr00,targets,1,,,,,
player,201411020sfo,ram,WattTr00,rec,1,,,,,
player,201411020sfo,ram,WattTr00,rec_yds,6,,,,,
player,201411020sfo,ram,WattTr00,rec_td,0,,,,,
player,201411020sfo,ram,WattTr00,rec_long,6,,,,,
player,201411020sfo,ram,WattTr00,fumbles,0,,,,,
player,201411020sfo,ram,WattTr00,fumbles_lost,0,,,,,
player,201411020sfo,ram,GiveCh00,pass_cmp,0,,,,,
player,201411020sfo,ram,GiveCh00,pass_att,0,,,,,
player,201411020sfo,ram,GiveCh00,pass_yds,0,,,,,
player,201411020sfo,ram,GiveCh00,pass_td,0,,,,,
player,201411020sfo,ram,GiveCh00,pass_int,0,,,,,
player,201411020sfo,ram,GiveCh00,pass_sacked,0,,,,,
player,201411020sfo,ram,GiveCh00,pass_sacked_yds,0,,,,,
player,201411020sfo,ram,GiveCh00,pass_long,0,,,,,
player,201411020sfo,ram,GiveCh00,pass_rating,,,,,,
player,201411020sfo,ram,GiveCh00,rush_att,0,,,,,
player,201411020sfo,ram,GiveCh00,rush_yds,0,,,,,
player,201411020sfo,ram,GiveCh00,rush_td,0,,,,,
player,201411020sfo,ram,GiveCh00,rush_long,0,,,,,
player,201411020sfo,ram,GiveCh00,targets,2,,,,,
player,201411020sfo,ram,GiveCh00,rec,0,,,,,
player,201411020sfo,ram,GiveCh00,rec_yds,0,,,,,
player,201411020sfo,ram,GiveCh00,rec_td,0,,,,,
player,201411020sfo,ram,GiveCh00,rec_long,0,,,,,
player,201411020sfo,ram,GiveCh00,fumbles,0,,,,,
player,201411020sfo,ram,GiveCh00,fumbles_lost,0,,,,,
player,201411020sfo,ram,HarkCo00,pass_cmp,0,,,,,
player,201411020sfo,ram,HarkCo00,pass_att,0,,,,,
player,201411020sfo,ram,HarkCo00,pass_yds,0,,,,,
player,201411020sfo,ram,HarkCo00,pass_td,0,,,,,
player,201411020sfo,ram,HarkCo00,pass_int,0,,,,,
player,201411020sfo,ram,HarkCo00,pass_sacked,0,,,,,
player,201411020sfo,ram,HarkCo00,pass_sacked_yds,0,,,,,
player,201411020sfo,ram,HarkCo00,pass_long,0,,,,,
player,201411020sfo,ram,HarkCo00,pass_rating,,,,,,
player,201411020sfo,ram,HarkCo00,rush_att,0,,,,,
player,201411020sfo,ram,HarkCo00,rush_yds,0,,,,,
player,201411020sfo,ram,HarkCo00,rush_td,0,,,,,
player,201411020sfo,ram,HarkCo00,rush_long,0,,,,,
