game,2014,7,20141019,201410190sdg,kan,"Kansas City Chiefs",23,sdg,"San Diego Chargers",20
team,201410190sdg,kan,First Downs,22,,,,,,
team,201410190sdg,sdg,First Downs,19,,,,,,
team,201410190sdg,kan,Rush-Yds-TDs,39-154-1,,,,,,
team,201410190sdg,sdg,Rush-Yds-TDs,16-69-0,,,,,,
team,201410190sdg,kan,Cmp-Att-Yd-TD-INT,19-28-221-1-0,,,,,,
team,201410190sdg,sdg,Cmp-Att-Yd-TD-INT,17-31-205-2-1,,,,,,
team,201410190sdg,kan,Sacked-Yards,3-10,,,,,,
team,201410190sdg,sdg,Sacked-Yards,2-23,,,,,,
team,201410190sdg,kan,Net Pass Yards,211,,,,,,
team,201410190sdg,sdg,Net Pass Yards,182,,,,,,
team,201410190sdg,kan,Total Yards,365,,,,,,
team,201410190sdg,sdg,Total Yards,251,,,,,,
team,201410190sdg,kan,Fumbles-Lost,0-0,,,,,,
team,201410190sdg,sdg,Fumbles-Lost,1-0,,,,,,
team,201410190sdg,kan,Turnovers,0,,,,,,
team,201410190sdg,sdg,Turnovers,1,,,,,,
team,201410190sdg,kan,Penalties-Yards,7-73,,,,,,
team,201410190sdg,sdg,Penalties-Yards,4-49,,,,,,
team,201410190sdg,kan,Third Down Conv.,7-14,,,,,,
team,201410190sdg,sdg,Third Down Conv.,3-10,,,,,,
team,201410190sdg,kan,Fourth Down Conv.,0-0,,,,,,
team,201410190sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201410190sdg,kan,Time of Possession,39:00,,,,,,
team,201410190sdg,sdg,Time of Possession,21:00,,,,,,
player,201410190sdg,kan,SmitAl03,pass_cmp,19,,,,,
player,201410190sdg,kan,SmitAl03,pass_att,28,,,,,
player,201410190sdg,kan,SmitAl03,pass_yds,221,,,,,
player,201410190sdg,kan,SmitAl03,pass_td,1,,,,,
player,201410190sdg,kan,SmitAl03,pass_int,0,,,,,
player,201410190sdg,kan,SmitAl03,pass_sacked,3,,,,,
player,201410190sdg,kan,SmitAl03,pass_sacked_yds,10,,,,,
player,201410190sdg,kan,SmitAl03,pass_long,26,,,,,
player,201410190sdg,kan,SmitAl03,pass_rating,103.4,,,,,
player,201410190sdg,kan,SmitAl03,rush_att,6,,,,,
player,201410190sdg,kan,SmitAl03,rush_yds,29,,,,,
player,201410190sdg,kan,SmitAl03,rush_td,0,,,,,
player,201410190sdg,kan,SmitAl03,rush_long,9,,,,,
player,201410190sdg,kan,SmitAl03,targets,0,,,,,
player,201410190sdg,kan,SmitAl03,rec,0,,,,,
player,201410190sdg,kan,SmitAl03,rec_yds,0,,,,,
player,201410190sdg,kan,SmitAl03,rec_td,0,,,,,
player,201410190sdg,kan,SmitAl03,rec_long,0,,,,,
player,201410190sdg,kan,SmitAl03,fumbles,0,,,,,
player,201410190sdg,kan,SmitAl03,fumbles_lost,0,,,,,
player,201410190sdg,kan,CharJa00,pass_cmp,0,,,,,
player,201410190sdg,kan,CharJa00,pass_att,0,,,,,
player,201410190sdg,kan,CharJa00,pass_yds,0,,,,,
player,201410190sdg,kan,CharJa00,pass_td,0,,,,,
player,201410190sdg,kan,CharJa00,pass_int,0,,,,,
player,201410190sdg,kan,CharJa00,pass_sacked,0,,,,,
player,201410190sdg,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201410190sdg,kan,CharJa00,pass_long,0,,,,,
player,201410190sdg,kan,CharJa00,pass_rating,,,,,,
player,201410190sdg,kan,CharJa00,rush_att,22,,,,,
player,201410190sdg,kan,CharJa00,rush_yds,95,,,,,
player,201410190sdg,kan,CharJa00,rush_td,1,,,,,
player,201410190sdg,kan,CharJa00,rush_long,16,,,,,
player,201410190sdg,kan,CharJa00,targets,4,,,,,
player,201410190sdg,kan,CharJa00,rec,2,,,,,
player,201410190sdg,kan,CharJa00,rec_yds,12,,,,,
player,201410190sdg,kan,CharJa00,rec_td,0,,,,,
player,201410190sdg,kan,CharJa00,rec_long,8,,,,,
player,201410190sdg,kan,CharJa00,fumbles,0,,,,,
player,201410190sdg,kan,CharJa00,fumbles_lost,0,,,,,
player,201410190sdg,kan,DaviKn00,pass_cmp,0,,,,,
player,201410190sdg,kan,DaviKn00,pass_att,0,,,,,
player,201410190sdg,kan,DaviKn00,pass_yds,0,,,,,
player,201410190sdg,kan,DaviKn00,pass_td,0,,,,,
player,201410190sdg,kan,DaviKn00,pass_int,0,,,,,
player,201410190sdg,kan,DaviKn00,pass_sacked,0,,,,,
player,201410190sdg,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201410190sdg,kan,DaviKn00,pass_long,0,,,,,
player,201410190sdg,kan,DaviKn00,pass_rating,,,,,,
player,201410190sdg,kan,DaviKn00,rush_att,10,,,,,
player,201410190sdg,kan,DaviKn00,rush_yds,25,,,,,
player,201410190sdg,kan,DaviKn00,rush_td,0,,,,,
player,201410190sdg,kan,DaviKn00,rush_long,12,,,,,
player,201410190sdg,kan,DaviKn00,targets,1,,,,,
player,201410190sdg,kan,DaviKn00,rec,1,,,,,
player,201410190sdg,kan,DaviKn00,rec_yds,11,,,,,
player,201410190sdg,kan,DaviKn00,rec_td,0,,,,,
player,201410190sdg,kan,DaviKn00,rec_long,11,,,,,
player,201410190sdg,kan,DaviKn00,fumbles,0,,,,,
player,201410190sdg,kan,DaviKn00,fumbles_lost,0,,,,,
player,201410190sdg,kan,ThomDe05,pass_cmp,0,,,,,
player,201410190sdg,kan,ThomDe05,pass_att,0,,,,,
player,201410190sdg,kan,ThomDe05,pass_yds,0,,,,,
player,201410190sdg,kan,ThomDe05,pass_td,0,,,,,
player,201410190sdg,kan,ThomDe05,pass_int,0,,,,,
player,201410190sdg,kan,ThomDe05,pass_sacked,0,,,,,
player,201410190sdg,kan,ThomDe05,pass_sacked_yds,0,,,,,
player,201410190sdg,kan,ThomDe05,pass_long,0,,,,,
player,201410190sdg,kan,ThomDe05,pass_rating,,,,,,
player,201410190sdg,kan,ThomDe05,rush_att,1,,,,,
player,201410190sdg,kan,ThomDe05,rush_yds,5,,,,,
player,201410190sdg,kan,ThomDe05,rush_td,0,,,,,
player,201410190sdg,kan,ThomDe05,rush_long,5,,,,,
player,201410190sdg,kan,ThomDe05,targets,2,,,,,
player,201410190sdg,kan,ThomDe05,rec,2,,,,,
player,201410190sdg,kan,ThomDe05,rec_yds,21,,,,,
player,201410190sdg,kan,ThomDe05,rec_td,0,,,,,
player,201410190sdg,kan,ThomDe05,rec_long,15,,,,,
player,201410190sdg,kan,ThomDe05,fumbles,0,,,,,
player,201410190sdg,kan,ThomDe05,fumbles_lost,0,,,,,
player,201410190sdg,kan,BoweDw00,pass_cmp,0,,,,,
player,201410190sdg,kan,BoweDw00,pass_att,0,,,,,
player,201410190sdg,kan,BoweDw00,pass_yds,0,,,,,
player,201410190sdg,kan,BoweDw00,pass_td,0,,,,,
player,201410190sdg,kan,BoweDw00,pass_int,0,,,,,
player,201410190sdg,kan,BoweDw00,pass_sacked,0,,,,,
player,201410190sdg,kan,BoweDw00,pass_sacked_yds,0,,,,,
player,201410190sdg,kan,BoweDw00,pass_long,0,,,,,
player,201410190sdg,kan,BoweDw00,pass_rating,,,,,,
player,201410190sdg,kan,BoweDw00,rush_att,0,,,,,
player,201410190sdg,kan,BoweDw00,rush_yds,0,,,,,
player,201410190sdg,kan,BoweDw00,rush_td,0,,,,,
player,201410190sdg,kan,BoweDw00,rush_long,0,,,,,
player,201410190sdg,kan,BoweDw00,targets,7,,,,,
player,201410190sdg,kan,BoweDw00,rec,5,,,,,
player,201410190sdg,kan,BoweDw00,rec_yds,84,,,,,
player,201410190sdg,kan,BoweDw00,rec_td,0,,,,,
player,201410190sdg,kan,BoweDw00,rec_long,26,,,,,
player,201410190sdg,kan,BoweDw00,fumbles,0,,,,,
player,201410190sdg,kan,BoweDw00,fumbles_lost,0,,,,,
player,201410190sdg,kan,JenkA.00,pass_cmp,0,,,,,
player,201410190sdg,kan,JenkA.00,pass_att,0,,,,,
player,201410190sdg,kan,JenkA.00,pass_yds,0,,,,,
player,201410190sdg,kan,JenkA.00,pass_td,0,,,,,
player,201410190sdg,kan,JenkA.00,pass_int,0,,,,,
player,201410190sdg,kan,JenkA.00,pass_sacked,0,,,,,
player,201410190sdg,kan,JenkA.00,pass_sacked_yds,0,,,,,
player,201410190sdg,kan,JenkA.00,pass_long,0,,,,,
player,201410190sdg,kan,JenkA.00,pass_rating,,,,,,
player,201410190sdg,kan,JenkA.00,rush_att,0,,,,,
player,201410190sdg,kan,JenkA.00,rush_yds,0,,,,,
player,201410190sdg,kan,JenkA.00,rush_td,0,,,,,
player,201410190sdg,kan,JenkA.00,rush_long,0,,,,,
player,201410190sdg,kan,JenkA.00,targets,2,,,,,
player,201410190sdg,kan,JenkA.00,rec,2,,,,,
player,201410190sdg,kan,JenkA.00,rec_yds,37,,,,,
player,201410190sdg,kan,JenkA.00,rec_td,0,,,,,
player,201410190sdg,kan,JenkA.00,rec_long,19,,,,,
player,201410190sdg,kan,JenkA.00,fumbles,0,,,,,
player,201410190sdg,kan,JenkA.00,fumbles_lost,0,,,,,
player,201410190sdg,kan,KelcTr00,pass_cmp,0,,,,,
player,201410190sdg,kan,KelcTr00,pass_att,0,,,,,
player,201410190sdg,kan,KelcTr00,pass_yds,0,,,,,
player,201410190sdg,kan,KelcTr00,pass_td,0,,,,,
player,201410190sdg,kan,KelcTr00,pass_int,0,,,,,
player,201410190sdg,kan,KelcTr00,pass_sacked,0,,,,,
player,201410190sdg,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201410190sdg,kan,KelcTr00,pass_long,0,,,,,
player,201410190sdg,kan,KelcTr00,pass_rating,,,,,,
player,201410190sdg,kan,KelcTr00,rush_att,0,,,,,
player,201410190sdg,kan,KelcTr00,rush_yds,0,,,,,
player,201410190sdg,kan,KelcTr00,rush_td,0,,,,,
player,201410190sdg,kan,KelcTr00,rush_long,0,,,,,
player,201410190sdg,kan,KelcTr00,targets,4,,,,,
player,201410190sdg,kan,KelcTr00,rec,4,,,,,
player,201410190sdg,kan,KelcTr00,rec_yds,33,,,,,
player,201410190sdg,kan,KelcTr00,rec_td,0,,,,,
player,201410190sdg,kan,KelcTr00,rec_long,16,,,,,
player,201410190sdg,kan,KelcTr00,fumbles,0,,,,,
player,201410190sdg,kan,KelcTr00,fumbles_lost,0,,,,,
player,201410190sdg,kan,SherAn00,pass_cmp,0,,,,,
player,201410190sdg,kan,SherAn00,pass_att,0,,,,,
player,201410190sdg,kan,SherAn00,pass_yds,0,,,,,
player,201410190sdg,kan,SherAn00,pass_td,0,,,,,
player,201410190sdg,kan,SherAn00,pass_int,0,,,,,
player,201410190sdg,kan,SherAn00,pass_sacked,0,,,,,
player,201410190sdg,kan,SherAn00,pass_sacked_yds,0,,,,,
player,201410190sdg,kan,SherAn00,pass_long,0,,,,,
player,201410190sdg,kan,SherAn00,pass_rating,,,,,,
player,201410190sdg,kan,SherAn00,rush_att,0,,,,,
player,201410190sdg,kan,SherAn00,rush_yds,0,,,,,
player,201410190sdg,kan,SherAn00,rush_td,0,,,,,
player,201410190sdg,kan,SherAn00,rush_long,0,,,,,
player,201410190sdg,kan,SherAn00,targets,2,,,,,
player,201410190sdg,kan,SherAn00,rec,2,,,,,
player,201410190sdg,kan,SherAn00,rec_yds,12,,,,,
player,201410190sdg,kan,SherAn00,rec_td,1,,,,,
player,201410190sdg,kan,SherAn00,rec_long,11,,,,,
player,201410190sdg,kan,SherAn00,fumbles,0,,,,,
player,201410190sdg,kan,SherAn00,fumbles_lost,0,,,,,
player,201410190sdg,kan,WilsAl02,pass_cmp,0,,,,,
player,201410190sdg,kan,WilsAl02,pass_att,0,,,,,
player,201410190sdg,kan,WilsAl02,pass_yds,0,,,,,
player,201410190sdg,kan,WilsAl02,pass_td,0,,,,,
player,201410190sdg,kan,WilsAl02,pass_int,0,,,,,
player,201410190sdg,kan,WilsAl02,pass_sacked,0,,,,,
player,201410190sdg,kan,WilsAl02,pass_sacked_yds,0,,,,,
player,201410190sdg,kan,WilsAl02,pass_long,0,,,,,
player,201410190sdg,kan,WilsAl02,pass_rating,,,,,,
player,201410190sdg,kan,WilsAl02,rush_att,0,,,,,
player,201410190sdg,kan,WilsAl02,rush_yds,0,,,,,
player,201410190sdg,kan,WilsAl02,rush_td,0,,,,,
player,201410190sdg,kan,WilsAl02,rush_long,0,,,,,
player,201410190sdg,kan,WilsAl02,targets,1,,,,,
player,201410190sdg,kan,WilsAl02,rec,1,,,,,
player,201410190sdg,kan,WilsAl02,rec_yds,11,,,,,
player,201410190sdg,kan,WilsAl02,rec_td,0,,,,,
player,201410190sdg,kan,WilsAl02,rec_long,11,,,,,
player,201410190sdg,kan,WilsAl02,fumbles,0,,,,,
player,201410190sdg,kan,WilsAl02,fumbles_lost,0,,,,,
player,201410190sdg,kan,HemiJu00,pass_cmp,0,,,,,
player,201410190sdg,kan,HemiJu00,pass_att,0,,,,,
player,201410190sdg,kan,HemiJu00,pass_yds,0,,,,,
player,201410190sdg,kan,HemiJu00,pass_td,0,,,,,
player,201410190sdg,kan,HemiJu00,pass_int,0,,,,,
player,201410190sdg,kan,HemiJu00,pass_sacked,0,,,,,
player,201410190sdg,kan,HemiJu00,pass_sacked_yds,0,,,,,
player,201410190sdg,kan,HemiJu00,pass_long,0,,,,,
player,201410190sdg,kan,HemiJu00,pass_rating,,,,,,
player,201410190sdg,kan,HemiJu00,rush_att,0,,,,,
