game,2014,2,20140915,201409150clt,phi,"Philadelphia Eagles",30,clt,"Indianapolis Colts",27
player,201409150clt,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201409150clt,phi,MaclJe00,pass_cmp,0,,,,,
player,201409150clt,phi,MaclJe00,pass_att,0,,,,,
player,201409150clt,phi,MaclJe00,pass_yds,0,,,,,
player,201409150clt,phi,MaclJe00,pass_td,0,,,,,
player,201409150clt,phi,MaclJe00,pass_int,0,,,,,
player,201409150clt,phi,MaclJe00,pass_sacked,0,,,,,
player,201409150clt,phi,MaclJe00,pass_sacked_yds,0,,,,,
player,201409150clt,phi,MaclJe00,pass_long,0,,,,,
player,201409150clt,phi,MaclJe00,pass_rating,,,,,,
player,201409150clt,phi,MaclJe00,rush_att,0,,,,,
player,201409150clt,phi,MaclJe00,rush_yds,0,,,,,
player,201409150clt,phi,MaclJe00,rush_td,0,,,,,
player,201409150clt,phi,MaclJe00,rush_long,0,,,,,
player,201409150clt,phi,MaclJe00,targets,11,,,,,
player,201409150clt,phi,MaclJe00,rec,4,,,,,
player,201409150clt,phi,MaclJe00,rec_yds,45,,,,,
player,201409150clt,phi,MaclJe00,rec_td,1,,,,,
player,201409150clt,phi,MaclJe00,rec_long,15,,,,,
player,201409150clt,phi,MaclJe00,fumbles,0,,,,,
player,201409150clt,phi,MaclJe00,fumbles_lost,0,,,,,
player,201409150clt,phi,MattJo00,pass_cmp,0,,,,,
player,201409150clt,phi,MattJo00,pass_att,0,,,,,
player,201409150clt,phi,MattJo00,pass_yds,0,,,,,
player,201409150clt,phi,MattJo00,pass_td,0,,,,,
player,201409150clt,phi,MattJo00,pass_int,0,,,,,
player,201409150clt,phi,MattJo00,pass_sacked,0,,,,,
player,201409150clt,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201409150clt,phi,MattJo00,pass_long,0,,,,,
player,201409150clt,phi,MattJo00,pass_rating,,,,,,
player,201409150clt,phi,MattJo00,rush_att,0,,,,,
player,201409150clt,phi,MattJo00,rush_yds,0,,,,,
player,201409150clt,phi,MattJo00,rush_td,0,,,,,
player,201409150clt,phi,MattJo00,rush_long,0,,,,,
player,201409150clt,phi,MattJo00,targets,4,,,,,
player,201409150clt,phi,MattJo00,rec,1,,,,,
player,201409150clt,phi,MattJo00,rec_yds,17,,,,,
player,201409150clt,phi,MattJo00,rec_td,0,,,,,
player,201409150clt,phi,MattJo00,rec_long,17,,,,,
player,201409150clt,phi,MattJo00,fumbles,0,,,,,
player,201409150clt,phi,MattJo00,fumbles_lost,0,,,,,
player,201409150clt,phi,CoopRi00,pass_cmp,0,,,,,
player,201409150clt,phi,CoopRi00,pass_att,0,,,,,
player,201409150clt,phi,CoopRi00,pass_yds,0,,,,,
player,201409150clt,phi,CoopRi00,pass_td,0,,,,,
player,201409150clt,phi,CoopRi00,pass_int,0,,,,,
player,201409150clt,phi,CoopRi00,pass_sacked,0,,,,,
player,201409150clt,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201409150clt,phi,CoopRi00,pass_long,0,,,,,
player,201409150clt,phi,CoopRi00,pass_rating,,,,,,
player,201409150clt,phi,CoopRi00,rush_att,0,,,,,
player,201409150clt,phi,CoopRi00,rush_yds,0,,,,,
player,201409150clt,phi,CoopRi00,rush_td,0,,,,,
player,201409150clt,phi,CoopRi00,rush_long,0,,,,,
player,201409150clt,phi,CoopRi00,targets,3,,,,,
player,201409150clt,phi,CoopRi00,rec,1,,,,,
player,201409150clt,phi,CoopRi00,rec_yds,8,,,,,
player,201409150clt,phi,CoopRi00,rec_td,0,,,,,
player,201409150clt,phi,CoopRi00,rec_long,8,,,,,
player,201409150clt,phi,CoopRi00,fumbles,0,,,,,
player,201409150clt,phi,CoopRi00,fumbles_lost,0,,,,,
player,201409150clt,phi,CeleBr00,pass_cmp,0,,,,,
player,201409150clt,phi,CeleBr00,pass_att,0,,,,,
