game,2014,3,20140921,201409210cle,rav,"Baltimore Ravens",23,cle,"Cleveland Browns",21
team,201409210cle,rav,First Downs,23,,,,,,
team,201409210cle,cle,First Downs,19,,,,,,
team,201409210cle,rav,Rush-Yds-TDs,33-160-1,,,,,,
team,201409210cle,cle,Rush-Yds-TDs,30-85-2,,,,,,
team,201409210cle,rav,Cmp-Att-Yd-TD-INT,19-31-217-1-1,,,,,,
team,201409210cle,cle,Cmp-Att-Yd-TD-INT,19-25-290-1-0,,,,,,
team,201409210cle,rav,Sacked-Yards,0-0,,,,,,
team,201409210cle,cle,Sacked-Yards,0-0,,,,,,
team,201409210cle,rav,Net Pass Yards,217,,,,,,
team,201409210cle,cle,Net Pass Yards,290,,,,,,
team,201409210cle,rav,Total Yards,377,,,,,,
team,201409210cle,cle,Total Yards,375,,,,,,
team,201409210cle,rav,Fumbles-Lost,0-0,,,,,,
team,201409210cle,cle,Fumbles-Lost,1-0,,,,,,
team,201409210cle,rav,Turnovers,1,,,,,,
team,201409210cle,cle,Turnovers,0,,,,,,
team,201409210cle,rav,Penalties-Yards,5-32,,,,,,
team,201409210cle,cle,Penalties-Yards,12-94,,,,,,
team,201409210cle,rav,Third Down Conv.,4-12,,,,,,
team,201409210cle,cle,Third Down Conv.,5-11,,,,,,
team,201409210cle,rav,Fourth Down Conv.,0-1,,,,,,
team,201409210cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201409210cle,rav,Time of Possession,30:55,,,,,,
team,201409210cle,cle,Time of Possession,29:05,,,,,,
player,201409210cle,rav,FlacJo00,pass_cmp,19,,,,,
player,201409210cle,rav,FlacJo00,pass_att,31,,,,,
player,201409210cle,rav,FlacJo00,pass_yds,217,,,,,
player,201409210cle,rav,FlacJo00,pass_td,1,,,,,
player,201409210cle,rav,FlacJo00,pass_int,1,,,,,
player,201409210cle,rav,FlacJo00,pass_sacked,0,,,,,
player,201409210cle,rav,FlacJo00,pass_sacked_yds,0,,,,,
player,201409210cle,rav,FlacJo00,pass_long,33,,,,,
player,201409210cle,rav,FlacJo00,pass_rating,79.6,,,,,
player,201409210cle,rav,FlacJo00,rush_att,4,,,,,
player,201409210cle,rav,FlacJo00,rush_yds,6,,,,,
player,201409210cle,rav,FlacJo00,rush_td,0,,,,,
player,201409210cle,rav,FlacJo00,rush_long,7,,,,,
player,201409210cle,rav,FlacJo00,targets,0,,,,,
player,201409210cle,rav,FlacJo00,rec,0,,,,,
player,201409210cle,rav,FlacJo00,rec_yds,0,,,,,
player,201409210cle,rav,FlacJo00,rec_td,0,,,,,
player,201409210cle,rav,FlacJo00,rec_long,0,,,,,
player,201409210cle,rav,FlacJo00,fumbles,0,,,,,
player,201409210cle,rav,FlacJo00,fumbles_lost,0,,,,,
player,201409210cle,rav,TaliLo00,pass_cmp,0,,,,,
player,201409210cle,rav,TaliLo00,pass_att,0,,,,,
player,201409210cle,rav,TaliLo00,pass_yds,0,,,,,
player,201409210cle,rav,TaliLo00,pass_td,0,,,,,
player,201409210cle,rav,TaliLo00,pass_int,0,,,,,
player,201409210cle,rav,TaliLo00,pass_sacked,0,,,,,
player,201409210cle,rav,TaliLo00,pass_sacked_yds,0,,,,,
player,201409210cle,rav,TaliLo00,pass_long,0,,,,,
player,201409210cle,rav,TaliLo00,pass_rating,,,,,,
player,201409210cle,rav,TaliLo00,rush_att,18,,,,,
player,201409210cle,rav,TaliLo00,rush_yds,91,,,,,
player,201409210cle,rav,TaliLo00,rush_td,1,,,,,
player,201409210cle,rav,TaliLo00,rush_long,31,,,,,
player,201409210cle,rav,TaliLo00,targets,0,,,,,
player,201409210cle,rav,TaliLo00,rec,0,,,,,
player,201409210cle,rav,TaliLo00,rec_yds,0,,,,,
player,201409210cle,rav,TaliLo00,rec_td,0,,,,,
player,201409210cle,rav,TaliLo00,rec_long,0,,,,,
player,201409210cle,rav,TaliLo00,fumbles,0,,,,,
player,201409210cle,rav,TaliLo00,fumbles_lost,0,,,,,
player,201409210cle,rav,ForsJu00,pass_cmp,0,,,,,
player,201409210cle,rav,ForsJu00,pass_att,0,,,,,
player,201409210cle,rav,ForsJu00,pass_yds,0,,,,,
player,201409210cle,rav,ForsJu00,pass_td,0,,,,,
player,201409210cle,rav,ForsJu00,pass_int,0,,,,,
player,201409210cle,rav,ForsJu00,pass_sacked,0,,,,,
player,201409210cle,rav,ForsJu00,pass_sacked_yds,0,,,,,
