game,2014,8,20141026,201410260nor,gnb,"Green Bay Packers",23,nor,"New Orleans Saints",44
team,201410260nor,gnb,First Downs,23,,,,,,
team,201410260nor,nor,First Downs,28,,,,,,
team,201410260nor,gnb,Rush-Yds-TDs,19-89-1,,,,,,
team,201410260nor,nor,Rush-Yds-TDs,31-193-2,,,,,,
team,201410260nor,gnb,Cmp-Att-Yd-TD-INT,29-40-426-1-2,,,,,,
team,201410260nor,nor,Cmp-Att-Yd-TD-INT,27-32-311-3-0,,,,,,
team,201410260nor,gnb,Sacked-Yards,4-24,,,,,,
team,201410260nor,nor,Sacked-Yards,2-9,,,,,,
team,201410260nor,gnb,Net Pass Yards,402,,,,,,
team,201410260nor,nor,Net Pass Yards,302,,,,,,
team,201410260nor,gnb,Total Yards,491,,,,,,
team,201410260nor,nor,Total Yards,495,,,,,,
team,201410260nor,gnb,Fumbles-Lost,1-1,,,,,,
team,201410260nor,nor,Fumbles-Lost,1-1,,,,,,
team,201410260nor,gnb,Turnovers,3,,,,,,
team,201410260nor,nor,Turnovers,1,,,,,,
team,201410260nor,gnb,Penalties-Yards,8-84,,,,,,
team,201410260nor,nor,Penalties-Yards,4-35,,,,,,
team,201410260nor,gnb,Third Down Conv.,1-7,,,,,,
team,201410260nor,nor,Third Down Conv.,6-10,,,,,,
team,201410260nor,gnb,Fourth Down Conv.,1-2,,,,,,
team,201410260nor,nor,Fourth Down Conv.,0-1,,,,,,
team,201410260nor,gnb,Time of Possession,28:21,,,,,,
team,201410260nor,nor,Time of Possession,31:39,,,,,,
player,201410260nor,gnb,RodgAa00,pass_cmp,28,,,,,
player,201410260nor,gnb,RodgAa00,pass_att,39,,,,,
player,201410260nor,gnb,RodgAa00,pass_yds,418,,,,,
player,201410260nor,gnb,RodgAa00,pass_td,1,,,,,
player,201410260nor,gnb,RodgAa00,pass_int,2,,,,,
player,201410260nor,gnb,RodgAa00,pass_sacked,3,,,,,
player,201410260nor,gnb,RodgAa00,pass_sacked_yds,19,,,,,
player,201410260nor,gnb,RodgAa00,pass_long,70,,,,,
player,201410260nor,gnb,RodgAa00,pass_rating,93.7,,,,,
player,201410260nor,gnb,RodgAa00,rush_att,2,,,,,
player,201410260nor,gnb,RodgAa00,rush_yds,21,,,,,
player,201410260nor,gnb,RodgAa00,rush_td,1,,,,,
player,201410260nor,gnb,RodgAa00,rush_long,14,,,,,
player,201410260nor,gnb,RodgAa00,targets,0,,,,,
player,201410260nor,gnb,RodgAa00,rec,0,,,,,
player,201410260nor,gnb,RodgAa00,rec_yds,0,,,,,
player,201410260nor,gnb,RodgAa00,rec_td,0,,,,,
player,201410260nor,gnb,RodgAa00,rec_long,0,,,,,
player,201410260nor,gnb,RodgAa00,fumbles,0,,,,,
player,201410260nor,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201410260nor,gnb,FlynMa00,pass_cmp,1,,,,,
player,201410260nor,gnb,FlynMa00,pass_att,1,,,,,
player,201410260nor,gnb,FlynMa00,pass_yds,8,,,,,
player,201410260nor,gnb,FlynMa00,pass_td,0,,,,,
player,201410260nor,gnb,FlynMa00,pass_int,0,,,,,
player,201410260nor,gnb,FlynMa00,pass_sacked,1,,,,,
player,201410260nor,gnb,FlynMa00,pass_sacked_yds,5,,,,,
player,201410260nor,gnb,FlynMa00,pass_long,8,,,,,
player,201410260nor,gnb,FlynMa00,pass_rating,100.0,,,,,
player,201410260nor,gnb,FlynMa00,rush_att,0,,,,,
player,201410260nor,gnb,FlynMa00,rush_yds,0,,,,,
player,201410260nor,gnb,FlynMa00,rush_td,0,,,,,
player,201410260nor,gnb,FlynMa00,rush_long,0,,,,,
player,201410260nor,gnb,FlynMa00,targets,0,,,,,
player,201410260nor,gnb,FlynMa00,rec,0,,,,,
player,201410260nor,gnb,FlynMa00,rec_yds,0,,,,,
player,201410260nor,gnb,FlynMa00,rec_td,0,,,,,
player,201410260nor,gnb,FlynMa00,rec_long,0,,,,,
player,201410260nor,gnb,FlynMa00,fumbles,1,,,,,
player,201410260nor,gnb,FlynMa00,fumbles_lost,1,,,,,
player,201410260nor,gnb,LacyEd00,pass_cmp,0,,,,,
player,201410260nor,gnb,LacyEd00,pass_att,0,,,,,
player,201410260nor,gnb,LacyEd00,pass_yds,0,,,,,
player,201410260nor,gnb,LacyEd00,pass_td,0,,,,,
player,201410260nor,gnb,LacyEd00,pass_int,0,,,,,
player,201410260nor,gnb,LacyEd00,pass_sacked,0,,,,,
player,201410260nor,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201410260nor,gnb,LacyEd00,pass_long,0,,,,,
player,201410260nor,gnb,LacyEd00,pass_rating,,,,,,
player,201410260nor,gnb,LacyEd00,rush_att,13,,,,,
player,201410260nor,gnb,LacyEd00,rush_yds,59,,,,,
player,201410260nor,gnb,LacyEd00,rush_td,0,,,,,
player,201410260nor,gnb,LacyEd00,rush_long,19,,,,,
player,201410260nor,gnb,LacyEd00,targets,9,,,,,
player,201410260nor,gnb,LacyEd00,rec,8,,,,,
player,201410260nor,gnb,LacyEd00,rec_yds,123,,,,,
player,201410260nor,gnb,LacyEd00,rec_td,0,,,,,
player,201410260nor,gnb,LacyEd00,rec_long,67,,,,,
player,201410260nor,gnb,LacyEd00,fumbles,0,,,,,
player,201410260nor,gnb,LacyEd00,fumbles_lost,0,,,,,
player,201410260nor,gnb,StarJa00,pass_cmp,0,,,,,
player,201410260nor,gnb,StarJa00,pass_att,0,,,,,
player,201410260nor,gnb,StarJa00,pass_yds,0,,,,,
player,201410260nor,gnb,StarJa00,pass_td,0,,,,,
player,201410260nor,gnb,StarJa00,pass_int,0,,,,,
player,201410260nor,gnb,StarJa00,pass_sacked,0,,,,,
player,201410260nor,gnb,StarJa00,pass_sacked_yds,0,,,,,
player,201410260nor,gnb,StarJa00,pass_long,0,,,,,
player,201410260nor,gnb,StarJa00,pass_rating,,,,,,
player,201410260nor,gnb,StarJa00,rush_att,2,,,,,
player,201410260nor,gnb,StarJa00,rush_yds,5,,,,,
player,201410260nor,gnb,StarJa00,rush_td,0,,,,,
player,201410260nor,gnb,StarJa00,rush_long,3,,,,,
player,201410260nor,gnb,StarJa00,targets,1,,,,,
player,201410260nor,gnb,StarJa00,rec,0,,,,,
player,201410260nor,gnb,StarJa00,rec_yds,0,,,,,
player,201410260nor,gnb,StarJa00,rec_td,0,,,,,
player,201410260nor,gnb,StarJa00,rec_long,0,,,,,
