game,2014,12,20141123,201411230phi,oti,"Tennessee Titans",24,phi,"Philadelphia Eagles",43
team,201411230phi,oti,First Downs,16,,,,,,
team,201411230phi,phi,First Downs,26,,,,,,
team,201411230phi,oti,Rush-Yds-TDs,19-52-1,,,,,,
team,201411230phi,phi,Rush-Yds-TDs,38-164-2,,,,,,
team,201411230phi,oti,Cmp-Att-Yd-TD-INT,20-39-345-2-1,,,,,,
team,201411230phi,phi,Cmp-Att-Yd-TD-INT,30-43-307-1-2,,,,,,
team,201411230phi,oti,Sacked-Yards,5-46,,,,,,
team,201411230phi,phi,Sacked-Yards,2-9,,,,,,
team,201411230phi,oti,Net Pass Yards,299,,,,,,
team,201411230phi,phi,Net Pass Yards,298,,,,,,
team,201411230phi,oti,Total Yards,351,,,,,,
team,201411230phi,phi,Total Yards,462,,,,,,
team,201411230phi,oti,Fumbles-Lost,3-2,,,,,,
team,201411230phi,phi,Fumbles-Lost,0-0,,,,,,
team,201411230phi,oti,Turnovers,3,,,,,,
team,201411230phi,phi,Turnovers,2,,,,,,
team,201411230phi,oti,Penalties-Yards,7-56,,,,,,
team,201411230phi,phi,Penalties-Yards,9-69,,,,,,
team,201411230phi,oti,Third Down Conv.,2-12,,,,,,
team,201411230phi,phi,Third Down Conv.,10-19,,,,,,
team,201411230phi,oti,Fourth Down Conv.,1-2,,,,,,
team,201411230phi,phi,Fourth Down Conv.,0-0,,,,,,
team,201411230phi,oti,Time of Possession,26:48,,,,,,
team,201411230phi,phi,Time of Possession,33:12,,,,,,
player,201411230phi,oti,MettZa00,pass_cmp,20,,,,,
player,201411230phi,oti,MettZa00,pass_att,39,,,,,
player,201411230phi,oti,MettZa00,pass_yds,345,,,,,
player,201411230phi,oti,MettZa00,pass_td,2,,,,,
player,201411230phi,oti,MettZa00,pass_int,1,,,,,
player,201411230phi,oti,MettZa00,pass_sacked,5,,,,,
player,201411230phi,oti,MettZa00,pass_sacked_yds,46,,,,,
player,201411230phi,oti,MettZa00,pass_long,68,,,,,
player,201411230phi,oti,MettZa00,pass_rating,88.1,,,,,
player,201411230phi,oti,MettZa00,rush_att,2,,,,,
player,201411230phi,oti,MettZa00,rush_yds,-2,,,,,
player,201411230phi,oti,MettZa00,rush_td,0,,,,,
player,201411230phi,oti,MettZa00,rush_long,-1,,,,,
