game,2014,12,20141124,201411240nor,rav,"Baltimore Ravens",34,nor,"New Orleans Saints",27
team,201411240nor,rav,First Downs,23,,,,,,
team,201411240nor,nor,First Downs,26,,,,,,
team,201411240nor,rav,Rush-Yds-TDs,32-215-2,,,,,,
team,201411240nor,nor,Rush-Yds-TDs,21-126-0,,,,,,
team,201411240nor,rav,Cmp-Att-Yd-TD-INT,18-24-243-1-0,,,,,,
team,201411240nor,nor,Cmp-Att-Yd-TD-INT,35-45-420-3-1,,,,,,
team,201411240nor,rav,Sacked-Yards,1-9,,,,,,
team,201411240nor,nor,Sacked-Yards,4-21,,,,,,
team,201411240nor,rav,Net Pass Yards,234,,,,,,
team,201411240nor,nor,Net Pass Yards,399,,,,,,
team,201411240nor,rav,Total Yards,449,,,,,,
team,201411240nor,nor,Total Yards,525,,,,,,
team,201411240nor,rav,Fumbles-Lost,1-1,,,,,,
team,201411240nor,nor,Fumbles-Lost,1-0,,,,,,
team,201411240nor,rav,Turnovers,1,,,,,,
team,201411240nor,nor,Turnovers,1,,,,,,
team,201411240nor,rav,Penalties-Yards,6-42,,,,,,
team,201411240nor,nor,Penalties-Yards,5-50,,,,,,
team,201411240nor,rav,Third Down Conv.,9-13,,,,,,
team,201411240nor,nor,Third Down Conv.,5-12,,,,,,
team,201411240nor,rav,Fourth Down Conv.,0-0,,,,,,
team,201411240nor,nor,Fourth Down Conv.,0-1,,,,,,
team,201411240nor,rav,Time of Possession,30:15,,,,,,
team,201411240nor,nor,Time of Possession,29:45,,,,,,
player,201411240nor,rav,FlacJo00,pass_cmp,18,,,,,
player,201411240nor,rav,FlacJo00,pass_att,24,,,,,
player,201411240nor,rav,FlacJo00,pass_yds,243,,,,,
player,201411240nor,rav,FlacJo00,pass_td,1,,,,,
player,201411240nor,rav,FlacJo00,pass_int,0,,,,,
player,201411240nor,rav,FlacJo00,pass_sacked,1,,,,,
player,201411240nor,rav,FlacJo00,pass_sacked_yds,9,,,,,
player,201411240nor,rav,FlacJo00,pass_long,40,,,,,
player,201411240nor,rav,FlacJo00,pass_rating,120.7,,,,,
player,201411240nor,rav,FlacJo00,rush_att,2,,,,,
player,201411240nor,rav,FlacJo00,rush_yds,2,,,,,
player,201411240nor,rav,FlacJo00,rush_td,0,,,,,
player,201411240nor,rav,FlacJo00,rush_long,3,,,,,
player,201411240nor,rav,FlacJo00,targets,0,,,,,
player,201411240nor,rav,FlacJo00,rec,0,,,,,
player,201411240nor,rav,FlacJo00,rec_yds,0,,,,,
player,201411240nor,rav,FlacJo00,rec_td,0,,,,,
player,201411240nor,rav,FlacJo00,rec_long,0,,,,,
player,201411240nor,rav,FlacJo00,fumbles,0,,,,,
player,201411240nor,rav,FlacJo00,fumbles_lost,0,,,,,
player,201411240nor,rav,ForsJu00,pass_cmp,0,,,,,
player,201411240nor,rav,ForsJu00,pass_att,0,,,,,
player,201411240nor,rav,ForsJu00,pass_yds,0,,,,,
player,201411240nor,rav,ForsJu00,pass_td,0,,,,,
player,201411240nor,rav,ForsJu00,pass_int,0,,,,,
player,201411240nor,rav,ForsJu00,pass_sacked,0,,,,,
player,201411240nor,rav,ForsJu00,pass_sacked_yds,0,,,,,
player,201411240nor,rav,ForsJu00,pass_long,0,,,,,
player,201411240nor,rav,ForsJu00,pass_rating,,,,,,
player,201411240nor,rav,ForsJu00,rush_att,22,,,,,
player,201411240nor,rav,ForsJu00,rush_yds,182,,,,,
player,201411240nor,rav,ForsJu00,rush_td,2,,,,,
player,201411240nor,rav,ForsJu00,rush_long,38,,,,,
player,201411240nor,rav,ForsJu00,targets,2,,,,,
player,201411240nor,rav,ForsJu00,rec,2,,,,,
player,201411240nor,rav,ForsJu00,rec_yds,8,,,,,
player,201411240nor,rav,ForsJu00,rec_td,0,,,,,
player,201411240nor,rav,ForsJu00,rec_long,8,,,,,
player,201411240nor,rav,ForsJu00,fumbles,0,,,,,
player,201411240nor,rav,ForsJu00,fumbles_lost,0,,,,,
player,201411240nor,rav,PierBe00,pass_cmp,0,,,,,
player,201411240nor,rav,PierBe00,pass_att,0,,,,,
player,201411240nor,rav,PierBe00,pass_yds,0,,,,,
player,201411240nor,rav,PierBe00,pass_td,0,,,,,
player,201411240nor,rav,PierBe00,pass_int,0,,,,,
player,201411240nor,rav,PierBe00,pass_sacked,0,,,,,
player,201411240nor,rav,PierBe00,pass_sacked_yds,0,,,,,
player,201411240nor,rav,PierBe00,pass_long,0,,,,,
player,201411240nor,rav,PierBe00,pass_rating,,,,,,
player,201411240nor,rav,PierBe00,rush_att,7,,,,,
player,201411240nor,rav,PierBe00,rush_yds,28,,,,,
player,201411240nor,rav,PierBe00,rush_td,0,,,,,
player,201411240nor,rav,PierBe00,rush_long,26,,,,,
player,201411240nor,rav,PierBe00,targets,1,,,,,
player,201411240nor,rav,PierBe00,rec,1,,,,,
player,201411240nor,rav,PierBe00,rec_yds,6,,,,,
player,201411240nor,rav,PierBe00,rec_td,0,,,,,
player,201411240nor,rav,PierBe00,rec_long,6,,,,,
player,201411240nor,rav,PierBe00,fumbles,0,,,,,
player,201411240nor,rav,PierBe00,fumbles_lost,0,,,,,
player,201411240nor,rav,JoneJa03,pass_cmp,0,,,,,
player,201411240nor,rav,JoneJa03,pass_att,0,,,,,
player,201411240nor,rav,JoneJa03,pass_yds,0,,,,,
player,201411240nor,rav,JoneJa03,pass_td,0,,,,,
player,201411240nor,rav,JoneJa03,pass_int,0,,,,,
player,201411240nor,rav,JoneJa03,pass_sacked,0,,,,,
player,201411240nor,rav,JoneJa03,pass_sacked_yds,0,,,,,
player,201411240nor,rav,JoneJa03,pass_long,0,,,,,
player,201411240nor,rav,JoneJa03,pass_rating,,,,,,
player,201411240nor,rav,JoneJa03,rush_att,1,,,,,
player,201411240nor,rav,JoneJa03,rush_yds,3,,,,,
player,201411240nor,rav,JoneJa03,rush_td,0,,,,,
player,201411240nor,rav,JoneJa03,rush_long,3,,,,,
player,201411240nor,rav,JoneJa03,targets,0,,,,,
player,201411240nor,rav,JoneJa03,rec,0,,,,,
player,201411240nor,rav,JoneJa03,rec_yds,0,,,,,
player,201411240nor,rav,JoneJa03,rec_td,0,,,,,
player,201411240nor,rav,JoneJa03,rec_long,0,,,,,
player,201411240nor,rav,JoneJa03,fumbles,0,,,,,
player,201411240nor,rav,JoneJa03,fumbles_lost,0,,,,,
