game,2014,9,20141102,201411020cle,tam,"Tampa Bay Buccaneers",17,cle,"Cleveland Browns",22
player,201411020cle,tam,GlenMi00,rush_yds,17,,,,,
player,201411020cle,tam,GlenMi00,rush_td,0,,,,,
player,201411020cle,tam,GlenMi00,rush_long,9,,,,,
player,201411020cle,tam,GlenMi00,targets,0,,,,,
player,201411020cle,tam,GlenMi00,rec,0,,,,,
player,201411020cle,tam,GlenMi00,rec_yds,0,,,,,
player,201411020cle,tam,GlenMi00,rec_td,0,,,,,
player,201411020cle,tam,GlenMi00,rec_long,0,,,,,
player,201411020cle,tam,GlenMi00,fumbles,0,,,,,
player,201411020cle,tam,GlenMi00,fumbles_lost,0,,,,,
player,201411020cle,tam,RainBo00,pass_cmp,0,,,,,
player,201411020cle,tam,RainBo00,pass_att,0,,,,,
player,201411020cle,tam,RainBo00,pass_yds,0,,,,,
player,201411020cle,tam,RainBo00,pass_td,0,,,,,
player,201411020cle,tam,RainBo00,pass_int,0,,,,,
player,201411020cle,tam,RainBo00,pass_sacked,0,,,,,
player,201411020cle,tam,RainBo00,pass_sacked_yds,0,,,,,
player,201411020cle,tam,RainBo00,pass_long,0,,,,,
player,201411020cle,tam,RainBo00,pass_rating,,,,,,
player,201411020cle,tam,RainBo00,rush_att,19,,,,,
player,201411020cle,tam,RainBo00,rush_yds,87,,,,,
player,201411020cle,tam,RainBo00,rush_td,0,,,,,
player,201411020cle,tam,RainBo00,rush_long,21,,,,,
player,201411020cle,tam,RainBo00,targets,3,,,,,
player,201411020cle,tam,RainBo00,rec,1,,,,,
player,201411020cle,tam,RainBo00,rec_yds,34,,,,,
player,201411020cle,tam,RainBo00,rec_td,0,,,,,
player,201411020cle,tam,RainBo00,rec_long,34,,,,,
player,201411020cle,tam,RainBo00,fumbles,0,,,,,
player,201411020cle,tam,RainBo00,fumbles_lost,0,,,,,
player,201411020cle,tam,JameMi00,pass_cmp,0,,,,,
player,201411020cle,tam,JameMi00,pass_att,0,,,,,
player,201411020cle,tam,JameMi00,pass_yds,0,,,,,
player,201411020cle,tam,JameMi00,pass_td,0,,,,,
player,201411020cle,tam,JameMi00,pass_int,0,,,,,
player,201411020cle,tam,JameMi00,pass_sacked,0,,,,,
player,201411020cle,tam,JameMi00,pass_sacked_yds,0,,,,,
player,201411020cle,tam,JameMi00,pass_long,0,,,,,
player,201411020cle,tam,JameMi00,pass_rating,,,,,,
player,201411020cle,tam,JameMi00,rush_att,4,,,,,
player,201411020cle,tam,JameMi00,rush_yds,9,,,,,
player,201411020cle,tam,JameMi00,rush_td,0,,,,,
player,201411020cle,tam,JameMi00,rush_long,6,,,,,
player,201411020cle,tam,JameMi00,targets,0,,,,,
player,201411020cle,tam,JameMi00,rec,0,,,,,
player,201411020cle,tam,JameMi00,rec_yds,0,,,,,
player,201411020cle,tam,JameMi00,rec_td,0,,,,,
player,201411020cle,tam,JameMi00,rec_long,0,,,,,
player,201411020cle,tam,JameMi00,fumbles,0,,,,,
player,201411020cle,tam,JameMi00,fumbles_lost,0,,,,,
player,201411020cle,tam,EvanMi00,pass_cmp,0,,,,,
player,201411020cle,tam,EvanMi00,pass_att,0,,,,,
player,201411020cle,tam,EvanMi00,pass_yds,0,,,,,
player,201411020cle,tam,EvanMi00,pass_td,0,,,,,
player,201411020cle,tam,EvanMi00,pass_int,0,,,,,
player,201411020cle,tam,EvanMi00,pass_sacked,0,,,,,
player,201411020cle,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201411020cle,tam,EvanMi00,pass_long,0,,,,,
player,201411020cle,tam,EvanMi00,pass_rating,,,,,,
player,201411020cle,tam,EvanMi00,rush_att,0,,,,,
player,201411020cle,tam,EvanMi00,rush_yds,0,,,,,
player,201411020cle,tam,EvanMi00,rush_td,0,,,,,
player,201411020cle,tam,EvanMi00,rush_long,0,,,,,
player,201411020cle,tam,EvanMi00,targets,11,,,,,
player,201411020cle,tam,EvanMi00,rec,7,,,,,
player,201411020cle,tam,EvanMi00,rec_yds,124,,,,,
player,201411020cle,tam,EvanMi00,rec_td,2,,,,,
player,201411020cle,tam,EvanMi00,rec_long,31,,,,,
player,201411020cle,tam,EvanMi00,fumbles,0,,,,,
player,201411020cle,tam,EvanMi00,fumbles_lost,0,,,,,
player,201411020cle,tam,JackVi00,pass_cmp,0,,,,,
player,201411020cle,tam,JackVi00,pass_att,0,,,,,
player,201411020cle,tam,JackVi00,pass_yds,0,,,,,
player,201411020cle,tam,JackVi00,pass_td,0,,,,,
player,201411020cle,tam,JackVi00,pass_int,0,,,,,
player,201411020cle,tam,JackVi00,pass_sacked,0,,,,,
player,201411020cle,tam,JackVi00,pass_sacked_yds,0,,,,,
player,201411020cle,tam,JackVi00,pass_long,0,,,,,
player,201411020cle,tam,JackVi00,pass_rating,,,,,,
player,201411020cle,tam,JackVi00,rush_att,0,,,,,
player,201411020cle,tam,JackVi00,rush_yds,0,,,,,
player,201411020cle,tam,JackVi00,rush_td,0,,,,,
player,201411020cle,tam,JackVi00,rush_long,0,,,,,
player,201411020cle,tam,JackVi00,targets,12,,,,,
player,201411020cle,tam,JackVi00,rec,6,,,,,
player,201411020cle,tam,JackVi00,rec_yds,86,,,,,
player,201411020cle,tam,JackVi00,rec_td,0,,,,,
player,201411020cle,tam,JackVi00,rec_long,22,,,,,
player,201411020cle,tam,JackVi00,fumbles,0,,,,,
player,201411020cle,tam,JackVi00,fumbles_lost,0,,,,,
player,201411020cle,tam,MurpLo00,pass_cmp,0,,,,,
player,201411020cle,tam,MurpLo00,pass_att,0,,,,,
player,201411020cle,tam,MurpLo00,pass_yds,0,,,,,
player,201411020cle,tam,MurpLo00,pass_td,0,,,,,
player,201411020cle,tam,MurpLo00,pass_int,0,,,,,
player,201411020cle,tam,MurpLo00,pass_sacked,0,,,,,
player,201411020cle,tam,MurpLo00,pass_sacked_yds,0,,,,,
player,201411020cle,tam,MurpLo00,pass_long,0,,,,,
player,201411020cle,tam,MurpLo00,pass_rating,,,,,,
player,201411020cle,tam,MurpLo00,rush_att,0,,,,,
player,201411020cle,tam,MurpLo00,rush_yds,0,,,,,
player,201411020cle,tam,MurpLo00,rush_td,0,,,,,
player,201411020cle,tam,MurpLo00,rush_long,0,,,,,
player,201411020cle,tam,MurpLo00,targets,4,,,,,
player,201411020cle,tam,MurpLo00,rec,2,,,,,
