game,2014,9,20141102,201411020cle,tam,"Tampa Bay Buccaneers",17,cle,"Cleveland Browns",22
player,201411020cle,tam,DaviLa00,tackles_loss,0,,,,,
player,201411020cle,tam,DaviLa00,qb_hits,0,,,,,
player,201411020cle,tam,DaviLa00,fumbles_rec,0,,,,,
player,201411020cle,tam,DaviLa00,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,DaviLa00,fumbles_rec_td,0,,,,,
player,201411020cle,tam,DaviLa00,fumbles_forced,0,,,,,
player,201411020cle,tam,FostMa00,def_int,0,,,,,
player,201411020cle,tam,FostMa00,def_int_yds,0,,,,,
player,201411020cle,tam,FostMa00,def_int_td,0,,,,,
player,201411020cle,tam,FostMa00,def_int_long,0,,,,,
player,201411020cle,tam,FostMa00,pass_defended,0,,,,,
player,201411020cle,tam,FostMa00,sacks,0.0,,,,,
player,201411020cle,tam,FostMa00,tackles_combined,7,,,,,
player,201411020cle,tam,FostMa00,tackles_solo,3,,,,,
player,201411020cle,tam,FostMa00,tackles_assists,4,,,,,
player,201411020cle,tam,FostMa00,tackles_loss,1,,,,,
player,201411020cle,tam,FostMa00,qb_hits,1,,,,,
player,201411020cle,tam,FostMa00,fumbles_rec,0,,,,,
player,201411020cle,tam,FostMa00,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,FostMa00,fumbles_rec_td,0,,,,,
player,201411020cle,tam,FostMa00,fumbles_forced,0,,,,,
player,201411020cle,tam,GholWi00,def_int,0,,,,,
player,201411020cle,tam,GholWi00,def_int_yds,0,,,,,
player,201411020cle,tam,GholWi00,def_int_td,0,,,,,
player,201411020cle,tam,GholWi00,def_int_long,0,,,,,
player,201411020cle,tam,GholWi00,pass_defended,0,,,,,
player,201411020cle,tam,GholWi00,sacks,0.0,,,,,
player,201411020cle,tam,GholWi00,tackles_combined,6,,,,,
player,201411020cle,tam,GholWi00,tackles_solo,3,,,,,
player,201411020cle,tam,GholWi00,tackles_assists,3,,,,,
player,201411020cle,tam,GholWi00,tackles_loss,2,,,,,
player,201411020cle,tam,GholWi00,qb_hits,1,,,,,
player,201411020cle,tam,GholWi00,fumbles_rec,0,,,,,
player,201411020cle,tam,GholWi00,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,GholWi00,fumbles_rec_td,0,,,,,
player,201411020cle,tam,GholWi00,fumbles_forced,0,,,,,
player,201411020cle,tam,VernAl99,def_int,0,,,,,
player,201411020cle,tam,VernAl99,def_int_yds,0,,,,,
player,201411020cle,tam,VernAl99,def_int_td,0,,,,,
player,201411020cle,tam,VernAl99,def_int_long,0,,,,,
player,201411020cle,tam,VernAl99,pass_defended,1,,,,,
player,201411020cle,tam,VernAl99,sacks,0.0,,,,,
player,201411020cle,tam,VernAl99,tackles_combined,5,,,,,
player,201411020cle,tam,VernAl99,tackles_solo,4,,,,,
player,201411020cle,tam,VernAl99,tackles_assists,1,,,,,
player,201411020cle,tam,VernAl99,tackles_loss,0,,,,,
player,201411020cle,tam,VernAl99,qb_hits,0,,,,,
player,201411020cle,tam,VernAl99,fumbles_rec,0,,,,,
player,201411020cle,tam,VernAl99,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,VernAl99,fumbles_rec_td,0,,,,,
player,201411020cle,tam,VernAl99,fumbles_forced,0,,,,,
player,201411020cle,tam,EnglLa99,def_int,0,,,,,
player,201411020cle,tam,EnglLa99,def_int_yds,0,,,,,
player,201411020cle,tam,EnglLa99,def_int_td,0,,,,,
player,201411020cle,tam,EnglLa99,def_int_long,0,,,,,
player,201411020cle,tam,EnglLa99,pass_defended,0,,,,,
player,201411020cle,tam,EnglLa99,sacks,0.0,,,,,
player,201411020cle,tam,EnglLa99,tackles_combined,4,,,,,
player,201411020cle,tam,EnglLa99,tackles_solo,0,,,,,
player,201411020cle,tam,EnglLa99,tackles_assists,4,,,,,
player,201411020cle,tam,EnglLa99,tackles_loss,0,,,,,
player,201411020cle,tam,EnglLa99,qb_hits,0,,,,,
player,201411020cle,tam,EnglLa99,fumbles_rec,0,,,,,
player,201411020cle,tam,EnglLa99,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,EnglLa99,fumbles_rec_td,0,,,,,
player,201411020cle,tam,EnglLa99,fumbles_forced,0,,,,,
player,201411020cle,tam,FreyIs00,def_int,0,,,,,
player,201411020cle,tam,FreyIs00,def_int_yds,0,,,,,
player,201411020cle,tam,FreyIs00,def_int_td,0,,,,,
player,201411020cle,tam,FreyIs00,def_int_long,0,,,,,
player,201411020cle,tam,FreyIs00,pass_defended,0,,,,,
player,201411020cle,tam,FreyIs00,sacks,0.0,,,,,
player,201411020cle,tam,FreyIs00,tackles_combined,4,,,,,
player,201411020cle,tam,FreyIs00,tackles_solo,3,,,,,
player,201411020cle,tam,FreyIs00,tackles_assists,1,,,,,
player,201411020cle,tam,FreyIs00,tackles_loss,0,,,,,
player,201411020cle,tam,FreyIs00,qb_hits,0,,,,,
player,201411020cle,tam,FreyIs00,fumbles_rec,0,,,,,
player,201411020cle,tam,FreyIs00,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,FreyIs00,fumbles_rec_td,0,,,,,
player,201411020cle,tam,FreyIs00,fumbles_forced,0,,,,,
player,201411020cle,tam,LansDa00,def_int,0,,,,,
player,201411020cle,tam,LansDa00,def_int_yds,0,,,,,
player,201411020cle,tam,LansDa00,def_int_td,0,,,,,
player,201411020cle,tam,LansDa00,def_int_long,0,,,,,
player,201411020cle,tam,LansDa00,pass_defended,0,,,,,
player,201411020cle,tam,LansDa00,sacks,0.0,,,,,
player,201411020cle,tam,LansDa00,tackles_combined,3,,,,,
player,201411020cle,tam,LansDa00,tackles_solo,1,,,,,
player,201411020cle,tam,LansDa00,tackles_assists,2,,,,,
player,201411020cle,tam,LansDa00,tackles_loss,0,,,,,
player,201411020cle,tam,LansDa00,qb_hits,0,,,,,
player,201411020cle,tam,LansDa00,fumbles_rec,0,,,,,
player,201411020cle,tam,LansDa00,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,LansDa00,fumbles_rec_td,0,,,,,
player,201411020cle,tam,LansDa00,fumbles_forced,0,,,,,
player,201411020cle,tam,McDoBr01,def_int,0,,,,,
player,201411020cle,tam,McDoBr01,def_int_yds,0,,,,,
player,201411020cle,tam,McDoBr01,def_int_td,0,,,,,
player,201411020cle,tam,McDoBr01,def_int_long,0,,,,,
player,201411020cle,tam,McDoBr01,pass_defended,1,,,,,
player,201411020cle,tam,McDoBr01,sacks,0.0,,,,,
player,201411020cle,tam,McDoBr01,tackles_combined,3,,,,,
player,201411020cle,tam,McDoBr01,tackles_solo,1,,,,,
player,201411020cle,tam,McDoBr01,tackles_assists,2,,,,,
player,201411020cle,tam,McDoBr01,tackles_loss,0,,,,,
player,201411020cle,tam,McDoBr01,qb_hits,0,,,,,
player,201411020cle,tam,McDoBr01,fumbles_rec,0,,,,,
player,201411020cle,tam,McDoBr01,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,McDoBr01,fumbles_rec_td,0,,,,,
player,201411020cle,tam,McDoBr01,fumbles_forced,0,,,,,
player,201411020cle,tam,JohnLe03,def_int,0,,,,,
player,201411020cle,tam,JohnLe03,def_int_yds,0,,,,,
player,201411020cle,tam,JohnLe03,def_int_td,0,,,,,
player,201411020cle,tam,JohnLe03,def_int_long,0,,,,,
player,201411020cle,tam,JohnLe03,pass_defended,0,,,,,
player,201411020cle,tam,JohnLe03,sacks,0.0,,,,,
player,201411020cle,tam,JohnLe03,tackles_combined,2,,,,,
player,201411020cle,tam,JohnLe03,tackles_solo,2,,,,,
player,201411020cle,tam,JohnLe03,tackles_assists,0,,,,,
player,201411020cle,tam,JohnLe03,tackles_loss,0,,,,,
player,201411020cle,tam,JohnLe03,qb_hits,0,,,,,
player,201411020cle,tam,JohnLe03,fumbles_rec,0,,,,,
player,201411020cle,tam,JohnLe03,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,JohnLe03,fumbles_rec_td,0,,,,,
player,201411020cle,tam,JohnLe03,fumbles_forced,0,,,,,
player,201411020cle,tam,GoldDa99,def_int,0,,,,,
player,201411020cle,tam,GoldDa99,def_int_yds,0,,,,,
player,201411020cle,tam,GoldDa99,def_int_td,0,,,,,
player,201411020cle,tam,GoldDa99,def_int_long,0,,,,,
player,201411020cle,tam,GoldDa99,pass_defended,0,,,,,
player,201411020cle,tam,GoldDa99,sacks,0.0,,,,,
player,201411020cle,tam,GoldDa99,tackles_combined,1,,,,,
player,201411020cle,tam,GoldDa99,tackles_solo,0,,,,,
player,201411020cle,tam,GoldDa99,tackles_assists,1,,,,,
player,201411020cle,tam,GoldDa99,tackles_loss,0,,,,,
player,201411020cle,tam,GoldDa99,qb_hits,0,,,,,
player,201411020cle,tam,GoldDa99,fumbles_rec,0,,,,,
player,201411020cle,tam,GoldDa99,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,GoldDa99,fumbles_rec_td,0,,,,,
player,201411020cle,tam,GoldDa99,fumbles_forced,0,,,,,
player,201411020cle,tam,StocLu00,def_int,0,,,,,
player,201411020cle,tam,StocLu00,def_int_yds,0,,,,,
player,201411020cle,tam,StocLu00,def_int_td,0,,,,,
player,201411020cle,tam,StocLu00,def_int_long,0,,,,,
player,201411020cle,tam,StocLu00,pass_defended,0,,,,,
player,201411020cle,tam,StocLu00,sacks,0.0,,,,,
player,201411020cle,tam,StocLu00,tackles_combined,1,,,,,
player,201411020cle,tam,StocLu00,tackles_solo,1,,,,,
player,201411020cle,tam,StocLu00,tackles_assists,0,,,,,
player,201411020cle,tam,StocLu00,tackles_loss,0,,,,,
player,201411020cle,tam,StocLu00,qb_hits,0,,,,,
player,201411020cle,tam,StocLu00,fumbles_rec,0,,,,,
player,201411020cle,tam,StocLu00,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,StocLu00,fumbles_rec_td,0,,,,,
player,201411020cle,tam,StocLu00,fumbles_forced,0,,,,,
player,201411020cle,tam,TandKe00,def_int,0,,,,,
player,201411020cle,tam,TandKe00,def_int_yds,0,,,,,
player,201411020cle,tam,TandKe00,def_int_td,0,,,,,
player,201411020cle,tam,TandKe00,def_int_long,0,,,,,
player,201411020cle,tam,TandKe00,pass_defended,0,,,,,
player,201411020cle,tam,TandKe00,sacks,0.0,,,,,
player,201411020cle,tam,TandKe00,tackles_combined,1,,,,,
player,201411020cle,tam,TandKe00,tackles_solo,1,,,,,
player,201411020cle,tam,TandKe00,tackles_assists,0,,,,,
player,201411020cle,tam,TandKe00,tackles_loss,0,,,,,
player,201411020cle,tam,TandKe00,qb_hits,0,,,,,
player,201411020cle,tam,TandKe00,fumbles_rec,0,,,,,
player,201411020cle,tam,TandKe00,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,TandKe00,fumbles_rec_td,0,,,,,
player,201411020cle,tam,TandKe00,fumbles_forced,0,,,,,
player,201411020cle,tam,JohnMi98,def_int,0,,,,,
player,201411020cle,tam,JohnMi98,def_int_yds,0,,,,,
player,201411020cle,tam,JohnMi98,def_int_td,0,,,,,
player,201411020cle,tam,JohnMi98,def_int_long,0,,,,,
player,201411020cle,tam,JohnMi98,pass_defended,0,,,,,
player,201411020cle,tam,JohnMi98,sacks,0.0,,,,,
player,201411020cle,tam,JohnMi98,tackles_combined,0,,,,,
player,201411020cle,tam,JohnMi98,tackles_solo,0,,,,,
player,201411020cle,tam,JohnMi98,tackles_assists,0,,,,,
player,201411020cle,tam,JohnMi98,tackles_loss,0,,,,,
player,201411020cle,tam,JohnMi98,qb_hits,1,,,,,
player,201411020cle,tam,JohnMi98,fumbles_rec,0,,,,,
player,201411020cle,tam,JohnMi98,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,JohnMi98,fumbles_rec_td,0,,,,,
player,201411020cle,tam,JohnMi98,fumbles_forced,0,,,,,
player,201411020cle,cle,WhitDo20,def_int,1,,,,,
player,201411020cle,cle,WhitDo20,def_int_yds,54,,,,,
player,201411020cle,cle,WhitDo20,def_int_td,0,,,,,
player,201411020cle,cle,WhitDo20,def_int_long,54,,,,,
player,201411020cle,cle,WhitDo20,pass_defended,1,,,,,
player,201411020cle,cle,WhitDo20,sacks,0.0,,,,,
player,201411020cle,cle,WhitDo20,tackles_combined,8,,,,,
player,201411020cle,cle,WhitDo20,tackles_solo,5,,,,,
player,201411020cle,cle,WhitDo20,tackles_assists,3,,,,,
player,201411020cle,cle,WhitDo20,tackles_loss,0,,,,,
player,201411020cle,cle,WhitDo20,qb_hits,0,,,,,
player,201411020cle,cle,WhitDo20,fumbles_rec,0,,,,,
player,201411020cle,cle,WhitDo20,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,WhitDo20,fumbles_rec_td,0,,,,,
player,201411020cle,cle,WhitDo20,fumbles_forced,0,,,,,
player,201411020cle,cle,GipsTa00,def_int,1,,,,,
player,201411020cle,cle,GipsTa00,def_int_yds,12,,,,,
player,201411020cle,cle,GipsTa00,def_int_td,0,,,,,
player,201411020cle,cle,GipsTa00,def_int_long,12,,,,,
player,201411020cle,cle,GipsTa00,pass_defended,1,,,,,
player,201411020cle,cle,GipsTa00,sacks,0.0,,,,,
player,201411020cle,cle,GipsTa00,tackles_combined,5,,,,,
player,201411020cle,cle,GipsTa00,tackles_solo,3,,,,,
player,201411020cle,cle,GipsTa00,tackles_assists,2,,,,,
player,201411020cle,cle,GipsTa00,tackles_loss,0,,,,,
player,201411020cle,cle,GipsTa00,qb_hits,0,,,,,
player,201411020cle,cle,GipsTa00,fumbles_rec,0,,,,,
player,201411020cle,cle,GipsTa00,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,GipsTa00,fumbles_rec_td,0,,,,,
player,201411020cle,cle,GipsTa00,fumbles_forced,0,,,,,
player,201411020cle,cle,MingBa00,def_int,0,,,,,
player,201411020cle,cle,MingBa00,def_int_yds,0,,,,,
player,201411020cle,cle,MingBa00,def_int_td,0,,,,,
player,201411020cle,cle,MingBa00,def_int_long,0,,,,,
player,201411020cle,cle,MingBa00,pass_defended,0,,,,,
player,201411020cle,cle,MingBa00,sacks,1.0,,,,,
player,201411020cle,cle,MingBa00,tackles_combined,4,,,,,
player,201411020cle,cle,MingBa00,tackles_solo,2,,,,,
player,201411020cle,cle,MingBa00,tackles_assists,2,,,,,
player,201411020cle,cle,MingBa00,tackles_loss,1,,,,,
player,201411020cle,cle,MingBa00,qb_hits,2,,,,,
player,201411020cle,cle,MingBa00,fumbles_rec,0,,,,,
player,201411020cle,cle,MingBa00,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,MingBa00,fumbles_rec_td,0,,,,,
player,201411020cle,cle,MingBa00,fumbles_forced,0,,,,,
player,201411020cle,cle,KrugPa99,def_int,0,,,,,
player,201411020cle,cle,KrugPa99,def_int_yds,0,,,,,
player,201411020cle,cle,KrugPa99,def_int_td,0,,,,,
player,201411020cle,cle,KrugPa99,def_int_long,0,,,,,
player,201411020cle,cle,KrugPa99,pass_defended,0,,,,,
player,201411020cle,cle,KrugPa99,sacks,1.0,,,,,
player,201411020cle,cle,KrugPa99,tackles_combined,2,,,,,
player,201411020cle,cle,KrugPa99,tackles_solo,2,,,,,
player,201411020cle,cle,KrugPa99,tackles_assists,0,,,,,
player,201411020cle,cle,KrugPa99,tackles_loss,1,,,,,
player,201411020cle,cle,KrugPa99,qb_hits,1,,,,,
player,201411020cle,cle,KrugPa99,fumbles_rec,0,,,,,
player,201411020cle,cle,KrugPa99,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,KrugPa99,fumbles_rec_td,0,,,,,
player,201411020cle,cle,KrugPa99,fumbles_forced,0,,,,,
player,201411020cle,cle,SkriBu00,def_int,0,,,,,
player,201411020cle,cle,SkriBu00,def_int_yds,0,,,,,
player,201411020cle,cle,SkriBu00,def_int_td,0,,,,,
player,201411020cle,cle,SkriBu00,def_int_long,0,,,,,
player,201411020cle,cle,SkriBu00,pass_defended,0,,,,,
player,201411020cle,cle,SkriBu00,sacks,0.0,,,,,
player,201411020cle,cle,SkriBu00,tackles_combined,9,,,,,
player,201411020cle,cle,SkriBu00,tackles_solo,7,,,,,
player,201411020cle,cle,SkriBu00,tackles_assists,2,,,,,
player,201411020cle,cle,SkriBu00,tackles_loss,0,,,,,
player,201411020cle,cle,SkriBu00,qb_hits,0,,,,,
player,201411020cle,cle,SkriBu00,fumbles_rec,0,,,,,
player,201411020cle,cle,SkriBu00,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,SkriBu00,fumbles_rec_td,0,,,,,
player,201411020cle,cle,SkriBu00,fumbles_forced,0,,,,,
player,201411020cle,cle,DansKa20,def_int,0,,,,,
player,201411020cle,cle,DansKa20,def_int_yds,0,,,,,
player,201411020cle,cle,DansKa20,def_int_td,0,,,,,
player,201411020cle,cle,DansKa20,def_int_long,0,,,,,
player,201411020cle,cle,DansKa20,pass_defended,0,,,,,
player,201411020cle,cle,DansKa20,sacks,0.0,,,,,
player,201411020cle,cle,DansKa20,tackles_combined,5,,,,,
player,201411020cle,cle,DansKa20,tackles_solo,4,,,,,
player,201411020cle,cle,DansKa20,tackles_assists,1,,,,,
player,201411020cle,cle,DansKa20,tackles_loss,0,,,,,
player,201411020cle,cle,DansKa20,qb_hits,0,,,,,
player,201411020cle,cle,DansKa20,fumbles_rec,0,,,,,
player,201411020cle,cle,DansKa20,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,DansKa20,fumbles_rec_td,0,,,,,
player,201411020cle,cle,DansKa20,fumbles_forced,0,,,,,
player,201411020cle,cle,RobeCr00,def_int,0,,,,,
player,201411020cle,cle,RobeCr00,def_int_yds,0,,,,,
player,201411020cle,cle,RobeCr00,def_int_td,0,,,,,
player,201411020cle,cle,RobeCr00,def_int_long,0,,,,,
player,201411020cle,cle,RobeCr00,pass_defended,0,,,,,
player,201411020cle,cle,RobeCr00,sacks,0.0,,,,,
player,201411020cle,cle,RobeCr00,tackles_combined,4,,,,,
player,201411020cle,cle,RobeCr00,tackles_solo,1,,,,,
player,201411020cle,cle,RobeCr00,tackles_assists,3,,,,,
player,201411020cle,cle,RobeCr00,tackles_loss,0,,,,,
player,201411020cle,cle,RobeCr00,qb_hits,0,,,,,
player,201411020cle,cle,RobeCr00,fumbles_rec,0,,,,,
player,201411020cle,cle,RobeCr00,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,RobeCr00,fumbles_rec_td,0,,,,,
player,201411020cle,cle,RobeCr00,fumbles_forced,0,,,,,
player,201411020cle,cle,BryaDe00,def_int,0,,,,,
player,201411020cle,cle,BryaDe00,def_int_yds,0,,,,,
player,201411020cle,cle,BryaDe00,def_int_td,0,,,,,
player,201411020cle,cle,BryaDe00,def_int_long,0,,,,,
player,201411020cle,cle,BryaDe00,pass_defended,0,,,,,
player,201411020cle,cle,BryaDe00,sacks,0.0,,,,,
player,201411020cle,cle,BryaDe00,tackles_combined,3,,,,,
player,201411020cle,cle,BryaDe00,tackles_solo,1,,,,,
player,201411020cle,cle,BryaDe00,tackles_assists,2,,,,,
player,201411020cle,cle,BryaDe00,tackles_loss,0,,,,,
player,201411020cle,cle,BryaDe00,qb_hits,0,,,,,
player,201411020cle,cle,BryaDe00,fumbles_rec,0,,,,,
player,201411020cle,cle,BryaDe00,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,BryaDe00,fumbles_rec_td,0,,,,,
player,201411020cle,cle,BryaDe00,fumbles_forced,0,,,,,
player,201411020cle,cle,FuaxSi00,def_int,0,,,,,
player,201411020cle,cle,FuaxSi00,def_int_yds,0,,,,,
player,201411020cle,cle,FuaxSi00,def_int_td,0,,,,,
player,201411020cle,cle,FuaxSi00,def_int_long,0,,,,,
player,201411020cle,cle,FuaxSi00,pass_defended,0,,,,,
player,201411020cle,cle,FuaxSi00,sacks,0.0,,,,,
player,201411020cle,cle,FuaxSi00,tackles_combined,3,,,,,
player,201411020cle,cle,FuaxSi00,tackles_solo,1,,,,,
player,201411020cle,cle,FuaxSi00,tackles_assists,2,,,,,
player,201411020cle,cle,FuaxSi00,tackles_loss,0,,,,,
player,201411020cle,cle,FuaxSi00,qb_hits,0,,,,,
player,201411020cle,cle,FuaxSi00,fumbles_rec,0,,,,,
player,201411020cle,cle,FuaxSi00,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,FuaxSi00,fumbles_rec_td,0,,,,,
player,201411020cle,cle,FuaxSi00,fumbles_forced,0,,,,,
player,201411020cle,cle,HadeJo99,def_int,0,,,,,
player,201411020cle,cle,HadeJo99,def_int_yds,0,,,,,
player,201411020cle,cle,HadeJo99,def_int_td,0,,,,,
player,201411020cle,cle,HadeJo99,def_int_long,0,,,,,
player,201411020cle,cle,HadeJo99,pass_defended,3,,,,,
player,201411020cle,cle,HadeJo99,sacks,0.0,,,,,
player,201411020cle,cle,HadeJo99,tackles_combined,3,,,,,
player,201411020cle,cle,HadeJo99,tackles_solo,2,,,,,
player,201411020cle,cle,HadeJo99,tackles_assists,1,,,,,
player,201411020cle,cle,HadeJo99,tackles_loss,0,,,,,
player,201411020cle,cle,HadeJo99,qb_hits,0,,,,,
player,201411020cle,cle,HadeJo99,fumbles_rec,0,,,,,
player,201411020cle,cle,HadeJo99,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,HadeJo99,fumbles_rec_td,0,,,,,
player,201411020cle,cle,HadeJo99,fumbles_forced,0,,,,,
player,201411020cle,cle,KitcIs00,def_int,0,,,,,
player,201411020cle,cle,KitcIs00,def_int_yds,0,,,,,
player,201411020cle,cle,KitcIs00,def_int_td,0,,,,,
player,201411020cle,cle,KitcIs00,def_int_long,0,,,,,
player,201411020cle,cle,KitcIs00,pass_defended,0,,,,,
player,201411020cle,cle,KitcIs00,sacks,0.0,,,,,
player,201411020cle,cle,KitcIs00,tackles_combined,3,,,,,
player,201411020cle,cle,KitcIs00,tackles_solo,0,,,,,
player,201411020cle,cle,KitcIs00,tackles_assists,3,,,,,
player,201411020cle,cle,KitcIs00,tackles_loss,0,,,,,
player,201411020cle,cle,KitcIs00,qb_hits,0,,,,,
player,201411020cle,cle,KitcIs00,fumbles_rec,0,,,,,
player,201411020cle,cle,KitcIs00,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,KitcIs00,fumbles_rec_td,0,,,,,
player,201411020cle,cle,KitcIs00,fumbles_forced,0,,,,,
player,201411020cle,cle,KirkCh00,def_int,0,,,,,
player,201411020cle,cle,KirkCh00,def_int_yds,0,,,,,
player,201411020cle,cle,KirkCh00,def_int_td,0,,,,,
player,201411020cle,cle,KirkCh00,def_int_long,0,,,,,
player,201411020cle,cle,KirkCh00,pass_defended,0,,,,,
player,201411020cle,cle,KirkCh00,sacks,0.0,,,,,
player,201411020cle,cle,KirkCh00,tackles_combined,2,,,,,
player,201411020cle,cle,KirkCh00,tackles_solo,1,,,,,
player,201411020cle,cle,KirkCh00,tackles_assists,1,,,,,
player,201411020cle,cle,KirkCh00,tackles_loss,0,,,,,
player,201411020cle,cle,KirkCh00,qb_hits,0,,,,,
player,201411020cle,cle,KirkCh00,fumbles_rec,0,,,,,
player,201411020cle,cle,KirkCh00,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,KirkCh00,fumbles_rec_td,0,,,,,
player,201411020cle,cle,KirkCh00,fumbles_forced,0,,,,,
player,201411020cle,cle,RubiAh99,def_int,0,,,,,
player,201411020cle,cle,RubiAh99,def_int_yds,0,,,,,
player,201411020cle,cle,RubiAh99,def_int_td,0,,,,,
player,201411020cle,cle,RubiAh99,def_int_long,0,,,,,
player,201411020cle,cle,RubiAh99,pass_defended,0,,,,,
player,201411020cle,cle,RubiAh99,sacks,0.0,,,,,
player,201411020cle,cle,RubiAh99,tackles_combined,2,,,,,
player,201411020cle,cle,RubiAh99,tackles_solo,0,,,,,
player,201411020cle,cle,RubiAh99,tackles_assists,2,,,,,
player,201411020cle,cle,RubiAh99,tackles_loss,0,,,,,
player,201411020cle,cle,RubiAh99,qb_hits,0,,,,,
player,201411020cle,cle,RubiAh99,fumbles_rec,0,,,,,
player,201411020cle,cle,RubiAh99,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,RubiAh99,fumbles_rec_td,0,,,,,
player,201411020cle,cle,RubiAh99,fumbles_forced,0,,,,,
player,201411020cle,cle,SheaJa00,def_int,0,,,,,
player,201411020cle,cle,SheaJa00,def_int_yds,0,,,,,
player,201411020cle,cle,SheaJa00,def_int_td,0,,,,,
player,201411020cle,cle,SheaJa00,def_int_long,0,,,,,
player,201411020cle,cle,SheaJa00,pass_defended,1,,,,,
player,201411020cle,cle,SheaJa00,sacks,0.0,,,,,
player,201411020cle,cle,SheaJa00,tackles_combined,2,,,,,
player,201411020cle,cle,SheaJa00,tackles_solo,0,,,,,
player,201411020cle,cle,SheaJa00,tackles_assists,2,,,,,
player,201411020cle,cle,SheaJa00,tackles_loss,0,,,,,
player,201411020cle,cle,SheaJa00,qb_hits,0,,,,,
player,201411020cle,cle,SheaJa00,fumbles_rec,0,,,,,
player,201411020cle,cle,SheaJa00,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,SheaJa00,fumbles_rec_td,0,,,,,
player,201411020cle,cle,SheaJa00,fumbles_forced,0,,,,,
player,201411020cle,cle,BadeJo00,def_int,0,,,,,
player,201411020cle,cle,BadeJo00,def_int_yds,0,,,,,
player,201411020cle,cle,BadeJo00,def_int_td,0,,,,,
player,201411020cle,cle,BadeJo00,def_int_long,0,,,,,
player,201411020cle,cle,BadeJo00,pass_defended,0,,,,,
player,201411020cle,cle,BadeJo00,sacks,0.0,,,,,
player,201411020cle,cle,BadeJo00,tackles_combined,1,,,,,
player,201411020cle,cle,BadeJo00,tackles_solo,0,,,,,
player,201411020cle,cle,BadeJo00,tackles_assists,1,,,,,
player,201411020cle,cle,BadeJo00,tackles_loss,0,,,,,
player,201411020cle,cle,BadeJo00,qb_hits,0,,,,,
player,201411020cle,cle,BadeJo00,fumbles_rec,0,,,,,
player,201411020cle,cle,BadeJo00,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,BadeJo00,fumbles_rec_td,0,,,,,
player,201411020cle,cle,BadeJo00,fumbles_forced,0,,,,,
player,201411020cle,cle,GilbJu00,def_int,0,,,,,
player,201411020cle,cle,GilbJu00,def_int_yds,0,,,,,
player,201411020cle,cle,GilbJu00,def_int_td,0,,,,,
player,201411020cle,cle,GilbJu00,def_int_long,0,,,,,
player,201411020cle,cle,GilbJu00,pass_defended,1,,,,,
player,201411020cle,cle,GilbJu00,sacks,0.0,,,,,
player,201411020cle,cle,GilbJu00,tackles_combined,1,,,,,
player,201411020cle,cle,GilbJu00,tackles_solo,1,,,,,
player,201411020cle,cle,GilbJu00,tackles_assists,0,,,,,
player,201411020cle,cle,GilbJu00,tackles_loss,0,,,,,
player,201411020cle,cle,GilbJu00,qb_hits,0,,,,,
player,201411020cle,cle,GilbJu00,fumbles_rec,0,,,,,
player,201411020cle,cle,GilbJu00,fumbles_rec_yds,0,,,,,
player,201411020cle,cle,GilbJu00,fumbles_rec_td,0,,,,,
player,201411020cle,cle,GilbJu00,fumbles_forced,0,,,,,
player,201411020cle,cle,LeonJi23,def_int,0,,,,,
player,201411020cle,cle,LeonJi23,def_int_yds,0,,,,,
player,201411020cle,cle,LeonJi23,def_int_td,0,,,,,
player,201411020cle,cle,LeonJi23,def_int_long,0,,,,,
player,201411020cle,cle,LeonJi23,pass_defended,0,,,,,
player,201411020cle,cle,LeonJi23,sacks,0.0,,,,,
player,201411020cle,cle,LeonJi23,tackles_combined,1,,,,,
player,201411020cle,cle,LeonJi23,tackles_solo,0,,,,,
player,201411020cle,cle,LeonJi23,tackles_assists,1,,,,,
player,201411020cle,cle,LeonJi23,tackles_loss,0,,,,,
player,201411020cle,cle,LeonJi23,qb_hits,0,,,,,
player,201411020cle,cle,LeonJi23,fumbles_rec,0,,,,,
