game,2014,12,20141123,201411230atl,cle,"Cleveland Browns",26,atl,"Atlanta Falcons",24
player,201411230atl,cle,WestTe00,fumbles_lost,0,,,,,
player,201411230atl,cle,HawkAn00,pass_cmp,0,,,,,
player,201411230atl,cle,HawkAn00,pass_att,0,,,,,
player,201411230atl,cle,HawkAn00,pass_yds,0,,,,,
player,201411230atl,cle,HawkAn00,pass_td,0,,,,,
player,201411230atl,cle,HawkAn00,pass_int,0,,,,,
player,201411230atl,cle,HawkAn00,pass_sacked,0,,,,,
player,201411230atl,cle,HawkAn00,pass_sacked_yds,0,,,,,
player,201411230atl,cle,HawkAn00,pass_long,0,,,,,
player,201411230atl,cle,HawkAn00,pass_rating,,,,,,
player,201411230atl,cle,HawkAn00,rush_att,0,,,,,
player,201411230atl,cle,HawkAn00,rush_yds,0,,,,,
player,201411230atl,cle,HawkAn00,rush_td,0,,,,,
player,201411230atl,cle,HawkAn00,rush_long,0,,,,,
player,201411230atl,cle,HawkAn00,targets,5,,,,,
player,201411230atl,cle,HawkAn00,rec,5,,,,,
player,201411230atl,cle,HawkAn00,rec_yds,93,,,,,
player,201411230atl,cle,HawkAn00,rec_td,0,,,,,
player,201411230atl,cle,HawkAn00,rec_long,40,,,,,
player,201411230atl,cle,HawkAn00,fumbles,0,,,,,
player,201411230atl,cle,HawkAn00,fumbles_lost,0,,,,,
player,201411230atl,cle,AustMi00,pass_cmp,0,,,,,
player,201411230atl,cle,AustMi00,pass_att,0,,,,,
player,201411230atl,cle,AustMi00,pass_yds,0,,,,,
player,201411230atl,cle,AustMi00,pass_td,0,,,,,
player,201411230atl,cle,AustMi00,pass_int,0,,,,,
player,201411230atl,cle,AustMi00,pass_sacked,0,,,,,
player,201411230atl,cle,AustMi00,pass_sacked_yds,0,,,,,
player,201411230atl,cle,AustMi00,pass_long,0,,,,,
player,201411230atl,cle,AustMi00,pass_rating,,,,,,
player,201411230atl,cle,AustMi00,rush_att,0,,,,,
player,201411230atl,cle,AustMi00,rush_yds,0,,,,,
player,201411230atl,cle,AustMi00,rush_td,0,,,,,
player,201411230atl,cle,AustMi00,rush_long,0,,,,,
