game,2014,16,20141221,201412210mia,min,"Minnesota Vikings",35,mia,"Miami Dolphins",37
team,201412210mia,min,First Downs,20,,,,,,
team,201412210mia,mia,First Downs,36,,,,,,
team,201412210mia,min,Rush-Yds-TDs,28-119-2,,,,,,
team,201412210mia,mia,Rush-Yds-TDs,29-110-1,,,,,,
team,201412210mia,min,Cmp-Att-Yd-TD-INT,19-26-259-2-1,,,,,,
team,201412210mia,mia,Cmp-Att-Yd-TD-INT,35-47-396-4-1,,,,,,
team,201412210mia,min,Sacked-Yards,4-21,,,,,,
team,201412210mia,mia,Sacked-Yards,1-13,,,,,,
team,201412210mia,min,Net Pass Yards,238,,,,,,
team,201412210mia,mia,Net Pass Yards,383,,,,,,
team,201412210mia,min,Total Yards,357,,,,,,
team,201412210mia,mia,Total Yards,493,,,,,,
team,201412210mia,min,Fumbles-Lost,0-0,,,,,,
team,201412210mia,mia,Fumbles-Lost,2-1,,,,,,
team,201412210mia,min,Turnovers,1,,,,,,
team,201412210mia,mia,Turnovers,2,,,,,,
team,201412210mia,min,Penalties-Yards,8-74,,,,,,
team,201412210mia,mia,Penalties-Yards,7-54,,,,,,
team,201412210mia,min,Third Down Conv.,7-12,,,,,,
team,201412210mia,mia,Third Down Conv.,9-13,,,,,,
team,201412210mia,min,Fourth Down Conv.,0-0,,,,,,
team,201412210mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201412210mia,min,Time of Possession,26:54,,,,,,
team,201412210mia,mia,Time of Possession,33:06,,,,,,
player,201412210mia,min,BridTe00,pass_cmp,19,,,,,
player,201412210mia,min,BridTe00,pass_att,26,,,,,
player,201412210mia,min,BridTe00,pass_yds,259,,,,,
player,201412210mia,min,BridTe00,pass_td,2,,,,,
player,201412210mia,min,BridTe00,pass_int,1,,,,,
player,201412210mia,min,BridTe00,pass_sacked,4,,,,,
player,201412210mia,min,BridTe00,pass_sacked_yds,21,,,,,
player,201412210mia,min,BridTe00,pass_long,40,,,,,
player,201412210mia,min,BridTe00,pass_rating,114.1,,,,,
player,201412210mia,min,BridTe00,rush_att,5,,,,,
player,201412210mia,min,BridTe00,rush_yds,13,,,,,
player,201412210mia,min,BridTe00,rush_td,0,,,,,
player,201412210mia,min,BridTe00,rush_long,6,,,,,
player,201412210mia,min,BridTe00,targets,0,,,,,
player,201412210mia,min,BridTe00,rec,0,,,,,
player,201412210mia,min,BridTe00,rec_yds,0,,,,,
player,201412210mia,min,BridTe00,rec_td,0,,,,,
player,201412210mia,min,BridTe00,rec_long,0,,,,,
player,201412210mia,min,BridTe00,fumbles,0,,,,,
player,201412210mia,min,BridTe00,fumbles_lost,0,,,,,
player,201412210mia,min,AsiaMa00,pass_cmp,0,,,,,
player,201412210mia,min,AsiaMa00,pass_att,0,,,,,
player,201412210mia,min,AsiaMa00,pass_yds,0,,,,,
player,201412210mia,min,AsiaMa00,pass_td,0,,,,,
player,201412210mia,min,AsiaMa00,pass_int,0,,,,,
player,201412210mia,min,AsiaMa00,pass_sacked,0,,,,,
player,201412210mia,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201412210mia,min,AsiaMa00,pass_long,0,,,,,
player,201412210mia,min,AsiaMa00,pass_rating,,,,,,
player,201412210mia,min,AsiaMa00,rush_att,16,,,,,
player,201412210mia,min,AsiaMa00,rush_yds,58,,,,,
player,201412210mia,min,AsiaMa00,rush_td,2,,,,,
player,201412210mia,min,AsiaMa00,rush_long,10,,,,,
player,201412210mia,min,AsiaMa00,targets,4,,,,,
player,201412210mia,min,AsiaMa00,rec,3,,,,,
player,201412210mia,min,AsiaMa00,rec_yds,19,,,,,
player,201412210mia,min,AsiaMa00,rec_td,0,,,,,
player,201412210mia,min,AsiaMa00,rec_long,9,,,,,
player,201412210mia,min,AsiaMa00,fumbles,0,,,,,
player,201412210mia,min,AsiaMa00,fumbles_lost,0,,,,,
player,201412210mia,min,WrigJa02,pass_cmp,0,,,,,
player,201412210mia,min,WrigJa02,pass_att,0,,,,,
player,201412210mia,min,WrigJa02,pass_yds,0,,,,,
player,201412210mia,min,WrigJa02,pass_td,0,,,,,
player,201412210mia,min,WrigJa02,pass_int,0,,,,,
player,201412210mia,min,WrigJa02,pass_sacked,0,,,,,
player,201412210mia,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201412210mia,min,WrigJa02,pass_long,0,,,,,
player,201412210mia,min,WrigJa02,pass_rating,,,,,,
player,201412210mia,min,WrigJa02,rush_att,1,,,,,
player,201412210mia,min,WrigJa02,rush_yds,27,,,,,
player,201412210mia,min,WrigJa02,rush_td,0,,,,,
player,201412210mia,min,WrigJa02,rush_long,27,,,,,
player,201412210mia,min,WrigJa02,targets,3,,,,,
player,201412210mia,min,WrigJa02,rec,3,,,,,
player,201412210mia,min,WrigJa02,rec_yds,38,,,,,
player,201412210mia,min,WrigJa02,rec_td,1,,,,,
player,201412210mia,min,WrigJa02,rec_long,20,,,,,
player,201412210mia,min,WrigJa02,fumbles,0,,,,,
player,201412210mia,min,WrigJa02,fumbles_lost,0,,,,,
player,201412210mia,min,BanyJo00,pass_cmp,0,,,,,
player,201412210mia,min,BanyJo00,pass_att,0,,,,,
player,201412210mia,min,BanyJo00,pass_yds,0,,,,,
player,201412210mia,min,BanyJo00,pass_td,0,,,,,
player,201412210mia,min,BanyJo00,pass_int,0,,,,,
player,201412210mia,min,BanyJo00,pass_sacked,0,,,,,
player,201412210mia,min,BanyJo00,pass_sacked_yds,0,,,,,
player,201412210mia,min,BanyJo00,pass_long,0,,,,,
player,201412210mia,min,BanyJo00,pass_rating,,,,,,
player,201412210mia,min,BanyJo00,rush_att,5,,,,,
player,201412210mia,min,BanyJo00,rush_yds,23,,,,,
player,201412210mia,min,BanyJo00,rush_td,0,,,,,
player,201412210mia,min,BanyJo00,rush_long,16,,,,,
player,201412210mia,min,BanyJo00,targets,3,,,,,
player,201412210mia,min,BanyJo00,rec,2,,,,,
player,201412210mia,min,BanyJo00,rec_yds,9,,,,,
player,201412210mia,min,BanyJo00,rec_td,0,,,,,
player,201412210mia,min,BanyJo00,rec_long,10,,,,,
player,201412210mia,min,BanyJo00,fumbles,0,,,,,
player,201412210mia,min,BanyJo00,fumbles_lost,0,,,,,
player,201412210mia,min,JennGr00,pass_cmp,0,,,,,
player,201412210mia,min,JennGr00,pass_att,0,,,,,
player,201412210mia,min,JennGr00,pass_yds,0,,,,,
player,201412210mia,min,JennGr00,pass_td,0,,,,,
player,201412210mia,min,JennGr00,pass_int,0,,,,,
player,201412210mia,min,JennGr00,pass_sacked,0,,,,,
player,201412210mia,min,JennGr00,pass_sacked_yds,0,,,,,
player,201412210mia,min,JennGr00,pass_long,0,,,,,
player,201412210mia,min,JennGr00,pass_rating,,,,,,
player,201412210mia,min,JennGr00,rush_att,0,,,,,
player,201412210mia,min,JennGr00,rush_yds,0,,,,,
player,201412210mia,min,JennGr00,rush_td,0,,,,,
player,201412210mia,min,JennGr00,rush_long,0,,,,,
player,201412210mia,min,JennGr00,targets,3,,,,,
player,201412210mia,min,JennGr00,rec,3,,,,,
player,201412210mia,min,JennGr00,rec_yds,56,,,,,
player,201412210mia,min,JennGr00,rec_td,1,,,,,
player,201412210mia,min,JennGr00,rec_long,24,,,,,
player,201412210mia,min,JennGr00,fumbles,0,,,,,
player,201412210mia,min,JennGr00,fumbles_lost,0,,,,,
player,201412210mia,min,ElliRh00,pass_cmp,0,,,,,
player,201412210mia,min,ElliRh00,pass_att,0,,,,,
player,201412210mia,min,ElliRh00,pass_yds,0,,,,,
player,201412210mia,min,ElliRh00,pass_td,0,,,,,
player,201412210mia,min,ElliRh00,pass_int,0,,,,,
player,201412210mia,min,ElliRh00,pass_sacked,0,,,,,
player,201412210mia,min,ElliRh00,pass_sacked_yds,0,,,,,
player,201412210mia,min,ElliRh00,pass_long,0,,,,,
player,201412210mia,min,ElliRh00,pass_rating,,,,,,
player,201412210mia,min,ElliRh00,rush_att,0,,,,,
player,201412210mia,min,ElliRh00,rush_yds,0,,,,,
player,201412210mia,min,ElliRh00,rush_td,0,,,,,
player,201412210mia,min,ElliRh00,rush_long,0,,,,,
player,201412210mia,min,ElliRh00,targets,2,,,,,
player,201412210mia,min,ElliRh00,rec,2,,,,,
player,201412210mia,min,ElliRh00,rec_yds,47,,,,,
