game,2014,11,20141116,201411160car,atl,"Atlanta Falcons",19,car,"Carolina Panthers",17
team,201411160car,atl,First Downs,22,,,,,,
team,201411160car,car,First Downs,22,,,,,,
team,201411160car,atl,Rush-Yds-TDs,27-86-0,,,,,,
team,201411160car,car,Rush-Yds-TDs,25-106-0,,,,,,
team,201411160car,atl,Cmp-Att-Yd-TD-INT,31-45-268-1-0,,,,,,
team,201411160car,car,Cmp-Att-Yd-TD-INT,23-37-292-2-2,,,,,,
team,201411160car,atl,Sacked-Yards,2-8,,,,,,
team,201411160car,car,Sacked-Yards,2-7,,,,,,
team,201411160car,atl,Net Pass Yards,260,,,,,,
team,201411160car,car,Net Pass Yards,285,,,,,,
team,201411160car,atl,Total Yards,346,,,,,,
team,201411160car,car,Total Yards,391,,,,,,
team,201411160car,atl,Fumbles-Lost,1-1,,,,,,
team,201411160car,car,Fumbles-Lost,0-0,,,,,,
team,201411160car,atl,Turnovers,1,,,,,,
team,201411160car,car,Turnovers,2,,,,,,
team,201411160car,atl,Penalties-Yards,5-58,,,,,,
team,201411160car,car,Penalties-Yards,1-15,,,,,,
team,201411160car,atl,Third Down Conv.,5-15,,,,,,
team,201411160car,car,Third Down Conv.,3-13,,,,,,
team,201411160car,atl,Fourth Down Conv.,0-0,,,,,,
team,201411160car,car,Fourth Down Conv.,0-0,,,,,,
team,201411160car,atl,Time of Possession,31:58,,,,,,
team,201411160car,car,Time of Possession,28:02,,,,,,
player,201411160car,atl,RyanMa00,pass_cmp,31,,,,,
player,201411160car,atl,RyanMa00,pass_att,45,,,,,
player,201411160car,atl,RyanMa00,pass_yds,268,,,,,
player,201411160car,atl,RyanMa00,pass_td,1,,,,,
player,201411160car,atl,RyanMa00,pass_int,0,,,,,
player,201411160car,atl,RyanMa00,pass_sacked,2,,,,,
player,201411160car,atl,RyanMa00,pass_sacked_yds,8,,,,,
player,201411160car,atl,RyanMa00,pass_long,20,,,,,
player,201411160car,atl,RyanMa00,pass_rating,91.7,,,,,
player,201411160car,atl,RyanMa00,rush_att,1,,,,,
player,201411160car,atl,RyanMa00,rush_yds,4,,,,,
player,201411160car,atl,RyanMa00,rush_td,0,,,,,
player,201411160car,atl,RyanMa00,rush_long,4,,,,,
player,201411160car,atl,RyanMa00,targets,0,,,,,
player,201411160car,atl,RyanMa00,rec,0,,,,,
player,201411160car,atl,RyanMa00,rec_yds,0,,,,,
player,201411160car,atl,RyanMa00,rec_td,0,,,,,
player,201411160car,atl,RyanMa00,rec_long,0,,,,,
player,201411160car,atl,RyanMa00,fumbles,0,,,,,
player,201411160car,atl,RyanMa00,fumbles_lost,0,,,,,
player,201411160car,atl,JackSt00,pass_cmp,0,,,,,
player,201411160car,atl,JackSt00,pass_att,0,,,,,
player,201411160car,atl,JackSt00,pass_yds,0,,,,,
player,201411160car,atl,JackSt00,pass_td,0,,,,,
player,201411160car,atl,JackSt00,pass_int,0,,,,,
player,201411160car,atl,JackSt00,pass_sacked,0,,,,,
player,201411160car,atl,JackSt00,pass_sacked_yds,0,,,,,
player,201411160car,atl,JackSt00,pass_long,0,,,,,
player,201411160car,atl,JackSt00,pass_rating,,,,,,
player,201411160car,atl,JackSt00,rush_att,17,,,,,
player,201411160car,atl,JackSt00,rush_yds,41,,,,,
player,201411160car,atl,JackSt00,rush_td,0,,,,,
player,201411160car,atl,JackSt00,rush_long,5,,,,,
player,201411160car,atl,JackSt00,targets,3,,,,,
player,201411160car,atl,JackSt00,rec,2,,,,,
player,201411160car,atl,JackSt00,rec_yds,6,,,,,
player,201411160car,atl,JackSt00,rec_td,0,,,,,
player,201411160car,atl,JackSt00,rec_long,3,,,,,
player,201411160car,atl,JackSt00,fumbles,0,,,,,
player,201411160car,atl,JackSt00,fumbles_lost,0,,,,,
player,201411160car,atl,FreeDe00,pass_cmp,0,,,,,
player,201411160car,atl,FreeDe00,pass_att,0,,,,,
player,201411160car,atl,FreeDe00,pass_yds,0,,,,,
player,201411160car,atl,FreeDe00,pass_td,0,,,,,
player,201411160car,atl,FreeDe00,pass_int,0,,,,,
player,201411160car,atl,FreeDe00,pass_sacked,0,,,,,
player,201411160car,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201411160car,atl,FreeDe00,pass_long,0,,,,,
player,201411160car,atl,FreeDe00,pass_rating,,,,,,
player,201411160car,atl,FreeDe00,rush_att,6,,,,,
player,201411160car,atl,FreeDe00,rush_yds,28,,,,,
player,201411160car,atl,FreeDe00,rush_td,0,,,,,
player,201411160car,atl,FreeDe00,rush_long,15,,,,,
player,201411160car,atl,FreeDe00,targets,0,,,,,
player,201411160car,atl,FreeDe00,rec,0,,,,,
player,201411160car,atl,FreeDe00,rec_yds,0,,,,,
player,201411160car,atl,FreeDe00,rec_td,0,,,,,
player,201411160car,atl,FreeDe00,rec_long,0,,,,,
