game,2014,12,20141123,201411230nyg,dal,"Dallas Cowboys",31,nyg,"New York Giants",28
team,201411230nyg,dal,First Downs,18,,,,,,
team,201411230nyg,nyg,First Downs,27,,,,,,
team,201411230nyg,dal,Rush-Yds-TDs,25-119-0,,,,,,
team,201411230nyg,nyg,Rush-Yds-TDs,32-89-1,,,,,,
team,201411230nyg,dal,Cmp-Att-Yd-TD-INT,18-26-275-4-0,,,,,,
team,201411230nyg,nyg,Cmp-Att-Yd-TD-INT,29-40-338-3-1,,,,,,
team,201411230nyg,dal,Sacked-Yards,2-9,,,,,,
team,201411230nyg,nyg,Sacked-Yards,2-10,,,,,,
team,201411230nyg,dal,Net Pass Yards,266,,,,,,
team,201411230nyg,nyg,Net Pass Yards,328,,,,,,
team,201411230nyg,dal,Total Yards,385,,,,,,
team,201411230nyg,nyg,Total Yards,417,,,,,,
team,201411230nyg,dal,Fumbles-Lost,1-1,,,,,,
team,201411230nyg,nyg,Fumbles-Lost,0-0,,,,,,
team,201411230nyg,dal,Turnovers,1,,,,,,
team,201411230nyg,nyg,Turnovers,1,,,,,,
team,201411230nyg,dal,Penalties-Yards,7-63,,,,,,
team,201411230nyg,nyg,Penalties-Yards,5-30,,,,,,
team,201411230nyg,dal,Third Down Conv.,4-10,,,,,,
team,201411230nyg,nyg,Third Down Conv.,11-16,,,,,,
team,201411230nyg,dal,Fourth Down Conv.,0-0,,,,,,
team,201411230nyg,nyg,Fourth Down Conv.,0-1,,,,,,
team,201411230nyg,dal,Time of Possession,24:53,,,,,,
team,201411230nyg,nyg,Time of Possession,35:07,,,,,,
player,201411230nyg,dal,RomoTo00,pass_cmp,18,,,,,
player,201411230nyg,dal,RomoTo00,pass_att,26,,,,,
player,201411230nyg,dal,RomoTo00,pass_yds,275,,,,,
player,201411230nyg,dal,RomoTo00,pass_td,4,,,,,
player,201411230nyg,dal,RomoTo00,pass_int,0,,,,,
player,201411230nyg,dal,RomoTo00,pass_sacked,2,,,,,
player,201411230nyg,dal,RomoTo00,pass_sacked_yds,9,,,,,
player,201411230nyg,dal,RomoTo00,pass_long,45,,,,,
player,201411230nyg,dal,RomoTo00,pass_rating,143.4,,,,,
player,201411230nyg,dal,RomoTo00,rush_att,1,,,,,
player,201411230nyg,dal,RomoTo00,rush_yds,-2,,,,,
player,201411230nyg,dal,RomoTo00,rush_td,0,,,,,
player,201411230nyg,dal,RomoTo00,rush_long,-2,,,,,
player,201411230nyg,dal,RomoTo00,targets,0,,,,,
player,201411230nyg,dal,RomoTo00,rec,0,,,,,
player,201411230nyg,dal,RomoTo00,rec_yds,0,,,,,
player,201411230nyg,dal,RomoTo00,rec_td,0,,,,,
player,201411230nyg,dal,RomoTo00,rec_long,0,,,,,
player,201411230nyg,dal,RomoTo00,fumbles,1,,,,,
player,201411230nyg,dal,RomoTo00,fumbles_lost,1,,,,,
player,201411230nyg,dal,MurrDe00,pass_cmp,0,,,,,
player,201411230nyg,dal,MurrDe00,pass_att,0,,,,,
player,201411230nyg,dal,MurrDe00,pass_yds,0,,,,,
player,201411230nyg,dal,MurrDe00,pass_td,0,,,,,
player,201411230nyg,dal,MurrDe00,pass_int,0,,,,,
player,201411230nyg,dal,MurrDe00,pass_sacked,0,,,,,
player,201411230nyg,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201411230nyg,dal,MurrDe00,pass_long,0,,,,,
player,201411230nyg,dal,MurrDe00,pass_rating,,,,,,
player,201411230nyg,dal,MurrDe00,rush_att,24,,,,,
player,201411230nyg,dal,MurrDe00,rush_yds,121,,,,,
player,201411230nyg,dal,MurrDe00,rush_td,0,,,,,
player,201411230nyg,dal,MurrDe00,rush_long,18,,,,,
