game,2014,14,20141207,201412070sdg,nwe,"New England Patriots",23,sdg,"San Diego Chargers",14
team,201412070sdg,nwe,First Downs,24,,,,,,
team,201412070sdg,sdg,First Downs,13,,,,,,
team,201412070sdg,nwe,Rush-Yds-TDs,28-87-0,,,,,,
team,201412070sdg,sdg,Rush-Yds-TDs,17-53-0,,,,,,
team,201412070sdg,nwe,Cmp-Att-Yd-TD-INT,28-44-317-2-1,,,,,,
team,201412070sdg,sdg,Cmp-Att-Yd-TD-INT,20-33-189-1-1,,,,,,
team,201412070sdg,nwe,Sacked-Yards,1-7,,,,,,
team,201412070sdg,sdg,Sacked-Yards,4-26,,,,,,
team,201412070sdg,nwe,Net Pass Yards,310,,,,,,
team,201412070sdg,sdg,Net Pass Yards,163,,,,,,
team,201412070sdg,nwe,Total Yards,397,,,,,,
team,201412070sdg,sdg,Total Yards,216,,,,,,
team,201412070sdg,nwe,Fumbles-Lost,1-1,,,,,,
team,201412070sdg,sdg,Fumbles-Lost,1-0,,,,,,
team,201412070sdg,nwe,Turnovers,2,,,,,,
team,201412070sdg,sdg,Turnovers,1,,,,,,
team,201412070sdg,nwe,Penalties-Yards,6-70,,,,,,
team,201412070sdg,sdg,Penalties-Yards,8-61,,,,,,
team,201412070sdg,nwe,Third Down Conv.,7-16,,,,,,
team,201412070sdg,sdg,Third Down Conv.,4-13,,,,,,
team,201412070sdg,nwe,Fourth Down Conv.,0-0,,,,,,
team,201412070sdg,sdg,Fourth Down Conv.,0-1,,,,,,
team,201412070sdg,nwe,Time of Possession,34:33,,,,,,
team,201412070sdg,sdg,Time of Possession,25:27,,,,,,
player,201412070sdg,nwe,BradTo00,pass_cmp,28,,,,,
player,201412070sdg,nwe,BradTo00,pass_att,44,,,,,
player,201412070sdg,nwe,BradTo00,pass_yds,317,,,,,
player,201412070sdg,nwe,BradTo00,pass_td,2,,,,,
player,201412070sdg,nwe,BradTo00,pass_int,1,,,,,
player,201412070sdg,nwe,BradTo00,pass_sacked,1,,,,,
player,201412070sdg,nwe,BradTo00,pass_sacked_yds,7,,,,,
player,201412070sdg,nwe,BradTo00,pass_long,69,,,,,
player,201412070sdg,nwe,BradTo00,pass_rating,90.8,,,,,
player,201412070sdg,nwe,BradTo00,rush_att,4,,,,,
player,201412070sdg,nwe,BradTo00,rush_yds,7,,,,,
player,201412070sdg,nwe,BradTo00,rush_td,0,,,,,
player,201412070sdg,nwe,BradTo00,rush_long,5,,,,,
player,201412070sdg,nwe,BradTo00,targets,0,,,,,
player,201412070sdg,nwe,BradTo00,rec,0,,,,,
player,201412070sdg,nwe,BradTo00,rec_yds,0,,,,,
player,201412070sdg,nwe,BradTo00,rec_td,0,,,,,
player,201412070sdg,nwe,BradTo00,rec_long,0,,,,,
player,201412070sdg,nwe,BradTo00,fumbles,0,,,,,
player,201412070sdg,nwe,BradTo00,fumbles_lost,0,,,,,
player,201412070sdg,nwe,BlouLe00,pass_cmp,0,,,,,
player,201412070sdg,nwe,BlouLe00,pass_att,0,,,,,
player,201412070sdg,nwe,BlouLe00,pass_yds,0,,,,,
player,201412070sdg,nwe,BlouLe00,pass_td,0,,,,,
player,201412070sdg,nwe,BlouLe00,pass_int,0,,,,,
player,201412070sdg,nwe,BlouLe00,pass_sacked,0,,,,,
player,201412070sdg,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201412070sdg,nwe,BlouLe00,pass_long,0,,,,,
player,201412070sdg,nwe,BlouLe00,pass_rating,,,,,,
player,201412070sdg,nwe,BlouLe00,rush_att,20,,,,,
player,201412070sdg,nwe,BlouLe00,rush_yds,66,,,,,
player,201412070sdg,nwe,BlouLe00,rush_td,0,,,,,
player,201412070sdg,nwe,BlouLe00,rush_long,23,,,,,
player,201412070sdg,nwe,BlouLe00,targets,2,,,,,
player,201412070sdg,nwe,BlouLe00,rec,2,,,,,
player,201412070sdg,nwe,BlouLe00,rec_yds,11,,,,,
player,201412070sdg,nwe,BlouLe00,rec_td,0,,,,,
player,201412070sdg,nwe,BlouLe00,rec_long,11,,,,,
player,201412070sdg,nwe,BlouLe00,fumbles,0,,,,,
player,201412070sdg,nwe,BlouLe00,fumbles_lost,0,,,,,
player,201412070sdg,nwe,GrayJo00,pass_cmp,0,,,,,
player,201412070sdg,nwe,GrayJo00,pass_att,0,,,,,
player,201412070sdg,nwe,GrayJo00,pass_yds,0,,,,,
player,201412070sdg,nwe,GrayJo00,pass_td,0,,,,,
player,201412070sdg,nwe,GrayJo00,pass_int,0,,,,,
player,201412070sdg,nwe,GrayJo00,pass_sacked,0,,,,,
player,201412070sdg,nwe,GrayJo00,pass_sacked_yds,0,,,,,
player,201412070sdg,nwe,GrayJo00,pass_long,0,,,,,
player,201412070sdg,nwe,GrayJo00,pass_rating,,,,,,
player,201412070sdg,nwe,GrayJo00,rush_att,2,,,,,
player,201412070sdg,nwe,GrayJo00,rush_yds,9,,,,,
player,201412070sdg,nwe,GrayJo00,rush_td,0,,,,,
player,201412070sdg,nwe,GrayJo00,rush_long,7,,,,,
player,201412070sdg,nwe,GrayJo00,targets,0,,,,,
player,201412070sdg,nwe,GrayJo00,rec,0,,,,,
player,201412070sdg,nwe,GrayJo00,rec_yds,0,,,,,
player,201412070sdg,nwe,GrayJo00,rec_td,0,,,,,
player,201412070sdg,nwe,GrayJo00,rec_long,0,,,,,
player,201412070sdg,nwe,GrayJo00,fumbles,0,,,,,
player,201412070sdg,nwe,GrayJo00,fumbles_lost,0,,,,,
player,201412070sdg,nwe,EdelJu00,pass_cmp,0,,,,,
player,201412070sdg,nwe,EdelJu00,pass_att,0,,,,,
player,201412070sdg,nwe,EdelJu00,pass_yds,0,,,,,
player,201412070sdg,nwe,EdelJu00,pass_td,0,,,,,
player,201412070sdg,nwe,EdelJu00,pass_int,0,,,,,
player,201412070sdg,nwe,EdelJu00,pass_sacked,0,,,,,
player,201412070sdg,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201412070sdg,nwe,EdelJu00,pass_long,0,,,,,
player,201412070sdg,nwe,EdelJu00,pass_rating,,,,,,
player,201412070sdg,nwe,EdelJu00,rush_att,1,,,,,
player,201412070sdg,nwe,EdelJu00,rush_yds,4,,,,,
player,201412070sdg,nwe,EdelJu00,rush_td,0,,,,,
player,201412070sdg,nwe,EdelJu00,rush_long,4,,,,,
player,201412070sdg,nwe,EdelJu00,targets,12,,,,,
player,201412070sdg,nwe,EdelJu00,rec,8,,,,,
player,201412070sdg,nwe,EdelJu00,rec_yds,141,,,,,
player,201412070sdg,nwe,EdelJu00,rec_td,1,,,,,
player,201412070sdg,nwe,EdelJu00,rec_long,69,,,,,
player,201412070sdg,nwe,EdelJu00,fumbles,0,,,,,
player,201412070sdg,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201412070sdg,nwe,VereSh00,pass_cmp,0,,,,,
player,201412070sdg,nwe,VereSh00,pass_att,0,,,,,
player,201412070sdg,nwe,VereSh00,pass_yds,0,,,,,
player,201412070sdg,nwe,VereSh00,pass_td,0,,,,,
player,201412070sdg,nwe,VereSh00,pass_int,0,,,,,
player,201412070sdg,nwe,VereSh00,pass_sacked,0,,,,,
player,201412070sdg,nwe,VereSh00,pass_sacked_yds,0,,,,,
player,201412070sdg,nwe,VereSh00,pass_long,0,,,,,
player,201412070sdg,nwe,VereSh00,pass_rating,,,,,,
player,201412070sdg,nwe,VereSh00,rush_att,1,,,,,
player,201412070sdg,nwe,VereSh00,rush_yds,1,,,,,
player,201412070sdg,nwe,VereSh00,rush_td,0,,,,,
player,201412070sdg,nwe,VereSh00,rush_long,1,,,,,
player,201412070sdg,nwe,VereSh00,targets,4,,,,,
player,201412070sdg,nwe,VereSh00,rec,3,,,,,
player,201412070sdg,nwe,VereSh00,rec_yds,30,,,,,
player,201412070sdg,nwe,VereSh00,rec_td,0,,,,,
player,201412070sdg,nwe,VereSh00,rec_long,14,,,,,
player,201412070sdg,nwe,VereSh00,fumbles,0,,,,,
player,201412070sdg,nwe,VereSh00,fumbles_lost,0,,,,,
player,201412070sdg,nwe,GronRo00,pass_cmp,0,,,,,
player,201412070sdg,nwe,GronRo00,pass_att,0,,,,,
player,201412070sdg,nwe,GronRo00,pass_yds,0,,,,,
player,201412070sdg,nwe,GronRo00,pass_td,0,,,,,
player,201412070sdg,nwe,GronRo00,pass_int,0,,,,,
player,201412070sdg,nwe,GronRo00,pass_sacked,0,,,,,
player,201412070sdg,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201412070sdg,nwe,GronRo00,pass_long,0,,,,,
player,201412070sdg,nwe,GronRo00,pass_rating,,,,,,
player,201412070sdg,nwe,GronRo00,rush_att,0,,,,,
player,201412070sdg,nwe,GronRo00,rush_yds,0,,,,,
player,201412070sdg,nwe,GronRo00,rush_td,0,,,,,
player,201412070sdg,nwe,GronRo00,rush_long,0,,,,,
player,201412070sdg,nwe,GronRo00,targets,11,,,,,
player,201412070sdg,nwe,GronRo00,rec,8,,,,,
player,201412070sdg,nwe,GronRo00,rec_yds,87,,,,,
player,201412070sdg,nwe,GronRo00,rec_td,1,,,,,
player,201412070sdg,nwe,GronRo00,rec_long,35,,,,,
player,201412070sdg,nwe,GronRo00,fumbles,0,,,,,
player,201412070sdg,nwe,GronRo00,fumbles_lost,0,,,,,
player,201412070sdg,nwe,LaFeBr00,pass_cmp,0,,,,,
player,201412070sdg,nwe,LaFeBr00,pass_att,0,,,,,
player,201412070sdg,nwe,LaFeBr00,pass_yds,0,,,,,
player,201412070sdg,nwe,LaFeBr00,pass_td,0,,,,,
player,201412070sdg,nwe,LaFeBr00,pass_int,0,,,,,
player,201412070sdg,nwe,LaFeBr00,pass_sacked,0,,,,,
player,201412070sdg,nwe,LaFeBr00,pass_sacked_yds,0,,,,,
player,201412070sdg,nwe,LaFeBr00,pass_long,0,,,,,
player,201412070sdg,nwe,LaFeBr00,pass_rating,,,,,,
player,201412070sdg,nwe,LaFeBr00,rush_att,0,,,,,
player,201412070sdg,nwe,LaFeBr00,rush_yds,0,,,,,
player,201412070sdg,nwe,LaFeBr00,rush_td,0,,,,,
player,201412070sdg,nwe,LaFeBr00,rush_long,0,,,,,
player,201412070sdg,nwe,LaFeBr00,targets,9,,,,,
player,201412070sdg,nwe,LaFeBr00,rec,4,,,,,
player,201412070sdg,nwe,LaFeBr00,rec_yds,41,,,,,
player,201412070sdg,nwe,LaFeBr00,rec_td,0,,,,,
player,201412070sdg,nwe,LaFeBr00,rec_long,19,,,,,
player,201412070sdg,nwe,LaFeBr00,fumbles,1,,,,,
player,201412070sdg,nwe,LaFeBr00,fumbles_lost,1,,,,,
player,201412070sdg,nwe,AmenDa00,pass_cmp,0,,,,,
player,201412070sdg,nwe,AmenDa00,pass_att,0,,,,,
player,201412070sdg,nwe,AmenDa00,pass_yds,0,,,,,
player,201412070sdg,nwe,AmenDa00,pass_td,0,,,,,
player,201412070sdg,nwe,AmenDa00,pass_int,0,,,,,
player,201412070sdg,nwe,AmenDa00,pass_sacked,0,,,,,
player,201412070sdg,nwe,AmenDa00,pass_sacked_yds,0,,,,,
player,201412070sdg,nwe,AmenDa00,pass_long,0,,,,,
player,201412070sdg,nwe,AmenDa00,pass_rating,,,,,,
player,201412070sdg,nwe,AmenDa00,rush_att,0,,,,,
