game,2014,7,20141019,201410190chi,mia,"Miami Dolphins",27,chi,"Chicago Bears",14
team,201410190chi,mia,First Downs,24,,,,,,
team,201410190chi,chi,First Downs,14,,,,,,
team,201410190chi,mia,Rush-Yds-TDs,33-137-1,,,,,,
team,201410190chi,chi,Rush-Yds-TDs,14-52-1,,,,,,
team,201410190chi,mia,Cmp-Att-Yd-TD-INT,25-32-277-2-0,,,,,,
team,201410190chi,chi,Cmp-Att-Yd-TD-INT,21-34-190-1-1,,,,,,
team,201410190chi,mia,Sacked-Yards,4-21,,,,,,
team,201410190chi,chi,Sacked-Yards,3-18,,,,,,
team,201410190chi,mia,Net Pass Yards,256,,,,,,
team,201410190chi,chi,Net Pass Yards,172,,,,,,
team,201410190chi,mia,Total Yards,393,,,,,,
team,201410190chi,chi,Total Yards,224,,,,,,
team,201410190chi,mia,Fumbles-Lost,1-0,,,,,,
team,201410190chi,chi,Fumbles-Lost,4-2,,,,,,
team,201410190chi,mia,Turnovers,0,,,,,,
team,201410190chi,chi,Turnovers,3,,,,,,
team,201410190chi,mia,Penalties-Yards,7-84,,,,,,
team,201410190chi,chi,Penalties-Yards,2-15,,,,,,
team,201410190chi,mia,Third Down Conv.,4-11,,,,,,
team,201410190chi,chi,Third Down Conv.,5-12,,,,,,
team,201410190chi,mia,Fourth Down Conv.,1-1,,,,,,
team,201410190chi,chi,Fourth Down Conv.,2-3,,,,,,
team,201410190chi,mia,Time of Possession,37:22,,,,,,
team,201410190chi,chi,Time of Possession,22:38,,,,,,
player,201410190chi,mia,TannRy00,pass_cmp,25,,,,,
player,201410190chi,mia,TannRy00,pass_att,32,,,,,
player,201410190chi,mia,TannRy00,pass_yds,277,,,,,
player,201410190chi,mia,TannRy00,pass_td,2,,,,,
player,201410190chi,mia,TannRy00,pass_int,0,,,,,
player,201410190chi,mia,TannRy00,pass_sacked,4,,,,,
player,201410190chi,mia,TannRy00,pass_sacked_yds,21,,,,,
player,201410190chi,mia,TannRy00,pass_long,26,,,,,
player,201410190chi,mia,TannRy00,pass_rating,123.6,,,,,
player,201410190chi,mia,TannRy00,rush_att,6,,,,,
player,201410190chi,mia,TannRy00,rush_yds,48,,,,,
player,201410190chi,mia,TannRy00,rush_td,0,,,,,
player,201410190chi,mia,TannRy00,rush_long,30,,,,,
player,201410190chi,mia,TannRy00,targets,0,,,,,
player,201410190chi,mia,TannRy00,rec,0,,,,,
player,201410190chi,mia,TannRy00,rec_yds,0,,,,,
player,201410190chi,mia,TannRy00,rec_td,0,,,,,
player,201410190chi,mia,TannRy00,rec_long,0,,,,,
player,201410190chi,mia,TannRy00,fumbles,0,,,,,
player,201410190chi,mia,TannRy00,fumbles_lost,0,,,,,
player,201410190chi,mia,MillLa01,pass_cmp,0,,,,,
player,201410190chi,mia,MillLa01,pass_att,0,,,,,
player,201410190chi,mia,MillLa01,pass_yds,0,,,,,
player,201410190chi,mia,MillLa01,pass_td,0,,,,,
player,201410190chi,mia,MillLa01,pass_int,0,,,,,
player,201410190chi,mia,MillLa01,pass_sacked,0,,,,,
player,201410190chi,mia,MillLa01,pass_sacked_yds,0,,,,,
player,201410190chi,mia,MillLa01,pass_long,0,,,,,
player,201410190chi,mia,MillLa01,pass_rating,,,,,,
player,201410190chi,mia,MillLa01,rush_att,18,,,,,
player,201410190chi,mia,MillLa01,rush_yds,61,,,,,
player,201410190chi,mia,MillLa01,rush_td,1,,,,,
player,201410190chi,mia,MillLa01,rush_long,9,,,,,
player,201410190chi,mia,MillLa01,targets,3,,,,,
player,201410190chi,mia,MillLa01,rec,2,,,,,
player,201410190chi,mia,MillLa01,rec_yds,22,,,,,
player,201410190chi,mia,MillLa01,rec_td,0,,,,,
player,201410190chi,mia,MillLa01,rec_long,12,,,,,
player,201410190chi,mia,MillLa01,fumbles,0,,,,,
player,201410190chi,mia,MillLa01,fumbles_lost,0,,,,,
player,201410190chi,mia,ThomDa03,pass_cmp,0,,,,,
player,201410190chi,mia,ThomDa03,pass_att,0,,,,,
player,201410190chi,mia,ThomDa03,pass_yds,0,,,,,
player,201410190chi,mia,ThomDa03,pass_td,0,,,,,
player,201410190chi,mia,ThomDa03,pass_int,0,,,,,
player,201410190chi,mia,ThomDa03,pass_sacked,0,,,,,
player,201410190chi,mia,ThomDa03,pass_sacked_yds,0,,,,,
player,201410190chi,mia,ThomDa03,pass_long,0,,,,,
player,201410190chi,mia,ThomDa03,pass_rating,,,,,,
player,201410190chi,mia,ThomDa03,rush_att,7,,,,,
player,201410190chi,mia,ThomDa03,rush_yds,25,,,,,
player,201410190chi,mia,ThomDa03,rush_td,0,,,,,
player,201410190chi,mia,ThomDa03,rush_long,11,,,,,
player,201410190chi,mia,ThomDa03,targets,3,,,,,
player,201410190chi,mia,ThomDa03,rec,3,,,,,
player,201410190chi,mia,ThomDa03,rec_yds,25,,,,,
player,201410190chi,mia,ThomDa03,rec_td,0,,,,,
player,201410190chi,mia,ThomDa03,rec_long,15,,,,,
player,201410190chi,mia,ThomDa03,fumbles,0,,,,,
player,201410190chi,mia,ThomDa03,fumbles_lost,0,,,,,
player,201410190chi,mia,WallMi00,pass_cmp,0,,,,,
player,201410190chi,mia,WallMi00,pass_att,0,,,,,
player,201410190chi,mia,WallMi00,pass_yds,0,,,,,
player,201410190chi,mia,WallMi00,pass_td,0,,,,,
player,201410190chi,mia,WallMi00,pass_int,0,,,,,
player,201410190chi,mia,WallMi00,pass_sacked,0,,,,,
player,201410190chi,mia,WallMi00,pass_sacked_yds,0,,,,,
player,201410190chi,mia,WallMi00,pass_long,0,,,,,
player,201410190chi,mia,WallMi00,pass_rating,,,,,,
player,201410190chi,mia,WallMi00,rush_att,1,,,,,
player,201410190chi,mia,WallMi00,rush_yds,4,,,,,
player,201410190chi,mia,WallMi00,rush_td,0,,,,,
player,201410190chi,mia,WallMi00,rush_long,4,,,,,
player,201410190chi,mia,WallMi00,targets,8,,,,,
player,201410190chi,mia,WallMi00,rec,5,,,,,
player,201410190chi,mia,WallMi00,rec_yds,46,,,,,
player,201410190chi,mia,WallMi00,rec_td,1,,,,,
player,201410190chi,mia,WallMi00,rec_long,12,,,,,
player,201410190chi,mia,WallMi00,fumbles,0,,,,,
player,201410190chi,mia,WallMi00,fumbles_lost,0,,,,,
player,201410190chi,mia,ClayCh00,pass_cmp,0,,,,,
player,201410190chi,mia,ClayCh00,pass_att,0,,,,,
player,201410190chi,mia,ClayCh00,pass_yds,0,,,,,
player,201410190chi,mia,ClayCh00,pass_td,0,,,,,
player,201410190chi,mia,ClayCh00,pass_int,0,,,,,
player,201410190chi,mia,ClayCh00,pass_sacked,0,,,,,
player,201410190chi,mia,ClayCh00,pass_sacked_yds,0,,,,,
player,201410190chi,mia,ClayCh00,pass_long,0,,,,,
player,201410190chi,mia,ClayCh00,pass_rating,,,,,,
player,201410190chi,mia,ClayCh00,rush_att,0,,,,,
player,201410190chi,mia,ClayCh00,rush_yds,0,,,,,
player,201410190chi,mia,ClayCh00,rush_td,0,,,,,
player,201410190chi,mia,ClayCh00,rush_long,0,,,,,
player,201410190chi,mia,ClayCh00,targets,5,,,,,
player,201410190chi,mia,ClayCh00,rec,4,,,,,
player,201410190chi,mia,ClayCh00,rec_yds,58,,,,,
player,201410190chi,mia,ClayCh00,rec_td,1,,,,,
