game,2014,10,20141109,201411090nor,sfo,"San Francisco 49ers",27,nor,"New Orleans Saints",24
team,201411090nor,sfo,First Downs,21,,,,,,
team,201411090nor,nor,First Downs,23,,,,,,
team,201411090nor,sfo,Rush-Yds-TDs,32-144-2,,,,,,
team,201411090nor,nor,Rush-Yds-TDs,31-136-0,,,,,,
team,201411090nor,sfo,Cmp-Att-Yd-TD-INT,14-32-210-1-0,,,,,,
team,201411090nor,nor,Cmp-Att-Yd-TD-INT,28-47-292-3-2,,,,,,
team,201411090nor,sfo,Sacked-Yards,4-24,,,,,,
team,201411090nor,nor,Sacked-Yards,2-5,,,,,,
team,201411090nor,sfo,Net Pass Yards,186,,,,,,
team,201411090nor,nor,Net Pass Yards,287,,,,,,
team,201411090nor,sfo,Total Yards,330,,,,,,
team,201411090nor,nor,Total Yards,423,,,,,,
team,201411090nor,sfo,Fumbles-Lost,1-1,,,,,,
team,201411090nor,nor,Fumbles-Lost,2-1,,,,,,
team,201411090nor,sfo,Turnovers,1,,,,,,
team,201411090nor,nor,Turnovers,3,,,,,,
team,201411090nor,sfo,Penalties-Yards,2-15,,,,,,
team,201411090nor,nor,Penalties-Yards,6-43,,,,,,
team,201411090nor,sfo,Third Down Conv.,6-15,,,,,,
team,201411090nor,nor,Third Down Conv.,8-18,,,,,,
team,201411090nor,sfo,Fourth Down Conv.,1-1,,,,,,
team,201411090nor,nor,Fourth Down Conv.,2-2,,,,,,
team,201411090nor,sfo,Time of Possession,33:46,,,,,,
team,201411090nor,nor,Time of Possession,36:00,,,,,,
player,201411090nor,sfo,KaepCo00,pass_cmp,14,,,,,
player,201411090nor,sfo,KaepCo00,pass_att,32,,,,,
player,201411090nor,sfo,KaepCo00,pass_yds,210,,,,,
player,201411090nor,sfo,KaepCo00,pass_td,1,,,,,
player,201411090nor,sfo,KaepCo00,pass_int,0,,,,,
player,201411090nor,sfo,KaepCo00,pass_sacked,4,,,,,
player,201411090nor,sfo,KaepCo00,pass_sacked_yds,24,,,,,
player,201411090nor,sfo,KaepCo00,pass_long,51,,,,,
player,201411090nor,sfo,KaepCo00,pass_rating,76.3,,,,,
player,201411090nor,sfo,KaepCo00,rush_att,4,,,,,
player,201411090nor,sfo,KaepCo00,rush_yds,24,,,,,
player,201411090nor,sfo,KaepCo00,rush_td,0,,,,,
player,201411090nor,sfo,KaepCo00,rush_long,19,,,,,
player,201411090nor,sfo,KaepCo00,targets,0,,,,,
player,201411090nor,sfo,KaepCo00,rec,0,,,,,
player,201411090nor,sfo,KaepCo00,rec_yds,0,,,,,
player,201411090nor,sfo,KaepCo00,rec_td,0,,,,,
player,201411090nor,sfo,KaepCo00,rec_long,0,,,,,
player,201411090nor,sfo,KaepCo00,fumbles,1,,,,,
player,201411090nor,sfo,KaepCo00,fumbles_lost,1,,,,,
player,201411090nor,sfo,GoreFr00,pass_cmp,0,,,,,
player,201411090nor,sfo,GoreFr00,pass_att,0,,,,,
player,201411090nor,sfo,GoreFr00,pass_yds,0,,,,,
player,201411090nor,sfo,GoreFr00,pass_td,0,,,,,
player,201411090nor,sfo,GoreFr00,pass_int,0,,,,,
player,201411090nor,sfo,GoreFr00,pass_sacked,0,,,,,
player,201411090nor,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201411090nor,sfo,GoreFr00,pass_long,0,,,,,
player,201411090nor,sfo,GoreFr00,pass_rating,,,,,,
player,201411090nor,sfo,GoreFr00,rush_att,23,,,,,
player,201411090nor,sfo,GoreFr00,rush_yds,81,,,,,
player,201411090nor,sfo,GoreFr00,rush_td,1,,,,,
player,201411090nor,sfo,GoreFr00,rush_long,11,,,,,
player,201411090nor,sfo,GoreFr00,targets,1,,,,,
player,201411090nor,sfo,GoreFr00,rec,1,,,,,
player,201411090nor,sfo,GoreFr00,rec_yds,2,,,,,
player,201411090nor,sfo,GoreFr00,rec_td,0,,,,,
player,201411090nor,sfo,GoreFr00,rec_long,2,,,,,
player,201411090nor,sfo,GoreFr00,fumbles,0,,,,,
player,201411090nor,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201411090nor,sfo,HydeCa00,pass_cmp,0,,,,,
player,201411090nor,sfo,HydeCa00,pass_att,0,,,,,
player,201411090nor,sfo,HydeCa00,pass_yds,0,,,,,
player,201411090nor,sfo,HydeCa00,pass_td,0,,,,,
player,201411090nor,sfo,HydeCa00,pass_int,0,,,,,
player,201411090nor,sfo,HydeCa00,pass_sacked,0,,,,,
player,201411090nor,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201411090nor,sfo,HydeCa00,pass_long,0,,,,,
player,201411090nor,sfo,HydeCa00,pass_rating,,,,,,
player,201411090nor,sfo,HydeCa00,rush_att,4,,,,,
player,201411090nor,sfo,HydeCa00,rush_yds,36,,,,,
player,201411090nor,sfo,HydeCa00,rush_td,1,,,,,
player,201411090nor,sfo,HydeCa00,rush_long,15,,,,,
player,201411090nor,sfo,HydeCa00,targets,0,,,,,
player,201411090nor,sfo,HydeCa00,rec,0,,,,,
player,201411090nor,sfo,HydeCa00,rec_yds,0,,,,,
player,201411090nor,sfo,HydeCa00,rec_td,0,,,,,
player,201411090nor,sfo,HydeCa00,rec_long,0,,,,,
player,201411090nor,sfo,HydeCa00,fumbles,0,,,,,
player,201411090nor,sfo,HydeCa00,fumbles_lost,0,,,,,
player,201411090nor,sfo,MillBr02,pass_cmp,0,,,,,
player,201411090nor,sfo,MillBr02,pass_att,0,,,,,
player,201411090nor,sfo,MillBr02,pass_yds,0,,,,,
player,201411090nor,sfo,MillBr02,pass_td,0,,,,,
player,201411090nor,sfo,MillBr02,pass_int,0,,,,,
player,201411090nor,sfo,MillBr02,pass_sacked,0,,,,,
player,201411090nor,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201411090nor,sfo,MillBr02,pass_long,0,,,,,
