game,2014,11,20141116,201411160kan,sea,"Seattle Seahawks",20,kan,"Kansas City Chiefs",24
team,201411160kan,sea,First Downs,25,,,,,,
team,201411160kan,kan,First Downs,20,,,,,,
team,201411160kan,sea,Rush-Yds-TDs,37-204-0,,,,,,
team,201411160kan,kan,Rush-Yds-TDs,30-190-3,,,,,,
team,201411160kan,sea,Cmp-Att-Yd-TD-INT,20-32-178-2-0,,,,,,
team,201411160kan,kan,Cmp-Att-Yd-TD-INT,11-16-108-0-0,,,,,,
team,201411160kan,sea,Sacked-Yards,2-10,,,,,,
team,201411160kan,kan,Sacked-Yards,0-0,,,,,,
team,201411160kan,sea,Net Pass Yards,168,,,,,,
team,201411160kan,kan,Net Pass Yards,108,,,,,,
team,201411160kan,sea,Total Yards,372,,,,,,
team,201411160kan,kan,Total Yards,298,,,,,,
team,201411160kan,sea,Fumbles-Lost,1-0,,,,,,
team,201411160kan,kan,Fumbles-Lost,3-2,,,,,,
team,201411160kan,sea,Turnovers,0,,,,,,
team,201411160kan,kan,Turnovers,2,,,,,,
team,201411160kan,sea,Penalties-Yards,8-50,,,,,,
team,201411160kan,kan,Penalties-Yards,3-6,,,,,,
team,201411160kan,sea,Third Down Conv.,5-12,,,,,,
team,201411160kan,kan,Third Down Conv.,2-6,,,,,,
team,201411160kan,sea,Fourth Down Conv.,0-3,,,,,,
team,201411160kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201411160kan,sea,Time of Possession,35:57,,,,,,
team,201411160kan,kan,Time of Possession,24:03,,,,,,
player,201411160kan,sea,WilsRu00,pass_cmp,20,,,,,
player,201411160kan,sea,WilsRu00,pass_att,32,,,,,
player,201411160kan,sea,WilsRu00,pass_yds,178,,,,,
player,201411160kan,sea,WilsRu00,pass_td,2,,,,,
player,201411160kan,sea,WilsRu00,pass_int,0,,,,,
player,201411160kan,sea,WilsRu00,pass_sacked,2,,,,,
player,201411160kan,sea,WilsRu00,pass_sacked_yds,10,,,,,
player,201411160kan,sea,WilsRu00,pass_long,27,,,,,
player,201411160kan,sea,WilsRu00,pass_rating,98.2,,,,,
player,201411160kan,sea,WilsRu00,rush_att,8,,,,,
player,201411160kan,sea,WilsRu00,rush_yds,71,,,,,
player,201411160kan,sea,WilsRu00,rush_td,0,,,,,
player,201411160kan,sea,WilsRu00,rush_long,14,,,,,
player,201411160kan,sea,WilsRu00,targets,0,,,,,
player,201411160kan,sea,WilsRu00,rec,0,,,,,
player,201411160kan,sea,WilsRu00,rec_yds,0,,,,,
player,201411160kan,sea,WilsRu00,rec_td,0,,,,,
player,201411160kan,sea,WilsRu00,rec_long,0,,,,,
player,201411160kan,sea,WilsRu00,fumbles,0,,,,,
player,201411160kan,sea,WilsRu00,fumbles_lost,0,,,,,
player,201411160kan,sea,LyncMa00,pass_cmp,0,,,,,
player,201411160kan,sea,LyncMa00,pass_att,0,,,,,
player,201411160kan,sea,LyncMa00,pass_yds,0,,,,,
player,201411160kan,sea,LyncMa00,pass_td,0,,,,,
player,201411160kan,sea,LyncMa00,pass_int,0,,,,,
player,201411160kan,sea,LyncMa00,pass_sacked,0,,,,,
player,201411160kan,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201411160kan,sea,LyncMa00,pass_long,0,,,,,
player,201411160kan,sea,LyncMa00,pass_rating,,,,,,
player,201411160kan,sea,LyncMa00,rush_att,24,,,,,
player,201411160kan,sea,LyncMa00,rush_yds,124,,,,,
player,201411160kan,sea,LyncMa00,rush_td,0,,,,,
player,201411160kan,sea,LyncMa00,rush_long,17,,,,,
player,201411160kan,sea,LyncMa00,targets,3,,,,,
player,201411160kan,sea,LyncMa00,rec,1,,,,,
player,201411160kan,sea,LyncMa00,rec_yds,1,,,,,
player,201411160kan,sea,LyncMa00,rec_td,0,,,,,
player,201411160kan,sea,LyncMa00,rec_long,1,,,,,
player,201411160kan,sea,LyncMa00,fumbles,0,,,,,
player,201411160kan,sea,LyncMa00,fumbles_lost,0,,,,,
player,201411160kan,sea,TurbRo00,pass_cmp,0,,,,,
player,201411160kan,sea,TurbRo00,pass_att,0,,,,,
player,201411160kan,sea,TurbRo00,pass_yds,0,,,,,
player,201411160kan,sea,TurbRo00,pass_td,0,,,,,
player,201411160kan,sea,TurbRo00,pass_int,0,,,,,
