game,2014,11,20141117,201411170oti,pit,"Pittsburgh Steelers",27,oti,"Tennessee Titans",24
team,201411170oti,pit,First Downs,29,,,,,,
team,201411170oti,oti,First Downs,14,,,,,,
team,201411170oti,pit,Rush-Yds-TDs,36-206-1,,,,,,
team,201411170oti,oti,Rush-Yds-TDs,15-49-1,,,,,,
team,201411170oti,pit,Cmp-Att-Yd-TD-INT,21-32-207-1-1,,,,,,
team,201411170oti,oti,Cmp-Att-Yd-TD-INT,15-24-263-2-1,,,,,,
team,201411170oti,pit,Sacked-Yards,5-27,,,,,,
team,201411170oti,oti,Sacked-Yards,0-0,,,,,,
team,201411170oti,pit,Net Pass Yards,180,,,,,,
team,201411170oti,oti,Net Pass Yards,263,,,,,,
team,201411170oti,pit,Total Yards,386,,,,,,
team,201411170oti,oti,Total Yards,312,,,,,,
team,201411170oti,pit,Fumbles-Lost,0-0,,,,,,
team,201411170oti,oti,Fumbles-Lost,0-0,,,,,,
team,201411170oti,pit,Turnovers,1,,,,,,
team,201411170oti,oti,Turnovers,1,,,,,,
team,201411170oti,pit,Penalties-Yards,4-39,,,,,,
team,201411170oti,oti,Penalties-Yards,1-10,,,,,,
team,201411170oti,pit,Third Down Conv.,7-13,,,,,,
team,201411170oti,oti,Third Down Conv.,3-8,,,,,,
team,201411170oti,pit,Fourth Down Conv.,0-0,,,,,,
team,201411170oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201411170oti,pit,Time of Possession,39:49,,,,,,
team,201411170oti,oti,Time of Possession,20:11,,,,,,
player,201411170oti,pit,RoetBe00,pass_cmp,21,,,,,
player,201411170oti,pit,RoetBe00,pass_att,32,,,,,
player,201411170oti,pit,RoetBe00,pass_yds,207,,,,,
player,201411170oti,pit,RoetBe00,pass_td,1,,,,,
player,201411170oti,pit,RoetBe00,pass_int,1,,,,,
player,201411170oti,pit,RoetBe00,pass_sacked,5,,,,,
player,201411170oti,pit,RoetBe00,pass_sacked_yds,27,,,,,
player,201411170oti,pit,RoetBe00,pass_long,23,,,,,
player,201411170oti,pit,RoetBe00,pass_rating,81.1,,,,,
player,201411170oti,pit,RoetBe00,rush_att,3,,,,,
player,201411170oti,pit,RoetBe00,rush_yds,2,,,,,
player,201411170oti,pit,RoetBe00,rush_td,0,,,,,
player,201411170oti,pit,RoetBe00,rush_long,4,,,,,
player,201411170oti,pit,RoetBe00,targets,0,,,,,
player,201411170oti,pit,RoetBe00,rec,0,,,,,
player,201411170oti,pit,RoetBe00,rec_yds,0,,,,,
player,201411170oti,pit,RoetBe00,rec_td,0,,,,,
player,201411170oti,pit,RoetBe00,rec_long,0,,,,,
player,201411170oti,pit,RoetBe00,fumbles,0,,,,,
player,201411170oti,pit,RoetBe00,fumbles_lost,0,,,,,
player,201411170oti,pit,BellLe00,pass_cmp,0,,,,,
player,201411170oti,pit,BellLe00,pass_att,0,,,,,
player,201411170oti,pit,BellLe00,pass_yds,0,,,,,
player,201411170oti,pit,BellLe00,pass_td,0,,,,,
player,201411170oti,pit,BellLe00,pass_int,0,,,,,
player,201411170oti,pit,BellLe00,pass_sacked,0,,,,,
player,201411170oti,pit,BellLe00,pass_sacked_yds,0,,,,,
player,201411170oti,pit,BellLe00,pass_long,0,,,,,
player,201411170oti,pit,BellLe00,pass_rating,,,,,,
player,201411170oti,pit,BellLe00,rush_att,33,,,,,
player,201411170oti,pit,BellLe00,rush_yds,204,,,,,
player,201411170oti,pit,BellLe00,rush_td,1,,,,,
player,201411170oti,pit,BellLe00,rush_long,27,,,,,
player,201411170oti,pit,BellLe00,targets,4,,,,,
player,201411170oti,pit,BellLe00,rec,2,,,,,
player,201411170oti,pit,BellLe00,rec_yds,18,,,,,
player,201411170oti,pit,BellLe00,rec_td,0,,,,,
player,201411170oti,pit,BellLe00,rec_long,10,,,,,
player,201411170oti,pit,BellLe00,fumbles,0,,,,,
player,201411170oti,pit,BellLe00,fumbles_lost,0,,,,,
player,201411170oti,pit,BrowAn04,pass_cmp,0,,,,,
player,201411170oti,pit,BrowAn04,pass_att,0,,,,,
player,201411170oti,pit,BrowAn04,pass_yds,0,,,,,
player,201411170oti,pit,BrowAn04,pass_td,0,,,,,
player,201411170oti,pit,BrowAn04,pass_int,0,,,,,
player,201411170oti,pit,BrowAn04,pass_sacked,0,,,,,
player,201411170oti,pit,BrowAn04,pass_sacked_yds,0,,,,,
player,201411170oti,pit,BrowAn04,pass_long,0,,,,,
player,201411170oti,pit,BrowAn04,pass_rating,,,,,,
player,201411170oti,pit,BrowAn04,rush_att,0,,,,,
player,201411170oti,pit,BrowAn04,rush_yds,0,,,,,
player,201411170oti,pit,BrowAn04,rush_td,0,,,,,
player,201411170oti,pit,BrowAn04,rush_long,0,,,,,
player,201411170oti,pit,BrowAn04,targets,11,,,,,
player,201411170oti,pit,BrowAn04,rec,9,,,,,
player,201411170oti,pit,BrowAn04,rec_yds,91,,,,,
player,201411170oti,pit,BrowAn04,rec_td,1,,,,,
player,201411170oti,pit,BrowAn04,rec_long,17,,,,,
player,201411170oti,pit,BrowAn04,fumbles,0,,,,,
player,201411170oti,pit,BrowAn04,fumbles_lost,0,,,,,
player,201411170oti,pit,MillHe00,pass_cmp,0,,,,,
player,201411170oti,pit,MillHe00,pass_att,0,,,,,
player,201411170oti,pit,MillHe00,pass_yds,0,,,,,
player,201411170oti,pit,MillHe00,pass_td,0,,,,,
player,201411170oti,pit,MillHe00,pass_int,0,,,,,
player,201411170oti,pit,MillHe00,pass_sacked,0,,,,,
player,201411170oti,pit,MillHe00,pass_sacked_yds,0,,,,,
player,201411170oti,pit,MillHe00,pass_long,0,,,,,
player,201411170oti,pit,MillHe00,pass_rating,,,,,,
player,201411170oti,pit,MillHe00,rush_att,0,,,,,
player,201411170oti,pit,MillHe00,rush_yds,0,,,,,
player,201411170oti,pit,MillHe00,rush_td,0,,,,,
player,201411170oti,pit,MillHe00,rush_long,0,,,,,
player,201411170oti,pit,MillHe00,targets,5,,,,,
player,201411170oti,pit,MillHe00,rec,5,,,,,
player,201411170oti,pit,MillHe00,rec_yds,71,,,,,
player,201411170oti,pit,MillHe00,rec_td,0,,,,,
player,201411170oti,pit,MillHe00,rec_long,23,,,,,
player,201411170oti,pit,MillHe00,fumbles,0,,,,,
player,201411170oti,pit,MillHe00,fumbles_lost,0,,,,,
player,201411170oti,pit,MoorLa00,pass_cmp,0,,,,,
player,201411170oti,pit,MoorLa00,pass_att,0,,,,,
player,201411170oti,pit,MoorLa00,pass_yds,0,,,,,
player,201411170oti,pit,MoorLa00,pass_td,0,,,,,
player,201411170oti,pit,MoorLa00,pass_int,0,,,,,
player,201411170oti,pit,MoorLa00,pass_sacked,0,,,,,
player,201411170oti,pit,MoorLa00,pass_sacked_yds,0,,,,,
player,201411170oti,pit,MoorLa00,pass_long,0,,,,,
player,201411170oti,pit,MoorLa00,pass_rating,,,,,,
player,201411170oti,pit,MoorLa00,rush_att,0,,,,,
player,201411170oti,pit,MoorLa00,rush_yds,0,,,,,
player,201411170oti,pit,MoorLa00,rush_td,0,,,,,
player,201411170oti,pit,MoorLa00,rush_long,0,,,,,
player,201411170oti,pit,MoorLa00,targets,1,,,,,
player,201411170oti,pit,MoorLa00,rec,1,,,,,
player,201411170oti,pit,MoorLa00,rec_yds,15,,,,,
player,201411170oti,pit,MoorLa00,rec_td,0,,,,,
player,201411170oti,pit,MoorLa00,rec_long,15,,,,,
player,201411170oti,pit,MoorLa00,fumbles,0,,,,,
player,201411170oti,pit,MoorLa00,fumbles_lost,0,,,,,
player,201411170oti,pit,BryaMa00,pass_cmp,0,,,,,
player,201411170oti,pit,BryaMa00,pass_att,0,,,,,
player,201411170oti,pit,BryaMa00,pass_yds,0,,,,,
player,201411170oti,pit,BryaMa00,pass_td,0,,,,,
player,201411170oti,pit,BryaMa00,pass_int,0,,,,,
player,201411170oti,pit,BryaMa00,pass_sacked,0,,,,,
player,201411170oti,pit,BryaMa00,pass_sacked_yds,0,,,,,
player,201411170oti,pit,BryaMa00,pass_long,0,,,,,
player,201411170oti,pit,BryaMa00,pass_rating,,,,,,
player,201411170oti,pit,BryaMa00,rush_att,0,,,,,
player,201411170oti,pit,BryaMa00,rush_yds,0,,,,,
player,201411170oti,pit,BryaMa00,rush_td,0,,,,,
player,201411170oti,pit,BryaMa00,rush_long,0,,,,,
player,201411170oti,pit,BryaMa00,targets,5,,,,,
player,201411170oti,pit,BryaMa00,rec,2,,,,,
player,201411170oti,pit,BryaMa00,rec_yds,11,,,,,
player,201411170oti,pit,BryaMa00,rec_td,0,,,,,
player,201411170oti,pit,BryaMa00,rec_long,8,,,,,
player,201411170oti,pit,BryaMa00,fumbles,0,,,,,
player,201411170oti,pit,BryaMa00,fumbles_lost,0,,,,,
player,201411170oti,pit,WheaMa00,pass_cmp,0,,,,,
player,201411170oti,pit,WheaMa00,pass_att,0,,,,,
player,201411170oti,pit,WheaMa00,pass_yds,0,,,,,
player,201411170oti,pit,WheaMa00,pass_td,0,,,,,
player,201411170oti,pit,WheaMa00,pass_int,0,,,,,
player,201411170oti,pit,WheaMa00,pass_sacked,0,,,,,
player,201411170oti,pit,WheaMa00,pass_sacked_yds,0,,,,,
player,201411170oti,pit,WheaMa00,pass_long,0,,,,,
player,201411170oti,pit,WheaMa00,pass_rating,,,,,,
player,201411170oti,pit,WheaMa00,rush_att,0,,,,,
player,201411170oti,pit,WheaMa00,rush_yds,0,,,,,
player,201411170oti,pit,WheaMa00,rush_td,0,,,,,
player,201411170oti,pit,WheaMa00,rush_long,0,,,,,
player,201411170oti,pit,WheaMa00,targets,5,,,,,
player,201411170oti,pit,WheaMa00,rec,1,,,,,
player,201411170oti,pit,WheaMa00,rec_yds,6,,,,,
player,201411170oti,pit,WheaMa00,rec_td,0,,,,,
player,201411170oti,pit,WheaMa00,rec_long,6,,,,,
player,201411170oti,pit,WheaMa00,fumbles,0,,,,,
player,201411170oti,pit,WheaMa00,fumbles_lost,0,,,,,
player,201411170oti,pit,ArchDr00,pass_cmp,0,,,,,
player,201411170oti,pit,ArchDr00,pass_att,0,,,,,
player,201411170oti,pit,ArchDr00,pass_yds,0,,,,,
player,201411170oti,pit,ArchDr00,pass_td,0,,,,,
player,201411170oti,pit,ArchDr00,pass_int,0,,,,,
player,201411170oti,pit,ArchDr00,pass_sacked,0,,,,,
player,201411170oti,pit,ArchDr00,pass_sacked_yds,0,,,,,
player,201411170oti,pit,ArchDr00,pass_long,0,,,,,
player,201411170oti,pit,ArchDr00,pass_rating,,,,,,
player,201411170oti,pit,ArchDr00,rush_att,0,,,,,
player,201411170oti,pit,ArchDr00,rush_yds,0,,,,,
player,201411170oti,pit,ArchDr00,rush_td,0,,,,,
player,201411170oti,pit,ArchDr00,rush_long,0,,,,,
player,201411170oti,pit,ArchDr00,targets,1,,,,,
player,201411170oti,pit,ArchDr00,rec,1,,,,,
player,201411170oti,pit,ArchDr00,rec_yds,-5,,,,,
player,201411170oti,pit,ArchDr00,rec_td,0,,,,,
player,201411170oti,pit,ArchDr00,rec_long,-5,,,,,
player,201411170oti,pit,ArchDr00,fumbles,0,,,,,
player,201411170oti,pit,ArchDr00,fumbles_lost,0,,,,,
player,201411170oti,oti,MettZa00,pass_cmp,15,,,,,
player,201411170oti,oti,MettZa00,pass_att,24,,,,,
player,201411170oti,oti,MettZa00,pass_yds,263,,,,,
player,201411170oti,oti,MettZa00,pass_td,2,,,,,
player,201411170oti,oti,MettZa00,pass_int,1,,,,,
player,201411170oti,oti,MettZa00,pass_sacked,0,,,,,
player,201411170oti,oti,MettZa00,pass_sacked_yds,0,,,,,
player,201411170oti,oti,MettZa00,pass_long,80,,,,,
player,201411170oti,oti,MettZa00,pass_rating,110.2,,,,,
player,201411170oti,oti,MettZa00,rush_att,0,,,,,
player,201411170oti,oti,MettZa00,rush_yds,0,,,,,
player,201411170oti,oti,MettZa00,rush_td,0,,,,,
player,201411170oti,oti,MettZa00,rush_long,0,,,,,
player,201411170oti,oti,MettZa00,targets,0,,,,,
player,201411170oti,oti,MettZa00,rec,0,,,,,
player,201411170oti,oti,MettZa00,rec_yds,0,,,,,
player,201411170oti,oti,MettZa00,rec_td,0,,,,,
player,201411170oti,oti,MettZa00,rec_long,0,,,,,
player,201411170oti,oti,MettZa00,fumbles,0,,,,,
player,201411170oti,oti,MettZa00,fumbles_lost,0,,,,,
player,201411170oti,oti,SankBi00,pass_cmp,0,,,,,
player,201411170oti,oti,SankBi00,pass_att,0,,,,,
player,201411170oti,oti,SankBi00,pass_yds,0,,,,,
player,201411170oti,oti,SankBi00,pass_td,0,,,,,
player,201411170oti,oti,SankBi00,pass_int,0,,,,,
player,201411170oti,oti,SankBi00,pass_sacked,0,,,,,
player,201411170oti,oti,SankBi00,pass_sacked_yds,0,,,,,
player,201411170oti,oti,SankBi00,pass_long,0,,,,,
player,201411170oti,oti,SankBi00,pass_rating,,,,,,
player,201411170oti,oti,SankBi00,rush_att,11,,,,,
player,201411170oti,oti,SankBi00,rush_yds,38,,,,,
player,201411170oti,oti,SankBi00,rush_td,1,,,,,
player,201411170oti,oti,SankBi00,rush_long,9,,,,,
player,201411170oti,oti,SankBi00,targets,1,,,,,
player,201411170oti,oti,SankBi00,rec,1,,,,,
player,201411170oti,oti,SankBi00,rec_yds,7,,,,,
player,201411170oti,oti,SankBi00,rec_td,0,,,,,
player,201411170oti,oti,SankBi00,rec_long,7,,,,,
player,201411170oti,oti,SankBi00,fumbles,0,,,,,
player,201411170oti,oti,SankBi00,fumbles_lost,0,,,,,
player,201411170oti,oti,GreeSh00,pass_cmp,0,,,,,
player,201411170oti,oti,GreeSh00,pass_att,0,,,,,
player,201411170oti,oti,GreeSh00,pass_yds,0,,,,,
player,201411170oti,oti,GreeSh00,pass_td,0,,,,,
player,201411170oti,oti,GreeSh00,pass_int,0,,,,,
player,201411170oti,oti,GreeSh00,pass_sacked,0,,,,,
player,201411170oti,oti,GreeSh00,pass_sacked_yds,0,,,,,
player,201411170oti,oti,GreeSh00,pass_long,0,,,,,
player,201411170oti,oti,GreeSh00,pass_rating,,,,,,
player,201411170oti,oti,GreeSh00,rush_att,3,,,,,
player,201411170oti,oti,GreeSh00,rush_yds,6,,,,,
player,201411170oti,oti,GreeSh00,rush_td,0,,,,,
player,201411170oti,oti,GreeSh00,rush_long,3,,,,,
player,201411170oti,oti,GreeSh00,targets,0,,,,,
player,201411170oti,oti,GreeSh00,rec,0,,,,,
player,201411170oti,oti,GreeSh00,rec_yds,0,,,,,
player,201411170oti,oti,GreeSh00,rec_td,0,,,,,
player,201411170oti,oti,GreeSh00,rec_long,0,,,,,
player,201411170oti,oti,GreeSh00,fumbles,0,,,,,
player,201411170oti,oti,GreeSh00,fumbles_lost,0,,,,,
player,201411170oti,oti,McClDe00,pass_cmp,0,,,,,
player,201411170oti,oti,McClDe00,pass_att,0,,,,,
player,201411170oti,oti,McClDe00,pass_yds,0,,,,,
player,201411170oti,oti,McClDe00,pass_td,0,,,,,
player,201411170oti,oti,McClDe00,pass_int,0,,,,,
player,201411170oti,oti,McClDe00,pass_sacked,0,,,,,
player,201411170oti,oti,McClDe00,pass_sacked_yds,0,,,,,
player,201411170oti,oti,McClDe00,pass_long,0,,,,,
player,201411170oti,oti,McClDe00,pass_rating,,,,,,
player,201411170oti,oti,McClDe00,rush_att,1,,,,,
player,201411170oti,oti,McClDe00,rush_yds,5,,,,,
player,201411170oti,oti,McClDe00,rush_td,0,,,,,
player,201411170oti,oti,McClDe00,rush_long,5,,,,,
player,201411170oti,oti,McClDe00,targets,2,,,,,
player,201411170oti,oti,McClDe00,rec,1,,,,,
player,201411170oti,oti,McClDe00,rec_yds,17,,,,,
player,201411170oti,oti,McClDe00,rec_td,0,,,,,
player,201411170oti,oti,McClDe00,rec_long,17,,,,,
player,201411170oti,oti,McClDe00,fumbles,0,,,,,
player,201411170oti,oti,McClDe00,fumbles_lost,0,,,,,
player,201411170oti,oti,WashNa00,pass_cmp,0,,,,,
player,201411170oti,oti,WashNa00,pass_att,0,,,,,
player,201411170oti,oti,WashNa00,pass_yds,0,,,,,
player,201411170oti,oti,WashNa00,pass_td,0,,,,,
player,201411170oti,oti,WashNa00,pass_int,0,,,,,
player,201411170oti,oti,WashNa00,pass_sacked,0,,,,,
player,201411170oti,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201411170oti,oti,WashNa00,pass_long,0,,,,,
player,201411170oti,oti,WashNa00,pass_rating,,,,,,
player,201411170oti,oti,WashNa00,rush_att,0,,,,,
player,201411170oti,oti,WashNa00,rush_yds,0,,,,,
player,201411170oti,oti,WashNa00,rush_td,0,,,,,
player,201411170oti,oti,WashNa00,rush_long,0,,,,,
player,201411170oti,oti,WashNa00,targets,2,,,,,
player,201411170oti,oti,WashNa00,rec,1,,,,,
player,201411170oti,oti,WashNa00,rec_yds,80,,,,,
player,201411170oti,oti,WashNa00,rec_td,1,,,,,
player,201411170oti,oti,WashNa00,rec_long,80,,,,,
player,201411170oti,oti,WashNa00,fumbles,0,,,,,
player,201411170oti,oti,WashNa00,fumbles_lost,0,,,,,
player,201411170oti,oti,WrigKe01,pass_cmp,0,,,,,
player,201411170oti,oti,WrigKe01,pass_att,0,,,,,
player,201411170oti,oti,WrigKe01,pass_yds,0,,,,,
player,201411170oti,oti,WrigKe01,pass_td,0,,,,,
player,201411170oti,oti,WrigKe01,pass_int,0,,,,,
player,201411170oti,oti,WrigKe01,pass_sacked,0,,,,,
player,201411170oti,oti,WrigKe01,pass_sacked_yds,0,,,,,
player,201411170oti,oti,WrigKe01,pass_long,0,,,,,
player,201411170oti,oti,WrigKe01,pass_rating,,,,,,
player,201411170oti,oti,WrigKe01,rush_att,0,,,,,
player,201411170oti,oti,WrigKe01,rush_yds,0,,,,,
player,201411170oti,oti,WrigKe01,rush_td,0,,,,,
player,201411170oti,oti,WrigKe01,rush_long,0,,,,,
player,201411170oti,oti,WrigKe01,targets,8,,,,,
player,201411170oti,oti,WrigKe01,rec,4,,,,,
player,201411170oti,oti,WrigKe01,rec_yds,70,,,,,
player,201411170oti,oti,WrigKe01,rec_td,0,,,,,
player,201411170oti,oti,WrigKe01,rec_long,23,,,,,
player,201411170oti,oti,WrigKe01,fumbles,0,,,,,
player,201411170oti,oti,WrigKe01,fumbles_lost,0,,,,,
player,201411170oti,oti,HuntJu00,pass_cmp,0,,,,,
player,201411170oti,oti,HuntJu00,pass_att,0,,,,,
player,201411170oti,oti,HuntJu00,pass_yds,0,,,,,
player,201411170oti,oti,HuntJu00,pass_td,0,,,,,
player,201411170oti,oti,HuntJu00,pass_int,0,,,,,
player,201411170oti,oti,HuntJu00,pass_sacked,0,,,,,
player,201411170oti,oti,HuntJu00,pass_sacked_yds,0,,,,,
player,201411170oti,oti,HuntJu00,pass_long,0,,,,,
player,201411170oti,oti,HuntJu00,pass_rating,,,,,,
player,201411170oti,oti,HuntJu00,rush_att,0,,,,,
player,201411170oti,oti,HuntJu00,rush_yds,0,,,,,
player,201411170oti,oti,HuntJu00,rush_td,0,,,,,
player,201411170oti,oti,HuntJu00,rush_long,0,,,,,
player,201411170oti,oti,HuntJu00,targets,4,,,,,
player,201411170oti,oti,HuntJu00,rec,2,,,,,
player,201411170oti,oti,HuntJu00,rec_yds,48,,,,,
player,201411170oti,oti,HuntJu00,rec_td,0,,,,,
player,201411170oti,oti,HuntJu00,rec_long,36,,,,,
player,201411170oti,oti,HuntJu00,fumbles,0,,,,,
player,201411170oti,oti,HuntJu00,fumbles_lost,0,,,,,
player,201411170oti,oti,CoffCh00,pass_cmp,0,,,,,
player,201411170oti,oti,CoffCh00,pass_att,0,,,,,
player,201411170oti,oti,CoffCh00,pass_yds,0,,,,,
player,201411170oti,oti,CoffCh00,pass_td,0,,,,,
player,201411170oti,oti,CoffCh00,pass_int,0,,,,,
player,201411170oti,oti,CoffCh00,pass_sacked,0,,,,,
player,201411170oti,oti,CoffCh00,pass_sacked_yds,0,,,,,
player,201411170oti,oti,CoffCh00,pass_long,0,,,,,
player,201411170oti,oti,CoffCh00,pass_rating,,,,,,
player,201411170oti,oti,CoffCh00,rush_att,0,,,,,
player,201411170oti,oti,CoffCh00,rush_yds,0,,,,,
player,201411170oti,oti,CoffCh00,rush_td,0,,,,,
player,201411170oti,oti,CoffCh00,rush_long,0,,,,,
player,201411170oti,oti,CoffCh00,targets,4,,,,,
player,201411170oti,oti,CoffCh00,rec,3,,,,,
player,201411170oti,oti,CoffCh00,rec_yds,32,,,,,
player,201411170oti,oti,CoffCh00,rec_td,1,,,,,
player,201411170oti,oti,CoffCh00,rec_long,18,,,,,
player,201411170oti,oti,CoffCh00,fumbles,0,,,,,
player,201411170oti,oti,CoffCh00,fumbles_lost,0,,,,,
player,201411170oti,oti,HagaDe00,pass_cmp,0,,,,,
player,201411170oti,oti,HagaDe00,pass_att,0,,,,,
player,201411170oti,oti,HagaDe00,pass_yds,0,,,,,
player,201411170oti,oti,HagaDe00,pass_td,0,,,,,
player,201411170oti,oti,HagaDe00,pass_int,0,,,,,
player,201411170oti,oti,HagaDe00,pass_sacked,0,,,,,
player,201411170oti,oti,HagaDe00,pass_sacked_yds,0,,,,,
player,201411170oti,oti,HagaDe00,pass_long,0,,,,,
player,201411170oti,oti,HagaDe00,pass_rating,,,,,,
player,201411170oti,oti,HagaDe00,rush_att,0,,,,,
player,201411170oti,oti,HagaDe00,rush_yds,0,,,,,
player,201411170oti,oti,HagaDe00,rush_td,0,,,,,
player,201411170oti,oti,HagaDe00,rush_long,0,,,,,
player,201411170oti,oti,HagaDe00,targets,1,,,,,
player,201411170oti,oti,HagaDe00,rec,1,,,,,
player,201411170oti,oti,HagaDe00,rec_yds,5,,,,,
player,201411170oti,oti,HagaDe00,rec_td,0,,,,,
player,201411170oti,oti,HagaDe00,rec_long,5,,,,,
player,201411170oti,oti,HagaDe00,fumbles,0,,,,,
player,201411170oti,oti,HagaDe00,fumbles_lost,0,,,,,
player,201411170oti,oti,BattJa00,pass_cmp,0,,,,,
player,201411170oti,oti,BattJa00,pass_att,0,,,,,
