game,2014,1,20140907,201409070htx,was,"Washington Redskins",6,htx,"Houston Texans",17
team,201409070htx,was,First Downs,20,,,,,,
team,201409070htx,htx,First Downs,16,,,,,,
team,201409070htx,was,Rush-Yds-TDs,23-131-1,,,,,,
team,201409070htx,htx,Rush-Yds-TDs,34-115-0,,,,,,
team,201409070htx,was,Cmp-Att-Yd-TD-INT,29-37-267-0-0,,,,,,
team,201409070htx,htx,Cmp-Att-Yd-TD-INT,14-22-206-1-0,,,,,,
team,201409070htx,was,Sacked-Yards,3-26,,,,,,
team,201409070htx,htx,Sacked-Yards,0-0,,,,,,
team,201409070htx,was,Net Pass Yards,241,,,,,,
team,201409070htx,htx,Net Pass Yards,206,,,,,,
team,201409070htx,was,Total Yards,372,,,,,,
team,201409070htx,htx,Total Yards,321,,,,,,
team,201409070htx,was,Fumbles-Lost,3-2,,,,,,
team,201409070htx,htx,Fumbles-Lost,2-1,,,,,,
team,201409070htx,was,Turnovers,2,,,,,,
team,201409070htx,htx,Turnovers,1,,,,,,
team,201409070htx,was,Penalties-Yards,7-71,,,,,,
team,201409070htx,htx,Penalties-Yards,6-45,,,,,,
team,201409070htx,was,Third Down Conv.,3-12,,,,,,
team,201409070htx,htx,Third Down Conv.,7-14,,,,,,
team,201409070htx,was,Fourth Down Conv.,0-1,,,,,,
team,201409070htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201409070htx,was,Time of Possession,30:54,,,,,,
team,201409070htx,htx,Time of Possession,29:06,,,,,,
player,201409070htx,was,GrifRo01,pass_cmp,29,,,,,
player,201409070htx,was,GrifRo01,pass_att,37,,,,,
player,201409070htx,was,GrifRo01,pass_yds,267,,,,,
player,201409070htx,was,GrifRo01,pass_td,0,,,,,
player,201409070htx,was,GrifRo01,pass_int,0,,,,,
player,201409070htx,was,GrifRo01,pass_sacked,3,,,,,
player,201409070htx,was,GrifRo01,pass_sacked_yds,26,,,,,
player,201409070htx,was,GrifRo01,pass_long,48,,,,,
player,201409070htx,was,GrifRo01,pass_rating,96.7,,,,,
player,201409070htx,was,GrifRo01,rush_att,3,,,,,
player,201409070htx,was,GrifRo01,rush_yds,2,,,,,
player,201409070htx,was,GrifRo01,rush_td,0,,,,,
player,201409070htx,was,GrifRo01,rush_long,1,,,,,
player,201409070htx,was,GrifRo01,targets,0,,,,,
player,201409070htx,was,GrifRo01,rec,0,,,,,
player,201409070htx,was,GrifRo01,rec_yds,0,,,,,
player,201409070htx,was,GrifRo01,rec_td,0,,,,,
player,201409070htx,was,GrifRo01,rec_long,0,,,,,
player,201409070htx,was,GrifRo01,fumbles,2,,,,,
player,201409070htx,was,GrifRo01,fumbles_lost,1,,,,,
player,201409070htx,was,MorrAl00,pass_cmp,0,,,,,
player,201409070htx,was,MorrAl00,pass_att,0,,,,,
player,201409070htx,was,MorrAl00,pass_yds,0,,,,,
player,201409070htx,was,MorrAl00,pass_td,0,,,,,
player,201409070htx,was,MorrAl00,pass_int,0,,,,,
player,201409070htx,was,MorrAl00,pass_sacked,0,,,,,
player,201409070htx,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201409070htx,was,MorrAl00,pass_long,0,,,,,
player,201409070htx,was,MorrAl00,pass_rating,,,,,,
player,201409070htx,was,MorrAl00,rush_att,14,,,,,
player,201409070htx,was,MorrAl00,rush_yds,91,,,,,
player,201409070htx,was,MorrAl00,rush_td,0,,,,,
player,201409070htx,was,MorrAl00,rush_long,21,,,,,
player,201409070htx,was,MorrAl00,targets,0,,,,,
player,201409070htx,was,MorrAl00,rec,0,,,,,
player,201409070htx,was,MorrAl00,rec_yds,0,,,,,
player,201409070htx,was,MorrAl00,rec_td,0,,,,,
player,201409070htx,was,MorrAl00,rec_long,0,,,,,
player,201409070htx,was,MorrAl00,fumbles,0,,,,,
player,201409070htx,was,MorrAl00,fumbles_lost,0,,,,,
player,201409070htx,was,HeluRo00,pass_cmp,0,,,,,
player,201409070htx,was,HeluRo00,pass_att,0,,,,,
player,201409070htx,was,HeluRo00,pass_yds,0,,,,,
player,201409070htx,was,HeluRo00,pass_td,0,,,,,
player,201409070htx,was,HeluRo00,pass_int,0,,,,,
player,201409070htx,was,HeluRo00,pass_sacked,0,,,,,
player,201409070htx,was,HeluRo00,pass_sacked_yds,0,,,,,
player,201409070htx,was,HeluRo00,pass_long,0,,,,,
