game,2014,3,20140921,201409210mia,kan,"Kansas City Chiefs",34,mia,"Miami Dolphins",15
team,201409210mia,kan,First Downs,23,,,,,,
team,201409210mia,mia,First Downs,18,,,,,,
team,201409210mia,kan,Rush-Yds-TDs,41-174-2,,,,,,
team,201409210mia,mia,Rush-Yds-TDs,20-141-0,,,,,,
team,201409210mia,kan,Cmp-Att-Yd-TD-INT,19-25-186-3-0,,,,,,
team,201409210mia,mia,Cmp-Att-Yd-TD-INT,21-43-205-1-0,,,,,,
team,201409210mia,kan,Sacked-Yards,5-18,,,,,,
team,201409210mia,mia,Sacked-Yards,4-14,,,,,,
team,201409210mia,kan,Net Pass Yards,168,,,,,,
team,201409210mia,mia,Net Pass Yards,191,,,,,,
team,201409210mia,kan,Total Yards,342,,,,,,
team,201409210mia,mia,Total Yards,332,,,,,,
team,201409210mia,kan,Fumbles-Lost,4-2,,,,,,
team,201409210mia,mia,Fumbles-Lost,1-0,,,,,,
team,201409210mia,kan,Turnovers,2,,,,,,
team,201409210mia,mia,Turnovers,0,,,,,,
team,201409210mia,kan,Penalties-Yards,4-23,,,,,,
team,201409210mia,mia,Penalties-Yards,6-65,,,,,,
team,201409210mia,kan,Third Down Conv.,9-16,,,,,,
team,201409210mia,mia,Third Down Conv.,4-15,,,,,,
team,201409210mia,kan,Fourth Down Conv.,1-1,,,,,,
team,201409210mia,mia,Fourth Down Conv.,0-2,,,,,,
team,201409210mia,kan,Time of Possession,33:42,,,,,,
team,201409210mia,mia,Time of Possession,26:18,,,,,,
player,201409210mia,kan,SmitAl03,pass_cmp,19,,,,,
player,201409210mia,kan,SmitAl03,pass_att,25,,,,,
player,201409210mia,kan,SmitAl03,pass_yds,186,,,,,
player,201409210mia,kan,SmitAl03,pass_td,3,,,,,
player,201409210mia,kan,SmitAl03,pass_int,0,,,,,
player,201409210mia,kan,SmitAl03,pass_sacked,5,,,,,
player,201409210mia,kan,SmitAl03,pass_sacked_yds,18,,,,,
player,201409210mia,kan,SmitAl03,pass_long,26,,,,,
player,201409210mia,kan,SmitAl03,pass_rating,136.0,,,,,
player,201409210mia,kan,SmitAl03,rush_att,2,,,,,
player,201409210mia,kan,SmitAl03,rush_yds,17,,,,,
player,201409210mia,kan,SmitAl03,rush_td,0,,,,,
player,201409210mia,kan,SmitAl03,rush_long,13,,,,,
player,201409210mia,kan,SmitAl03,targets,0,,,,,
player,201409210mia,kan,SmitAl03,rec,0,,,,,
player,201409210mia,kan,SmitAl03,rec_yds,0,,,,,
player,201409210mia,kan,SmitAl03,rec_td,0,,,,,
player,201409210mia,kan,SmitAl03,rec_long,0,,,,,
player,201409210mia,kan,SmitAl03,fumbles,1,,,,,
player,201409210mia,kan,SmitAl03,fumbles_lost,1,,,,,
player,201409210mia,kan,DaviKn00,pass_cmp,0,,,,,
player,201409210mia,kan,DaviKn00,pass_att,0,,,,,
player,201409210mia,kan,DaviKn00,pass_yds,0,,,,,
player,201409210mia,kan,DaviKn00,pass_td,0,,,,,
player,201409210mia,kan,DaviKn00,pass_int,0,,,,,
player,201409210mia,kan,DaviKn00,pass_sacked,0,,,,,
player,201409210mia,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201409210mia,kan,DaviKn00,pass_long,0,,,,,
player,201409210mia,kan,DaviKn00,pass_rating,,,,,,
player,201409210mia,kan,DaviKn00,rush_att,32,,,,,
player,201409210mia,kan,DaviKn00,rush_yds,132,,,,,
player,201409210mia,kan,DaviKn00,rush_td,1,,,,,
player,201409210mia,kan,DaviKn00,rush_long,21,,,,,
player,201409210mia,kan,DaviKn00,targets,1,,,,,
player,201409210mia,kan,DaviKn00,rec,0,,,,,
player,201409210mia,kan,DaviKn00,rec_yds,0,,,,,
player,201409210mia,kan,DaviKn00,rec_td,0,,,,,
player,201409210mia,kan,DaviKn00,rec_long,0,,,,,
player,201409210mia,kan,DaviKn00,fumbles,2,,,,,
player,201409210mia,kan,DaviKn00,fumbles_lost,1,,,,,
player,201409210mia,kan,GrayCy00,pass_cmp,0,,,,,
player,201409210mia,kan,GrayCy00,pass_att,0,,,,,
player,201409210mia,kan,GrayCy00,pass_yds,0,,,,,
player,201409210mia,kan,GrayCy00,pass_td,0,,,,,
