game,2014,14,20141207,201412070mia,rav,"Baltimore Ravens",28,mia,"Miami Dolphins",13
team,201412070mia,rav,First Downs,26,,,,,,
team,201412070mia,mia,First Downs,16,,,,,,
team,201412070mia,rav,Rush-Yds-TDs,31-183-2,,,,,,
team,201412070mia,mia,Rush-Yds-TDs,16-63-0,,,,,,
team,201412070mia,rav,Cmp-Att-Yd-TD-INT,25-33-269-2-1,,,,,,
team,201412070mia,mia,Cmp-Att-Yd-TD-INT,23-33-227-1-0,,,,,,
team,201412070mia,rav,Sacked-Yards,1-5,,,,,,
team,201412070mia,mia,Sacked-Yards,6-41,,,,,,
team,201412070mia,rav,Net Pass Yards,264,,,,,,
team,201412070mia,mia,Net Pass Yards,186,,,,,,
team,201412070mia,rav,Total Yards,447,,,,,,
team,201412070mia,mia,Total Yards,249,,,,,,
team,201412070mia,rav,Fumbles-Lost,0-0,,,,,,
team,201412070mia,mia,Fumbles-Lost,2-0,,,,,,
team,201412070mia,rav,Turnovers,1,,,,,,
team,201412070mia,mia,Turnovers,0,,,,,,
team,201412070mia,rav,Penalties-Yards,7-36,,,,,,
team,201412070mia,mia,Penalties-Yards,6-30,,,,,,
team,201412070mia,rav,Third Down Conv.,5-12,,,,,,
team,201412070mia,mia,Third Down Conv.,4-12,,,,,,
team,201412070mia,rav,Fourth Down Conv.,1-1,,,,,,
team,201412070mia,mia,Fourth Down Conv.,0-1,,,,,,
team,201412070mia,rav,Time of Possession,30:18,,,,,,
team,201412070mia,mia,Time of Possession,29:42,,,,,,
player,201412070mia,rav,FlacJo00,pass_cmp,25,,,,,
player,201412070mia,rav,FlacJo00,pass_att,33,,,,,
player,201412070mia,rav,FlacJo00,pass_yds,269,,,,,
player,201412070mia,rav,FlacJo00,pass_td,2,,,,,
player,201412070mia,rav,FlacJo00,pass_int,1,,,,,
player,201412070mia,rav,FlacJo00,pass_sacked,1,,,,,
player,201412070mia,rav,FlacJo00,pass_sacked_yds,5,,,,,
player,201412070mia,rav,FlacJo00,pass_long,29,,,,,
player,201412070mia,rav,FlacJo00,pass_rating,106.8,,,,,
player,201412070mia,rav,FlacJo00,rush_att,7,,,,,
