game,2014,7,20141019,201410190rav,atl,"Atlanta Falcons",7,rav,"Baltimore Ravens",29
team,201410190rav,atl,First Downs,16,,,,,,
team,201410190rav,rav,First Downs,23,,,,,,
team,201410190rav,atl,Rush-Yds-TDs,16-68-0,,,,,,
team,201410190rav,rav,Rush-Yds-TDs,36-123-1,,,,,,
team,201410190rav,atl,Cmp-Att-Yd-TD-INT,29-44-228-1-0,,,,,,
team,201410190rav,rav,Cmp-Att-Yd-TD-INT,16-25-258-2-2,,,,,,
team,201410190rav,atl,Sacked-Yards,5-42,,,,,,
team,201410190rav,rav,Sacked-Yards,1-10,,,,,,
team,201410190rav,atl,Net Pass Yards,186,,,,,,
team,201410190rav,rav,Net Pass Yards,248,,,,,,
team,201410190rav,atl,Total Yards,254,,,,,,
team,201410190rav,rav,Total Yards,371,,,,,,
team,201410190rav,atl,Fumbles-Lost,1-1,,,,,,
team,201410190rav,rav,Fumbles-Lost,1-1,,,,,,
team,201410190rav,atl,Turnovers,1,,,,,,
team,201410190rav,rav,Turnovers,3,,,,,,
team,201410190rav,atl,Penalties-Yards,7-76,,,,,,
team,201410190rav,rav,Penalties-Yards,9-72,,,,,,
team,201410190rav,atl,Third Down Conv.,4-15,,,,,,
team,201410190rav,rav,Third Down Conv.,4-11,,,,,,
team,201410190rav,atl,Fourth Down Conv.,1-3,,,,,,
team,201410190rav,rav,Fourth Down Conv.,1-1,,,,,,
team,201410190rav,atl,Time of Possession,26:47,,,,,,
team,201410190rav,rav,Time of Possession,33:13,,,,,,
player,201410190rav,atl,RyanMa00,pass_cmp,29,,,,,
player,201410190rav,atl,RyanMa00,pass_att,44,,,,,
player,201410190rav,atl,RyanMa00,pass_yds,228,,,,,
player,201410190rav,atl,RyanMa00,pass_td,1,,,,,
player,201410190rav,atl,RyanMa00,pass_int,0,,,,,
player,201410190rav,atl,RyanMa00,pass_sacked,5,,,,,
player,201410190rav,atl,RyanMa00,pass_sacked_yds,42,,,,,
player,201410190rav,atl,RyanMa00,pass_long,24,,,,,
player,201410190rav,atl,RyanMa00,pass_rating,86.2,,,,,
player,201410190rav,atl,RyanMa00,rush_att,1,,,,,
player,201410190rav,atl,RyanMa00,rush_yds,7,,,,,
player,201410190rav,atl,RyanMa00,rush_td,0,,,,,
player,201410190rav,atl,RyanMa00,rush_long,7,,,,,
player,201410190rav,atl,RyanMa00,targets,0,,,,,
player,201410190rav,atl,RyanMa00,rec,0,,,,,
player,201410190rav,atl,RyanMa00,rec_yds,0,,,,,
player,201410190rav,atl,RyanMa00,rec_td,0,,,,,
player,201410190rav,atl,RyanMa00,rec_long,0,,,,,
player,201410190rav,atl,RyanMa00,fumbles,1,,,,,
player,201410190rav,atl,RyanMa00,fumbles_lost,1,,,,,
player,201410190rav,atl,JackSt00,pass_cmp,0,,,,,
