game,2014,9,20141102,201411020min,was,"Washington Redskins",26,min,"Minnesota Vikings",29
team,201411020min,was,First Downs,21,,,,,,
team,201411020min,min,First Downs,24,,,,,,
team,201411020min,was,Rush-Yds-TDs,29-122-2,,,,,,
team,201411020min,min,Rush-Yds-TDs,27-100-3,,,,,,
team,201411020min,was,Cmp-Att-Yd-TD-INT,18-28-251-1-1,,,,,,
team,201411020min,min,Cmp-Att-Yd-TD-INT,26-42-268-1-0,,,,,,
team,201411020min,was,Sacked-Yards,5-26,,,,,,
team,201411020min,min,Sacked-Yards,2-16,,,,,,
team,201411020min,was,Net Pass Yards,225,,,,,,
team,201411020min,min,Net Pass Yards,252,,,,,,
team,201411020min,was,Total Yards,347,,,,,,
team,201411020min,min,Total Yards,352,,,,,,
team,201411020min,was,Fumbles-Lost,1-0,,,,,,
team,201411020min,min,Fumbles-Lost,0-0,,,,,,
team,201411020min,was,Turnovers,1,,,,,,
team,201411020min,min,Turnovers,0,,,,,,
team,201411020min,was,Penalties-Yards,6-55,,,,,,
team,201411020min,min,Penalties-Yards,9-60,,,,,,
team,201411020min,was,Third Down Conv.,6-13,,,,,,
team,201411020min,min,Third Down Conv.,8-15,,,,,,
team,201411020min,was,Fourth Down Conv.,0-1,,,,,,
team,201411020min,min,Fourth Down Conv.,0-1,,,,,,
team,201411020min,was,Time of Possession,29:34,,,,,,
team,201411020min,min,Time of Possession,30:26,,,,,,
player,201411020min,was,GrifRo01,pass_cmp,18,,,,,
player,201411020min,was,GrifRo01,pass_att,28,,,,,
player,201411020min,was,GrifRo01,pass_yds,251,,,,,
player,201411020min,was,GrifRo01,pass_td,1,,,,,
player,201411020min,was,GrifRo01,pass_int,1,,,,,
player,201411020min,was,GrifRo01,pass_sacked,5,,,,,
player,201411020min,was,GrifRo01,pass_sacked_yds,26,,,,,
player,201411020min,was,GrifRo01,pass_long,56,,,,,
player,201411020min,was,GrifRo01,pass_rating,90.0,,,,,
player,201411020min,was,GrifRo01,rush_att,7,,,,,
player,201411020min,was,GrifRo01,rush_yds,24,,,,,
player,201411020min,was,GrifRo01,rush_td,0,,,,,
player,201411020min,was,GrifRo01,rush_long,14,,,,,
player,201411020min,was,GrifRo01,targets,0,,,,,
player,201411020min,was,GrifRo01,rec,0,,,,,
player,201411020min,was,GrifRo01,rec_yds,0,,,,,
player,201411020min,was,GrifRo01,rec_td,0,,,,,
player,201411020min,was,GrifRo01,rec_long,0,,,,,
player,201411020min,was,GrifRo01,fumbles,0,,,,,
player,201411020min,was,GrifRo01,fumbles_lost,0,,,,,
player,201411020min,was,MorrAl00,pass_cmp,0,,,,,
player,201411020min,was,MorrAl00,pass_att,0,,,,,
player,201411020min,was,MorrAl00,pass_yds,0,,,,,
player,201411020min,was,MorrAl00,pass_td,0,,,,,
player,201411020min,was,MorrAl00,pass_int,0,,,,,
player,201411020min,was,MorrAl00,pass_sacked,0,,,,,
player,201411020min,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201411020min,was,MorrAl00,pass_long,0,,,,,
player,201411020min,was,MorrAl00,pass_rating,,,,,,
player,201411020min,was,MorrAl00,rush_att,19,,,,,
player,201411020min,was,MorrAl00,rush_yds,92,,,,,
player,201411020min,was,MorrAl00,rush_td,2,,,,,
player,201411020min,was,MorrAl00,rush_long,14,,,,,
player,201411020min,was,MorrAl00,targets,3,,,,,
player,201411020min,was,MorrAl00,rec,2,,,,,
player,201411020min,was,MorrAl00,rec_yds,17,,,,,
player,201411020min,was,MorrAl00,rec_td,0,,,,,
player,201411020min,was,MorrAl00,rec_long,15,,,,,
player,201411020min,was,MorrAl00,fumbles,0,,,,,
player,201411020min,was,MorrAl00,fumbles_lost,0,,,,,
player,201411020min,was,HeluRo00,pass_cmp,0,,,,,
player,201411020min,was,HeluRo00,pass_att,0,,,,,
player,201411020min,was,HeluRo00,pass_yds,0,,,,,
player,201411020min,was,HeluRo00,pass_td,0,,,,,
player,201411020min,was,HeluRo00,pass_int,0,,,,,
player,201411020min,was,HeluRo00,pass_sacked,0,,,,,
player,201411020min,was,HeluRo00,pass_sacked_yds,0,,,,,
player,201411020min,was,HeluRo00,pass_long,0,,,,,
player,201411020min,was,HeluRo00,pass_rating,,,,,,
player,201411020min,was,HeluRo00,rush_att,3,,,,,
player,201411020min,was,HeluRo00,rush_yds,6,,,,,
player,201411020min,was,HeluRo00,rush_td,0,,,,,
player,201411020min,was,HeluRo00,rush_long,5,,,,,
player,201411020min,was,HeluRo00,targets,5,,,,,
player,201411020min,was,HeluRo00,rec,4,,,,,
player,201411020min,was,HeluRo00,rec_yds,46,,,,,
player,201411020min,was,HeluRo00,rec_td,0,,,,,
player,201411020min,was,HeluRo00,rec_long,24,,,,,
player,201411020min,was,HeluRo00,fumbles,0,,,,,
player,201411020min,was,HeluRo00,fumbles_lost,0,,,,,
player,201411020min,was,JackDe00,pass_cmp,0,,,,,
player,201411020min,was,JackDe00,pass_att,0,,,,,
player,201411020min,was,JackDe00,pass_yds,0,,,,,
player,201411020min,was,JackDe00,pass_td,0,,,,,
player,201411020min,was,JackDe00,pass_int,0,,,,,
player,201411020min,was,JackDe00,pass_sacked,0,,,,,
player,201411020min,was,JackDe00,pass_sacked_yds,0,,,,,
player,201411020min,was,JackDe00,pass_long,0,,,,,
player,201411020min,was,JackDe00,pass_rating,,,,,,
player,201411020min,was,JackDe00,rush_att,0,,,,,
player,201411020min,was,JackDe00,rush_yds,0,,,,,
player,201411020min,was,JackDe00,rush_td,0,,,,,
player,201411020min,was,JackDe00,rush_long,0,,,,,
player,201411020min,was,JackDe00,targets,7,,,,,
player,201411020min,was,JackDe00,rec,4,,,,,
player,201411020min,was,JackDe00,rec_yds,120,,,,,
player,201411020min,was,JackDe00,rec_td,1,,,,,
player,201411020min,was,JackDe00,rec_long,56,,,,,
player,201411020min,was,JackDe00,fumbles,0,,,,,
player,201411020min,was,JackDe00,fumbles_lost,0,,,,,
player,201411020min,was,RobeAn00,pass_cmp,0,,,,,
player,201411020min,was,RobeAn00,pass_att,0,,,,,
player,201411020min,was,RobeAn00,pass_yds,0,,,,,
player,201411020min,was,RobeAn00,pass_td,0,,,,,
player,201411020min,was,RobeAn00,pass_int,0,,,,,
player,201411020min,was,RobeAn00,pass_sacked,0,,,,,
player,201411020min,was,RobeAn00,pass_sacked_yds,0,,,,,
player,201411020min,was,RobeAn00,pass_long,0,,,,,
player,201411020min,was,RobeAn00,pass_rating,,,,,,
player,201411020min,was,RobeAn00,rush_att,0,,,,,
player,201411020min,was,RobeAn00,rush_yds,0,,,,,
player,201411020min,was,RobeAn00,rush_td,0,,,,,
player,201411020min,was,RobeAn00,rush_long,0,,,,,
player,201411020min,was,RobeAn00,targets,5,,,,,
player,201411020min,was,RobeAn00,rec,2,,,,,
player,201411020min,was,RobeAn00,rec_yds,18,,,,,
player,201411020min,was,RobeAn00,rec_td,0,,,,,
player,201411020min,was,RobeAn00,rec_long,9,,,,,
player,201411020min,was,RobeAn00,fumbles,1,,,,,
player,201411020min,was,RobeAn00,fumbles_lost,0,,,,,
player,201411020min,was,PaulNi00,pass_cmp,0,,,,,
player,201411020min,was,PaulNi00,pass_att,0,,,,,
player,201411020min,was,PaulNi00,pass_yds,0,,,,,
player,201411020min,was,PaulNi00,pass_td,0,,,,,
player,201411020min,was,PaulNi00,pass_int,0,,,,,
player,201411020min,was,PaulNi00,pass_sacked,0,,,,,
player,201411020min,was,PaulNi00,pass_sacked_yds,0,,,,,
player,201411020min,was,PaulNi00,pass_long,0,,,,,
player,201411020min,was,PaulNi00,pass_rating,,,,,,
player,201411020min,was,PaulNi00,rush_att,0,,,,,
player,201411020min,was,PaulNi00,rush_yds,0,,,,,
player,201411020min,was,PaulNi00,rush_td,0,,,,,
player,201411020min,was,PaulNi00,rush_long,0,,,,,
player,201411020min,was,PaulNi00,targets,2,,,,,
player,201411020min,was,PaulNi00,rec,2,,,,,
player,201411020min,was,PaulNi00,rec_yds,18,,,,,
player,201411020min,was,PaulNi00,rec_td,0,,,,,
player,201411020min,was,PaulNi00,rec_long,14,,,,,
