game,2014,17,20141228,201412280sea,ram,"St. Louis Rams",6,sea,"Seattle Seahawks",20
player,201412280sea,ram,StacZa00,pass_sacked_yds,0,,,,,
player,201412280sea,ram,StacZa00,pass_long,0,,,,,
player,201412280sea,ram,StacZa00,pass_rating,,,,,,
player,201412280sea,ram,StacZa00,rush_att,2,,,,,
player,201412280sea,ram,StacZa00,rush_yds,3,,,,,
player,201412280sea,ram,StacZa00,rush_td,0,,,,,
player,201412280sea,ram,StacZa00,rush_long,4,,,,,
player,201412280sea,ram,StacZa00,targets,3,,,,,
player,201412280sea,ram,StacZa00,rec,3,,,,,
player,201412280sea,ram,StacZa00,rec_yds,17,,,,,
player,201412280sea,ram,StacZa00,rec_td,0,,,,,
player,201412280sea,ram,StacZa00,rec_long,6,,,,,
player,201412280sea,ram,StacZa00,fumbles,0,,,,,
player,201412280sea,ram,StacZa00,fumbles_lost,0,,,,,
player,201412280sea,ram,AustTa00,pass_cmp,0,,,,,
player,201412280sea,ram,AustTa00,pass_att,0,,,,,
player,201412280sea,ram,AustTa00,pass_yds,0,,,,,
player,201412280sea,ram,AustTa00,pass_td,0,,,,,
player,201412280sea,ram,AustTa00,pass_int,0,,,,,
player,201412280sea,ram,AustTa00,pass_sacked,0,,,,,
player,201412280sea,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201412280sea,ram,AustTa00,pass_long,0,,,,,
player,201412280sea,ram,AustTa00,pass_rating,,,,,,
player,201412280sea,ram,AustTa00,rush_att,2,,,,,
player,201412280sea,ram,AustTa00,rush_yds,1,,,,,
player,201412280sea,ram,AustTa00,rush_td,0,,,,,
player,201412280sea,ram,AustTa00,rush_long,2,,,,,
player,201412280sea,ram,AustTa00,targets,2,,,,,
player,201412280sea,ram,AustTa00,rec,2,,,,,
player,201412280sea,ram,AustTa00,rec_yds,13,,,,,
player,201412280sea,ram,AustTa00,rec_td,0,,,,,
player,201412280sea,ram,AustTa00,rec_long,7,,,,,
player,201412280sea,ram,AustTa00,fumbles,0,,,,,
player,201412280sea,ram,AustTa00,fumbles_lost,0,,,,,
player,201412280sea,ram,BritKe00,pass_cmp,0,,,,,
player,201412280sea,ram,BritKe00,pass_att,0,,,,,
player,201412280sea,ram,BritKe00,pass_yds,0,,,,,
player,201412280sea,ram,BritKe00,pass_td,0,,,,,
player,201412280sea,ram,BritKe00,pass_int,0,,,,,
player,201412280sea,ram,BritKe00,pass_sacked,0,,,,,
player,201412280sea,ram,BritKe00,pass_sacked_yds,0,,,,,
player,201412280sea,ram,BritKe00,pass_long,0,,,,,
player,201412280sea,ram,BritKe00,pass_rating,,,,,,
player,201412280sea,ram,BritKe00,rush_att,0,,,,,
player,201412280sea,ram,BritKe00,rush_yds,0,,,,,
player,201412280sea,ram,BritKe00,rush_td,0,,,,,
player,201412280sea,ram,BritKe00,rush_long,0,,,,,
player,201412280sea,ram,BritKe00,targets,5,,,,,
player,201412280sea,ram,BritKe00,rec,4,,,,,
player,201412280sea,ram,BritKe00,rec_yds,38,,,,,
player,201412280sea,ram,BritKe00,rec_td,0,,,,,
player,201412280sea,ram,BritKe00,rec_long,12,,,,,
player,201412280sea,ram,BritKe00,fumbles,0,,,,,
player,201412280sea,ram,BritKe00,fumbles_lost,0,,,,,
player,201412280sea,ram,CookJa02,pass_cmp,0,,,,,
player,201412280sea,ram,CookJa02,pass_att,0,,,,,
player,201412280sea,ram,CookJa02,pass_yds,0,,,,,
player,201412280sea,ram,CookJa02,pass_td,0,,,,,
player,201412280sea,ram,CookJa02,pass_int,0,,,,,
player,201412280sea,ram,CookJa02,pass_sacked,0,,,,,
player,201412280sea,ram,CookJa02,pass_sacked_yds,0,,,,,
player,201412280sea,ram,CookJa02,pass_long,0,,,,,
player,201412280sea,ram,CookJa02,pass_rating,,,,,,
player,201412280sea,ram,CookJa02,rush_att,0,,,,,
player,201412280sea,ram,CookJa02,rush_yds,0,,,,,
player,201412280sea,ram,CookJa02,rush_td,0,,,,,
player,201412280sea,ram,CookJa02,rush_long,0,,,,,
player,201412280sea,ram,CookJa02,targets,7,,,,,
player,201412280sea,ram,CookJa02,rec,3,,,,,
player,201412280sea,ram,CookJa02,rec_yds,37,,,,,
player,201412280sea,ram,CookJa02,rec_td,0,,,,,
player,201412280sea,ram,CookJa02,rec_long,20,,,,,
player,201412280sea,ram,CookJa02,fumbles,0,,,,,
player,201412280sea,ram,CookJa02,fumbles_lost,0,,,,,
player,201412280sea,ram,GiveCh00,pass_cmp,0,,,,,
player,201412280sea,ram,GiveCh00,pass_att,0,,,,,
player,201412280sea,ram,GiveCh00,pass_yds,0,,,,,
player,201412280sea,ram,GiveCh00,pass_td,0,,,,,
player,201412280sea,ram,GiveCh00,pass_int,0,,,,,
player,201412280sea,ram,GiveCh00,pass_sacked,0,,,,,
player,201412280sea,ram,GiveCh00,pass_sacked_yds,0,,,,,
player,201412280sea,ram,GiveCh00,pass_long,0,,,,,
player,201412280sea,ram,GiveCh00,pass_rating,,,,,,
player,201412280sea,ram,GiveCh00,rush_att,0,,,,,
player,201412280sea,ram,GiveCh00,rush_yds,0,,,,,
player,201412280sea,ram,GiveCh00,rush_td,0,,,,,
player,201412280sea,ram,GiveCh00,rush_long,0,,,,,
player,201412280sea,ram,GiveCh00,targets,2,,,,,
player,201412280sea,ram,GiveCh00,rec,2,,,,,
player,201412280sea,ram,GiveCh00,rec_yds,18,,,,,
player,201412280sea,ram,GiveCh00,rec_td,0,,,,,
player,201412280sea,ram,GiveCh00,rec_long,12,,,,,
player,201412280sea,ram,GiveCh00,fumbles,0,,,,,
player,201412280sea,ram,GiveCh00,fumbles_lost,0,,,,,
player,201412280sea,ram,BailSt01,pass_cmp,0,,,,,
player,201412280sea,ram,BailSt01,pass_att,0,,,,,
player,201412280sea,ram,BailSt01,pass_yds,0,,,,,
player,201412280sea,ram,BailSt01,pass_td,0,,,,,
player,201412280sea,ram,BailSt01,pass_int,0,,,,,
player,201412280sea,ram,BailSt01,pass_sacked,0,,,,,
player,201412280sea,ram,BailSt01,pass_sacked_yds,0,,,,,
player,201412280sea,ram,BailSt01,pass_long,0,,,,,
player,201412280sea,ram,BailSt01,pass_rating,,,,,,
player,201412280sea,ram,BailSt01,rush_att,0,,,,,
player,201412280sea,ram,BailSt01,rush_yds,0,,,,,
player,201412280sea,ram,BailSt01,rush_td,0,,,,,
player,201412280sea,ram,BailSt01,rush_long,0,,,,,
player,201412280sea,ram,BailSt01,targets,2,,,,,
player,201412280sea,ram,BailSt01,rec,1,,,,,
player,201412280sea,ram,BailSt01,rec_yds,17,,,,,
player,201412280sea,ram,BailSt01,rec_td,0,,,,,
player,201412280sea,ram,BailSt01,rec_long,17,,,,,
player,201412280sea,ram,BailSt01,fumbles,0,,,,,
player,201412280sea,ram,BailSt01,fumbles_lost,0,,,,,
player,201412280sea,ram,KendLa00,pass_cmp,0,,,,,
player,201412280sea,ram,KendLa00,pass_att,0,,,,,
player,201412280sea,ram,KendLa00,pass_yds,0,,,,,
player,201412280sea,ram,KendLa00,pass_td,0,,,,,
player,201412280sea,ram,KendLa00,pass_int,0,,,,,
player,201412280sea,ram,KendLa00,pass_sacked,0,,,,,
