game,2014,2,20140914,201409140sfo,chi,"Chicago Bears",28,sfo,"San Francisco 49ers",20
team,201409140sfo,chi,First Downs,19,,,,,,
team,201409140sfo,sfo,First Downs,19,,,,,,
team,201409140sfo,chi,Rush-Yds-TDs,17-46-0,,,,,,
team,201409140sfo,sfo,Rush-Yds-TDs,27-127-1,,,,,,
team,201409140sfo,chi,Cmp-Att-Yd-TD-INT,23-34-176-4-0,,,,,,
team,201409140sfo,sfo,Cmp-Att-Yd-TD-INT,21-34-248-1-3,,,,,,
team,201409140sfo,chi,Sacked-Yards,1-6,,,,,,
team,201409140sfo,sfo,Sacked-Yards,4-16,,,,,,
team,201409140sfo,chi,Net Pass Yards,170,,,,,,
team,201409140sfo,sfo,Net Pass Yards,232,,,,,,
team,201409140sfo,chi,Total Yards,216,,,,,,
team,201409140sfo,sfo,Total Yards,359,,,,,,
team,201409140sfo,chi,Fumbles-Lost,1-0,,,,,,
team,201409140sfo,sfo,Fumbles-Lost,2-1,,,,,,
team,201409140sfo,chi,Turnovers,0,,,,,,
team,201409140sfo,sfo,Turnovers,4,,,,,,
team,201409140sfo,chi,Penalties-Yards,10-58,,,,,,
team,201409140sfo,sfo,Penalties-Yards,16-118,,,,,,
team,201409140sfo,chi,Third Down Conv.,3-9,,,,,,
team,201409140sfo,sfo,Third Down Conv.,7-13,,,,,,
team,201409140sfo,chi,Fourth Down Conv.,0-0,,,,,,
team,201409140sfo,sfo,Fourth Down Conv.,1-2,,,,,,
team,201409140sfo,chi,Time of Possession,26:09,,,,,,
team,201409140sfo,sfo,Time of Possession,33:51,,,,,,
player,201409140sfo,chi,CutlJa00,pass_cmp,23,,,,,
player,201409140sfo,chi,CutlJa00,pass_att,34,,,,,
player,201409140sfo,chi,CutlJa00,pass_yds,176,,,,,
player,201409140sfo,chi,CutlJa00,pass_td,4,,,,,
player,201409140sfo,chi,CutlJa00,pass_int,0,,,,,
player,201409140sfo,chi,CutlJa00,pass_sacked,1,,,,,
player,201409140sfo,chi,CutlJa00,pass_sacked_yds,6,,,,,
player,201409140sfo,chi,CutlJa00,pass_long,29,,,,,
player,201409140sfo,chi,CutlJa00,pass_rating,119.2,,,,,
player,201409140sfo,chi,CutlJa00,rush_att,5,,,,,
player,201409140sfo,chi,CutlJa00,rush_yds,25,,,,,
player,201409140sfo,chi,CutlJa00,rush_td,0,,,,,
player,201409140sfo,chi,CutlJa00,rush_long,25,,,,,
player,201409140sfo,chi,CutlJa00,targets,0,,,,,
player,201409140sfo,chi,CutlJa00,rec,0,,,,,
player,201409140sfo,chi,CutlJa00,rec_yds,0,,,,,
player,201409140sfo,chi,CutlJa00,rec_td,0,,,,,
player,201409140sfo,chi,CutlJa00,rec_long,0,,,,,
player,201409140sfo,chi,CutlJa00,fumbles,1,,,,,
player,201409140sfo,chi,CutlJa00,fumbles_lost,0,,,,,
player,201409140sfo,chi,FortMa00,pass_cmp,0,,,,,
player,201409140sfo,chi,FortMa00,pass_att,0,,,,,
player,201409140sfo,chi,FortMa00,pass_yds,0,,,,,
player,201409140sfo,chi,FortMa00,pass_td,0,,,,,
player,201409140sfo,chi,FortMa00,pass_int,0,,,,,
player,201409140sfo,chi,FortMa00,pass_sacked,0,,,,,
player,201409140sfo,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201409140sfo,chi,FortMa00,pass_long,0,,,,,
player,201409140sfo,chi,FortMa00,pass_rating,,,,,,
player,201409140sfo,chi,FortMa00,rush_att,12,,,,,
player,201409140sfo,chi,FortMa00,rush_yds,21,,,,,
