game,2014,12,20141123,201411230sfo,was,"Washington Redskins",13,sfo,"San Francisco 49ers",17
player,201411230sfo,was,PaulNi00,rec_yds,11,,,,,
player,201411230sfo,was,PaulNi00,rec_td,0,,,,,
player,201411230sfo,was,PaulNi00,rec_long,11,,,,,
player,201411230sfo,was,PaulNi00,fumbles,0,,,,,
player,201411230sfo,was,PaulNi00,fumbles_lost,0,,,,,
player,201411230sfo,was,HeluRo00,pass_cmp,0,,,,,
player,201411230sfo,was,HeluRo00,pass_att,0,,,,,
player,201411230sfo,was,HeluRo00,pass_yds,0,,,,,
player,201411230sfo,was,HeluRo00,pass_td,0,,,,,
player,201411230sfo,was,HeluRo00,pass_int,0,,,,,
player,201411230sfo,was,HeluRo00,pass_sacked,0,,,,,
player,201411230sfo,was,HeluRo00,pass_sacked_yds,0,,,,,
player,201411230sfo,was,HeluRo00,pass_long,0,,,,,
player,201411230sfo,was,HeluRo00,pass_rating,,,,,,
player,201411230sfo,was,HeluRo00,rush_att,0,,,,,
player,201411230sfo,was,HeluRo00,rush_yds,0,,,,,
player,201411230sfo,was,HeluRo00,rush_td,0,,,,,
player,201411230sfo,was,HeluRo00,rush_long,0,,,,,
player,201411230sfo,was,HeluRo00,targets,2,,,,,
player,201411230sfo,was,HeluRo00,rec,2,,,,,
player,201411230sfo,was,HeluRo00,rec_yds,9,,,,,
player,201411230sfo,was,HeluRo00,rec_td,0,,,,,
player,201411230sfo,was,HeluRo00,rec_long,7,,,,,
player,201411230sfo,was,HeluRo00,fumbles,0,,,,,
player,201411230sfo,was,HeluRo00,fumbles_lost,0,,,,,
player,201411230sfo,was,RobeAn00,pass_cmp,0,,,,,
player,201411230sfo,was,RobeAn00,pass_att,0,,,,,
player,201411230sfo,was,RobeAn00,pass_yds,0,,,,,
player,201411230sfo,was,RobeAn00,pass_td,0,,,,,
player,201411230sfo,was,RobeAn00,pass_int,0,,,,,
player,201411230sfo,was,RobeAn00,pass_sacked,0,,,,,
player,201411230sfo,was,RobeAn00,pass_sacked_yds,0,,,,,
player,201411230sfo,was,RobeAn00,pass_long,0,,,,,
player,201411230sfo,was,RobeAn00,pass_rating,,,,,,
player,201411230sfo,was,RobeAn00,rush_att,0,,,,,
player,201411230sfo,was,RobeAn00,rush_yds,0,,,,,
player,201411230sfo,was,RobeAn00,rush_td,0,,,,,
player,201411230sfo,was,RobeAn00,rush_long,0,,,,,
player,201411230sfo,was,RobeAn00,targets,4,,,,,
player,201411230sfo,was,RobeAn00,rec,1,,,,,
player,201411230sfo,was,RobeAn00,rec_yds,7,,,,,
player,201411230sfo,was,RobeAn00,rec_td,0,,,,,
player,201411230sfo,was,RobeAn00,rec_long,7,,,,,
player,201411230sfo,was,RobeAn00,fumbles,0,,,,,
player,201411230sfo,was,RobeAn00,fumbles_lost,0,,,,,
player,201411230sfo,was,PaulLo00,pass_cmp,0,,,,,
player,201411230sfo,was,PaulLo00,pass_att,0,,,,,
player,201411230sfo,was,PaulLo00,pass_yds,0,,,,,
player,201411230sfo,was,PaulLo00,pass_td,0,,,,,
player,201411230sfo,was,PaulLo00,pass_int,0,,,,,
player,201411230sfo,was,PaulLo00,pass_sacked,0,,,,,
player,201411230sfo,was,PaulLo00,pass_sacked_yds,0,,,,,
player,201411230sfo,was,PaulLo00,pass_long,0,,,,,
player,201411230sfo,was,PaulLo00,pass_rating,,,,,,
player,201411230sfo,was,PaulLo00,rush_att,0,,,,,
player,201411230sfo,was,PaulLo00,rush_yds,0,,,,,
player,201411230sfo,was,PaulLo00,rush_td,0,,,,,
player,201411230sfo,was,PaulLo00,rush_long,0,,,,,
player,201411230sfo,was,PaulLo00,targets,1,,,,,
player,201411230sfo,was,PaulLo00,rec,1,,,,,
player,201411230sfo,was,PaulLo00,rec_yds,1,,,,,
player,201411230sfo,was,PaulLo00,rec_td,0,,,,,
player,201411230sfo,was,PaulLo00,rec_long,1,,,,,
player,201411230sfo,was,PaulLo00,fumbles,0,,,,,
player,201411230sfo,was,PaulLo00,fumbles_lost,0,,,,,
player,201411230sfo,was,YounDa01,pass_cmp,0,,,,,
player,201411230sfo,was,YounDa01,pass_att,0,,,,,
