game,2014,6,20141012,201410120atl,chi,"Chicago Bears",27,atl,"Atlanta Falcons",13
team,201410120atl,chi,First Downs,23,,,,,,
team,201410120atl,atl,First Downs,12,,,,,,
team,201410120atl,chi,Rush-Yds-TDs,29-103-2,,,,,,
team,201410120atl,atl,Rush-Yds-TDs,13-42-0,,,,,,
team,201410120atl,chi,Cmp-Att-Yd-TD-INT,26-38-381-1-0,,,,,,
team,201410120atl,atl,Cmp-Att-Yd-TD-INT,19-37-271-1-1,,,,,,
team,201410120atl,chi,Sacked-Yards,2-6,,,,,,
team,201410120atl,atl,Sacked-Yards,4-26,,,,,,
team,201410120atl,chi,Net Pass Yards,375,,,,,,
team,201410120atl,atl,Net Pass Yards,245,,,,,,
team,201410120atl,chi,Total Yards,478,,,,,,
team,201410120atl,atl,Total Yards,287,,,,,,
team,201410120atl,chi,Fumbles-Lost,0-0,,,,,,
team,201410120atl,atl,Fumbles-Lost,1-0,,,,,,
team,201410120atl,chi,Turnovers,0,,,,,,
team,201410120atl,atl,Turnovers,1,,,,,,
team,201410120atl,chi,Penalties-Yards,7-47,,,,,,
team,201410120atl,atl,Penalties-Yards,6-52,,,,,,
team,201410120atl,chi,Third Down Conv.,7-15,,,,,,
team,201410120atl,atl,Third Down Conv.,4-13,,,,,,
team,201410120atl,chi,Fourth Down Conv.,0-0,,,,,,
team,201410120atl,atl,Fourth Down Conv.,0-2,,,,,,
team,201410120atl,chi,Time of Possession,36:15,,,,,,
team,201410120atl,atl,Time of Possession,23:45,,,,,,
player,201410120atl,chi,CutlJa00,pass_cmp,26,,,,,
player,201410120atl,chi,CutlJa00,pass_att,38,,,,,
player,201410120atl,chi,CutlJa00,pass_yds,381,,,,,
player,201410120atl,chi,CutlJa00,pass_td,1,,,,,
player,201410120atl,chi,CutlJa00,pass_int,0,,,,,
player,201410120atl,chi,CutlJa00,pass_sacked,2,,,,,
player,201410120atl,chi,CutlJa00,pass_sacked_yds,6,,,,,
player,201410120atl,chi,CutlJa00,pass_long,74,,,,,
player,201410120atl,chi,CutlJa00,pass_rating,109.6,,,,,
player,201410120atl,chi,CutlJa00,rush_att,6,,,,,
player,201410120atl,chi,CutlJa00,rush_yds,4,,,,,
player,201410120atl,chi,CutlJa00,rush_td,0,,,,,
player,201410120atl,chi,CutlJa00,rush_long,9,,,,,
player,201410120atl,chi,CutlJa00,targets,0,,,,,
player,201410120atl,chi,CutlJa00,rec,0,,,,,
player,201410120atl,chi,CutlJa00,rec_yds,0,,,,,
player,201410120atl,chi,CutlJa00,rec_td,0,,,,,
player,201410120atl,chi,CutlJa00,rec_long,0,,,,,
player,201410120atl,chi,CutlJa00,fumbles,0,,,,,
player,201410120atl,chi,CutlJa00,fumbles_lost,0,,,,,
player,201410120atl,chi,FortMa00,pass_cmp,0,,,,,
player,201410120atl,chi,FortMa00,pass_att,0,,,,,
player,201410120atl,chi,FortMa00,pass_yds,0,,,,,
player,201410120atl,chi,FortMa00,pass_td,0,,,,,
player,201410120atl,chi,FortMa00,pass_int,0,,,,,
player,201410120atl,chi,FortMa00,pass_sacked,0,,,,,
player,201410120atl,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201410120atl,chi,FortMa00,pass_long,0,,,,,
player,201410120atl,chi,FortMa00,pass_rating,,,,,,
player,201410120atl,chi,FortMa00,rush_att,17,,,,,
player,201410120atl,chi,FortMa00,rush_yds,80,,,,,
player,201410120atl,chi,FortMa00,rush_td,2,,,,,
player,201410120atl,chi,FortMa00,rush_long,12,,,,,
player,201410120atl,chi,FortMa00,targets,13,,,,,
