game,2014,14,20141207,201412070crd,kan,"Kansas City Chiefs",14,crd,"Arizona Cardinals",17
team,201412070crd,kan,First Downs,19,,,,,,
team,201412070crd,crd,First Downs,18,,,,,,
team,201412070crd,kan,Rush-Yds-TDs,17-126-1,,,,,,
team,201412070crd,crd,Rush-Yds-TDs,33-141-0,,,,,,
team,201412070crd,kan,Cmp-Att-Yd-TD-INT,26-39-293-1-1,,,,,,
team,201412070crd,crd,Cmp-Att-Yd-TD-INT,15-30-239-1-0,,,,,,
team,201412070crd,kan,Sacked-Yards,5-29,,,,,,
team,201412070crd,crd,Sacked-Yards,2-14,,,,,,
team,201412070crd,kan,Net Pass Yards,264,,,,,,
team,201412070crd,crd,Net Pass Yards,225,,,,,,
team,201412070crd,kan,Total Yards,390,,,,,,
team,201412070crd,crd,Total Yards,366,,,,,,
team,201412070crd,kan,Fumbles-Lost,1-1,,,,,,
team,201412070crd,crd,Fumbles-Lost,1-0,,,,,,
team,201412070crd,kan,Turnovers,2,,,,,,
team,201412070crd,crd,Turnovers,0,,,,,,
team,201412070crd,kan,Penalties-Yards,9-75,,,,,,
team,201412070crd,crd,Penalties-Yards,6-40,,,,,,
team,201412070crd,kan,Third Down Conv.,6-14,,,,,,
team,201412070crd,crd,Third Down Conv.,6-15,,,,,,
team,201412070crd,kan,Fourth Down Conv.,0-2,,,,,,
team,201412070crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201412070crd,kan,Time of Possession,29:59,,,,,,
team,201412070crd,crd,Time of Possession,30:01,,,,,,
player,201412070crd,kan,SmitAl03,pass_cmp,26,,,,,
player,201412070crd,kan,SmitAl03,pass_att,39,,,,,
player,201412070crd,kan,SmitAl03,pass_yds,293,,,,,
player,201412070crd,kan,SmitAl03,pass_td,1,,,,,
player,201412070crd,kan,SmitAl03,pass_int,1,,,,,
player,201412070crd,kan,SmitAl03,pass_sacked,5,,,,,
player,201412070crd,kan,SmitAl03,pass_sacked_yds,29,,,,,
player,201412070crd,kan,SmitAl03,pass_long,41,,,,,
player,201412070crd,kan,SmitAl03,pass_rating,86.8,,,,,
player,201412070crd,kan,SmitAl03,rush_att,4,,,,,
player,201412070crd,kan,SmitAl03,rush_yds,26,,,,,
player,201412070crd,kan,SmitAl03,rush_td,0,,,,,
player,201412070crd,kan,SmitAl03,rush_long,21,,,,,
player,201412070crd,kan,SmitAl03,targets,0,,,,,
player,201412070crd,kan,SmitAl03,rec,0,,,,,
player,201412070crd,kan,SmitAl03,rec_yds,0,,,,,
player,201412070crd,kan,SmitAl03,rec_td,0,,,,,
player,201412070crd,kan,SmitAl03,rec_long,0,,,,,
player,201412070crd,kan,SmitAl03,fumbles,0,,,,,
player,201412070crd,kan,SmitAl03,fumbles_lost,0,,,,,
player,201412070crd,kan,CharJa00,pass_cmp,0,,,,,
player,201412070crd,kan,CharJa00,pass_att,0,,,,,
player,201412070crd,kan,CharJa00,pass_yds,0,,,,,
player,201412070crd,kan,CharJa00,pass_td,0,,,,,
player,201412070crd,kan,CharJa00,pass_int,0,,,,,
player,201412070crd,kan,CharJa00,pass_sacked,0,,,,,
player,201412070crd,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201412070crd,kan,CharJa00,pass_long,0,,,,,
player,201412070crd,kan,CharJa00,pass_rating,,,,,,
player,201412070crd,kan,CharJa00,rush_att,10,,,,,
player,201412070crd,kan,CharJa00,rush_yds,91,,,,,
player,201412070crd,kan,CharJa00,rush_td,1,,,,,
player,201412070crd,kan,CharJa00,rush_long,63,,,,,
player,201412070crd,kan,CharJa00,targets,4,,,,,
player,201412070crd,kan,CharJa00,rec,2,,,,,
player,201412070crd,kan,CharJa00,rec_yds,20,,,,,
player,201412070crd,kan,CharJa00,rec_td,1,,,,,
player,201412070crd,kan,CharJa00,rec_long,18,,,,,
player,201412070crd,kan,CharJa00,fumbles,0,,,,,
player,201412070crd,kan,CharJa00,fumbles_lost,0,,,,,
player,201412070crd,kan,ThomDe05,pass_cmp,0,,,,,
player,201412070crd,kan,ThomDe05,pass_att,0,,,,,
player,201412070crd,kan,ThomDe05,pass_yds,0,,,,,
player,201412070crd,kan,ThomDe05,pass_td,0,,,,,
player,201412070crd,kan,ThomDe05,pass_int,0,,,,,
player,201412070crd,kan,ThomDe05,pass_sacked,0,,,,,
player,201412070crd,kan,ThomDe05,pass_sacked_yds,0,,,,,
player,201412070crd,kan,ThomDe05,pass_long,0,,,,,
player,201412070crd,kan,ThomDe05,pass_rating,,,,,,
player,201412070crd,kan,ThomDe05,rush_att,2,,,,,
player,201412070crd,kan,ThomDe05,rush_yds,5,,,,,
player,201412070crd,kan,ThomDe05,rush_td,0,,,,,
player,201412070crd,kan,ThomDe05,rush_long,9,,,,,
player,201412070crd,kan,ThomDe05,targets,1,,,,,
player,201412070crd,kan,ThomDe05,rec,1,,,,,
player,201412070crd,kan,ThomDe05,rec_yds,6,,,,,
player,201412070crd,kan,ThomDe05,rec_td,0,,,,,
player,201412070crd,kan,ThomDe05,rec_long,6,,,,,
player,201412070crd,kan,ThomDe05,fumbles,0,,,,,
player,201412070crd,kan,ThomDe05,fumbles_lost,0,,,,,
player,201412070crd,kan,DaviKn00,pass_cmp,0,,,,,
player,201412070crd,kan,DaviKn00,pass_att,0,,,,,
player,201412070crd,kan,DaviKn00,pass_yds,0,,,,,
player,201412070crd,kan,DaviKn00,pass_td,0,,,,,
player,201412070crd,kan,DaviKn00,pass_int,0,,,,,
player,201412070crd,kan,DaviKn00,pass_sacked,0,,,,,
player,201412070crd,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201412070crd,kan,DaviKn00,pass_long,0,,,,,
player,201412070crd,kan,DaviKn00,pass_rating,,,,,,
player,201412070crd,kan,DaviKn00,rush_att,1,,,,,
player,201412070crd,kan,DaviKn00,rush_yds,4,,,,,
player,201412070crd,kan,DaviKn00,rush_td,0,,,,,
player,201412070crd,kan,DaviKn00,rush_long,4,,,,,
player,201412070crd,kan,DaviKn00,targets,3,,,,,
player,201412070crd,kan,DaviKn00,rec,3,,,,,
player,201412070crd,kan,DaviKn00,rec_yds,3,,,,,
player,201412070crd,kan,DaviKn00,rec_td,0,,,,,
player,201412070crd,kan,DaviKn00,rec_long,8,,,,,
player,201412070crd,kan,DaviKn00,fumbles,0,,,,,
player,201412070crd,kan,DaviKn00,fumbles_lost,0,,,,,
player,201412070crd,kan,KelcTr00,pass_cmp,0,,,,,
player,201412070crd,kan,KelcTr00,pass_att,0,,,,,
player,201412070crd,kan,KelcTr00,pass_yds,0,,,,,
player,201412070crd,kan,KelcTr00,pass_td,0,,,,,
player,201412070crd,kan,KelcTr00,pass_int,0,,,,,
player,201412070crd,kan,KelcTr00,pass_sacked,0,,,,,
player,201412070crd,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201412070crd,kan,KelcTr00,pass_long,0,,,,,
player,201412070crd,kan,KelcTr00,pass_rating,,,,,,
player,201412070crd,kan,KelcTr00,rush_att,0,,,,,
player,201412070crd,kan,KelcTr00,rush_yds,0,,,,,
player,201412070crd,kan,KelcTr00,rush_td,0,,,,,
player,201412070crd,kan,KelcTr00,rush_long,0,,,,,
player,201412070crd,kan,KelcTr00,targets,9,,,,,
player,201412070crd,kan,KelcTr00,rec,7,,,,,
player,201412070crd,kan,KelcTr00,rec_yds,110,,,,,
player,201412070crd,kan,KelcTr00,rec_td,0,,,,,
player,201412070crd,kan,KelcTr00,rec_long,29,,,,,
player,201412070crd,kan,KelcTr00,fumbles,1,,,,,
player,201412070crd,kan,KelcTr00,fumbles_lost,1,,,,,
player,201412070crd,kan,AvanJa00,pass_cmp,0,,,,,
player,201412070crd,kan,AvanJa00,pass_att,0,,,,,
player,201412070crd,kan,AvanJa00,pass_yds,0,,,,,
player,201412070crd,kan,AvanJa00,pass_td,0,,,,,
player,201412070crd,kan,AvanJa00,pass_int,0,,,,,
player,201412070crd,kan,AvanJa00,pass_sacked,0,,,,,
player,201412070crd,kan,AvanJa00,pass_sacked_yds,0,,,,,
