game,2014,6,20141012,201410120crd,was,"Washington Redskins",20,crd,"Arizona Cardinals",30
team,201410120crd,was,First Downs,21,,,,,,
team,201410120crd,crd,First Downs,19,,,,,,
team,201410120crd,was,Rush-Yds-TDs,17-72-0,,,,,,
team,201410120crd,crd,Rush-Yds-TDs,23-74-0,,,,,,
team,201410120crd,was,Cmp-Att-Yd-TD-INT,24-38-354-2-3,,,,,,
team,201410120crd,crd,Cmp-Att-Yd-TD-INT,28-44-250-2-0,,,,,,
team,201410120crd,was,Sacked-Yards,2-19,,,,,,
team,201410120crd,crd,Sacked-Yards,1-7,,,,,,
team,201410120crd,was,Net Pass Yards,335,,,,,,
team,201410120crd,crd,Net Pass Yards,243,,,,,,
team,201410120crd,was,Total Yards,407,,,,,,
team,201410120crd,crd,Total Yards,317,,,,,,
team,201410120crd,was,Fumbles-Lost,1-1,,,,,,
team,201410120crd,crd,Fumbles-Lost,2-0,,,,,,
team,201410120crd,was,Turnovers,4,,,,,,
team,201410120crd,crd,Turnovers,0,,,,,,
team,201410120crd,was,Penalties-Yards,6-62,,,,,,
team,201410120crd,crd,Penalties-Yards,14-108,,,,,,
team,201410120crd,was,Third Down Conv.,2-10,,,,,,
team,201410120crd,crd,Third Down Conv.,7-17,,,,,,
team,201410120crd,was,Fourth Down Conv.,1-1,,,,,,
team,201410120crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201410120crd,was,Time of Possession,25:41,,,,,,
team,201410120crd,crd,Time of Possession,34:19,,,,,,
player,201410120crd,was,CousKi00,pass_cmp,24,,,,,
player,201410120crd,was,CousKi00,pass_att,38,,,,,
player,201410120crd,was,CousKi00,pass_yds,354,,,,,
player,201410120crd,was,CousKi00,pass_td,2,,,,,
player,201410120crd,was,CousKi00,pass_int,3,,,,,
player,201410120crd,was,CousKi00,pass_sacked,2,,,,,
player,201410120crd,was,CousKi00,pass_sacked_yds,19,,,,,
player,201410120crd,was,CousKi00,pass_long,64,,,,,
player,201410120crd,was,CousKi00,pass_rating,78.2,,,,,
player,201410120crd,was,CousKi00,rush_att,0,,,,,
player,201410120crd,was,CousKi00,rush_yds,0,,,,,
player,201410120crd,was,CousKi00,rush_td,0,,,,,
player,201410120crd,was,CousKi00,rush_long,0,,,,,
player,201410120crd,was,CousKi00,targets,0,,,,,
player,201410120crd,was,CousKi00,rec,0,,,,,
player,201410120crd,was,CousKi00,rec_yds,0,,,,,
player,201410120crd,was,CousKi00,rec_td,0,,,,,
player,201410120crd,was,CousKi00,rec_long,0,,,,,
player,201410120crd,was,CousKi00,fumbles,0,,,,,
player,201410120crd,was,CousKi00,fumbles_lost,0,,,,,
player,201410120crd,was,MorrAl00,pass_cmp,0,,,,,
player,201410120crd,was,MorrAl00,pass_att,0,,,,,
player,201410120crd,was,MorrAl00,pass_yds,0,,,,,
player,201410120crd,was,MorrAl00,pass_td,0,,,,,
player,201410120crd,was,MorrAl00,pass_int,0,,,,,
player,201410120crd,was,MorrAl00,pass_sacked,0,,,,,
player,201410120crd,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201410120crd,was,MorrAl00,pass_long,0,,,,,
player,201410120crd,was,MorrAl00,pass_rating,,,,,,
player,201410120crd,was,MorrAl00,rush_att,13,,,,,
player,201410120crd,was,MorrAl00,rush_yds,41,,,,,
player,201410120crd,was,MorrAl00,rush_td,0,,,,,
player,201410120crd,was,MorrAl00,rush_long,9,,,,,
player,201410120crd,was,MorrAl00,targets,3,,,,,
player,201410120crd,was,MorrAl00,rec,1,,,,,
player,201410120crd,was,MorrAl00,rec_yds,14,,,,,
player,201410120crd,was,MorrAl00,rec_td,0,,,,,
player,201410120crd,was,MorrAl00,rec_long,14,,,,,
player,201410120crd,was,MorrAl00,fumbles,0,,,,,
player,201410120crd,was,MorrAl00,fumbles_lost,0,,,,,
player,201410120crd,was,HeluRo00,pass_cmp,0,,,,,
player,201410120crd,was,HeluRo00,pass_att,0,,,,,
player,201410120crd,was,HeluRo00,pass_yds,0,,,,,
player,201410120crd,was,HeluRo00,pass_td,0,,,,,
player,201410120crd,was,HeluRo00,pass_int,0,,,,,
player,201410120crd,was,HeluRo00,pass_sacked,0,,,,,
player,201410120crd,was,HeluRo00,pass_sacked_yds,0,,,,,
player,201410120crd,was,HeluRo00,pass_long,0,,,,,
player,201410120crd,was,HeluRo00,pass_rating,,,,,,
player,201410120crd,was,HeluRo00,rush_att,3,,,,,
player,201410120crd,was,HeluRo00,rush_yds,26,,,,,
player,201410120crd,was,HeluRo00,rush_td,0,,,,,
player,201410120crd,was,HeluRo00,rush_long,16,,,,,
player,201410120crd,was,HeluRo00,targets,2,,,,,
player,201410120crd,was,HeluRo00,rec,2,,,,,
player,201410120crd,was,HeluRo00,rec_yds,40,,,,,
player,201410120crd,was,HeluRo00,rec_td,0,,,,,
player,201410120crd,was,HeluRo00,rec_long,33,,,,,
player,201410120crd,was,HeluRo00,fumbles,0,,,,,
player,201410120crd,was,HeluRo00,fumbles_lost,0,,,,,
player,201410120crd,was,JackDe00,pass_cmp,0,,,,,
player,201410120crd,was,JackDe00,pass_att,0,,,,,
player,201410120crd,was,JackDe00,pass_yds,0,,,,,
