game,2014,10,20141109,201411090sea,nyg,"New York Giants",17,sea,"Seattle Seahawks",38
team,201411090sea,nyg,First Downs,20,,,,,,
team,201411090sea,sea,First Downs,27,,,,,,
team,201411090sea,nyg,Rush-Yds-TDs,17-54-1,,,,,,
team,201411090sea,sea,Rush-Yds-TDs,45-350-5,,,,,,
team,201411090sea,nyg,Cmp-Att-Yd-TD-INT,29-44-283-1-1,,,,,,
team,201411090sea,sea,Cmp-Att-Yd-TD-INT,10-17-172-0-2,,,,,,
team,201411090sea,nyg,Sacked-Yards,2-13,,,,,,
team,201411090sea,sea,Sacked-Yards,2-12,,,,,,
team,201411090sea,nyg,Net Pass Yards,270,,,,,,
team,201411090sea,sea,Net Pass Yards,160,,,,,,
team,201411090sea,nyg,Total Yards,324,,,,,,
team,201411090sea,sea,Total Yards,510,,,,,,
team,201411090sea,nyg,Fumbles-Lost,1-1,,,,,,
team,201411090sea,sea,Fumbles-Lost,3-1,,,,,,
team,201411090sea,nyg,Turnovers,2,,,,,,
team,201411090sea,sea,Turnovers,3,,,,,,
team,201411090sea,nyg,Penalties-Yards,4-35,,,,,,
team,201411090sea,sea,Penalties-Yards,6-50,,,,,,
team,201411090sea,nyg,Third Down Conv.,6-12,,,,,,
team,201411090sea,sea,Third Down Conv.,7-12,,,,,,
team,201411090sea,nyg,Fourth Down Conv.,0-1,,,,,,
team,201411090sea,sea,Fourth Down Conv.,1-1,,,,,,
team,201411090sea,nyg,Time of Possession,26:48,,,,,,
team,201411090sea,sea,Time of Possession,33:12,,,,,,
player,201411090sea,nyg,MannEl00,pass_cmp,29,,,,,
player,201411090sea,nyg,MannEl00,pass_att,44,,,,,
player,201411090sea,nyg,MannEl00,pass_yds,283,,,,,
player,201411090sea,nyg,MannEl00,pass_td,1,,,,,
player,201411090sea,nyg,MannEl00,pass_int,1,,,,,
player,201411090sea,nyg,MannEl00,pass_sacked,2,,,,,
player,201411090sea,nyg,MannEl00,pass_sacked_yds,13,,,,,
player,201411090sea,nyg,MannEl00,pass_long,44,,,,,
player,201411090sea,nyg,MannEl00,pass_rating,81.9,,,,,
player,201411090sea,nyg,MannEl00,rush_att,0,,,,,
player,201411090sea,nyg,MannEl00,rush_yds,0,,,,,
player,201411090sea,nyg,MannEl00,rush_td,0,,,,,
player,201411090sea,nyg,MannEl00,rush_long,0,,,,,
player,201411090sea,nyg,MannEl00,targets,0,,,,,
player,201411090sea,nyg,MannEl00,rec,0,,,,,
player,201411090sea,nyg,MannEl00,rec_yds,0,,,,,
player,201411090sea,nyg,MannEl00,rec_td,0,,,,,
player,201411090sea,nyg,MannEl00,rec_long,0,,,,,
player,201411090sea,nyg,MannEl00,fumbles,1,,,,,
player,201411090sea,nyg,MannEl00,fumbles_lost,1,,,,,
player,201411090sea,nyg,WillAn00,pass_cmp,0,,,,,
player,201411090sea,nyg,WillAn00,pass_att,0,,,,,
player,201411090sea,nyg,WillAn00,pass_yds,0,,,,,
player,201411090sea,nyg,WillAn00,pass_td,0,,,,,
player,201411090sea,nyg,WillAn00,pass_int,0,,,,,
player,201411090sea,nyg,WillAn00,pass_sacked,0,,,,,
player,201411090sea,nyg,WillAn00,pass_sacked_yds,0,,,,,
player,201411090sea,nyg,WillAn00,pass_long,0,,,,,
player,201411090sea,nyg,WillAn00,pass_rating,,,,,,
player,201411090sea,nyg,WillAn00,rush_att,13,,,,,
player,201411090sea,nyg,WillAn00,rush_yds,33,,,,,
player,201411090sea,nyg,WillAn00,rush_td,1,,,,,
player,201411090sea,nyg,WillAn00,rush_long,7,,,,,
player,201411090sea,nyg,WillAn00,targets,5,,,,,
player,201411090sea,nyg,WillAn00,rec,2,,,,,
player,201411090sea,nyg,WillAn00,rec_yds,5,,,,,
player,201411090sea,nyg,WillAn00,rec_td,0,,,,,
player,201411090sea,nyg,WillAn00,rec_long,5,,,,,
player,201411090sea,nyg,WillAn00,fumbles,0,,,,,
player,201411090sea,nyg,WillAn00,fumbles_lost,0,,,,,
player,201411090sea,nyg,BeckOd00,pass_cmp,0,,,,,
