game,2014,12,20141123,201411230min,gnb,"Green Bay Packers",24,min,"Minnesota Vikings",21
team,201411230min,gnb,First Downs,24,,,,,,
team,201411230min,min,First Downs,20,,,,,,
team,201411230min,gnb,Rush-Yds-TDs,32-155-1,,,,,,
team,201411230min,min,Rush-Yds-TDs,25-112-0,,,,,,
team,201411230min,gnb,Cmp-Att-Yd-TD-INT,19-29-209-2-0,,,,,,
team,201411230min,min,Cmp-Att-Yd-TD-INT,21-37-210-2-1,,,,,,
team,201411230min,gnb,Sacked-Yards,1-2,,,,,,
team,201411230min,min,Sacked-Yards,2-14,,,,,,
team,201411230min,gnb,Net Pass Yards,207,,,,,,
team,201411230min,min,Net Pass Yards,196,,,,,,
team,201411230min,gnb,Total Yards,362,,,,,,
team,201411230min,min,Total Yards,308,,,,,,
team,201411230min,gnb,Fumbles-Lost,1-0,,,,,,
team,201411230min,min,Fumbles-Lost,0-0,,,,,,
team,201411230min,gnb,Turnovers,0,,,,,,
team,201411230min,min,Turnovers,1,,,,,,
team,201411230min,gnb,Penalties-Yards,8-75,,,,,,
team,201411230min,min,Penalties-Yards,7-77,,,,,,
team,201411230min,gnb,Third Down Conv.,6-11,,,,,,
team,201411230min,min,Third Down Conv.,5-13,,,,,,
team,201411230min,gnb,Fourth Down Conv.,0-0,,,,,,
team,201411230min,min,Fourth Down Conv.,1-1,,,,,,
team,201411230min,gnb,Time of Possession,31:45,,,,,,
team,201411230min,min,Time of Possession,28:15,,,,,,
player,201411230min,gnb,RodgAa00,pass_cmp,19,,,,,
player,201411230min,gnb,RodgAa00,pass_att,29,,,,,
player,201411230min,gnb,RodgAa00,pass_yds,209,,,,,
player,201411230min,gnb,RodgAa00,pass_td,2,,,,,
player,201411230min,gnb,RodgAa00,pass_int,0,,,,,
player,201411230min,gnb,RodgAa00,pass_sacked,1,,,,,
player,201411230min,gnb,RodgAa00,pass_sacked_yds,2,,,,,
player,201411230min,gnb,RodgAa00,pass_long,34,,,,,
player,201411230min,gnb,RodgAa00,pass_rating,109.7,,,,,
player,201411230min,gnb,RodgAa00,rush_att,6,,,,,
player,201411230min,gnb,RodgAa00,rush_yds,34,,,,,
player,201411230min,gnb,RodgAa00,rush_td,0,,,,,
player,201411230min,gnb,RodgAa00,rush_long,18,,,,,
player,201411230min,gnb,RodgAa00,targets,0,,,,,
player,201411230min,gnb,RodgAa00,rec,0,,,,,
player,201411230min,gnb,RodgAa00,rec_yds,0,,,,,
player,201411230min,gnb,RodgAa00,rec_td,0,,,,,
player,201411230min,gnb,RodgAa00,rec_long,0,,,,,
player,201411230min,gnb,RodgAa00,fumbles,0,,,,,
player,201411230min,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201411230min,gnb,LacyEd00,pass_cmp,0,,,,,
player,201411230min,gnb,LacyEd00,pass_att,0,,,,,
player,201411230min,gnb,LacyEd00,pass_yds,0,,,,,
player,201411230min,gnb,LacyEd00,pass_td,0,,,,,
player,201411230min,gnb,LacyEd00,pass_int,0,,,,,
player,201411230min,gnb,LacyEd00,pass_sacked,0,,,,,
player,201411230min,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201411230min,gnb,LacyEd00,pass_long,0,,,,,
player,201411230min,gnb,LacyEd00,pass_rating,,,,,,
player,201411230min,gnb,LacyEd00,rush_att,25,,,,,
player,201411230min,gnb,LacyEd00,rush_yds,125,,,,,
player,201411230min,gnb,LacyEd00,rush_td,1,,,,,
player,201411230min,gnb,LacyEd00,rush_long,16,,,,,
player,201411230min,gnb,LacyEd00,targets,2,,,,,
player,201411230min,gnb,LacyEd00,rec,2,,,,,
player,201411230min,gnb,LacyEd00,rec_yds,13,,,,,
player,201411230min,gnb,LacyEd00,rec_td,1,,,,,
player,201411230min,gnb,LacyEd00,rec_long,10,,,,,
player,201411230min,gnb,LacyEd00,fumbles,0,,,,,
player,201411230min,gnb,LacyEd00,fumbles_lost,0,,,,,
player,201411230min,gnb,NelsJo00,pass_cmp,0,,,,,
player,201411230min,gnb,NelsJo00,pass_att,0,,,,,
player,201411230min,gnb,NelsJo00,pass_yds,0,,,,,
player,201411230min,gnb,NelsJo00,pass_td,0,,,,,
player,201411230min,gnb,NelsJo00,pass_int,0,,,,,
player,201411230min,gnb,NelsJo00,pass_sacked,0,,,,,
player,201411230min,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201411230min,gnb,NelsJo00,pass_long,0,,,,,
player,201411230min,gnb,NelsJo00,pass_rating,,,,,,
player,201411230min,gnb,NelsJo00,rush_att,0,,,,,
player,201411230min,gnb,NelsJo00,rush_yds,0,,,,,
player,201411230min,gnb,NelsJo00,rush_td,0,,,,,
player,201411230min,gnb,NelsJo00,rush_long,0,,,,,
player,201411230min,gnb,NelsJo00,targets,12,,,,,
player,201411230min,gnb,NelsJo00,rec,8,,,,,
player,201411230min,gnb,NelsJo00,rec_yds,68,,,,,
player,201411230min,gnb,NelsJo00,rec_td,0,,,,,
player,201411230min,gnb,NelsJo00,rec_long,14,,,,,
player,201411230min,gnb,NelsJo00,fumbles,0,,,,,
player,201411230min,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201411230min,gnb,CobbRa00,pass_cmp,0,,,,,
player,201411230min,gnb,CobbRa00,pass_att,0,,,,,
player,201411230min,gnb,CobbRa00,pass_yds,0,,,,,
player,201411230min,gnb,CobbRa00,pass_td,0,,,,,
player,201411230min,gnb,CobbRa00,pass_int,0,,,,,
