game,2014,15,20141215,201412150chi,nor,"New Orleans Saints",31,chi,"Chicago Bears",15
team,201412150chi,nor,First Downs,25,,,,,,
team,201412150chi,chi,First Downs,16,,,,,,
team,201412150chi,nor,Rush-Yds-TDs,26-83-1,,,,,,
team,201412150chi,chi,Rush-Yds-TDs,20-125-0,,,,,,
team,201412150chi,nor,Cmp-Att-Yd-TD-INT,29-36-375-3-0,,,,,,
team,201412150chi,chi,Cmp-Att-Yd-TD-INT,17-31-194-2-3,,,,,,
team,201412150chi,nor,Sacked-Yards,2-15,,,,,,
team,201412150chi,chi,Sacked-Yards,7-41,,,,,,
team,201412150chi,nor,Net Pass Yards,360,,,,,,
team,201412150chi,chi,Net Pass Yards,153,,,,,,
team,201412150chi,nor,Total Yards,443,,,,,,
team,201412150chi,chi,Total Yards,278,,,,,,
team,201412150chi,nor,Fumbles-Lost,2-1,,,,,,
team,201412150chi,chi,Fumbles-Lost,1-0,,,,,,
team,201412150chi,nor,Turnovers,1,,,,,,
team,201412150chi,chi,Turnovers,3,,,,,,
team,201412150chi,nor,Penalties-Yards,3-25,,,,,,
team,201412150chi,chi,Penalties-Yards,9-74,,,,,,
team,201412150chi,nor,Third Down Conv.,4-11,,,,,,
team,201412150chi,chi,Third Down Conv.,2-12,,,,,,
team,201412150chi,nor,Fourth Down Conv.,0-0,,,,,,
team,201412150chi,chi,Fourth Down Conv.,0-2,,,,,,
team,201412150chi,nor,Time of Possession,33:31,,,,,,
team,201412150chi,chi,Time of Possession,26:29,,,,,,
player,201412150chi,nor,BreeDr00,pass_cmp,29,,,,,
player,201412150chi,nor,BreeDr00,pass_att,36,,,,,
player,201412150chi,nor,BreeDr00,pass_yds,375,,,,,
player,201412150chi,nor,BreeDr00,pass_td,3,,,,,
player,201412150chi,nor,BreeDr00,pass_int,0,,,,,
player,201412150chi,nor,BreeDr00,pass_sacked,2,,,,,
player,201412150chi,nor,BreeDr00,pass_sacked_yds,15,,,,,
player,201412150chi,nor,BreeDr00,pass_long,39,,,,,
player,201412150chi,nor,BreeDr00,pass_rating,137.8,,,,,
player,201412150chi,nor,BreeDr00,rush_att,3,,,,,
player,201412150chi,nor,BreeDr00,rush_yds,2,,,,,
player,201412150chi,nor,BreeDr00,rush_td,0,,,,,
player,201412150chi,nor,BreeDr00,rush_long,3,,,,,
player,201412150chi,nor,BreeDr00,targets,0,,,,,
player,201412150chi,nor,BreeDr00,rec,0,,,,,
player,201412150chi,nor,BreeDr00,rec_yds,0,,,,,
player,201412150chi,nor,BreeDr00,rec_td,0,,,,,
player,201412150chi,nor,BreeDr00,rec_long,0,,,,,
player,201412150chi,nor,BreeDr00,fumbles,1,,,,,
player,201412150chi,nor,BreeDr00,fumbles_lost,0,,,,,
player,201412150chi,nor,IngrMa01,pass_cmp,0,,,,,
player,201412150chi,nor,IngrMa01,pass_att,0,,,,,
player,201412150chi,nor,IngrMa01,pass_yds,0,,,,,
player,201412150chi,nor,IngrMa01,pass_td,0,,,,,
player,201412150chi,nor,IngrMa01,pass_int,0,,,,,
player,201412150chi,nor,IngrMa01,pass_sacked,0,,,,,
player,201412150chi,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201412150chi,nor,IngrMa01,pass_long,0,,,,,
player,201412150chi,nor,IngrMa01,pass_rating,,,,,,
player,201412150chi,nor,IngrMa01,rush_att,17,,,,,
player,201412150chi,nor,IngrMa01,rush_yds,59,,,,,
player,201412150chi,nor,IngrMa01,rush_td,1,,,,,
player,201412150chi,nor,IngrMa01,rush_long,15,,,,,
player,201412150chi,nor,IngrMa01,targets,0,,,,,
player,201412150chi,nor,IngrMa01,rec,0,,,,,
player,201412150chi,nor,IngrMa01,rec_yds,0,,,,,
player,201412150chi,nor,IngrMa01,rec_td,0,,,,,
player,201412150chi,nor,IngrMa01,rec_long,0,,,,,
player,201412150chi,nor,IngrMa01,fumbles,0,,,,,
player,201412150chi,nor,IngrMa01,fumbles_lost,0,,,,,
player,201412150chi,nor,ThomPi00,pass_cmp,0,,,,,
player,201412150chi,nor,ThomPi00,pass_att,0,,,,,
player,201412150chi,nor,ThomPi00,pass_yds,0,,,,,
player,201412150chi,nor,ThomPi00,pass_td,0,,,,,
player,201412150chi,nor,ThomPi00,pass_int,0,,,,,
player,201412150chi,nor,ThomPi00,pass_sacked,0,,,,,
player,201412150chi,nor,ThomPi00,pass_sacked_yds,0,,,,,
player,201412150chi,nor,ThomPi00,pass_long,0,,,,,
player,201412150chi,nor,ThomPi00,pass_rating,,,,,,
player,201412150chi,nor,ThomPi00,rush_att,2,,,,,
player,201412150chi,nor,ThomPi00,rush_yds,11,,,,,
player,201412150chi,nor,ThomPi00,rush_td,0,,,,,
player,201412150chi,nor,ThomPi00,rush_long,9,,,,,
player,201412150chi,nor,ThomPi00,targets,5,,,,,
player,201412150chi,nor,ThomPi00,rec,5,,,,,
player,201412150chi,nor,ThomPi00,rec_yds,83,,,,,
player,201412150chi,nor,ThomPi00,rec_td,0,,,,,
player,201412150chi,nor,ThomPi00,rec_long,39,,,,,
player,201412150chi,nor,ThomPi00,fumbles,0,,,,,
player,201412150chi,nor,ThomPi00,fumbles_lost,0,,,,,
player,201412150chi,nor,RobiKh00,pass_cmp,0,,,,,
player,201412150chi,nor,RobiKh00,pass_att,0,,,,,
player,201412150chi,nor,RobiKh00,pass_yds,0,,,,,
player,201412150chi,nor,RobiKh00,pass_td,0,,,,,
player,201412150chi,nor,RobiKh00,pass_int,0,,,,,
player,201412150chi,nor,RobiKh00,pass_sacked,0,,,,,
player,201412150chi,nor,RobiKh00,pass_sacked_yds,0,,,,,
player,201412150chi,nor,RobiKh00,pass_long,0,,,,,
player,201412150chi,nor,RobiKh00,pass_rating,,,,,,
player,201412150chi,nor,RobiKh00,rush_att,3,,,,,
player,201412150chi,nor,RobiKh00,rush_yds,10,,,,,
player,201412150chi,nor,RobiKh00,rush_td,0,,,,,
player,201412150chi,nor,RobiKh00,rush_long,5,,,,,
player,201412150chi,nor,RobiKh00,targets,2,,,,,
player,201412150chi,nor,RobiKh00,rec,2,,,,,
player,201412150chi,nor,RobiKh00,rec_yds,10,,,,,
player,201412150chi,nor,RobiKh00,rec_td,0,,,,,
player,201412150chi,nor,RobiKh00,rec_long,8,,,,,
