game,2014,11,20141116,201411160cle,htx,"Houston Texans",23,cle,"Cleveland Browns",7
team,201411160cle,htx,First Downs,29,,,,,,
team,201411160cle,cle,First Downs,24,,,,,,
team,201411160cle,htx,Rush-Yds-TDs,54-213-0,,,,,,
team,201411160cle,cle,Rush-Yds-TDs,23-65-0,,,,,,
team,201411160cle,htx,Cmp-Att-Yd-TD-INT,20-30-211-2-1,,,,,,
team,201411160cle,cle,Cmp-Att-Yd-TD-INT,20-50-330-1-1,,,,,,
team,201411160cle,htx,Sacked-Yards,0-0,,,,,,
team,201411160cle,cle,Sacked-Yards,3-20,,,,,,
team,201411160cle,htx,Net Pass Yards,211,,,,,,
team,201411160cle,cle,Net Pass Yards,310,,,,,,
team,201411160cle,htx,Total Yards,424,,,,,,
team,201411160cle,cle,Total Yards,375,,,,,,
team,201411160cle,htx,Fumbles-Lost,1-0,,,,,,
team,201411160cle,cle,Fumbles-Lost,3-1,,,,,,
team,201411160cle,htx,Turnovers,1,,,,,,
team,201411160cle,cle,Turnovers,2,,,,,,
team,201411160cle,htx,Penalties-Yards,5-55,,,,,,
team,201411160cle,cle,Penalties-Yards,8-67,,,,,,
team,201411160cle,htx,Third Down Conv.,7-18,,,,,,
team,201411160cle,cle,Third Down Conv.,3-15,,,,,,
team,201411160cle,htx,Fourth Down Conv.,1-1,,,,,,
team,201411160cle,cle,Fourth Down Conv.,0-2,,,,,,
team,201411160cle,htx,Time of Possession,33:53,,,,,,
team,201411160cle,cle,Time of Possession,26:07,,,,,,
player,201411160cle,htx,MallRy00,pass_cmp,20,,,,,
player,201411160cle,htx,MallRy00,pass_att,30,,,,,
player,201411160cle,htx,MallRy00,pass_yds,211,,,,,
player,201411160cle,htx,MallRy00,pass_td,2,,,,,
player,201411160cle,htx,MallRy00,pass_int,1,,,,,
player,201411160cle,htx,MallRy00,pass_sacked,0,,,,,
player,201411160cle,htx,MallRy00,pass_sacked_yds,0,,,,,
player,201411160cle,htx,MallRy00,pass_long,41,,,,,
