game,2014,4,20140928,201409280sfo,phi,"Philadelphia Eagles",21,sfo,"San Francisco 49ers",26
player,201409280sfo,phi,MaclJe00,rec_td,0,,,,,
player,201409280sfo,phi,MaclJe00,rec_long,22,,,,,
player,201409280sfo,phi,MaclJe00,fumbles,0,,,,,
player,201409280sfo,phi,MaclJe00,fumbles_lost,0,,,,,
player,201409280sfo,phi,CoopRi00,pass_cmp,0,,,,,
player,201409280sfo,phi,CoopRi00,pass_att,0,,,,,
player,201409280sfo,phi,CoopRi00,pass_yds,0,,,,,
player,201409280sfo,phi,CoopRi00,pass_td,0,,,,,
player,201409280sfo,phi,CoopRi00,pass_int,0,,,,,
player,201409280sfo,phi,CoopRi00,pass_sacked,0,,,,,
player,201409280sfo,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201409280sfo,phi,CoopRi00,pass_long,0,,,,,
player,201409280sfo,phi,CoopRi00,pass_rating,,,,,,
player,201409280sfo,phi,CoopRi00,rush_att,0,,,,,
player,201409280sfo,phi,CoopRi00,rush_yds,0,,,,,
player,201409280sfo,phi,CoopRi00,rush_td,0,,,,,
player,201409280sfo,phi,CoopRi00,rush_long,0,,,,,
player,201409280sfo,phi,CoopRi00,targets,8,,,,,
player,201409280sfo,phi,CoopRi00,rec,6,,,,,
player,201409280sfo,phi,CoopRi00,rec_yds,54,,,,,
player,201409280sfo,phi,CoopRi00,rec_td,0,,,,,
player,201409280sfo,phi,CoopRi00,rec_long,12,,,,,
player,201409280sfo,phi,CoopRi00,fumbles,1,,,,,
player,201409280sfo,phi,CoopRi00,fumbles_lost,1,,,,,
player,201409280sfo,phi,ErtzZa00,pass_cmp,0,,,,,
player,201409280sfo,phi,ErtzZa00,pass_att,0,,,,,
player,201409280sfo,phi,ErtzZa00,pass_yds,0,,,,,
player,201409280sfo,phi,ErtzZa00,pass_td,0,,,,,
player,201409280sfo,phi,ErtzZa00,pass_int,0,,,,,
player,201409280sfo,phi,ErtzZa00,pass_sacked,0,,,,,
player,201409280sfo,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201409280sfo,phi,ErtzZa00,pass_long,0,,,,,
player,201409280sfo,phi,ErtzZa00,pass_rating,,,,,,
player,201409280sfo,phi,ErtzZa00,rush_att,0,,,,,
player,201409280sfo,phi,ErtzZa00,rush_yds,0,,,,,
player,201409280sfo,phi,ErtzZa00,rush_td,0,,,,,
player,201409280sfo,phi,ErtzZa00,rush_long,0,,,,,
player,201409280sfo,phi,ErtzZa00,targets,6,,,,,
player,201409280sfo,phi,ErtzZa00,rec,4,,,,,
player,201409280sfo,phi,ErtzZa00,rec_yds,43,,,,,
player,201409280sfo,phi,ErtzZa00,rec_td,0,,,,,
player,201409280sfo,phi,ErtzZa00,rec_long,14,,,,,
player,201409280sfo,phi,ErtzZa00,fumbles,1,,,,,
player,201409280sfo,phi,ErtzZa00,fumbles_lost,1,,,,,
player,201409280sfo,phi,MattJo00,pass_cmp,0,,,,,
player,201409280sfo,phi,MattJo00,pass_att,0,,,,,
player,201409280sfo,phi,MattJo00,pass_yds,0,,,,,
player,201409280sfo,phi,MattJo00,pass_td,0,,,,,
player,201409280sfo,phi,MattJo00,pass_int,0,,,,,
player,201409280sfo,phi,MattJo00,pass_sacked,0,,,,,
player,201409280sfo,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201409280sfo,phi,MattJo00,pass_long,0,,,,,
player,201409280sfo,phi,MattJo00,pass_rating,,,,,,
player,201409280sfo,phi,MattJo00,rush_att,0,,,,,
player,201409280sfo,phi,MattJo00,rush_yds,0,,,,,
player,201409280sfo,phi,MattJo00,rush_td,0,,,,,
player,201409280sfo,phi,MattJo00,rush_long,0,,,,,
player,201409280sfo,phi,MattJo00,targets,7,,,,,
player,201409280sfo,phi,MattJo00,rec,4,,,,,
player,201409280sfo,phi,MattJo00,rec_yds,28,,,,,
player,201409280sfo,phi,MattJo00,rec_td,0,,,,,
player,201409280sfo,phi,MattJo00,rec_long,11,,,,,
player,201409280sfo,phi,MattJo00,fumbles,0,,,,,
player,201409280sfo,phi,MattJo00,fumbles_lost,0,,,,,
player,201409280sfo,phi,SmitBr01,pass_cmp,0,,,,,
player,201409280sfo,phi,SmitBr01,pass_att,0,,,,,
player,201409280sfo,phi,SmitBr01,pass_yds,0,,,,,
player,201409280sfo,phi,SmitBr01,pass_td,0,,,,,
player,201409280sfo,phi,SmitBr01,pass_int,0,,,,,
player,201409280sfo,phi,SmitBr01,pass_sacked,0,,,,,
player,201409280sfo,phi,SmitBr01,pass_sacked_yds,0,,,,,
player,201409280sfo,phi,SmitBr01,pass_long,0,,,,,
player,201409280sfo,phi,SmitBr01,pass_rating,,,,,,
player,201409280sfo,phi,SmitBr01,rush_att,0,,,,,
player,201409280sfo,phi,SmitBr01,rush_yds,0,,,,,
player,201409280sfo,phi,SmitBr01,rush_td,0,,,,,
player,201409280sfo,phi,SmitBr01,rush_long,0,,,,,
player,201409280sfo,phi,SmitBr01,targets,1,,,,,
player,201409280sfo,phi,SmitBr01,rec,1,,,,,
player,201409280sfo,phi,SmitBr01,rec_yds,11,,,,,
