game,2014,4,20140928,201409280min,atl,"Atlanta Falcons",28,min,"Minnesota Vikings",41
team,201409280min,atl,First Downs,23,,,,,,
team,201409280min,min,First Downs,26,,,,,,
team,201409280min,atl,Rush-Yds-TDs,22-123-1,,,,,,
team,201409280min,min,Rush-Yds-TDs,44-241-4,,,,,,
team,201409280min,atl,Cmp-Att-Yd-TD-INT,25-41-298-3-2,,,,,,
team,201409280min,min,Cmp-Att-Yd-TD-INT,19-30-317-0-0,,,,,,
team,201409280min,atl,Sacked-Yards,1-10,,,,,,
team,201409280min,min,Sacked-Yards,0-0,,,,,,
team,201409280min,atl,Net Pass Yards,288,,,,,,
team,201409280min,min,Net Pass Yards,317,,,,,,
team,201409280min,atl,Total Yards,411,,,,,,
team,201409280min,min,Total Yards,558,,,,,,
team,201409280min,atl,Fumbles-Lost,0-0,,,,,,
team,201409280min,min,Fumbles-Lost,0-0,,,,,,
team,201409280min,atl,Turnovers,2,,,,,,
team,201409280min,min,Turnovers,0,,,,,,
team,201409280min,atl,Penalties-Yards,5-50,,,,,,
team,201409280min,min,Penalties-Yards,6-40,,,,,,
team,201409280min,atl,Third Down Conv.,10-15,,,,,,
team,201409280min,min,Third Down Conv.,6-13,,,,,,
team,201409280min,atl,Fourth Down Conv.,0-0,,,,,,
team,201409280min,min,Fourth Down Conv.,1-1,,,,,,
team,201409280min,atl,Time of Possession,27:08,,,,,,
team,201409280min,min,Time of Possession,32:52,,,,,,
player,201409280min,atl,RyanMa00,pass_cmp,25,,,,,
player,201409280min,atl,RyanMa00,pass_att,41,,,,,
player,201409280min,atl,RyanMa00,pass_yds,298,,,,,
player,201409280min,atl,RyanMa00,pass_td,3,,,,,
player,201409280min,atl,RyanMa00,pass_int,2,,,,,
player,201409280min,atl,RyanMa00,pass_sacked,1,,,,,
player,201409280min,atl,RyanMa00,pass_sacked_yds,10,,,,,
player,201409280min,atl,RyanMa00,pass_long,36,,,,,
player,201409280min,atl,RyanMa00,pass_rating,87.2,,,,,
player,201409280min,atl,RyanMa00,rush_att,2,,,,,
player,201409280min,atl,RyanMa00,rush_yds,2,,,,,
player,201409280min,atl,RyanMa00,rush_td,0,,,,,
player,201409280min,atl,RyanMa00,rush_long,1,,,,,
player,201409280min,atl,RyanMa00,targets,0,,,,,
player,201409280min,atl,RyanMa00,rec,0,,,,,
player,201409280min,atl,RyanMa00,rec_yds,0,,,,,
player,201409280min,atl,RyanMa00,rec_td,0,,,,,
player,201409280min,atl,RyanMa00,rec_long,0,,,,,
player,201409280min,atl,RyanMa00,fumbles,0,,,,,
player,201409280min,atl,RyanMa00,fumbles_lost,0,,,,,
player,201409280min,atl,SmitAn01,pass_cmp,0,,,,,
player,201409280min,atl,SmitAn01,pass_att,0,,,,,
player,201409280min,atl,SmitAn01,pass_yds,0,,,,,
player,201409280min,atl,SmitAn01,pass_td,0,,,,,
player,201409280min,atl,SmitAn01,pass_int,0,,,,,
player,201409280min,atl,SmitAn01,pass_sacked,0,,,,,
player,201409280min,atl,SmitAn01,pass_sacked_yds,0,,,,,
player,201409280min,atl,SmitAn01,pass_long,0,,,,,
player,201409280min,atl,SmitAn01,pass_rating,,,,,,
player,201409280min,atl,SmitAn01,rush_att,4,,,,,
player,201409280min,atl,SmitAn01,rush_yds,62,,,,,
player,201409280min,atl,SmitAn01,rush_td,1,,,,,
player,201409280min,atl,SmitAn01,rush_long,48,,,,,
player,201409280min,atl,SmitAn01,targets,0,,,,,
player,201409280min,atl,SmitAn01,rec,0,,,,,
player,201409280min,atl,SmitAn01,rec_yds,0,,,,,
player,201409280min,atl,SmitAn01,rec_td,0,,,,,
player,201409280min,atl,SmitAn01,rec_long,0,,,,,
player,201409280min,atl,SmitAn01,fumbles,0,,,,,
player,201409280min,atl,SmitAn01,fumbles_lost,0,,,,,
player,201409280min,atl,JackSt00,pass_cmp,0,,,,,
player,201409280min,atl,JackSt00,pass_att,0,,,,,
player,201409280min,atl,JackSt00,pass_yds,0,,,,,
player,201409280min,atl,JackSt00,pass_td,0,,,,,
player,201409280min,atl,JackSt00,pass_int,0,,,,,
player,201409280min,atl,JackSt00,pass_sacked,0,,,,,
player,201409280min,atl,JackSt00,pass_sacked_yds,0,,,,,
player,201409280min,atl,JackSt00,pass_long,0,,,,,
player,201409280min,atl,JackSt00,pass_rating,,,,,,
player,201409280min,atl,JackSt00,rush_att,13,,,,,
player,201409280min,atl,JackSt00,rush_yds,49,,,,,
player,201409280min,atl,JackSt00,rush_td,0,,,,,
player,201409280min,atl,JackSt00,rush_long,11,,,,,
player,201409280min,atl,JackSt00,targets,2,,,,,
player,201409280min,atl,JackSt00,rec,2,,,,,
player,201409280min,atl,JackSt00,rec_yds,13,,,,,
player,201409280min,atl,JackSt00,rec_td,0,,,,,
player,201409280min,atl,JackSt00,rec_long,7,,,,,
player,201409280min,atl,JackSt00,fumbles,0,,,,,
player,201409280min,atl,JackSt00,fumbles_lost,0,,,,,
player,201409280min,atl,FreeDe00,pass_cmp,0,,,,,
player,201409280min,atl,FreeDe00,pass_att,0,,,,,
player,201409280min,atl,FreeDe00,pass_yds,0,,,,,
player,201409280min,atl,FreeDe00,pass_td,0,,,,,
player,201409280min,atl,FreeDe00,pass_int,0,,,,,
player,201409280min,atl,FreeDe00,pass_sacked,0,,,,,
player,201409280min,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201409280min,atl,FreeDe00,pass_long,0,,,,,
player,201409280min,atl,FreeDe00,pass_rating,,,,,,
player,201409280min,atl,FreeDe00,rush_att,2,,,,,
player,201409280min,atl,FreeDe00,rush_yds,8,,,,,
