game,2014,6,20141009,201410090htx,clt,"Indianapolis Colts",33,htx,"Houston Texans",28
team,201410090htx,clt,First Downs,27,,,,,,
team,201410090htx,htx,First Downs,18,,,,,,
team,201410090htx,clt,Rush-Yds-TDs,35-93-1,,,,,,
team,201410090htx,htx,Rush-Yds-TDs,24-136-2,,,,,,
team,201410090htx,clt,Cmp-Att-Yd-TD-INT,25-44-370-3-1,,,,,,
team,201410090htx,htx,Cmp-Att-Yd-TD-INT,15-23-212-1-0,,,,,,
team,201410090htx,clt,Sacked-Yards,3-7,,,,,,
team,201410090htx,htx,Sacked-Yards,5-16,,,,,,
team,201410090htx,clt,Net Pass Yards,363,,,,,,
team,201410090htx,htx,Net Pass Yards,196,,,,,,
team,201410090htx,clt,Total Yards,456,,,,,,
team,201410090htx,htx,Total Yards,332,,,,,,
team,201410090htx,clt,Fumbles-Lost,1-1,,,,,,
team,201410090htx,htx,Fumbles-Lost,2-2,,,,,,
team,201410090htx,clt,Turnovers,2,,,,,,
team,201410090htx,htx,Turnovers,2,,,,,,
team,201410090htx,clt,Penalties-Yards,5-51,,,,,,
team,201410090htx,htx,Penalties-Yards,5-66,,,,,,
team,201410090htx,clt,Third Down Conv.,8-16,,,,,,
team,201410090htx,htx,Third Down Conv.,1-8,,,,,,
team,201410090htx,clt,Fourth Down Conv.,0-0,,,,,,
team,201410090htx,htx,Fourth Down Conv.,0-1,,,,,,
team,201410090htx,clt,Time of Possession,36:49,,,,,,
team,201410090htx,htx,Time of Possession,23:11,,,,,,
player,201410090htx,clt,LuckAn00,pass_cmp,25,,,,,
player,201410090htx,clt,LuckAn00,pass_att,44,,,,,
player,201410090htx,clt,LuckAn00,pass_yds,370,,,,,
player,201410090htx,clt,LuckAn00,pass_td,3,,,,,
player,201410090htx,clt,LuckAn00,pass_int,1,,,,,
player,201410090htx,clt,LuckAn00,pass_sacked,3,,,,,
player,201410090htx,clt,LuckAn00,pass_sacked_yds,7,,,,,
player,201410090htx,clt,LuckAn00,pass_long,49,,,,,
