game,2014,16,20141221,201412210chi,det,"Detroit Lions",20,chi,"Chicago Bears",14
team,201412210chi,det,First Downs,22,,,,,,
team,201412210chi,chi,First Downs,17,,,,,,
team,201412210chi,det,Rush-Yds-TDs,26-138-2,,,,,,
team,201412210chi,chi,Rush-Yds-TDs,22-64-0,,,,,,
team,201412210chi,det,Cmp-Att-Yd-TD-INT,22-39-243-0-2,,,,,,
team,201412210chi,chi,Cmp-Att-Yd-TD-INT,23-39-181-2-1,,,,,,
team,201412210chi,det,Sacked-Yards,4-14,,,,,,
team,201412210chi,chi,Sacked-Yards,2-11,,,,,,
team,201412210chi,det,Net Pass Yards,229,,,,,,
team,201412210chi,chi,Net Pass Yards,170,,,,,,
team,201412210chi,det,Total Yards,367,,,,,,
team,201412210chi,chi,Total Yards,234,,,,,,
team,201412210chi,det,Fumbles-Lost,2-1,,,,,,
team,201412210chi,chi,Fumbles-Lost,0-0,,,,,,
team,201412210chi,det,Turnovers,3,,,,,,
team,201412210chi,chi,Turnovers,1,,,,,,
team,201412210chi,det,Penalties-Yards,7-60,,,,,,
team,201412210chi,chi,Penalties-Yards,5-86,,,,,,
team,201412210chi,det,Third Down Conv.,5-13,,,,,,
team,201412210chi,chi,Third Down Conv.,5-15,,,,,,
team,201412210chi,det,Fourth Down Conv.,2-2,,,,,,
team,201412210chi,chi,Fourth Down Conv.,1-3,,,,,,
team,201412210chi,det,Time of Possession,31:56,,,,,,
team,201412210chi,chi,Time of Possession,28:04,,,,,,
player,201412210chi,det,StafMa00,pass_cmp,22,,,,,
player,201412210chi,det,StafMa00,pass_att,39,,,,,
player,201412210chi,det,StafMa00,pass_yds,243,,,,,
player,201412210chi,det,StafMa00,pass_td,0,,,,,
player,201412210chi,det,StafMa00,pass_int,2,,,,,
player,201412210chi,det,StafMa00,pass_sacked,4,,,,,
player,201412210chi,det,StafMa00,pass_sacked_yds,14,,,,,
player,201412210chi,det,StafMa00,pass_long,34,,,,,
player,201412210chi,det,StafMa00,pass_rating,53.7,,,,,
player,201412210chi,det,StafMa00,rush_att,4,,,,,
player,201412210chi,det,StafMa00,rush_yds,2,,,,,
player,201412210chi,det,StafMa00,rush_td,0,,,,,
player,201412210chi,det,StafMa00,rush_long,5,,,,,
player,201412210chi,det,StafMa00,targets,0,,,,,
player,201412210chi,det,StafMa00,rec,0,,,,,
player,201412210chi,det,StafMa00,rec_yds,0,,,,,
player,201412210chi,det,StafMa00,rec_td,0,,,,,
player,201412210chi,det,StafMa00,rec_long,0,,,,,
player,201412210chi,det,StafMa00,fumbles,0,,,,,
player,201412210chi,det,StafMa00,fumbles_lost,0,,,,,
player,201412210chi,det,BellJo01,pass_cmp,0,,,,,
player,201412210chi,det,BellJo01,pass_att,0,,,,,
player,201412210chi,det,BellJo01,pass_yds,0,,,,,
player,201412210chi,det,BellJo01,pass_td,0,,,,,
player,201412210chi,det,BellJo01,pass_int,0,,,,,
player,201412210chi,det,BellJo01,pass_sacked,0,,,,,
player,201412210chi,det,BellJo01,pass_sacked_yds,0,,,,,
player,201412210chi,det,BellJo01,pass_long,0,,,,,
player,201412210chi,det,BellJo01,pass_rating,,,,,,
player,201412210chi,det,BellJo01,rush_att,13,,,,,
player,201412210chi,det,BellJo01,rush_yds,74,,,,,
player,201412210chi,det,BellJo01,rush_td,1,,,,,
player,201412210chi,det,BellJo01,rush_long,20,,,,,
player,201412210chi,det,BellJo01,targets,3,,,,,
player,201412210chi,det,BellJo01,rec,2,,,,,
player,201412210chi,det,BellJo01,rec_yds,13,,,,,
player,201412210chi,det,BellJo01,rec_td,0,,,,,
player,201412210chi,det,BellJo01,rec_long,8,,,,,
player,201412210chi,det,BellJo01,fumbles,1,,,,,
player,201412210chi,det,BellJo01,fumbles_lost,0,,,,,
player,201412210chi,det,BushRe00,pass_cmp,0,,,,,
player,201412210chi,det,BushRe00,pass_att,0,,,,,
player,201412210chi,det,BushRe00,pass_yds,0,,,,,
