game,2014,1,20140908,201409080crd,sdg,"San Diego Chargers",17,crd,"Arizona Cardinals",18
team,201409080crd,sdg,First Downs,15,,,,,,
team,201409080crd,crd,First Downs,22,,,,,,
team,201409080crd,sdg,Rush-Yds-TDs,24-52-1,,,,,,
team,201409080crd,crd,Rush-Yds-TDs,26-109-0,,,,,,
team,201409080crd,sdg,Cmp-Att-Yd-TD-INT,21-36-238-1-1,,,,,,
team,201409080crd,crd,Cmp-Att-Yd-TD-INT,24-37-304-2-0,,,,,,
team,201409080crd,sdg,Sacked-Yards,0-0,,,,,,
team,201409080crd,crd,Sacked-Yards,2-10,,,,,,
team,201409080crd,sdg,Net Pass Yards,238,,,,,,
team,201409080crd,crd,Net Pass Yards,294,,,,,,
team,201409080crd,sdg,Total Yards,290,,,,,,
team,201409080crd,crd,Total Yards,403,,,,,,
team,201409080crd,sdg,Fumbles-Lost,1-0,,,,,,
team,201409080crd,crd,Fumbles-Lost,2-2,,,,,,
team,201409080crd,sdg,Turnovers,1,,,,,,
team,201409080crd,crd,Turnovers,2,,,,,,
team,201409080crd,sdg,Penalties-Yards,6-47,,,,,,
team,201409080crd,crd,Penalties-Yards,5-23,,,,,,
team,201409080crd,sdg,Third Down Conv.,6-15,,,,,,
team,201409080crd,crd,Third Down Conv.,6-13,,,,,,
team,201409080crd,sdg,Fourth Down Conv.,0-1,,,,,,
team,201409080crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201409080crd,sdg,Time of Possession,28:11,,,,,,
team,201409080crd,crd,Time of Possession,31:49,,,,,,
player,201409080crd,sdg,RivePh00,pass_cmp,21,,,,,
player,201409080crd,sdg,RivePh00,pass_att,36,,,,,
player,201409080crd,sdg,RivePh00,pass_yds,238,,,,,
player,201409080crd,sdg,RivePh00,pass_td,1,,,,,
player,201409080crd,sdg,RivePh00,pass_int,1,,,,,
player,201409080crd,sdg,RivePh00,pass_sacked,0,,,,,
player,201409080crd,sdg,RivePh00,pass_sacked_yds,0,,,,,
player,201409080crd,sdg,RivePh00,pass_long,34,,,,,
player,201409080crd,sdg,RivePh00,pass_rating,75.9,,,,,
player,201409080crd,sdg,RivePh00,rush_att,2,,,,,
player,201409080crd,sdg,RivePh00,rush_yds,10,,,,,
player,201409080crd,sdg,RivePh00,rush_td,0,,,,,
player,201409080crd,sdg,RivePh00,rush_long,10,,,,,
player,201409080crd,sdg,RivePh00,targets,0,,,,,
player,201409080crd,sdg,RivePh00,rec,0,,,,,
player,201409080crd,sdg,RivePh00,rec_yds,0,,,,,
player,201409080crd,sdg,RivePh00,rec_td,0,,,,,
player,201409080crd,sdg,RivePh00,rec_long,0,,,,,
player,201409080crd,sdg,RivePh00,fumbles,1,,,,,
player,201409080crd,sdg,RivePh00,fumbles_lost,0,,,,,
player,201409080crd,sdg,MathRy00,pass_cmp,0,,,,,
player,201409080crd,sdg,MathRy00,pass_att,0,,,,,
player,201409080crd,sdg,MathRy00,pass_yds,0,,,,,
player,201409080crd,sdg,MathRy00,pass_td,0,,,,,
player,201409080crd,sdg,MathRy00,pass_int,0,,,,,
player,201409080crd,sdg,MathRy00,pass_sacked,0,,,,,
player,201409080crd,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201409080crd,sdg,MathRy00,pass_long,0,,,,,
player,201409080crd,sdg,MathRy00,pass_rating,,,,,,
player,201409080crd,sdg,MathRy00,rush_att,12,,,,,
player,201409080crd,sdg,MathRy00,rush_yds,40,,,,,
player,201409080crd,sdg,MathRy00,rush_td,1,,,,,
player,201409080crd,sdg,MathRy00,rush_long,20,,,,,
player,201409080crd,sdg,MathRy00,targets,2,,,,,
player,201409080crd,sdg,MathRy00,rec,2,,,,,
player,201409080crd,sdg,MathRy00,rec_yds,20,,,,,
player,201409080crd,sdg,MathRy00,rec_td,0,,,,,
player,201409080crd,sdg,MathRy00,rec_long,12,,,,,
player,201409080crd,sdg,MathRy00,fumbles,0,,,,,
player,201409080crd,sdg,MathRy00,fumbles_lost,0,,,,,
player,201409080crd,sdg,WoodDa02,pass_cmp,0,,,,,
player,201409080crd,sdg,WoodDa02,pass_att,0,,,,,
player,201409080crd,sdg,WoodDa02,pass_yds,0,,,,,
player,201409080crd,sdg,WoodDa02,pass_td,0,,,,,
player,201409080crd,sdg,WoodDa02,pass_int,0,,,,,
player,201409080crd,sdg,WoodDa02,pass_sacked,0,,,,,
player,201409080crd,sdg,WoodDa02,pass_sacked_yds,0,,,,,
player,201409080crd,sdg,WoodDa02,pass_long,0,,,,,
player,201409080crd,sdg,WoodDa02,pass_rating,,,,,,
player,201409080crd,sdg,WoodDa02,rush_att,6,,,,,
player,201409080crd,sdg,WoodDa02,rush_yds,5,,,,,
player,201409080crd,sdg,WoodDa02,rush_td,0,,,,,
player,201409080crd,sdg,WoodDa02,rush_long,5,,,,,
player,201409080crd,sdg,WoodDa02,targets,1,,,,,
player,201409080crd,sdg,WoodDa02,rec,1,,,,,
player,201409080crd,sdg,WoodDa02,rec_yds,6,,,,,
player,201409080crd,sdg,WoodDa02,rec_td,0,,,,,
player,201409080crd,sdg,WoodDa02,rec_long,6,,,,,
player,201409080crd,sdg,WoodDa02,fumbles,0,,,,,
player,201409080crd,sdg,WoodDa02,fumbles_lost,0,,,,,
player,201409080crd,sdg,GateAn00,pass_cmp,0,,,,,
player,201409080crd,sdg,GateAn00,pass_att,0,,,,,
player,201409080crd,sdg,GateAn00,pass_yds,0,,,,,
player,201409080crd,sdg,GateAn00,pass_td,0,,,,,
player,201409080crd,sdg,GateAn00,pass_int,0,,,,,
player,201409080crd,sdg,GateAn00,pass_sacked,0,,,,,
player,201409080crd,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201409080crd,sdg,GateAn00,pass_long,0,,,,,
player,201409080crd,sdg,GateAn00,pass_rating,,,,,,
player,201409080crd,sdg,GateAn00,rush_att,0,,,,,
player,201409080crd,sdg,GateAn00,rush_yds,0,,,,,
player,201409080crd,sdg,GateAn00,rush_td,0,,,,,
player,201409080crd,sdg,GateAn00,rush_long,0,,,,,
player,201409080crd,sdg,GateAn00,targets,10,,,,,
player,201409080crd,sdg,GateAn00,rec,6,,,,,
player,201409080crd,sdg,GateAn00,rec_yds,81,,,,,
player,201409080crd,sdg,GateAn00,rec_td,0,,,,,
player,201409080crd,sdg,GateAn00,rec_long,34,,,,,
player,201409080crd,sdg,GateAn00,fumbles,0,,,,,
