game,2014,12,20141123,201411230chi,tam,"Tampa Bay Buccaneers",13,chi,"Chicago Bears",21
player,201411230chi,tam,LaneJo00,pass_cmp,0,,,,,
player,201411230chi,tam,LaneJo00,pass_att,0,,,,,
player,201411230chi,tam,LaneJo00,pass_yds,0,,,,,
player,201411230chi,tam,LaneJo00,pass_td,0,,,,,
player,201411230chi,tam,LaneJo00,pass_int,0,,,,,
player,201411230chi,tam,LaneJo00,pass_sacked,0,,,,,
player,201411230chi,tam,LaneJo00,pass_sacked_yds,0,,,,,
player,201411230chi,tam,LaneJo00,pass_long,0,,,,,
player,201411230chi,tam,LaneJo00,pass_rating,,,,,,
player,201411230chi,tam,LaneJo00,rush_att,1,,,,,
player,201411230chi,tam,LaneJo00,rush_yds,2,,,,,
player,201411230chi,tam,LaneJo00,rush_td,0,,,,,
player,201411230chi,tam,LaneJo00,rush_long,2,,,,,
player,201411230chi,tam,LaneJo00,targets,0,,,,,
player,201411230chi,tam,LaneJo00,rec,0,,,,,
player,201411230chi,tam,LaneJo00,rec_yds,0,,,,,
player,201411230chi,tam,LaneJo00,rec_td,0,,,,,
player,201411230chi,tam,LaneJo00,rec_long,0,,,,,
player,201411230chi,tam,LaneJo00,fumbles,0,,,,,
player,201411230chi,tam,LaneJo00,fumbles_lost,0,,,,,
player,201411230chi,tam,JackVi00,pass_cmp,0,,,,,
player,201411230chi,tam,JackVi00,pass_att,0,,,,,
player,201411230chi,tam,JackVi00,pass_yds,0,,,,,
player,201411230chi,tam,JackVi00,pass_td,0,,,,,
player,201411230chi,tam,JackVi00,pass_int,0,,,,,
player,201411230chi,tam,JackVi00,pass_sacked,0,,,,,
player,201411230chi,tam,JackVi00,pass_sacked_yds,0,,,,,
player,201411230chi,tam,JackVi00,pass_long,0,,,,,
player,201411230chi,tam,JackVi00,pass_rating,,,,,,
player,201411230chi,tam,JackVi00,rush_att,0,,,,,
player,201411230chi,tam,JackVi00,rush_yds,0,,,,,
player,201411230chi,tam,JackVi00,rush_td,0,,,,,
player,201411230chi,tam,JackVi00,rush_long,0,,,,,
player,201411230chi,tam,JackVi00,targets,9,,,,,
player,201411230chi,tam,JackVi00,rec,5,,,,,
player,201411230chi,tam,JackVi00,rec_yds,117,,,,,
player,201411230chi,tam,JackVi00,rec_td,0,,,,,
player,201411230chi,tam,JackVi00,rec_long,40,,,,,
player,201411230chi,tam,JackVi00,fumbles,1,,,,,
player,201411230chi,tam,JackVi00,fumbles_lost,1,,,,,
player,201411230chi,tam,MurpLo00,pass_cmp,0,,,,,
player,201411230chi,tam,MurpLo00,pass_att,0,,,,,
player,201411230chi,tam,MurpLo00,pass_yds,0,,,,,
player,201411230chi,tam,MurpLo00,pass_td,0,,,,,
player,201411230chi,tam,MurpLo00,pass_int,0,,,,,
player,201411230chi,tam,MurpLo00,pass_sacked,0,,,,,
player,201411230chi,tam,MurpLo00,pass_sacked_yds,0,,,,,
player,201411230chi,tam,MurpLo00,pass_long,0,,,,,
player,201411230chi,tam,MurpLo00,pass_rating,,,,,,
player,201411230chi,tam,MurpLo00,rush_att,0,,,,,
player,201411230chi,tam,MurpLo00,rush_yds,0,,,,,
player,201411230chi,tam,MurpLo00,rush_td,0,,,,,
player,201411230chi,tam,MurpLo00,rush_long,0,,,,,
player,201411230chi,tam,MurpLo00,targets,8,,,,,
player,201411230chi,tam,MurpLo00,rec,6,,,,,
player,201411230chi,tam,MurpLo00,rec_yds,113,,,,,
player,201411230chi,tam,MurpLo00,rec_td,0,,,,,
player,201411230chi,tam,MurpLo00,rec_long,54,,,,,
player,201411230chi,tam,MurpLo00,fumbles,0,,,,,
player,201411230chi,tam,MurpLo00,fumbles_lost,0,,,,,
player,201411230chi,tam,EvanMi00,pass_cmp,0,,,,,
player,201411230chi,tam,EvanMi00,pass_att,0,,,,,
player,201411230chi,tam,EvanMi00,pass_yds,0,,,,,
player,201411230chi,tam,EvanMi00,pass_td,0,,,,,
player,201411230chi,tam,EvanMi00,pass_int,0,,,,,
player,201411230chi,tam,EvanMi00,pass_sacked,0,,,,,
player,201411230chi,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201411230chi,tam,EvanMi00,pass_long,0,,,,,
player,201411230chi,tam,EvanMi00,pass_rating,,,,,,
player,201411230chi,tam,EvanMi00,rush_att,0,,,,,
player,201411230chi,tam,EvanMi00,rush_yds,0,,,,,
player,201411230chi,tam,EvanMi00,rush_td,0,,,,,
player,201411230chi,tam,EvanMi00,rush_long,0,,,,,
player,201411230chi,tam,EvanMi00,targets,11,,,,,
player,201411230chi,tam,EvanMi00,rec,3,,,,,
player,201411230chi,tam,EvanMi00,rec_yds,47,,,,,
player,201411230chi,tam,EvanMi00,rec_td,1,,,,,
player,201411230chi,tam,EvanMi00,rec_long,19,,,,,
player,201411230chi,tam,EvanMi00,fumbles,0,,,,,
player,201411230chi,tam,EvanMi00,fumbles_lost,0,,,,,
player,201411230chi,tam,SefeAu00,pass_cmp,0,,,,,
player,201411230chi,tam,SefeAu00,pass_att,0,,,,,
player,201411230chi,tam,SefeAu00,pass_yds,0,,,,,
player,201411230chi,tam,SefeAu00,pass_td,0,,,,,
player,201411230chi,tam,SefeAu00,pass_int,0,,,,,
player,201411230chi,tam,SefeAu00,pass_sacked,0,,,,,
player,201411230chi,tam,SefeAu00,pass_sacked_yds,0,,,,,
player,201411230chi,tam,SefeAu00,pass_long,0,,,,,
player,201411230chi,tam,SefeAu00,pass_rating,,,,,,
player,201411230chi,tam,SefeAu00,rush_att,0,,,,,
player,201411230chi,tam,SefeAu00,rush_yds,0,,,,,
player,201411230chi,tam,SefeAu00,rush_td,0,,,,,
player,201411230chi,tam,SefeAu00,rush_long,0,,,,,
player,201411230chi,tam,SefeAu00,targets,4,,,,,
player,201411230chi,tam,SefeAu00,rec,2,,,,,
player,201411230chi,tam,SefeAu00,rec_yds,16,,,,,
player,201411230chi,tam,SefeAu00,rec_td,0,,,,,
