game,2014,13,20141130,201411300kan,den,"Denver Broncos",29,kan,"Kansas City Chiefs",16
player,201411300kan,den,SandEm00,pass_td,0,,,,,
player,201411300kan,den,SandEm00,pass_int,0,,,,,
player,201411300kan,den,SandEm00,pass_sacked,0,,,,,
player,201411300kan,den,SandEm00,pass_sacked_yds,0,,,,,
player,201411300kan,den,SandEm00,pass_long,0,,,,,
player,201411300kan,den,SandEm00,pass_rating,,,,,,
player,201411300kan,den,SandEm00,rush_att,0,,,,,
player,201411300kan,den,SandEm00,rush_yds,0,,,,,
player,201411300kan,den,SandEm00,rush_td,0,,,,,
player,201411300kan,den,SandEm00,rush_long,0,,,,,
player,201411300kan,den,SandEm00,targets,11,,,,,
player,201411300kan,den,SandEm00,rec,6,,,,,
player,201411300kan,den,SandEm00,rec_yds,73,,,,,
player,201411300kan,den,SandEm00,rec_td,0,,,,,
player,201411300kan,den,SandEm00,rec_long,23,,,,,
player,201411300kan,den,SandEm00,fumbles,0,,,,,
player,201411300kan,den,SandEm00,fumbles_lost,0,,,,,
player,201411300kan,den,ThomDe03,pass_cmp,0,,,,,
player,201411300kan,den,ThomDe03,pass_att,0,,,,,
player,201411300kan,den,ThomDe03,pass_yds,0,,,,,
player,201411300kan,den,ThomDe03,pass_td,0,,,,,
player,201411300kan,den,ThomDe03,pass_int,0,,,,,
player,201411300kan,den,ThomDe03,pass_sacked,0,,,,,
player,201411300kan,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201411300kan,den,ThomDe03,pass_long,0,,,,,
player,201411300kan,den,ThomDe03,pass_rating,,,,,,
player,201411300kan,den,ThomDe03,rush_att,0,,,,,
player,201411300kan,den,ThomDe03,rush_yds,0,,,,,
player,201411300kan,den,ThomDe03,rush_td,0,,,,,
player,201411300kan,den,ThomDe03,rush_long,0,,,,,
player,201411300kan,den,ThomDe03,targets,13,,,,,
player,201411300kan,den,ThomDe03,rec,6,,,,,
player,201411300kan,den,ThomDe03,rec_yds,63,,,,,
player,201411300kan,den,ThomDe03,rec_td,1,,,,,
player,201411300kan,den,ThomDe03,rec_long,23,,,,,
player,201411300kan,den,ThomDe03,fumbles,0,,,,,
player,201411300kan,den,ThomDe03,fumbles_lost,0,,,,,
player,201411300kan,den,WelkWe00,pass_cmp,0,,,,,
player,201411300kan,den,WelkWe00,pass_att,0,,,,,
