game,2014,8,20141026,201410260crd,phi,"Philadelphia Eagles",20,crd,"Arizona Cardinals",24
player,201410260crd,phi,CoopRi00,rush_yds,0,,,,,
player,201410260crd,phi,CoopRi00,rush_td,0,,,,,
player,201410260crd,phi,CoopRi00,rush_long,0,,,,,
player,201410260crd,phi,CoopRi00,targets,9,,,,,
player,201410260crd,phi,CoopRi00,rec,5,,,,,
player,201410260crd,phi,CoopRi00,rec_yds,88,,,,,
player,201410260crd,phi,CoopRi00,rec_td,0,,,,,
player,201410260crd,phi,CoopRi00,rec_long,50,,,,,
player,201410260crd,phi,CoopRi00,fumbles,0,,,,,
player,201410260crd,phi,CoopRi00,fumbles_lost,0,,,,,
player,201410260crd,phi,ErtzZa00,pass_cmp,0,,,,,
player,201410260crd,phi,ErtzZa00,pass_att,0,,,,,
player,201410260crd,phi,ErtzZa00,pass_yds,0,,,,,
player,201410260crd,phi,ErtzZa00,pass_td,0,,,,,
player,201410260crd,phi,ErtzZa00,pass_int,0,,,,,
player,201410260crd,phi,ErtzZa00,pass_sacked,0,,,,,
player,201410260crd,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201410260crd,phi,ErtzZa00,pass_long,0,,,,,
player,201410260crd,phi,ErtzZa00,pass_rating,,,,,,
player,201410260crd,phi,ErtzZa00,rush_att,0,,,,,
player,201410260crd,phi,ErtzZa00,rush_yds,0,,,,,
player,201410260crd,phi,ErtzZa00,rush_td,0,,,,,
player,201410260crd,phi,ErtzZa00,rush_long,0,,,,,
player,201410260crd,phi,ErtzZa00,targets,8,,,,,
player,201410260crd,phi,ErtzZa00,rec,5,,,,,
player,201410260crd,phi,ErtzZa00,rec_yds,48,,,,,
player,201410260crd,phi,ErtzZa00,rec_td,0,,,,,
player,201410260crd,phi,ErtzZa00,rec_long,15,,,,,
player,201410260crd,phi,ErtzZa00,fumbles,0,,,,,
player,201410260crd,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201410260crd,phi,MattJo00,pass_cmp,0,,,,,
player,201410260crd,phi,MattJo00,pass_att,0,,,,,
player,201410260crd,phi,MattJo00,pass_yds,0,,,,,
player,201410260crd,phi,MattJo00,pass_td,0,,,,,
player,201410260crd,phi,MattJo00,pass_int,0,,,,,
player,201410260crd,phi,MattJo00,pass_sacked,0,,,,,
player,201410260crd,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201410260crd,phi,MattJo00,pass_long,0,,,,,
player,201410260crd,phi,MattJo00,pass_rating,,,,,,
player,201410260crd,phi,MattJo00,rush_att,0,,,,,
player,201410260crd,phi,MattJo00,rush_yds,0,,,,,
player,201410260crd,phi,MattJo00,rush_td,0,,,,,
player,201410260crd,phi,MattJo00,rush_long,0,,,,,
player,201410260crd,phi,MattJo00,targets,11,,,,,
player,201410260crd,phi,MattJo00,rec,6,,,,,
player,201410260crd,phi,MattJo00,rec_yds,47,,,,,
player,201410260crd,phi,MattJo00,rec_td,0,,,,,
player,201410260crd,phi,MattJo00,rec_long,23,,,,,
player,201410260crd,phi,MattJo00,fumbles,0,,,,,
player,201410260crd,phi,MattJo00,fumbles_lost,0,,,,,
player,201410260crd,phi,HuffJo00,pass_cmp,0,,,,,
player,201410260crd,phi,HuffJo00,pass_att,0,,,,,
player,201410260crd,phi,HuffJo00,pass_yds,0,,,,,
player,201410260crd,phi,HuffJo00,pass_td,0,,,,,
player,201410260crd,phi,HuffJo00,pass_int,0,,,,,
player,201410260crd,phi,HuffJo00,pass_sacked,0,,,,,
player,201410260crd,phi,HuffJo00,pass_sacked_yds,0,,,,,
player,201410260crd,phi,HuffJo00,pass_long,0,,,,,
player,201410260crd,phi,HuffJo00,pass_rating,,,,,,
player,201410260crd,phi,HuffJo00,rush_att,0,,,,,
player,201410260crd,phi,HuffJo00,rush_yds,0,,,,,
player,201410260crd,phi,HuffJo00,rush_td,0,,,,,
player,201410260crd,phi,HuffJo00,rush_long,0,,,,,
player,201410260crd,phi,HuffJo00,targets,4,,,,,
player,201410260crd,phi,HuffJo00,rec,1,,,,,
player,201410260crd,phi,HuffJo00,rec_yds,12,,,,,
player,201410260crd,phi,HuffJo00,rec_td,0,,,,,
player,201410260crd,phi,HuffJo00,rec_long,12,,,,,
player,201410260crd,phi,HuffJo00,fumbles,1,,,,,
player,201410260crd,phi,HuffJo00,fumbles_lost,1,,,,,
player,201410260crd,phi,CeleBr00,pass_cmp,0,,,,,
player,201410260crd,phi,CeleBr00,pass_att,0,,,,,
player,201410260crd,phi,CeleBr00,pass_yds,0,,,,,
player,201410260crd,phi,CeleBr00,pass_td,0,,,,,
player,201410260crd,phi,CeleBr00,pass_int,0,,,,,
player,201410260crd,phi,CeleBr00,pass_sacked,0,,,,,
player,201410260crd,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201410260crd,phi,CeleBr00,pass_long,0,,,,,
player,201410260crd,phi,CeleBr00,pass_rating,,,,,,
player,201410260crd,phi,CeleBr00,rush_att,0,,,,,
player,201410260crd,phi,CeleBr00,rush_yds,0,,,,,
player,201410260crd,phi,CeleBr00,rush_td,0,,,,,
player,201410260crd,phi,CeleBr00,rush_long,0,,,,,
player,201410260crd,phi,CeleBr00,targets,4,,,,,
player,201410260crd,phi,CeleBr00,rec,2,,,,,
player,201410260crd,phi,CeleBr00,rec_yds,8,,,,,
player,201410260crd,phi,CeleBr00,rec_td,0,,,,,
player,201410260crd,phi,CeleBr00,rec_long,6,,,,,
player,201410260crd,phi,CeleBr00,fumbles,0,,,,,
player,201410260crd,phi,CeleBr00,fumbles_lost,0,,,,,
player,201410260crd,phi,MaehJe00,pass_cmp,0,,,,,
