game,2014,16,20141221,201412210dal,clt,"Indianapolis Colts",7,dal,"Dallas Cowboys",42
team,201412210dal,clt,First Downs,17,,,,,,
team,201412210dal,dal,First Downs,25,,,,,,
team,201412210dal,clt,Rush-Yds-TDs,10-1-0,,,,,,
team,201412210dal,dal,Rush-Yds-TDs,40-127-1,,,,,,
team,201412210dal,clt,Cmp-Att-Yd-TD-INT,30-44-235-1-2,,,,,,
team,201412210dal,dal,Cmp-Att-Yd-TD-INT,19-21-261-5-0,,,,,,
team,201412210dal,clt,Sacked-Yards,2-7,,,,,,
team,201412210dal,dal,Sacked-Yards,1-11,,,,,,
team,201412210dal,clt,Net Pass Yards,228,,,,,,
team,201412210dal,dal,Net Pass Yards,250,,,,,,
team,201412210dal,clt,Total Yards,229,,,,,,
team,201412210dal,dal,Total Yards,377,,,,,,
team,201412210dal,clt,Fumbles-Lost,1-1,,,,,,
team,201412210dal,dal,Fumbles-Lost,1-1,,,,,,
team,201412210dal,clt,Turnovers,3,,,,,,
team,201412210dal,dal,Turnovers,1,,,,,,
team,201412210dal,clt,Penalties-Yards,8-55,,,,,,
team,201412210dal,dal,Penalties-Yards,7-67,,,,,,
team,201412210dal,clt,Third Down Conv.,5-13,,,,,,
team,201412210dal,dal,Third Down Conv.,5-10,,,,,,
team,201412210dal,clt,Fourth Down Conv.,0-1,,,,,,
team,201412210dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201412210dal,clt,Time of Possession,24:31,,,,,,
team,201412210dal,dal,Time of Possession,35:29,,,,,,
player,201412210dal,clt,LuckAn00,pass_cmp,15,,,,,
player,201412210dal,clt,LuckAn00,pass_att,22,,,,,
player,201412210dal,clt,LuckAn00,pass_yds,109,,,,,
player,201412210dal,clt,LuckAn00,pass_td,0,,,,,
player,201412210dal,clt,LuckAn00,pass_int,2,,,,,
player,201412210dal,clt,LuckAn00,pass_sacked,0,,,,,
player,201412210dal,clt,LuckAn00,pass_sacked_yds,0,,,,,
player,201412210dal,clt,LuckAn00,pass_long,22,,,,,
player,201412210dal,clt,LuckAn00,pass_rating,41.7,,,,,
player,201412210dal,clt,LuckAn00,rush_att,0,,,,,
player,201412210dal,clt,LuckAn00,rush_yds,0,,,,,
player,201412210dal,clt,LuckAn00,rush_td,0,,,,,
player,201412210dal,clt,LuckAn00,rush_long,0,,,,,
player,201412210dal,clt,LuckAn00,targets,0,,,,,
player,201412210dal,clt,LuckAn00,rec,0,,,,,
player,201412210dal,clt,LuckAn00,rec_yds,0,,,,,
player,201412210dal,clt,LuckAn00,rec_td,0,,,,,
player,201412210dal,clt,LuckAn00,rec_long,0,,,,,
player,201412210dal,clt,LuckAn00,fumbles,0,,,,,
player,201412210dal,clt,LuckAn00,fumbles_lost,0,,,,,
player,201412210dal,clt,HassMa00,pass_cmp,15,,,,,
player,201412210dal,clt,HassMa00,pass_att,21,,,,,
player,201412210dal,clt,HassMa00,pass_yds,126,,,,,
player,201412210dal,clt,HassMa00,pass_td,1,,,,,
player,201412210dal,clt,HassMa00,pass_int,0,,,,,
