game,2014,2,20140914,201409140den,kan,"Kansas City Chiefs",17,den,"Denver Broncos",24
player,201409140den,kan,KelcTr00,pass_td,0,,,,,
player,201409140den,kan,KelcTr00,pass_int,0,,,,,
player,201409140den,kan,KelcTr00,pass_sacked,0,,,,,
player,201409140den,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201409140den,kan,KelcTr00,pass_long,0,,,,,
player,201409140den,kan,KelcTr00,pass_rating,,,,,,
player,201409140den,kan,KelcTr00,rush_att,0,,,,,
player,201409140den,kan,KelcTr00,rush_yds,0,,,,,
player,201409140den,kan,KelcTr00,rush_td,0,,,,,
player,201409140den,kan,KelcTr00,rush_long,0,,,,,
player,201409140den,kan,KelcTr00,targets,6,,,,,
player,201409140den,kan,KelcTr00,rec,4,,,,,
player,201409140den,kan,KelcTr00,rec_yds,81,,,,,
player,201409140den,kan,KelcTr00,rec_td,0,,,,,
player,201409140den,kan,KelcTr00,rec_long,24,,,,,
player,201409140den,kan,KelcTr00,fumbles,0,,,,,
player,201409140den,kan,KelcTr00,fumbles_lost,0,,,,,
player,201409140den,kan,BoweDw00,pass_cmp,0,,,,,
player,201409140den,kan,BoweDw00,pass_att,0,,,,,
player,201409140den,kan,BoweDw00,pass_yds,0,,,,,
player,201409140den,kan,BoweDw00,pass_td,0,,,,,
player,201409140den,kan,BoweDw00,pass_int,0,,,,,
player,201409140den,kan,BoweDw00,pass_sacked,0,,,,,
player,201409140den,kan,BoweDw00,pass_sacked_yds,0,,,,,
player,201409140den,kan,BoweDw00,pass_long,0,,,,,
player,201409140den,kan,BoweDw00,pass_rating,,,,,,
player,201409140den,kan,BoweDw00,rush_att,0,,,,,
player,201409140den,kan,BoweDw00,rush_yds,0,,,,,
player,201409140den,kan,BoweDw00,rush_td,0,,,,,
player,201409140den,kan,BoweDw00,rush_long,0,,,,,
player,201409140den,kan,BoweDw00,targets,6,,,,,
player,201409140den,kan,BoweDw00,rec,3,,,,,
player,201409140den,kan,BoweDw00,rec_yds,40,,,,,
player,201409140den,kan,BoweDw00,rec_td,0,,,,,
player,201409140den,kan,BoweDw00,rec_long,21,,,,,
player,201409140den,kan,BoweDw00,fumbles,0,,,,,
player,201409140den,kan,BoweDw00,fumbles_lost,0,,,,,
player,201409140den,kan,FasaAn00,pass_cmp,0,,,,,
player,201409140den,kan,FasaAn00,pass_att,0,,,,,
player,201409140den,kan,FasaAn00,pass_yds,0,,,,,
player,201409140den,kan,FasaAn00,pass_td,0,,,,,
player,201409140den,kan,FasaAn00,pass_int,0,,,,,
player,201409140den,kan,FasaAn00,pass_sacked,0,,,,,
player,201409140den,kan,FasaAn00,pass_sacked_yds,0,,,,,
player,201409140den,kan,FasaAn00,pass_long,0,,,,,
player,201409140den,kan,FasaAn00,pass_rating,,,,,,
player,201409140den,kan,FasaAn00,rush_att,0,,,,,
player,201409140den,kan,FasaAn00,rush_yds,0,,,,,
player,201409140den,kan,FasaAn00,rush_td,0,,,,,
player,201409140den,kan,FasaAn00,rush_long,0,,,,,
player,201409140den,kan,FasaAn00,targets,4,,,,,
player,201409140den,kan,FasaAn00,rec,3,,,,,
player,201409140den,kan,FasaAn00,rec_yds,39,,,,,
player,201409140den,kan,FasaAn00,rec_td,0,,,,,
player,201409140den,kan,FasaAn00,rec_long,22,,,,,
player,201409140den,kan,FasaAn00,fumbles,0,,,,,
player,201409140den,kan,FasaAn00,fumbles_lost,0,,,,,
player,201409140den,kan,HemiJu00,pass_cmp,0,,,,,
player,201409140den,kan,HemiJu00,pass_att,0,,,,,
player,201409140den,kan,HemiJu00,pass_yds,0,,,,,
player,201409140den,kan,HemiJu00,pass_td,0,,,,,
player,201409140den,kan,HemiJu00,pass_int,0,,,,,
player,201409140den,kan,HemiJu00,pass_sacked,0,,,,,
player,201409140den,kan,HemiJu00,pass_sacked_yds,0,,,,,
player,201409140den,kan,HemiJu00,pass_long,0,,,,,
player,201409140den,kan,HemiJu00,pass_rating,,,,,,
player,201409140den,kan,HemiJu00,rush_att,0,,,,,
player,201409140den,kan,HemiJu00,rush_yds,0,,,,,
player,201409140den,kan,HemiJu00,rush_td,0,,,,,
player,201409140den,kan,HemiJu00,rush_long,0,,,,,
player,201409140den,kan,HemiJu00,targets,5,,,,,
player,201409140den,kan,HemiJu00,rec,2,,,,,
player,201409140den,kan,HemiJu00,rec_yds,21,,,,,
player,201409140den,kan,HemiJu00,rec_td,0,,,,,
player,201409140den,kan,HemiJu00,rec_long,13,,,,,
player,201409140den,kan,HemiJu00,fumbles,0,,,,,
player,201409140den,kan,HemiJu00,fumbles_lost,0,,,,,
player,201409140den,kan,JenkA.00,pass_cmp,0,,,,,
player,201409140den,kan,JenkA.00,pass_att,0,,,,,
player,201409140den,kan,JenkA.00,pass_yds,0,,,,,
player,201409140den,kan,JenkA.00,pass_td,0,,,,,
player,201409140den,kan,JenkA.00,pass_int,0,,,,,
player,201409140den,kan,JenkA.00,pass_sacked,0,,,,,
player,201409140den,kan,JenkA.00,pass_sacked_yds,0,,,,,
player,201409140den,kan,JenkA.00,pass_long,0,,,,,
player,201409140den,kan,JenkA.00,pass_rating,,,,,,
player,201409140den,kan,JenkA.00,rush_att,0,,,,,
player,201409140den,kan,JenkA.00,rush_yds,0,,,,,
player,201409140den,kan,JenkA.00,rush_td,0,,,,,
player,201409140den,kan,JenkA.00,rush_long,0,,,,,
player,201409140den,kan,JenkA.00,targets,3,,,,,
player,201409140den,kan,JenkA.00,rec,3,,,,,
player,201409140den,kan,JenkA.00,rec_yds,16,,,,,
player,201409140den,kan,JenkA.00,rec_td,0,,,,,
player,201409140den,kan,JenkA.00,rec_long,11,,,,,
player,201409140den,kan,JenkA.00,fumbles,0,,,,,
player,201409140den,kan,JenkA.00,fumbles_lost,0,,,,,
player,201409140den,kan,AverDo00,pass_cmp,0,,,,,
player,201409140den,kan,AverDo00,pass_att,0,,,,,
player,201409140den,kan,AverDo00,pass_yds,0,,,,,
player,201409140den,kan,AverDo00,pass_td,0,,,,,
player,201409140den,kan,AverDo00,pass_int,0,,,,,
player,201409140den,kan,AverDo00,pass_sacked,0,,,,,
player,201409140den,kan,AverDo00,pass_sacked_yds,0,,,,,
player,201409140den,kan,AverDo00,pass_long,0,,,,,
player,201409140den,kan,AverDo00,pass_rating,,,,,,
player,201409140den,kan,AverDo00,rush_att,0,,,,,
player,201409140den,kan,AverDo00,rush_yds,0,,,,,
player,201409140den,kan,AverDo00,rush_td,0,,,,,
player,201409140den,kan,AverDo00,rush_long,0,,,,,
player,201409140den,kan,AverDo00,targets,6,,,,,
player,201409140den,kan,AverDo00,rec,3,,,,,
player,201409140den,kan,AverDo00,rec_yds,14,,,,,
player,201409140den,kan,AverDo00,rec_td,0,,,,,
player,201409140den,kan,AverDo00,rec_long,6,,,,,
player,201409140den,kan,AverDo00,fumbles,0,,,,,
player,201409140den,kan,AverDo00,fumbles_lost,0,,,,,
player,201409140den,kan,HarrDe03,pass_cmp,0,,,,,
player,201409140den,kan,HarrDe03,pass_att,0,,,,,
player,201409140den,kan,HarrDe03,pass_yds,0,,,,,
player,201409140den,kan,HarrDe03,pass_td,0,,,,,
player,201409140den,kan,HarrDe03,pass_int,0,,,,,
player,201409140den,kan,HarrDe03,pass_sacked,0,,,,,
player,201409140den,kan,HarrDe03,pass_sacked_yds,0,,,,,
player,201409140den,kan,HarrDe03,pass_long,0,,,,,
player,201409140den,kan,HarrDe03,pass_rating,,,,,,
player,201409140den,kan,HarrDe03,rush_att,0,,,,,
player,201409140den,kan,HarrDe03,rush_yds,0,,,,,
player,201409140den,kan,HarrDe03,rush_td,0,,,,,
player,201409140den,kan,HarrDe03,rush_long,0,,,,,
player,201409140den,kan,HarrDe03,targets,1,,,,,
player,201409140den,kan,HarrDe03,rec,1,,,,,
player,201409140den,kan,HarrDe03,rec_yds,10,,,,,
player,201409140den,kan,HarrDe03,rec_td,0,,,,,
player,201409140den,kan,HarrDe03,rec_long,10,,,,,
player,201409140den,kan,HarrDe03,fumbles,0,,,,,
player,201409140den,kan,HarrDe03,fumbles_lost,0,,,,,
player,201409140den,den,MannPe00,pass_cmp,21,,,,,
player,201409140den,den,MannPe00,pass_att,26,,,,,
player,201409140den,den,MannPe00,pass_yds,242,,,,,
player,201409140den,den,MannPe00,pass_td,3,,,,,
player,201409140den,den,MannPe00,pass_int,0,,,,,
player,201409140den,den,MannPe00,pass_sacked,1,,,,,
player,201409140den,den,MannPe00,pass_sacked_yds,5,,,,,
player,201409140den,den,MannPe00,pass_long,48,,,,,
player,201409140den,den,MannPe00,pass_rating,143.9,,,,,
player,201409140den,den,MannPe00,rush_att,1,,,,,
