game,2014,8,20141026,201410260tam,min,"Minnesota Vikings",19,tam,"Tampa Bay Buccaneers",13
team,201410260tam,min,First Downs,22,,,,,,
team,201410260tam,tam,First Downs,15,,,,,,
team,201410260tam,min,Rush-Yds-TDs,22-97-0,,,,,,
team,201410260tam,tam,Rush-Yds-TDs,23-66-0,,,,,,
team,201410260tam,min,Cmp-Att-Yd-TD-INT,24-42-241-1-0,,,,,,
team,201410260tam,tam,Cmp-Att-Yd-TD-INT,19-28-171-1-1,,,,,,
team,201410260tam,min,Sacked-Yards,1-6,,,,,,
team,201410260tam,tam,Sacked-Yards,5-12,,,,,,
team,201410260tam,min,Net Pass Yards,235,,,,,,
team,201410260tam,tam,Net Pass Yards,159,,,,,,
team,201410260tam,min,Total Yards,332,,,,,,
team,201410260tam,tam,Total Yards,225,,,,,,
team,201410260tam,min,Fumbles-Lost,0-0,,,,,,
team,201410260tam,tam,Fumbles-Lost,2-1,,,,,,
team,201410260tam,min,Turnovers,0,,,,,,
team,201410260tam,tam,Turnovers,2,,,,,,
team,201410260tam,min,Penalties-Yards,6-59,,,,,,
team,201410260tam,tam,Penalties-Yards,8-52,,,,,,
team,201410260tam,min,Third Down Conv.,6-15,,,,,,
team,201410260tam,tam,Third Down Conv.,1-12,,,,,,
team,201410260tam,min,Fourth Down Conv.,0-0,,,,,,
team,201410260tam,tam,Fourth Down Conv.,2-2,,,,,,
team,201410260tam,min,Time of Possession,30:34,,,,,,
team,201410260tam,tam,Time of Possession,29:43,,,,,,
player,201410260tam,min,BridTe00,pass_cmp,24,,,,,
player,201410260tam,min,BridTe00,pass_att,42,,,,,
player,201410260tam,min,BridTe00,pass_yds,241,,,,,
player,201410260tam,min,BridTe00,pass_td,1,,,,,
player,201410260tam,min,BridTe00,pass_int,0,,,,,
player,201410260tam,min,BridTe00,pass_sacked,1,,,,,
player,201410260tam,min,BridTe00,pass_sacked_yds,6,,,,,
player,201410260tam,min,BridTe00,pass_long,28,,,,,
player,201410260tam,min,BridTe00,pass_rating,81.5,,,,,
player,201410260tam,min,BridTe00,rush_att,1,,,,,
player,201410260tam,min,BridTe00,rush_yds,3,,,,,
player,201410260tam,min,BridTe00,rush_td,0,,,,,
player,201410260tam,min,BridTe00,rush_long,3,,,,,
player,201410260tam,min,BridTe00,targets,0,,,,,
player,201410260tam,min,BridTe00,rec,0,,,,,
player,201410260tam,min,BridTe00,rec_yds,0,,,,,
player,201410260tam,min,BridTe00,rec_td,0,,,,,
player,201410260tam,min,BridTe00,rec_long,0,,,,,
player,201410260tam,min,BridTe00,fumbles,0,,,,,
player,201410260tam,min,BridTe00,fumbles_lost,0,,,,,
player,201410260tam,min,McKiJe00,pass_cmp,0,,,,,
player,201410260tam,min,McKiJe00,pass_att,0,,,,,
player,201410260tam,min,McKiJe00,pass_yds,0,,,,,
player,201410260tam,min,McKiJe00,pass_td,0,,,,,
player,201410260tam,min,McKiJe00,pass_int,0,,,,,
player,201410260tam,min,McKiJe00,pass_sacked,0,,,,,
player,201410260tam,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201410260tam,min,McKiJe00,pass_long,0,,,,,
player,201410260tam,min,McKiJe00,pass_rating,,,,,,
player,201410260tam,min,McKiJe00,rush_att,16,,,,,
player,201410260tam,min,McKiJe00,rush_yds,83,,,,,
