game,2014,6,20141012,201410120min,det,"Detroit Lions",17,min,"Minnesota Vikings",3
team,201410120min,det,First Downs,18,,,,,,
team,201410120min,min,First Downs,15,,,,,,
team,201410120min,det,Rush-Yds-TDs,28-100-1,,,,,,
team,201410120min,min,Rush-Yds-TDs,18-69-0,,,,,,
team,201410120min,det,Cmp-Att-Yd-TD-INT,19-33-185-1-0,,,,,,
team,201410120min,min,Cmp-Att-Yd-TD-INT,23-37-188-0-3,,,,,,
team,201410120min,det,Sacked-Yards,4-30,,,,,,
team,201410120min,min,Sacked-Yards,8-45,,,,,,
team,201410120min,det,Net Pass Yards,155,,,,,,
team,201410120min,min,Net Pass Yards,143,,,,,,
team,201410120min,det,Total Yards,255,,,,,,
team,201410120min,min,Total Yards,212,,,,,,
team,201410120min,det,Fumbles-Lost,0-0,,,,,,
team,201410120min,min,Fumbles-Lost,1-0,,,,,,
team,201410120min,det,Turnovers,0,,,,,,
team,201410120min,min,Turnovers,3,,,,,,
team,201410120min,det,Penalties-Yards,5-40,,,,,,
team,201410120min,min,Penalties-Yards,9-60,,,,,,
team,201410120min,det,Third Down Conv.,1-13,,,,,,
team,201410120min,min,Third Down Conv.,3-14,,,,,,
team,201410120min,det,Fourth Down Conv.,1-2,,,,,,
team,201410120min,min,Fourth Down Conv.,0-1,,,,,,
team,201410120min,det,Time of Possession,32:21,,,,,,
team,201410120min,min,Time of Possession,27:39,,,,,,
player,201410120min,det,StafMa00,pass_cmp,19,,,,,
player,201410120min,det,StafMa00,pass_att,33,,,,,
player,201410120min,det,StafMa00,pass_yds,185,,,,,
player,201410120min,det,StafMa00,pass_td,1,,,,,
player,201410120min,det,StafMa00,pass_int,0,,,,,
player,201410120min,det,StafMa00,pass_sacked,4,,,,,
player,201410120min,det,StafMa00,pass_sacked_yds,30,,,,,
player,201410120min,det,StafMa00,pass_long,41,,,,,
player,201410120min,det,StafMa00,pass_rating,83.5,,,,,
player,201410120min,det,StafMa00,rush_att,1,,,,,
player,201410120min,det,StafMa00,rush_yds,1,,,,,
player,201410120min,det,StafMa00,rush_td,0,,,,,
player,201410120min,det,StafMa00,rush_long,1,,,,,
player,201410120min,det,StafMa00,targets,0,,,,,
player,201410120min,det,StafMa00,rec,0,,,,,
player,201410120min,det,StafMa00,rec_yds,0,,,,,
player,201410120min,det,StafMa00,rec_td,0,,,,,
player,201410120min,det,StafMa00,rec_long,0,,,,,
player,201410120min,det,StafMa00,fumbles,0,,,,,
player,201410120min,det,StafMa00,fumbles_lost,0,,,,,
player,201410120min,det,BellJo01,pass_cmp,0,,,,,
player,201410120min,det,BellJo01,pass_att,0,,,,,
player,201410120min,det,BellJo01,pass_yds,0,,,,,
player,201410120min,det,BellJo01,pass_td,0,,,,,
player,201410120min,det,BellJo01,pass_int,0,,,,,
