game,2014,12,20141123,201411230den,mia,"Miami Dolphins",36,den,"Denver Broncos",39
team,201411230den,mia,First Downs,25,,,,,,
team,201411230den,den,First Downs,29,,,,,,
team,201411230den,mia,Rush-Yds-TDs,21-97-2,,,,,,
team,201411230den,den,Rush-Yds-TDs,35-201-1,,,,,,
team,201411230den,mia,Cmp-Att-Yd-TD-INT,26-36-228-3-1,,,,,,
team,201411230den,den,Cmp-Att-Yd-TD-INT,28-35-257-4-0,,,,,,
team,201411230den,mia,Sacked-Yards,1-12,,,,,,
team,201411230den,den,Sacked-Yards,1-8,,,,,,
team,201411230den,mia,Net Pass Yards,216,,,,,,
team,201411230den,den,Net Pass Yards,249,,,,,,
team,201411230den,mia,Total Yards,313,,,,,,
team,201411230den,den,Total Yards,450,,,,,,
team,201411230den,mia,Fumbles-Lost,3-0,,,,,,
team,201411230den,den,Fumbles-Lost,1-1,,,,,,
team,201411230den,mia,Turnovers,1,,,,,,
team,201411230den,den,Turnovers,1,,,,,,
team,201411230den,mia,Penalties-Yards,6-50,,,,,,
team,201411230den,den,Penalties-Yards,9-98,,,,,,
team,201411230den,mia,Third Down Conv.,4-8,,,,,,
team,201411230den,den,Third Down Conv.,9-13,,,,,,
team,201411230den,mia,Fourth Down Conv.,1-1,,,,,,
team,201411230den,den,Fourth Down Conv.,1-1,,,,,,
team,201411230den,mia,Time of Possession,25:43,,,,,,
team,201411230den,den,Time of Possession,34:17,,,,,,
player,201411230den,mia,TannRy00,pass_cmp,26,,,,,
player,201411230den,mia,TannRy00,pass_att,36,,,,,
player,201411230den,mia,TannRy00,pass_yds,228,,,,,
player,201411230den,mia,TannRy00,pass_td,3,,,,,
player,201411230den,mia,TannRy00,pass_int,1,,,,,
player,201411230den,mia,TannRy00,pass_sacked,1,,,,,
player,201411230den,mia,TannRy00,pass_sacked_yds,12,,,,,
player,201411230den,mia,TannRy00,pass_long,21,,,,,
player,201411230den,mia,TannRy00,pass_rating,104.9,,,,,
player,201411230den,mia,TannRy00,rush_att,4,,,,,
player,201411230den,mia,TannRy00,rush_yds,15,,,,,
player,201411230den,mia,TannRy00,rush_td,1,,,,,
player,201411230den,mia,TannRy00,rush_long,8,,,,,
player,201411230den,mia,TannRy00,targets,0,,,,,
player,201411230den,mia,TannRy00,rec,0,,,,,
player,201411230den,mia,TannRy00,rec_yds,0,,,,,
player,201411230den,mia,TannRy00,rec_td,0,,,,,
player,201411230den,mia,TannRy00,rec_long,0,,,,,
player,201411230den,mia,TannRy00,fumbles,0,,,,,
player,201411230den,mia,TannRy00,fumbles_lost,0,,,,,
player,201411230den,mia,MillLa01,pass_cmp,0,,,,,
player,201411230den,mia,MillLa01,pass_att,0,,,,,
player,201411230den,mia,MillLa01,pass_yds,0,,,,,
player,201411230den,mia,MillLa01,pass_td,0,,,,,
player,201411230den,mia,MillLa01,pass_int,0,,,,,
player,201411230den,mia,MillLa01,pass_sacked,0,,,,,
