game,2014,1,20140904,201409040sea,gnb,"Green Bay Packers",16,sea,"Seattle Seahawks",36
team,201409040sea,gnb,First Downs,19,,,,,,
team,201409040sea,sea,First Downs,25,,,,,,
team,201409040sea,gnb,Rush-Yds-TDs,21-80-1,,,,,,
team,201409040sea,sea,Rush-Yds-TDs,37-207-2,,,,,,
team,201409040sea,gnb,Cmp-Att-Yd-TD-INT,23-33-189-1-1,,,,,,
team,201409040sea,sea,Cmp-Att-Yd-TD-INT,19-28-191-2-0,,,,,,
team,201409040sea,gnb,Sacked-Yards,3-14,,,,,,
team,201409040sea,sea,Sacked-Yards,1-0,,,,,,
team,201409040sea,gnb,Net Pass Yards,175,,,,,,
team,201409040sea,sea,Net Pass Yards,191,,,,,,
team,201409040sea,gnb,Total Yards,255,,,,,,
team,201409040sea,sea,Total Yards,398,,,,,,
team,201409040sea,gnb,Fumbles-Lost,1-0,,,,,,
team,201409040sea,sea,Fumbles-Lost,2-1,,,,,,
team,201409040sea,gnb,Turnovers,1,,,,,,
team,201409040sea,sea,Turnovers,1,,,,,,
team,201409040sea,gnb,Penalties-Yards,8-65,,,,,,
team,201409040sea,sea,Penalties-Yards,4-69,,,,,,
team,201409040sea,gnb,Third Down Conv.,6-12,,,,,,
team,201409040sea,sea,Third Down Conv.,4-11,,,,,,
team,201409040sea,gnb,Fourth Down Conv.,0-1,,,,,,
team,201409040sea,sea,Fourth Down Conv.,1-1,,,,,,
team,201409040sea,gnb,Time of Possession,26:40,,,,,,
team,201409040sea,sea,Time of Possession,33:20,,,,,,
player,201409040sea,gnb,RodgAa00,pass_cmp,23,,,,,
player,201409040sea,gnb,RodgAa00,pass_att,33,,,,,
player,201409040sea,gnb,RodgAa00,pass_yds,189,,,,,
player,201409040sea,gnb,RodgAa00,pass_td,1,,,,,
player,201409040sea,gnb,RodgAa00,pass_int,1,,,,,
player,201409040sea,gnb,RodgAa00,pass_sacked,3,,,,,
player,201409040sea,gnb,RodgAa00,pass_sacked_yds,14,,,,,
player,201409040sea,gnb,RodgAa00,pass_long,23,,,,,
player,201409040sea,gnb,RodgAa00,pass_rating,81.5,,,,,
player,201409040sea,gnb,RodgAa00,rush_att,0,,,,,
player,201409040sea,gnb,RodgAa00,rush_yds,0,,,,,
player,201409040sea,gnb,RodgAa00,rush_td,0,,,,,
player,201409040sea,gnb,RodgAa00,rush_long,0,,,,,
player,201409040sea,gnb,RodgAa00,targets,0,,,,,
player,201409040sea,gnb,RodgAa00,rec,0,,,,,
player,201409040sea,gnb,RodgAa00,rec_yds,0,,,,,
player,201409040sea,gnb,RodgAa00,rec_td,0,,,,,
player,201409040sea,gnb,RodgAa00,rec_long,0,,,,,
player,201409040sea,gnb,RodgAa00,fumbles,1,,,,,
player,201409040sea,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201409040sea,gnb,StarJa00,pass_cmp,0,,,,,
player,201409040sea,gnb,StarJa00,pass_att,0,,,,,
player,201409040sea,gnb,StarJa00,pass_yds,0,,,,,
player,201409040sea,gnb,StarJa00,pass_td,0,,,,,
player,201409040sea,gnb,StarJa00,pass_int,0,,,,,
player,201409040sea,gnb,StarJa00,pass_sacked,0,,,,,
player,201409040sea,gnb,StarJa00,pass_sacked_yds,0,,,,,
player,201409040sea,gnb,StarJa00,pass_long,0,,,,,
player,201409040sea,gnb,StarJa00,pass_rating,,,,,,
player,201409040sea,gnb,StarJa00,rush_att,7,,,,,
player,201409040sea,gnb,StarJa00,rush_yds,37,,,,,
player,201409040sea,gnb,StarJa00,rush_td,0,,,,,
player,201409040sea,gnb,StarJa00,rush_long,12,,,,,
player,201409040sea,gnb,StarJa00,targets,3,,,,,
player,201409040sea,gnb,StarJa00,rec,2,,,,,
player,201409040sea,gnb,StarJa00,rec_yds,11,,,,,
player,201409040sea,gnb,StarJa00,rec_td,0,,,,,
player,201409040sea,gnb,StarJa00,rec_long,11,,,,,
player,201409040sea,gnb,StarJa00,fumbles,0,,,,,
player,201409040sea,gnb,StarJa00,fumbles_lost,0,,,,,
player,201409040sea,gnb,LacyEd00,pass_cmp,0,,,,,
player,201409040sea,gnb,LacyEd00,pass_att,0,,,,,
player,201409040sea,gnb,LacyEd00,pass_yds,0,,,,,
player,201409040sea,gnb,LacyEd00,pass_td,0,,,,,
player,201409040sea,gnb,LacyEd00,pass_int,0,,,,,
player,201409040sea,gnb,LacyEd00,pass_sacked,0,,,,,
player,201409040sea,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201409040sea,gnb,LacyEd00,pass_long,0,,,,,
player,201409040sea,gnb,LacyEd00,pass_rating,,,,,,
player,201409040sea,gnb,LacyEd00,rush_att,12,,,,,
player,201409040sea,gnb,LacyEd00,rush_yds,34,,,,,
player,201409040sea,gnb,LacyEd00,rush_td,0,,,,,
player,201409040sea,gnb,LacyEd00,rush_long,15,,,,,
player,201409040sea,gnb,LacyEd00,targets,3,,,,,
player,201409040sea,gnb,LacyEd00,rec,3,,,,,
player,201409040sea,gnb,LacyEd00,rec_yds,11,,,,,
player,201409040sea,gnb,LacyEd00,rec_td,0,,,,,
player,201409040sea,gnb,LacyEd00,rec_long,12,,,,,
player,201409040sea,gnb,LacyEd00,fumbles,0,,,,,
player,201409040sea,gnb,LacyEd00,fumbles_lost,0,,,,,
player,201409040sea,gnb,HarrDu01,pass_cmp,0,,,,,
player,201409040sea,gnb,HarrDu01,pass_att,0,,,,,
player,201409040sea,gnb,HarrDu01,pass_yds,0,,,,,
player,201409040sea,gnb,HarrDu01,pass_td,0,,,,,
player,201409040sea,gnb,HarrDu01,pass_int,0,,,,,
player,201409040sea,gnb,HarrDu01,pass_sacked,0,,,,,
player,201409040sea,gnb,HarrDu01,pass_sacked_yds,0,,,,,
player,201409040sea,gnb,HarrDu01,pass_long,0,,,,,
player,201409040sea,gnb,HarrDu01,pass_rating,,,,,,
player,201409040sea,gnb,HarrDu01,rush_att,1,,,,,
