game,2014,1,20140907,201409070kan,oti,"Tennessee Titans",26,kan,"Kansas City Chiefs",10
team,201409070kan,oti,First Downs,24,,,,,,
team,201409070kan,kan,First Downs,15,,,,,,
team,201409070kan,oti,Rush-Yds-TDs,38-162-0,,,,,,
team,201409070kan,kan,Rush-Yds-TDs,17-67-0,,,,,,
team,201409070kan,oti,Cmp-Att-Yd-TD-INT,22-33-266-2-0,,,,,,
team,201409070kan,kan,Cmp-Att-Yd-TD-INT,19-35-202-1-3,,,,,,
team,201409070kan,oti,Sacked-Yards,4-23,,,,,,
team,201409070kan,kan,Sacked-Yards,4-24,,,,,,
team,201409070kan,oti,Net Pass Yards,243,,,,,,
team,201409070kan,kan,Net Pass Yards,178,,,,,,
team,201409070kan,oti,Total Yards,405,,,,,,
team,201409070kan,kan,Total Yards,245,,,,,,
team,201409070kan,oti,Fumbles-Lost,1-0,,,,,,
team,201409070kan,kan,Fumbles-Lost,0-0,,,,,,
team,201409070kan,oti,Turnovers,0,,,,,,
team,201409070kan,kan,Turnovers,3,,,,,,
team,201409070kan,oti,Penalties-Yards,12-110,,,,,,
team,201409070kan,kan,Penalties-Yards,3-25,,,,,,
team,201409070kan,oti,Third Down Conv.,7-16,,,,,,
team,201409070kan,kan,Third Down Conv.,1-12,,,,,,
team,201409070kan,oti,Fourth Down Conv.,0-0,,,,,,
team,201409070kan,kan,Fourth Down Conv.,1-2,,,,,,
team,201409070kan,oti,Time of Possession,37:44,,,,,,
team,201409070kan,kan,Time of Possession,22:16,,,,,,
player,201409070kan,oti,LockJa00,pass_cmp,22,,,,,
player,201409070kan,oti,LockJa00,pass_att,33,,,,,
player,201409070kan,oti,LockJa00,pass_yds,266,,,,,
player,201409070kan,oti,LockJa00,pass_td,2,,,,,
player,201409070kan,oti,LockJa00,pass_int,0,,,,,
player,201409070kan,oti,LockJa00,pass_sacked,4,,,,,
player,201409070kan,oti,LockJa00,pass_sacked_yds,23,,,,,
player,201409070kan,oti,LockJa00,pass_long,39,,,,,
player,201409070kan,oti,LockJa00,pass_rating,111.4,,,,,
player,201409070kan,oti,LockJa00,rush_att,6,,,,,
player,201409070kan,oti,LockJa00,rush_yds,14,,,,,
player,201409070kan,oti,LockJa00,rush_td,0,,,,,
player,201409070kan,oti,LockJa00,rush_long,8,,,,,
player,201409070kan,oti,LockJa00,targets,0,,,,,
player,201409070kan,oti,LockJa00,rec,0,,,,,
player,201409070kan,oti,LockJa00,rec_yds,0,,,,,
player,201409070kan,oti,LockJa00,rec_td,0,,,,,
player,201409070kan,oti,LockJa00,rec_long,0,,,,,
player,201409070kan,oti,LockJa00,fumbles,0,,,,,
player,201409070kan,oti,LockJa00,fumbles_lost,0,,,,,
player,201409070kan,oti,GreeSh00,pass_cmp,0,,,,,
player,201409070kan,oti,GreeSh00,pass_att,0,,,,,
player,201409070kan,oti,GreeSh00,pass_yds,0,,,,,
player,201409070kan,oti,GreeSh00,pass_td,0,,,,,
