game,2014,2,20140914,201409140min,nwe,"New England Patriots",30,min,"Minnesota Vikings",7
team,201409140min,nwe,First Downs,16,,,,,,
team,201409140min,min,First Downs,17,,,,,,
team,201409140min,nwe,Rush-Yds-TDs,37-150-1,,,,,,
team,201409140min,min,Rush-Yds-TDs,19-54-0,,,,,,
team,201409140min,nwe,Cmp-Att-Yd-TD-INT,14-21-149-1-0,,,,,,
team,201409140min,min,Cmp-Att-Yd-TD-INT,19-36-202-1-4,,,,,,
team,201409140min,nwe,Sacked-Yards,1-7,,,,,,
team,201409140min,min,Sacked-Yards,6-39,,,,,,
team,201409140min,nwe,Net Pass Yards,142,,,,,,
team,201409140min,min,Net Pass Yards,163,,,,,,
team,201409140min,nwe,Total Yards,292,,,,,,
team,201409140min,min,Total Yards,217,,,,,,
team,201409140min,nwe,Fumbles-Lost,1-0,,,,,,
team,201409140min,min,Fumbles-Lost,1-0,,,,,,
team,201409140min,nwe,Turnovers,0,,,,,,
team,201409140min,min,Turnovers,4,,,,,,
team,201409140min,nwe,Penalties-Yards,15-163,,,,,,
team,201409140min,min,Penalties-Yards,7-58,,,,,,
team,201409140min,nwe,Third Down Conv.,5-14,,,,,,
team,201409140min,min,Third Down Conv.,4-11,,,,,,
team,201409140min,nwe,Fourth Down Conv.,0-1,,,,,,
team,201409140min,min,Fourth Down Conv.,0-1,,,,,,
team,201409140min,nwe,Time of Possession,31:34,,,,,,
team,201409140min,min,Time of Possession,28:26,,,,,,
player,201409140min,nwe,BradTo00,pass_cmp,14,,,,,
player,201409140min,nwe,BradTo00,pass_att,21,,,,,
player,201409140min,nwe,BradTo00,pass_yds,149,,,,,
player,201409140min,nwe,BradTo00,pass_td,1,,,,,
player,201409140min,nwe,BradTo00,pass_int,0,,,,,
player,201409140min,nwe,BradTo00,pass_sacked,1,,,,,
player,201409140min,nwe,BradTo00,pass_sacked_yds,7,,,,,
player,201409140min,nwe,BradTo00,pass_long,44,,,,,
player,201409140min,nwe,BradTo00,pass_rating,103.1,,,,,
player,201409140min,nwe,BradTo00,rush_att,1,,,,,
player,201409140min,nwe,BradTo00,rush_yds,0,,,,,
player,201409140min,nwe,BradTo00,rush_td,0,,,,,
player,201409140min,nwe,BradTo00,rush_long,0,,,,,
player,201409140min,nwe,BradTo00,targets,0,,,,,
player,201409140min,nwe,BradTo00,rec,0,,,,,
player,201409140min,nwe,BradTo00,rec_yds,0,,,,,
player,201409140min,nwe,BradTo00,rec_td,0,,,,,
player,201409140min,nwe,BradTo00,rec_long,0,,,,,
player,201409140min,nwe,BradTo00,fumbles,0,,,,,
player,201409140min,nwe,BradTo00,fumbles_lost,0,,,,,
player,201409140min,nwe,RidlSt00,pass_cmp,0,,,,,
player,201409140min,nwe,RidlSt00,pass_att,0,,,,,
player,201409140min,nwe,RidlSt00,pass_yds,0,,,,,
player,201409140min,nwe,RidlSt00,pass_td,0,,,,,
player,201409140min,nwe,RidlSt00,pass_int,0,,,,,
