game,2014,14,20141207,201412070phi,sea,"Seattle Seahawks",24,phi,"Philadelphia Eagles",14
player,201412070phi,sea,TurbRo00,pass_cmp,0,,,,,
player,201412070phi,sea,TurbRo00,pass_att,0,,,,,
player,201412070phi,sea,TurbRo00,pass_yds,0,,,,,
player,201412070phi,sea,TurbRo00,pass_td,0,,,,,
player,201412070phi,sea,TurbRo00,pass_int,0,,,,,
player,201412070phi,sea,TurbRo00,pass_sacked,0,,,,,
player,201412070phi,sea,TurbRo00,pass_sacked_yds,0,,,,,
player,201412070phi,sea,TurbRo00,pass_long,0,,,,,
player,201412070phi,sea,TurbRo00,pass_rating,,,,,,
player,201412070phi,sea,TurbRo00,rush_att,4,,,,,
player,201412070phi,sea,TurbRo00,rush_yds,7,,,,,
player,201412070phi,sea,TurbRo00,rush_td,0,,,,,
player,201412070phi,sea,TurbRo00,rush_long,5,,,,,
player,201412070phi,sea,TurbRo00,targets,2,,,,,
player,201412070phi,sea,TurbRo00,rec,1,,,,,
player,201412070phi,sea,TurbRo00,rec_yds,14,,,,,
player,201412070phi,sea,TurbRo00,rec_td,0,,,,,
player,201412070phi,sea,TurbRo00,rec_long,14,,,,,
player,201412070phi,sea,TurbRo00,fumbles,0,,,,,
player,201412070phi,sea,TurbRo00,fumbles_lost,0,,,,,
player,201412070phi,sea,BaldDo00,pass_cmp,0,,,,,
player,201412070phi,sea,BaldDo00,pass_att,0,,,,,
player,201412070phi,sea,BaldDo00,pass_yds,0,,,,,
player,201412070phi,sea,BaldDo00,pass_td,0,,,,,
player,201412070phi,sea,BaldDo00,pass_int,0,,,,,
player,201412070phi,sea,BaldDo00,pass_sacked,0,,,,,
player,201412070phi,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201412070phi,sea,BaldDo00,pass_long,0,,,,,
player,201412070phi,sea,BaldDo00,pass_rating,,,,,,
player,201412070phi,sea,BaldDo00,rush_att,0,,,,,
player,201412070phi,sea,BaldDo00,rush_yds,0,,,,,
player,201412070phi,sea,BaldDo00,rush_td,0,,,,,
player,201412070phi,sea,BaldDo00,rush_long,0,,,,,
player,201412070phi,sea,BaldDo00,targets,7,,,,,
player,201412070phi,sea,BaldDo00,rec,5,,,,,
player,201412070phi,sea,BaldDo00,rec_yds,97,,,,,
player,201412070phi,sea,BaldDo00,rec_td,1,,,,,
player,201412070phi,sea,BaldDo00,rec_long,25,,,,,
player,201412070phi,sea,BaldDo00,fumbles,0,,,,,
player,201412070phi,sea,BaldDo00,fumbles_lost,0,,,,,
player,201412070phi,sea,RichPa01,pass_cmp,0,,,,,
player,201412070phi,sea,RichPa01,pass_att,0,,,,,
player,201412070phi,sea,RichPa01,pass_yds,0,,,,,
player,201412070phi,sea,RichPa01,pass_td,0,,,,,
player,201412070phi,sea,RichPa01,pass_int,0,,,,,
player,201412070phi,sea,RichPa01,pass_sacked,0,,,,,
player,201412070phi,sea,RichPa01,pass_sacked_yds,0,,,,,
player,201412070phi,sea,RichPa01,pass_long,0,,,,,
player,201412070phi,sea,RichPa01,pass_rating,,,,,,
player,201412070phi,sea,RichPa01,rush_att,0,,,,,
player,201412070phi,sea,RichPa01,rush_yds,0,,,,,
player,201412070phi,sea,RichPa01,rush_td,0,,,,,
player,201412070phi,sea,RichPa01,rush_long,0,,,,,
player,201412070phi,sea,RichPa01,targets,3,,,,,
player,201412070phi,sea,RichPa01,rec,2,,,,,
player,201412070phi,sea,RichPa01,rec_yds,27,,,,,
player,201412070phi,sea,RichPa01,rec_td,0,,,,,
player,201412070phi,sea,RichPa01,rec_long,20,,,,,
player,201412070phi,sea,RichPa01,fumbles,0,,,,,
player,201412070phi,sea,RichPa01,fumbles_lost,0,,,,,
player,201412070phi,sea,NorwKe00,pass_cmp,0,,,,,
player,201412070phi,sea,NorwKe00,pass_att,0,,,,,
player,201412070phi,sea,NorwKe00,pass_yds,0,,,,,
player,201412070phi,sea,NorwKe00,pass_td,0,,,,,
player,201412070phi,sea,NorwKe00,pass_int,0,,,,,
player,201412070phi,sea,NorwKe00,pass_sacked,0,,,,,
player,201412070phi,sea,NorwKe00,pass_sacked_yds,0,,,,,
player,201412070phi,sea,NorwKe00,pass_long,0,,,,,
player,201412070phi,sea,NorwKe00,pass_rating,,,,,,
player,201412070phi,sea,NorwKe00,rush_att,0,,,,,
player,201412070phi,sea,NorwKe00,rush_yds,0,,,,,
player,201412070phi,sea,NorwKe00,rush_td,0,,,,,
player,201412070phi,sea,NorwKe00,rush_long,0,,,,,
player,201412070phi,sea,NorwKe00,targets,2,,,,,
player,201412070phi,sea,NorwKe00,rec,2,,,,,
player,201412070phi,sea,NorwKe00,rec_yds,22,,,,,
player,201412070phi,sea,NorwKe00,rec_td,0,,,,,
player,201412070phi,sea,NorwKe00,rec_long,11,,,,,
player,201412070phi,sea,NorwKe00,fumbles,0,,,,,
player,201412070phi,sea,NorwKe00,fumbles_lost,0,,,,,
player,201412070phi,sea,LockRi00,pass_cmp,0,,,,,
player,201412070phi,sea,LockRi00,pass_att,0,,,,,
player,201412070phi,sea,LockRi00,pass_yds,0,,,,,
player,201412070phi,sea,LockRi00,pass_td,0,,,,,
player,201412070phi,sea,LockRi00,pass_int,0,,,,,
player,201412070phi,sea,LockRi00,pass_sacked,0,,,,,
player,201412070phi,sea,LockRi00,pass_sacked_yds,0,,,,,
player,201412070phi,sea,LockRi00,pass_long,0,,,,,
player,201412070phi,sea,LockRi00,pass_rating,,,,,,
player,201412070phi,sea,LockRi00,rush_att,0,,,,,
player,201412070phi,sea,LockRi00,rush_yds,0,,,,,
player,201412070phi,sea,LockRi00,rush_td,0,,,,,
player,201412070phi,sea,LockRi00,rush_long,0,,,,,
player,201412070phi,sea,LockRi00,targets,1,,,,,
player,201412070phi,sea,LockRi00,rec,1,,,,,
player,201412070phi,sea,LockRi00,rec_yds,19,,,,,
player,201412070phi,sea,LockRi00,rec_td,0,,,,,
player,201412070phi,sea,LockRi00,rec_long,19,,,,,
player,201412070phi,sea,LockRi00,fumbles,0,,,,,
player,201412070phi,sea,LockRi00,fumbles_lost,0,,,,,
player,201412070phi,sea,MoeaTo00,pass_cmp,0,,,,,
player,201412070phi,sea,MoeaTo00,pass_att,0,,,,,
player,201412070phi,sea,MoeaTo00,pass_yds,0,,,,,
player,201412070phi,sea,MoeaTo00,pass_td,0,,,,,
player,201412070phi,sea,MoeaTo00,pass_int,0,,,,,
player,201412070phi,sea,MoeaTo00,pass_sacked,0,,,,,
