game,2014,1,20140907,201409070ram,min,"Minnesota Vikings",34,ram,"St. Louis Rams",6
team,201409070ram,min,First Downs,18,,,,,,
team,201409070ram,ram,First Downs,15,,,,,,
team,201409070ram,min,Rush-Yds-TDs,32-185-1,,,,,,
team,201409070ram,ram,Rush-Yds-TDs,22-72-0,,,,,,
team,201409070ram,min,Cmp-Att-Yd-TD-INT,17-25-170-2-0,,,,,,
team,201409070ram,ram,Cmp-Att-Yd-TD-INT,24-36-273-0-2,,,,,,
team,201409070ram,min,Sacked-Yards,0-0,,,,,,
team,201409070ram,ram,Sacked-Yards,5-27,,,,,,
team,201409070ram,min,Net Pass Yards,170,,,,,,
team,201409070ram,ram,Net Pass Yards,246,,,,,,
team,201409070ram,min,Total Yards,355,,,,,,
team,201409070ram,ram,Total Yards,318,,,,,,
team,201409070ram,min,Fumbles-Lost,2-0,,,,,,
team,201409070ram,ram,Fumbles-Lost,4-0,,,,,,
team,201409070ram,min,Turnovers,0,,,,,,
team,201409070ram,ram,Turnovers,2,,,,,,
team,201409070ram,min,Penalties-Yards,7-60,,,,,,
team,201409070ram,ram,Penalties-Yards,13-121,,,,,,
team,201409070ram,min,Third Down Conv.,3-12,,,,,,
team,201409070ram,ram,Third Down Conv.,4-14,,,,,,
team,201409070ram,min,Fourth Down Conv.,0-0,,,,,,
team,201409070ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201409070ram,min,Time of Possession,28:17,,,,,,
team,201409070ram,ram,Time of Possession,31:43,,,,,,
player,201409070ram,min,CassMa00,pass_cmp,17,,,,,
player,201409070ram,min,CassMa00,pass_att,25,,,,,
player,201409070ram,min,CassMa00,pass_yds,170,,,,,
player,201409070ram,min,CassMa00,pass_td,2,,,,,
player,201409070ram,min,CassMa00,pass_int,0,,,,,
player,201409070ram,min,CassMa00,pass_sacked,0,,,,,
player,201409070ram,min,CassMa00,pass_sacked_yds,0,,,,,
player,201409070ram,min,CassMa00,pass_long,22,,,,,
player,201409070ram,min,CassMa00,pass_rating,113.7,,,,,
player,201409070ram,min,CassMa00,rush_att,5,,,,,
player,201409070ram,min,CassMa00,rush_yds,-3,,,,,
player,201409070ram,min,CassMa00,rush_td,0,,,,,
player,201409070ram,min,CassMa00,rush_long,0,,,,,
player,201409070ram,min,CassMa00,targets,0,,,,,
player,201409070ram,min,CassMa00,rec,0,,,,,
player,201409070ram,min,CassMa00,rec_yds,0,,,,,
