game,2014,15,20141214,201412140atl,pit,"Pittsburgh Steelers",27,atl,"Atlanta Falcons",20
team,201412140atl,pit,First Downs,22,,,,,,
team,201412140atl,atl,First Downs,20,,,,,,
team,201412140atl,pit,Rush-Yds-TDs,22-45-2,,,,,,
team,201412140atl,atl,Rush-Yds-TDs,20-97-0,,,,,,
team,201412140atl,pit,Cmp-Att-Yd-TD-INT,27-35-360-0-0,,,,,,
team,201412140atl,atl,Cmp-Att-Yd-TD-INT,26-37-310-2-1,,,,,,
team,201412140atl,pit,Sacked-Yards,1-7,,,,,,
team,201412140atl,atl,Sacked-Yards,0-0,,,,,,
team,201412140atl,pit,Net Pass Yards,353,,,,,,
team,201412140atl,atl,Net Pass Yards,310,,,,,,
team,201412140atl,pit,Total Yards,398,,,,,,
team,201412140atl,atl,Total Yards,407,,,,,,
team,201412140atl,pit,Fumbles-Lost,0-0,,,,,,
team,201412140atl,atl,Fumbles-Lost,1-0,,,,,,
team,201412140atl,pit,Turnovers,0,,,,,,
team,201412140atl,atl,Turnovers,1,,,,,,
team,201412140atl,pit,Penalties-Yards,3-34,,,,,,
team,201412140atl,atl,Penalties-Yards,3-25,,,,,,
team,201412140atl,pit,Third Down Conv.,6-11,,,,,,
team,201412140atl,atl,Third Down Conv.,6-11,,,,,,
team,201412140atl,pit,Fourth Down Conv.,0-0,,,,,,
team,201412140atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201412140atl,pit,Time of Possession,30:43,,,,,,
team,201412140atl,atl,Time of Possession,29:17,,,,,,
player,201412140atl,pit,RoetBe00,pass_cmp,27,,,,,
player,201412140atl,pit,RoetBe00,pass_att,35,,,,,
player,201412140atl,pit,RoetBe00,pass_yds,360,,,,,
player,201412140atl,pit,RoetBe00,pass_td,0,,,,,
player,201412140atl,pit,RoetBe00,pass_int,0,,,,,
player,201412140atl,pit,RoetBe00,pass_sacked,1,,,,,
player,201412140atl,pit,RoetBe00,pass_sacked_yds,7,,,,,
player,201412140atl,pit,RoetBe00,pass_long,44,,,,,
player,201412140atl,pit,RoetBe00,pass_rating,109.2,,,,,
player,201412140atl,pit,RoetBe00,rush_att,2,,,,,
player,201412140atl,pit,RoetBe00,rush_yds,-2,,,,,
player,201412140atl,pit,RoetBe00,rush_td,0,,,,,
player,201412140atl,pit,RoetBe00,rush_long,-1,,,,,
player,201412140atl,pit,RoetBe00,targets,0,,,,,
player,201412140atl,pit,RoetBe00,rec,0,,,,,
player,201412140atl,pit,RoetBe00,rec_yds,0,,,,,
player,201412140atl,pit,RoetBe00,rec_td,0,,,,,
player,201412140atl,pit,RoetBe00,rec_long,0,,,,,
player,201412140atl,pit,RoetBe00,fumbles,0,,,,,
player,201412140atl,pit,RoetBe00,fumbles_lost,0,,,,,
player,201412140atl,pit,BellLe00,pass_cmp,0,,,,,
player,201412140atl,pit,BellLe00,pass_att,0,,,,,
player,201412140atl,pit,BellLe00,pass_yds,0,,,,,
player,201412140atl,pit,BellLe00,pass_td,0,,,,,
player,201412140atl,pit,BellLe00,pass_int,0,,,,,
player,201412140atl,pit,BellLe00,pass_sacked,0,,,,,
player,201412140atl,pit,BellLe00,pass_sacked_yds,0,,,,,
player,201412140atl,pit,BellLe00,pass_long,0,,,,,
player,201412140atl,pit,BellLe00,pass_rating,,,,,,
player,201412140atl,pit,BellLe00,rush_att,20,,,,,
player,201412140atl,pit,BellLe00,rush_yds,47,,,,,
player,201412140atl,pit,BellLe00,rush_td,2,,,,,
player,201412140atl,pit,BellLe00,rush_long,13,,,,,
player,201412140atl,pit,BellLe00,targets,7,,,,,
