game,2014,7,20141019,201410190det,nor,"New Orleans Saints",23,det,"Detroit Lions",24
team,201410190det,nor,First Downs,25,,,,,,
team,201410190det,det,First Downs,21,,,,,,
team,201410190det,nor,Rush-Yds-TDs,21-73-0,,,,,,
team,201410190det,det,Rush-Yds-TDs,24-59-1,,,,,,
team,201410190det,nor,Cmp-Att-Yd-TD-INT,28-45-342-2-1,,,,,,
team,201410190det,det,Cmp-Att-Yd-TD-INT,27-40-299-2-2,,,,,,
team,201410190det,nor,Sacked-Yards,1-7,,,,,,
team,201410190det,det,Sacked-Yards,3-14,,,,,,
team,201410190det,nor,Net Pass Yards,335,,,,,,
team,201410190det,det,Net Pass Yards,285,,,,,,
team,201410190det,nor,Total Yards,408,,,,,,
team,201410190det,det,Total Yards,344,,,,,,
team,201410190det,nor,Fumbles-Lost,1-1,,,,,,
team,201410190det,det,Fumbles-Lost,0-0,,,,,,
team,201410190det,nor,Turnovers,2,,,,,,
team,201410190det,det,Turnovers,2,,,,,,
team,201410190det,nor,Penalties-Yards,12-134,,,,,,
team,201410190det,det,Penalties-Yards,9-71,,,,,,
team,201410190det,nor,Third Down Conv.,3-12,,,,,,
team,201410190det,det,Third Down Conv.,7-15,,,,,,
team,201410190det,nor,Fourth Down Conv.,1-2,,,,,,
team,201410190det,det,Fourth Down Conv.,0-0,,,,,,
team,201410190det,nor,Time of Possession,27:42,,,,,,
team,201410190det,det,Time of Possession,32:18,,,,,,
player,201410190det,nor,BreeDr00,pass_cmp,28,,,,,
player,201410190det,nor,BreeDr00,pass_att,45,,,,,
player,201410190det,nor,BreeDr00,pass_yds,342,,,,,
player,201410190det,nor,BreeDr00,pass_td,2,,,,,
player,201410190det,nor,BreeDr00,pass_int,1,,,,,
player,201410190det,nor,BreeDr00,pass_sacked,1,,,,,
player,201410190det,nor,BreeDr00,pass_sacked_yds,7,,,,,
player,201410190det,nor,BreeDr00,pass_long,46,,,,,
player,201410190det,nor,BreeDr00,pass_rating,91.2,,,,,
player,201410190det,nor,BreeDr00,rush_att,1,,,,,
player,201410190det,nor,BreeDr00,rush_yds,13,,,,,
player,201410190det,nor,BreeDr00,rush_td,0,,,,,
player,201410190det,nor,BreeDr00,rush_long,13,,,,,
player,201410190det,nor,BreeDr00,targets,0,,,,,
player,201410190det,nor,BreeDr00,rec,0,,,,,
player,201410190det,nor,BreeDr00,rec_yds,0,,,,,
player,201410190det,nor,BreeDr00,rec_td,0,,,,,
player,201410190det,nor,BreeDr00,rec_long,0,,,,,
player,201410190det,nor,BreeDr00,fumbles,0,,,,,
player,201410190det,nor,BreeDr00,fumbles_lost,0,,,,,
player,201410190det,nor,RobiKh00,pass_cmp,0,,,,,
player,201410190det,nor,RobiKh00,pass_att,0,,,,,
player,201410190det,nor,RobiKh00,pass_yds,0,,,,,
player,201410190det,nor,RobiKh00,pass_td,0,,,,,
player,201410190det,nor,RobiKh00,pass_int,0,,,,,
player,201410190det,nor,RobiKh00,pass_sacked,0,,,,,
player,201410190det,nor,RobiKh00,pass_sacked_yds,0,,,,,
player,201410190det,nor,RobiKh00,pass_long,0,,,,,
player,201410190det,nor,RobiKh00,pass_rating,,,,,,
player,201410190det,nor,RobiKh00,rush_att,3,,,,,
player,201410190det,nor,RobiKh00,rush_yds,26,,,,,
player,201410190det,nor,RobiKh00,rush_td,0,,,,,
player,201410190det,nor,RobiKh00,rush_long,17,,,,,
player,201410190det,nor,RobiKh00,targets,0,,,,,
player,201410190det,nor,RobiKh00,rec,0,,,,,
player,201410190det,nor,RobiKh00,rec_yds,0,,,,,
player,201410190det,nor,RobiKh00,rec_td,0,,,,,
player,201410190det,nor,RobiKh00,rec_long,0,,,,,
player,201410190det,nor,RobiKh00,fumbles,1,,,,,
player,201410190det,nor,RobiKh00,fumbles_lost,1,,,,,
player,201410190det,nor,IngrMa01,pass_cmp,0,,,,,
player,201410190det,nor,IngrMa01,pass_att,0,,,,,
player,201410190det,nor,IngrMa01,pass_yds,0,,,,,
player,201410190det,nor,IngrMa01,pass_td,0,,,,,
player,201410190det,nor,IngrMa01,pass_int,0,,,,,
player,201410190det,nor,IngrMa01,pass_sacked,0,,,,,
player,201410190det,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201410190det,nor,IngrMa01,pass_long,0,,,,,
player,201410190det,nor,IngrMa01,pass_rating,,,,,,
player,201410190det,nor,IngrMa01,rush_att,10,,,,,
player,201410190det,nor,IngrMa01,rush_yds,16,,,,,
player,201410190det,nor,IngrMa01,rush_td,0,,,,,
player,201410190det,nor,IngrMa01,rush_long,14,,,,,
player,201410190det,nor,IngrMa01,targets,3,,,,,
player,201410190det,nor,IngrMa01,rec,2,,,,,
player,201410190det,nor,IngrMa01,rec_yds,13,,,,,
player,201410190det,nor,IngrMa01,rec_td,0,,,,,
player,201410190det,nor,IngrMa01,rec_long,10,,,,,
player,201410190det,nor,IngrMa01,fumbles,0,,,,,
player,201410190det,nor,IngrMa01,fumbles_lost,0,,,,,
player,201410190det,nor,ThomPi00,pass_cmp,0,,,,,
player,201410190det,nor,ThomPi00,pass_att,0,,,,,
player,201410190det,nor,ThomPi00,pass_yds,0,,,,,
player,201410190det,nor,ThomPi00,pass_td,0,,,,,
player,201410190det,nor,ThomPi00,pass_int,0,,,,,
player,201410190det,nor,ThomPi00,pass_sacked,0,,,,,
player,201410190det,nor,ThomPi00,pass_sacked_yds,0,,,,,
player,201410190det,nor,ThomPi00,pass_long,0,,,,,
player,201410190det,nor,ThomPi00,pass_rating,,,,,,
player,201410190det,nor,ThomPi00,rush_att,6,,,,,
player,201410190det,nor,ThomPi00,rush_yds,13,,,,,
player,201410190det,nor,ThomPi00,rush_td,0,,,,,
player,201410190det,nor,ThomPi00,rush_long,12,,,,,
player,201410190det,nor,ThomPi00,targets,4,,,,,
player,201410190det,nor,ThomPi00,rec,4,,,,,
player,201410190det,nor,ThomPi00,rec_yds,17,,,,,
player,201410190det,nor,ThomPi00,rec_td,0,,,,,
player,201410190det,nor,ThomPi00,rec_long,10,,,,,
player,201410190det,nor,ThomPi00,fumbles,0,,,,,
player,201410190det,nor,ThomPi00,fumbles_lost,0,,,,,
player,201410190det,nor,JohnAu00,pass_cmp,0,,,,,
player,201410190det,nor,JohnAu00,pass_att,0,,,,,
player,201410190det,nor,JohnAu00,pass_yds,0,,,,,
player,201410190det,nor,JohnAu00,pass_td,0,,,,,
player,201410190det,nor,JohnAu00,pass_int,0,,,,,
player,201410190det,nor,JohnAu00,pass_sacked,0,,,,,
player,201410190det,nor,JohnAu00,pass_sacked_yds,0,,,,,
player,201410190det,nor,JohnAu00,pass_long,0,,,,,
player,201410190det,nor,JohnAu00,pass_rating,,,,,,
player,201410190det,nor,JohnAu00,rush_att,1,,,,,
player,201410190det,nor,JohnAu00,rush_yds,5,,,,,
player,201410190det,nor,JohnAu00,rush_td,0,,,,,
player,201410190det,nor,JohnAu00,rush_long,5,,,,,
player,201410190det,nor,JohnAu00,targets,1,,,,,
player,201410190det,nor,JohnAu00,rec,1,,,,,
player,201410190det,nor,JohnAu00,rec_yds,13,,,,,
player,201410190det,nor,JohnAu00,rec_td,1,,,,,
player,201410190det,nor,JohnAu00,rec_long,13,,,,,
player,201410190det,nor,JohnAu00,fumbles,0,,,,,
player,201410190det,nor,JohnAu00,fumbles_lost,0,,,,,
player,201410190det,nor,ColsMa00,pass_cmp,0,,,,,
player,201410190det,nor,ColsMa00,pass_att,0,,,,,
player,201410190det,nor,ColsMa00,pass_yds,0,,,,,
player,201410190det,nor,ColsMa00,pass_td,0,,,,,
player,201410190det,nor,ColsMa00,pass_int,0,,,,,
player,201410190det,nor,ColsMa00,pass_sacked,0,,,,,
player,201410190det,nor,ColsMa00,pass_sacked_yds,0,,,,,
player,201410190det,nor,ColsMa00,pass_long,0,,,,,
player,201410190det,nor,ColsMa00,pass_rating,,,,,,
player,201410190det,nor,ColsMa00,rush_att,0,,,,,
player,201410190det,nor,ColsMa00,rush_yds,0,,,,,
player,201410190det,nor,ColsMa00,rush_td,0,,,,,
player,201410190det,nor,ColsMa00,rush_long,0,,,,,
player,201410190det,nor,ColsMa00,targets,10,,,,,
player,201410190det,nor,ColsMa00,rec,6,,,,,
player,201410190det,nor,ColsMa00,rec_yds,111,,,,,
player,201410190det,nor,ColsMa00,rec_td,0,,,,,
player,201410190det,nor,ColsMa00,rec_long,23,,,,,
player,201410190det,nor,ColsMa00,fumbles,0,,,,,
player,201410190det,nor,ColsMa00,fumbles_lost,0,,,,,
player,201410190det,nor,StilKe00,pass_cmp,0,,,,,
player,201410190det,nor,StilKe00,pass_att,0,,,,,
player,201410190det,nor,StilKe00,pass_yds,0,,,,,
player,201410190det,nor,StilKe00,pass_td,0,,,,,
player,201410190det,nor,StilKe00,pass_int,0,,,,,
player,201410190det,nor,StilKe00,pass_sacked,0,,,,,
player,201410190det,nor,StilKe00,pass_sacked_yds,0,,,,,
player,201410190det,nor,StilKe00,pass_long,0,,,,,
player,201410190det,nor,StilKe00,pass_rating,,,,,,
player,201410190det,nor,StilKe00,rush_att,0,,,,,
player,201410190det,nor,StilKe00,rush_yds,0,,,,,
player,201410190det,nor,StilKe00,rush_td,0,,,,,
player,201410190det,nor,StilKe00,rush_long,0,,,,,
player,201410190det,nor,StilKe00,targets,5,,,,,
player,201410190det,nor,StilKe00,rec,5,,,,,
player,201410190det,nor,StilKe00,rec_yds,103,,,,,
player,201410190det,nor,StilKe00,rec_td,1,,,,,
player,201410190det,nor,StilKe00,rec_long,46,,,,,
player,201410190det,nor,StilKe00,fumbles,0,,,,,
player,201410190det,nor,StilKe00,fumbles_lost,0,,,,,
player,201410190det,nor,CadeTr00,pass_cmp,0,,,,,
player,201410190det,nor,CadeTr00,pass_att,0,,,,,
player,201410190det,nor,CadeTr00,pass_yds,0,,,,,
player,201410190det,nor,CadeTr00,pass_td,0,,,,,
player,201410190det,nor,CadeTr00,pass_int,0,,,,,
player,201410190det,nor,CadeTr00,pass_sacked,0,,,,,
player,201410190det,nor,CadeTr00,pass_sacked_yds,0,,,,,
player,201410190det,nor,CadeTr00,pass_long,0,,,,,
player,201410190det,nor,CadeTr00,pass_rating,,,,,,
player,201410190det,nor,CadeTr00,rush_att,0,,,,,
player,201410190det,nor,CadeTr00,rush_yds,0,,,,,
player,201410190det,nor,CadeTr00,rush_td,0,,,,,
player,201410190det,nor,CadeTr00,rush_long,0,,,,,
player,201410190det,nor,CadeTr00,targets,9,,,,,
player,201410190det,nor,CadeTr00,rec,6,,,,,
player,201410190det,nor,CadeTr00,rec_yds,51,,,,,
player,201410190det,nor,CadeTr00,rec_td,0,,,,,
player,201410190det,nor,CadeTr00,rec_long,25,,,,,
player,201410190det,nor,CadeTr00,fumbles,0,,,,,
player,201410190det,nor,CadeTr00,fumbles_lost,0,,,,,
player,201410190det,nor,CookBr00,pass_cmp,0,,,,,
player,201410190det,nor,CookBr00,pass_att,0,,,,,
player,201410190det,nor,CookBr00,pass_yds,0,,,,,
player,201410190det,nor,CookBr00,pass_td,0,,,,,
player,201410190det,nor,CookBr00,pass_int,0,,,,,
player,201410190det,nor,CookBr00,pass_sacked,0,,,,,
player,201410190det,nor,CookBr00,pass_sacked_yds,0,,,,,
player,201410190det,nor,CookBr00,pass_long,0,,,,,
player,201410190det,nor,CookBr00,pass_rating,,,,,,
player,201410190det,nor,CookBr00,rush_att,0,,,,,
player,201410190det,nor,CookBr00,rush_yds,0,,,,,
player,201410190det,nor,CookBr00,rush_td,0,,,,,
player,201410190det,nor,CookBr00,rush_long,0,,,,,
player,201410190det,nor,CookBr00,targets,3,,,,,
player,201410190det,nor,CookBr00,rec,2,,,,,
player,201410190det,nor,CookBr00,rec_yds,23,,,,,
player,201410190det,nor,CookBr00,rec_td,0,,,,,
player,201410190det,nor,CookBr00,rec_long,14,,,,,
player,201410190det,nor,CookBr00,fumbles,0,,,,,
player,201410190det,nor,CookBr00,fumbles_lost,0,,,,,
player,201410190det,nor,HillJo02,pass_cmp,0,,,,,
player,201410190det,nor,HillJo02,pass_att,0,,,,,
player,201410190det,nor,HillJo02,pass_yds,0,,,,,
player,201410190det,nor,HillJo02,pass_td,0,,,,,
player,201410190det,nor,HillJo02,pass_int,0,,,,,
player,201410190det,nor,HillJo02,pass_sacked,0,,,,,
player,201410190det,nor,HillJo02,pass_sacked_yds,0,,,,,
player,201410190det,nor,HillJo02,pass_long,0,,,,,
player,201410190det,nor,HillJo02,pass_rating,,,,,,
player,201410190det,nor,HillJo02,rush_att,0,,,,,
player,201410190det,nor,HillJo02,rush_yds,0,,,,,
player,201410190det,nor,HillJo02,rush_td,0,,,,,
player,201410190det,nor,HillJo02,rush_long,0,,,,,
player,201410190det,nor,HillJo02,targets,1,,,,,
player,201410190det,nor,HillJo02,rec,1,,,,,
player,201410190det,nor,HillJo02,rec_yds,8,,,,,
player,201410190det,nor,HillJo02,rec_td,0,,,,,
player,201410190det,nor,HillJo02,rec_long,8,,,,,
player,201410190det,nor,HillJo02,fumbles,0,,,,,
player,201410190det,nor,HillJo02,fumbles_lost,0,,,,,
player,201410190det,nor,WatsBe00,pass_cmp,0,,,,,
player,201410190det,nor,WatsBe00,pass_att,0,,,,,
player,201410190det,nor,WatsBe00,pass_yds,0,,,,,
player,201410190det,nor,WatsBe00,pass_td,0,,,,,
player,201410190det,nor,WatsBe00,pass_int,0,,,,,
player,201410190det,nor,WatsBe00,pass_sacked,0,,,,,
player,201410190det,nor,WatsBe00,pass_sacked_yds,0,,,,,
player,201410190det,nor,WatsBe00,pass_long,0,,,,,
player,201410190det,nor,WatsBe00,pass_rating,,,,,,
player,201410190det,nor,WatsBe00,rush_att,0,,,,,
player,201410190det,nor,WatsBe00,rush_yds,0,,,,,
player,201410190det,nor,WatsBe00,rush_td,0,,,,,
player,201410190det,nor,WatsBe00,rush_long,0,,,,,
player,201410190det,nor,WatsBe00,targets,3,,,,,
player,201410190det,nor,WatsBe00,rec,1,,,,,
player,201410190det,nor,WatsBe00,rec_yds,3,,,,,
player,201410190det,nor,WatsBe00,rec_td,0,,,,,
player,201410190det,nor,WatsBe00,rec_long,3,,,,,
player,201410190det,nor,WatsBe00,fumbles,0,,,,,
player,201410190det,nor,WatsBe00,fumbles_lost,0,,,,,
player,201410190det,nor,MeacRo00,pass_cmp,0,,,,,
player,201410190det,nor,MeacRo00,pass_att,0,,,,,
player,201410190det,nor,MeacRo00,pass_yds,0,,,,,
player,201410190det,nor,MeacRo00,pass_td,0,,,,,
player,201410190det,nor,MeacRo00,pass_int,0,,,,,
player,201410190det,nor,MeacRo00,pass_sacked,0,,,,,
player,201410190det,nor,MeacRo00,pass_sacked_yds,0,,,,,
player,201410190det,nor,MeacRo00,pass_long,0,,,,,
player,201410190det,nor,MeacRo00,pass_rating,,,,,,
player,201410190det,nor,MeacRo00,rush_att,0,,,,,
player,201410190det,nor,MeacRo00,rush_yds,0,,,,,
player,201410190det,nor,MeacRo00,rush_td,0,,,,,
player,201410190det,nor,MeacRo00,rush_long,0,,,,,
player,201410190det,nor,MeacRo00,targets,3,,,,,
player,201410190det,nor,MeacRo00,rec,0,,,,,
player,201410190det,nor,MeacRo00,rec_yds,0,,,,,
player,201410190det,nor,MeacRo00,rec_td,0,,,,,
player,201410190det,nor,MeacRo00,rec_long,0,,,,,
player,201410190det,nor,MeacRo00,fumbles,0,,,,,
player,201410190det,nor,MeacRo00,fumbles_lost,0,,,,,
player,201410190det,nor,GrahJi00,pass_cmp,0,,,,,
player,201410190det,nor,GrahJi00,pass_att,0,,,,,
player,201410190det,nor,GrahJi00,pass_yds,0,,,,,
player,201410190det,nor,GrahJi00,pass_td,0,,,,,
player,201410190det,nor,GrahJi00,pass_int,0,,,,,
player,201410190det,nor,GrahJi00,pass_sacked,0,,,,,
player,201410190det,nor,GrahJi00,pass_sacked_yds,0,,,,,
player,201410190det,nor,GrahJi00,pass_long,0,,,,,
player,201410190det,nor,GrahJi00,pass_rating,,,,,,
player,201410190det,nor,GrahJi00,rush_att,0,,,,,
player,201410190det,nor,GrahJi00,rush_yds,0,,,,,
player,201410190det,nor,GrahJi00,rush_td,0,,,,,
player,201410190det,nor,GrahJi00,rush_long,0,,,,,
