game,2014,12,20141120,201411200rai,kan,"Kansas City Chiefs",20,rai,"Oakland Raiders",24
team,201411200rai,kan,First Downs,16,,,,,,
team,201411200rai,rai,First Downs,18,,,,,,
team,201411200rai,kan,Rush-Yds-TDs,24-96-0,,,,,,
team,201411200rai,rai,Rush-Yds-TDs,30-179-2,,,,,,
team,201411200rai,kan,Cmp-Att-Yd-TD-INT,20-36-234-2-0,,,,,,
team,201411200rai,rai,Cmp-Att-Yd-TD-INT,18-35-174-1-0,,,,,,
team,201411200rai,kan,Sacked-Yards,2-17,,,,,,
team,201411200rai,rai,Sacked-Yards,1-2,,,,,,
team,201411200rai,kan,Net Pass Yards,217,,,,,,
team,201411200rai,rai,Net Pass Yards,172,,,,,,
team,201411200rai,kan,Total Yards,313,,,,,,
team,201411200rai,rai,Total Yards,351,,,,,,
team,201411200rai,kan,Fumbles-Lost,2-0,,,,,,
team,201411200rai,rai,Fumbles-Lost,2-1,,,,,,
team,201411200rai,kan,Turnovers,0,,,,,,
team,201411200rai,rai,Turnovers,1,,,,,,
team,201411200rai,kan,Penalties-Yards,7-59,,,,,,
team,201411200rai,rai,Penalties-Yards,7-60,,,,,,
team,201411200rai,kan,Third Down Conv.,2-14,,,,,,
team,201411200rai,rai,Third Down Conv.,8-16,,,,,,
team,201411200rai,kan,Fourth Down Conv.,0-1,,,,,,
team,201411200rai,rai,Fourth Down Conv.,1-1,,,,,,
team,201411200rai,kan,Time of Possession,29:56,,,,,,
team,201411200rai,rai,Time of Possession,30:04,,,,,,
player,201411200rai,kan,SmitAl03,pass_cmp,20,,,,,
player,201411200rai,kan,SmitAl03,pass_att,36,,,,,
player,201411200rai,kan,SmitAl03,pass_yds,234,,,,,
player,201411200rai,kan,SmitAl03,pass_td,2,,,,,
player,201411200rai,kan,SmitAl03,pass_int,0,,,,,
player,201411200rai,kan,SmitAl03,pass_sacked,2,,,,,
player,201411200rai,kan,SmitAl03,pass_sacked_yds,17,,,,,
player,201411200rai,kan,SmitAl03,pass_long,30,,,,,
player,201411200rai,kan,SmitAl03,pass_rating,94.0,,,,,
player,201411200rai,kan,SmitAl03,rush_att,2,,,,,
player,201411200rai,kan,SmitAl03,rush_yds,5,,,,,
player,201411200rai,kan,SmitAl03,rush_td,0,,,,,
player,201411200rai,kan,SmitAl03,rush_long,3,,,,,
player,201411200rai,kan,SmitAl03,targets,0,,,,,
player,201411200rai,kan,SmitAl03,rec,0,,,,,
player,201411200rai,kan,SmitAl03,rec_yds,0,,,,,
player,201411200rai,kan,SmitAl03,rec_td,0,,,,,
player,201411200rai,kan,SmitAl03,rec_long,0,,,,,
player,201411200rai,kan,SmitAl03,fumbles,1,,,,,
player,201411200rai,kan,SmitAl03,fumbles_lost,0,,,,,
player,201411200rai,kan,CharJa00,pass_cmp,0,,,,,
player,201411200rai,kan,CharJa00,pass_att,0,,,,,
player,201411200rai,kan,CharJa00,pass_yds,0,,,,,
player,201411200rai,kan,CharJa00,pass_td,0,,,,,
player,201411200rai,kan,CharJa00,pass_int,0,,,,,
player,201411200rai,kan,CharJa00,pass_sacked,0,,,,,
player,201411200rai,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201411200rai,kan,CharJa00,pass_long,0,,,,,
player,201411200rai,kan,CharJa00,pass_rating,,,,,,
