game,2014,17,20141228,201412280atl,car,"Carolina Panthers",34,atl,"Atlanta Falcons",3
team,201412280atl,car,First Downs,17,,,,,,
team,201412280atl,atl,First Downs,16,,,,,,
team,201412280atl,car,Rush-Yds-TDs,35-194-1,,,,,,
team,201412280atl,atl,Rush-Yds-TDs,16-63-0,,,,,,
team,201412280atl,car,Cmp-Att-Yd-TD-INT,10-16-114-1-0,,,,,,
team,201412280atl,atl,Cmp-Att-Yd-TD-INT,29-47-260-0-2,,,,,,
team,201412280atl,car,Sacked-Yards,1-2,,,,,,
team,201412280atl,atl,Sacked-Yards,6-35,,,,,,
team,201412280atl,car,Net Pass Yards,112,,,,,,
team,201412280atl,atl,Net Pass Yards,225,,,,,,
team,201412280atl,car,Total Yards,306,,,,,,
team,201412280atl,atl,Total Yards,288,,,,,,
team,201412280atl,car,Fumbles-Lost,0-0,,,,,,
team,201412280atl,atl,Fumbles-Lost,1-1,,,,,,
team,201412280atl,car,Turnovers,0,,,,,,
team,201412280atl,atl,Turnovers,3,,,,,,
team,201412280atl,car,Penalties-Yards,5-36,,,,,,
team,201412280atl,atl,Penalties-Yards,6-36,,,,,,
team,201412280atl,car,Third Down Conv.,4-10,,,,,,
team,201412280atl,atl,Third Down Conv.,7-16,,,,,,
team,201412280atl,car,Fourth Down Conv.,0-1,,,,,,
team,201412280atl,atl,Fourth Down Conv.,1-3,,,,,,
team,201412280atl,car,Time of Possession,31:13,,,,,,
team,201412280atl,atl,Time of Possession,28:47,,,,,,
player,201412280atl,car,NewtCa00,pass_cmp,10,,,,,
player,201412280atl,car,NewtCa00,pass_att,16,,,,,
player,201412280atl,car,NewtCa00,pass_yds,114,,,,,
player,201412280atl,car,NewtCa00,pass_td,1,,,,,
player,201412280atl,car,NewtCa00,pass_int,0,,,,,
player,201412280atl,car,NewtCa00,pass_sacked,1,,,,,
player,201412280atl,car,NewtCa00,pass_sacked_yds,2,,,,,
player,201412280atl,car,NewtCa00,pass_long,28,,,,,
player,201412280atl,car,NewtCa00,pass_rating,104.7,,,,,
player,201412280atl,car,NewtCa00,rush_att,6,,,,,
player,201412280atl,car,NewtCa00,rush_yds,51,,,,,
player,201412280atl,car,NewtCa00,rush_td,1,,,,,
player,201412280atl,car,NewtCa00,rush_long,13,,,,,
player,201412280atl,car,NewtCa00,targets,0,,,,,
player,201412280atl,car,NewtCa00,rec,0,,,,,
player,201412280atl,car,NewtCa00,rec_yds,0,,,,,
player,201412280atl,car,NewtCa00,rec_td,0,,,,,
player,201412280atl,car,NewtCa00,rec_long,0,,,,,
player,201412280atl,car,NewtCa00,fumbles,0,,,,,
player,201412280atl,car,NewtCa00,fumbles_lost,0,,,,,
player,201412280atl,car,StewJo00,pass_cmp,0,,,,,
player,201412280atl,car,StewJo00,pass_att,0,,,,,
player,201412280atl,car,StewJo00,pass_yds,0,,,,,
player,201412280atl,car,StewJo00,pass_td,0,,,,,
player,201412280atl,car,StewJo00,pass_int,0,,,,,
player,201412280atl,car,StewJo00,pass_sacked,0,,,,,
player,201412280atl,car,StewJo00,pass_sacked_yds,0,,,,,
player,201412280atl,car,StewJo00,pass_long,0,,,,,
player,201412280atl,car,StewJo00,pass_rating,,,,,,
player,201412280atl,car,StewJo00,rush_att,13,,,,,
player,201412280atl,car,StewJo00,rush_yds,49,,,,,
player,201412280atl,car,StewJo00,rush_td,0,,,,,
player,201412280atl,car,StewJo00,rush_long,11,,,,,
player,201412280atl,car,StewJo00,targets,2,,,,,
player,201412280atl,car,StewJo00,rec,2,,,,,
player,201412280atl,car,StewJo00,rec_yds,20,,,,,
player,201412280atl,car,StewJo00,rec_td,0,,,,,
player,201412280atl,car,StewJo00,rec_long,11,,,,,
player,201412280atl,car,StewJo00,fumbles,0,,,,,
player,201412280atl,car,StewJo00,fumbles_lost,0,,,,,
player,201412280atl,car,BrowPh00,pass_cmp,0,,,,,
player,201412280atl,car,BrowPh00,pass_att,0,,,,,
player,201412280atl,car,BrowPh00,pass_yds,0,,,,,
player,201412280atl,car,BrowPh00,pass_td,0,,,,,
player,201412280atl,car,BrowPh00,pass_int,0,,,,,
player,201412280atl,car,BrowPh00,pass_sacked,0,,,,,
player,201412280atl,car,BrowPh00,pass_sacked_yds,0,,,,,
player,201412280atl,car,BrowPh00,pass_long,0,,,,,
player,201412280atl,car,BrowPh00,pass_rating,,,,,,
player,201412280atl,car,BrowPh00,rush_att,2,,,,,
player,201412280atl,car,BrowPh00,rush_yds,41,,,,,
player,201412280atl,car,BrowPh00,rush_td,0,,,,,
player,201412280atl,car,BrowPh00,rush_long,28,,,,,
player,201412280atl,car,BrowPh00,targets,1,,,,,
player,201412280atl,car,BrowPh00,rec,1,,,,,
player,201412280atl,car,BrowPh00,rec_yds,28,,,,,
player,201412280atl,car,BrowPh00,rec_td,0,,,,,
player,201412280atl,car,BrowPh00,rec_long,28,,,,,
