game,2014,5,20141005,201410050phi,ram,"St. Louis Rams",28,phi,"Philadelphia Eagles",34
team,201410050phi,ram,First Downs,29,,,,,,
team,201410050phi,phi,First Downs,22,,,,,,
team,201410050phi,ram,Rush-Yds-TDs,23-125-1,,,,,,
team,201410050phi,phi,Rush-Yds-TDs,33-145-0,,,,,,
team,201410050phi,ram,Cmp-Att-Yd-TD-INT,29-49-375-3-0,,,,,,
team,201410050phi,phi,Cmp-Att-Yd-TD-INT,24-37-207-2-1,,,,,,
team,201410050phi,ram,Sacked-Yards,4-34,,,,,,
team,201410050phi,phi,Sacked-Yards,0-0,,,,,,
team,201410050phi,ram,Net Pass Yards,341,,,,,,
team,201410050phi,phi,Net Pass Yards,207,,,,,,
team,201410050phi,ram,Total Yards,466,,,,,,
team,201410050phi,phi,Total Yards,352,,,,,,
team,201410050phi,ram,Fumbles-Lost,3-3,,,,,,
team,201410050phi,phi,Fumbles-Lost,2-2,,,,,,
team,201410050phi,ram,Turnovers,3,,,,,,
team,201410050phi,phi,Turnovers,3,,,,,,
team,201410050phi,ram,Penalties-Yards,10-82,,,,,,
team,201410050phi,phi,Penalties-Yards,4-39,,,,,,
team,201410050phi,ram,Third Down Conv.,7-14,,,,,,
team,201410050phi,phi,Third Down Conv.,8-15,,,,,,
team,201410050phi,ram,Fourth Down Conv.,0-1,,,,,,
team,201410050phi,phi,Fourth Down Conv.,0-0,,,,,,
team,201410050phi,ram,Time of Possession,32:59,,,,,,
team,201410050phi,phi,Time of Possession,27:01,,,,,,
player,201410050phi,ram,DaviAu00,pass_cmp,29,,,,,
player,201410050phi,ram,DaviAu00,pass_att,49,,,,,
player,201410050phi,ram,DaviAu00,pass_yds,375,,,,,
player,201410050phi,ram,DaviAu00,pass_td,3,,,,,
player,201410050phi,ram,DaviAu00,pass_int,0,,,,,
player,201410050phi,ram,DaviAu00,pass_sacked,4,,,,,
player,201410050phi,ram,DaviAu00,pass_sacked_yds,34,,,,,
player,201410050phi,ram,DaviAu00,pass_long,43,,,,,
player,201410050phi,ram,DaviAu00,pass_rating,103.7,,,,,
player,201410050phi,ram,DaviAu00,rush_att,3,,,,,
player,201410050phi,ram,DaviAu00,rush_yds,30,,,,,
player,201410050phi,ram,DaviAu00,rush_td,0,,,,,
player,201410050phi,ram,DaviAu00,rush_long,12,,,,,
player,201410050phi,ram,DaviAu00,targets,0,,,,,
player,201410050phi,ram,DaviAu00,rec,0,,,,,
player,201410050phi,ram,DaviAu00,rec_yds,0,,,,,
player,201410050phi,ram,DaviAu00,rec_td,0,,,,,
player,201410050phi,ram,DaviAu00,rec_long,0,,,,,
player,201410050phi,ram,DaviAu00,fumbles,2,,,,,
player,201410050phi,ram,DaviAu00,fumbles_lost,2,,,,,
player,201410050phi,ram,CunnBe01,pass_cmp,0,,,,,
player,201410050phi,ram,CunnBe01,pass_att,0,,,,,
player,201410050phi,ram,CunnBe01,pass_yds,0,,,,,
player,201410050phi,ram,CunnBe01,pass_td,0,,,,,
player,201410050phi,ram,CunnBe01,pass_int,0,,,,,
player,201410050phi,ram,CunnBe01,pass_sacked,0,,,,,
player,201410050phi,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201410050phi,ram,CunnBe01,pass_long,0,,,,,
player,201410050phi,ram,CunnBe01,pass_rating,,,,,,
player,201410050phi,ram,CunnBe01,rush_att,7,,,,,
player,201410050phi,ram,CunnBe01,rush_yds,47,,,,,
player,201410050phi,ram,CunnBe01,rush_td,1,,,,,
player,201410050phi,ram,CunnBe01,rush_long,14,,,,,
player,201410050phi,ram,CunnBe01,targets,3,,,,,
player,201410050phi,ram,CunnBe01,rec,3,,,,,
player,201410050phi,ram,CunnBe01,rec_yds,24,,,,,
player,201410050phi,ram,CunnBe01,rec_td,0,,,,,
player,201410050phi,ram,CunnBe01,rec_long,12,,,,,
player,201410050phi,ram,CunnBe01,fumbles,0,,,,,
player,201410050phi,ram,CunnBe01,fumbles_lost,0,,,,,
player,201410050phi,ram,StacZa00,pass_cmp,0,,,,,
player,201410050phi,ram,StacZa00,pass_att,0,,,,,
player,201410050phi,ram,StacZa00,pass_yds,0,,,,,
player,201410050phi,ram,StacZa00,pass_td,0,,,,,
player,201410050phi,ram,StacZa00,pass_int,0,,,,,
player,201410050phi,ram,StacZa00,pass_sacked,0,,,,,
player,201410050phi,ram,StacZa00,pass_sacked_yds,0,,,,,
player,201410050phi,ram,StacZa00,pass_long,0,,,,,
player,201410050phi,ram,StacZa00,pass_rating,,,,,,
player,201410050phi,ram,StacZa00,rush_att,11,,,,,
player,201410050phi,ram,StacZa00,rush_yds,42,,,,,
player,201410050phi,ram,StacZa00,rush_td,0,,,,,
player,201410050phi,ram,StacZa00,rush_long,14,,,,,
player,201410050phi,ram,StacZa00,targets,5,,,,,
player,201410050phi,ram,StacZa00,rec,4,,,,,
player,201410050phi,ram,StacZa00,rec_yds,36,,,,,
player,201410050phi,ram,StacZa00,rec_td,0,,,,,
player,201410050phi,ram,StacZa00,rec_long,15,,,,,
player,201410050phi,ram,StacZa00,fumbles,1,,,,,
player,201410050phi,ram,StacZa00,fumbles_lost,1,,,,,
player,201410050phi,ram,WattTr00,pass_cmp,0,,,,,
player,201410050phi,ram,WattTr00,pass_att,0,,,,,
player,201410050phi,ram,WattTr00,pass_yds,0,,,,,
player,201410050phi,ram,WattTr00,pass_td,0,,,,,
player,201410050phi,ram,WattTr00,pass_int,0,,,,,
player,201410050phi,ram,WattTr00,pass_sacked,0,,,,,
player,201410050phi,ram,WattTr00,pass_sacked_yds,0,,,,,
player,201410050phi,ram,WattTr00,pass_long,0,,,,,
player,201410050phi,ram,WattTr00,pass_rating,,,,,,
player,201410050phi,ram,WattTr00,rush_att,2,,,,,
player,201410050phi,ram,WattTr00,rush_yds,6,,,,,
player,201410050phi,ram,WattTr00,rush_td,0,,,,,
player,201410050phi,ram,WattTr00,rush_long,4,,,,,
player,201410050phi,ram,WattTr00,targets,2,,,,,
player,201410050phi,ram,WattTr00,rec,2,,,,,
player,201410050phi,ram,WattTr00,rec_yds,12,,,,,
player,201410050phi,ram,WattTr00,rec_td,0,,,,,
player,201410050phi,ram,WattTr00,rec_long,11,,,,,
player,201410050phi,ram,WattTr00,fumbles,0,,,,,
player,201410050phi,ram,WattTr00,fumbles_lost,0,,,,,
player,201410050phi,ram,QuicBr00,pass_cmp,0,,,,,
player,201410050phi,ram,QuicBr00,pass_att,0,,,,,
player,201410050phi,ram,QuicBr00,pass_yds,0,,,,,
player,201410050phi,ram,QuicBr00,pass_td,0,,,,,
player,201410050phi,ram,QuicBr00,pass_int,0,,,,,
player,201410050phi,ram,QuicBr00,pass_sacked,0,,,,,
player,201410050phi,ram,QuicBr00,pass_sacked_yds,0,,,,,
player,201410050phi,ram,QuicBr00,pass_long,0,,,,,
