game,2014,10,20141109,201411090crd,ram,"St. Louis Rams",14,crd,"Arizona Cardinals",31
team,201411090crd,ram,First Downs,16,,,,,,
team,201411090crd,crd,First Downs,21,,,,,,
team,201411090crd,ram,Rush-Yds-TDs,22-70-1,,,,,,
team,201411090crd,crd,Rush-Yds-TDs,22-28-1,,,,,,
team,201411090crd,ram,Cmp-Att-Yd-TD-INT,17-30-216-1-2,,,,,,
team,201411090crd,crd,Cmp-Att-Yd-TD-INT,28-41-326-1-1,,,,,,
team,201411090crd,ram,Sacked-Yards,6-42,,,,,,
team,201411090crd,crd,Sacked-Yards,3-19,,,,,,
team,201411090crd,ram,Net Pass Yards,174,,,,,,
team,201411090crd,crd,Net Pass Yards,307,,,,,,
team,201411090crd,ram,Total Yards,244,,,,,,
team,201411090crd,crd,Total Yards,335,,,,,,
team,201411090crd,ram,Fumbles-Lost,1-1,,,,,,
team,201411090crd,crd,Fumbles-Lost,1-0,,,,,,
team,201411090crd,ram,Turnovers,3,,,,,,
team,201411090crd,crd,Turnovers,1,,,,,,
team,201411090crd,ram,Penalties-Yards,8-80,,,,,,
team,201411090crd,crd,Penalties-Yards,5-35,,,,,,
team,201411090crd,ram,Third Down Conv.,1-10,,,,,,
team,201411090crd,crd,Third Down Conv.,6-15,,,,,,
team,201411090crd,ram,Fourth Down Conv.,1-2,,,,,,
team,201411090crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201411090crd,ram,Time of Possession,26:40,,,,,,
team,201411090crd,crd,Time of Possession,33:20,,,,,,
player,201411090crd,ram,DaviAu00,pass_cmp,17,,,,,
player,201411090crd,ram,DaviAu00,pass_att,30,,,,,
player,201411090crd,ram,DaviAu00,pass_yds,216,,,,,
player,201411090crd,ram,DaviAu00,pass_td,1,,,,,
player,201411090crd,ram,DaviAu00,pass_int,2,,,,,
player,201411090crd,ram,DaviAu00,pass_sacked,6,,,,,
player,201411090crd,ram,DaviAu00,pass_sacked_yds,42,,,,,
player,201411090crd,ram,DaviAu00,pass_long,59,,,,,
player,201411090crd,ram,DaviAu00,pass_rating,62.6,,,,,
player,201411090crd,ram,DaviAu00,rush_att,3,,,,,
player,201411090crd,ram,DaviAu00,rush_yds,0,,,,,
player,201411090crd,ram,DaviAu00,rush_td,0,,,,,
player,201411090crd,ram,DaviAu00,rush_long,3,,,,,
player,201411090crd,ram,DaviAu00,targets,0,,,,,
player,201411090crd,ram,DaviAu00,rec,0,,,,,
player,201411090crd,ram,DaviAu00,rec_yds,0,,,,,
player,201411090crd,ram,DaviAu00,rec_td,0,,,,,
player,201411090crd,ram,DaviAu00,rec_long,0,,,,,
player,201411090crd,ram,DaviAu00,fumbles,1,,,,,
player,201411090crd,ram,DaviAu00,fumbles_lost,1,,,,,
player,201411090crd,ram,MasoTr00,pass_cmp,0,,,,,
player,201411090crd,ram,MasoTr00,pass_att,0,,,,,
player,201411090crd,ram,MasoTr00,pass_yds,0,,,,,
player,201411090crd,ram,MasoTr00,pass_td,0,,,,,
player,201411090crd,ram,MasoTr00,pass_int,0,,,,,
player,201411090crd,ram,MasoTr00,pass_sacked,0,,,,,
player,201411090crd,ram,MasoTr00,pass_sacked_yds,0,,,,,
player,201411090crd,ram,MasoTr00,pass_long,0,,,,,
player,201411090crd,ram,MasoTr00,pass_rating,,,,,,
player,201411090crd,ram,MasoTr00,rush_att,14,,,,,
player,201411090crd,ram,MasoTr00,rush_yds,48,,,,,
player,201411090crd,ram,MasoTr00,rush_td,0,,,,,
player,201411090crd,ram,MasoTr00,rush_long,16,,,,,
player,201411090crd,ram,MasoTr00,targets,6,,,,,
player,201411090crd,ram,MasoTr00,rec,4,,,,,
player,201411090crd,ram,MasoTr00,rec_yds,33,,,,,
player,201411090crd,ram,MasoTr00,rec_td,0,,,,,
player,201411090crd,ram,MasoTr00,rec_long,14,,,,,
player,201411090crd,ram,MasoTr00,fumbles,0,,,,,
player,201411090crd,ram,MasoTr00,fumbles_lost,0,,,,,
player,201411090crd,ram,CunnBe01,pass_cmp,0,,,,,
player,201411090crd,ram,CunnBe01,pass_att,0,,,,,
player,201411090crd,ram,CunnBe01,pass_yds,0,,,,,
player,201411090crd,ram,CunnBe01,pass_td,0,,,,,
player,201411090crd,ram,CunnBe01,pass_int,0,,,,,
player,201411090crd,ram,CunnBe01,pass_sacked,0,,,,,
player,201411090crd,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201411090crd,ram,CunnBe01,pass_long,0,,,,,
player,201411090crd,ram,CunnBe01,pass_rating,,,,,,
player,201411090crd,ram,CunnBe01,rush_att,4,,,,,
player,201411090crd,ram,CunnBe01,rush_yds,12,,,,,
player,201411090crd,ram,CunnBe01,rush_td,1,,,,,
player,201411090crd,ram,CunnBe01,rush_long,5,,,,,
player,201411090crd,ram,CunnBe01,targets,4,,,,,
player,201411090crd,ram,CunnBe01,rec,2,,,,,
player,201411090crd,ram,CunnBe01,rec_yds,16,,,,,
player,201411090crd,ram,CunnBe01,rec_td,0,,,,,
player,201411090crd,ram,CunnBe01,rec_long,12,,,,,
player,201411090crd,ram,CunnBe01,fumbles,0,,,,,
player,201411090crd,ram,CunnBe01,fumbles_lost,0,,,,,
player,201411090crd,ram,AustTa00,pass_cmp,0,,,,,
player,201411090crd,ram,AustTa00,pass_att,0,,,,,
player,201411090crd,ram,AustTa00,pass_yds,0,,,,,
player,201411090crd,ram,AustTa00,pass_td,0,,,,,
player,201411090crd,ram,AustTa00,pass_int,0,,,,,
player,201411090crd,ram,AustTa00,pass_sacked,0,,,,,
player,201411090crd,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201411090crd,ram,AustTa00,pass_long,0,,,,,
player,201411090crd,ram,AustTa00,pass_rating,,,,,,
player,201411090crd,ram,AustTa00,rush_att,1,,,,,
player,201411090crd,ram,AustTa00,rush_yds,10,,,,,
player,201411090crd,ram,AustTa00,rush_td,0,,,,,
player,201411090crd,ram,AustTa00,rush_long,10,,,,,
player,201411090crd,ram,AustTa00,targets,3,,,,,
player,201411090crd,ram,AustTa00,rec,2,,,,,
player,201411090crd,ram,AustTa00,rec_yds,20,,,,,
player,201411090crd,ram,AustTa00,rec_td,0,,,,,
player,201411090crd,ram,AustTa00,rec_long,17,,,,,
player,201411090crd,ram,AustTa00,fumbles,0,,,,,
player,201411090crd,ram,AustTa00,fumbles_lost,0,,,,,
player,201411090crd,ram,CookJa02,pass_cmp,0,,,,,
player,201411090crd,ram,CookJa02,pass_att,0,,,,,
player,201411090crd,ram,CookJa02,pass_yds,0,,,,,
player,201411090crd,ram,CookJa02,pass_td,0,,,,,
player,201411090crd,ram,CookJa02,pass_int,0,,,,,
player,201411090crd,ram,CookJa02,pass_sacked,0,,,,,
player,201411090crd,ram,CookJa02,pass_sacked_yds,0,,,,,
player,201411090crd,ram,CookJa02,pass_long,0,,,,,
player,201411090crd,ram,CookJa02,pass_rating,,,,,,
player,201411090crd,ram,CookJa02,rush_att,0,,,,,
player,201411090crd,ram,CookJa02,rush_yds,0,,,,,
player,201411090crd,ram,CookJa02,rush_td,0,,,,,
player,201411090crd,ram,CookJa02,rush_long,0,,,,,
player,201411090crd,ram,CookJa02,targets,3,,,,,
player,201411090crd,ram,CookJa02,rec,2,,,,,
player,201411090crd,ram,CookJa02,rec_yds,84,,,,,
player,201411090crd,ram,CookJa02,rec_td,1,,,,,
player,201411090crd,ram,CookJa02,rec_long,59,,,,,
player,201411090crd,ram,CookJa02,fumbles,0,,,,,
player,201411090crd,ram,CookJa02,fumbles_lost,0,,,,,
player,201411090crd,ram,BritKe00,pass_cmp,0,,,,,
