game,2014,4,20140928,201409280clt,oti,"Tennessee Titans",17,clt,"Indianapolis Colts",41
team,201409280clt,oti,First Downs,16,,,,,,
team,201409280clt,clt,First Downs,31,,,,,,
team,201409280clt,oti,Rush-Yds-TDs,16-85-1,,,,,,
team,201409280clt,clt,Rush-Yds-TDs,41-105-1,,,,,,
team,201409280clt,oti,Cmp-Att-Yd-TD-INT,14-28-194-1-2,,,,,,
team,201409280clt,clt,Cmp-Att-Yd-TD-INT,29-41-393-4-1,,,,,,
team,201409280clt,oti,Sacked-Yards,3-18,,,,,,
team,201409280clt,clt,Sacked-Yards,0-0,,,,,,
team,201409280clt,oti,Net Pass Yards,176,,,,,,
team,201409280clt,clt,Net Pass Yards,393,,,,,,
team,201409280clt,oti,Total Yards,261,,,,,,
team,201409280clt,clt,Total Yards,498,,,,,,
team,201409280clt,oti,Fumbles-Lost,2-1,,,,,,
team,201409280clt,clt,Fumbles-Lost,0-0,,,,,,
team,201409280clt,oti,Turnovers,3,,,,,,
team,201409280clt,clt,Turnovers,1,,,,,,
team,201409280clt,oti,Penalties-Yards,6-68,,,,,,
team,201409280clt,clt,Penalties-Yards,11-88,,,,,,
team,201409280clt,oti,Third Down Conv.,1-9,,,,,,
team,201409280clt,clt,Third Down Conv.,7-14,,,,,,
team,201409280clt,oti,Fourth Down Conv.,0-0,,,,,,
team,201409280clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201409280clt,oti,Time of Possession,17:39,,,,,,
team,201409280clt,clt,Time of Possession,42:21,,,,,,
player,201409280clt,oti,WhitCh02,pass_cmp,12,,,,,
player,201409280clt,oti,WhitCh02,pass_att,23,,,,,
player,201409280clt,oti,WhitCh02,pass_yds,177,,,,,
player,201409280clt,oti,WhitCh02,pass_td,1,,,,,
player,201409280clt,oti,WhitCh02,pass_int,1,,,,,
player,201409280clt,oti,WhitCh02,pass_sacked,3,,,,,
player,201409280clt,oti,WhitCh02,pass_sacked_yds,18,,,,,
player,201409280clt,oti,WhitCh02,pass_long,31,,,,,
player,201409280clt,oti,WhitCh02,pass_rating,74.0,,,,,
player,201409280clt,oti,WhitCh02,rush_att,5,,,,,
player,201409280clt,oti,WhitCh02,rush_yds,40,,,,,
player,201409280clt,oti,WhitCh02,rush_td,0,,,,,
player,201409280clt,oti,WhitCh02,rush_long,23,,,,,
player,201409280clt,oti,WhitCh02,targets,0,,,,,
player,201409280clt,oti,WhitCh02,rec,0,,,,,
player,201409280clt,oti,WhitCh02,rec_yds,0,,,,,
player,201409280clt,oti,WhitCh02,rec_td,0,,,,,
player,201409280clt,oti,WhitCh02,rec_long,0,,,,,
player,201409280clt,oti,WhitCh02,fumbles,1,,,,,
player,201409280clt,oti,WhitCh02,fumbles_lost,0,,,,,
player,201409280clt,oti,MettZa00,pass_cmp,2,,,,,
player,201409280clt,oti,MettZa00,pass_att,5,,,,,
player,201409280clt,oti,MettZa00,pass_yds,17,,,,,
player,201409280clt,oti,MettZa00,pass_td,0,,,,,
player,201409280clt,oti,MettZa00,pass_int,1,,,,,
player,201409280clt,oti,MettZa00,pass_sacked,0,,,,,
player,201409280clt,oti,MettZa00,pass_sacked_yds,0,,,,,
player,201409280clt,oti,MettZa00,pass_long,12,,,,,
player,201409280clt,oti,MettZa00,pass_rating,10.0,,,,,
player,201409280clt,oti,MettZa00,rush_att,0,,,,,
player,201409280clt,oti,MettZa00,rush_yds,0,,,,,
player,201409280clt,oti,MettZa00,rush_td,0,,,,,
player,201409280clt,oti,MettZa00,rush_long,0,,,,,
player,201409280clt,oti,MettZa00,targets,0,,,,,
player,201409280clt,oti,MettZa00,rec,0,,,,,
player,201409280clt,oti,MettZa00,rec_yds,0,,,,,
player,201409280clt,oti,MettZa00,rec_td,0,,,,,
player,201409280clt,oti,MettZa00,rec_long,0,,,,,
player,201409280clt,oti,MettZa00,fumbles,0,,,,,
player,201409280clt,oti,MettZa00,fumbles_lost,0,,,,,
player,201409280clt,oti,SankBi00,pass_cmp,0,,,,,
player,201409280clt,oti,SankBi00,pass_att,0,,,,,
player,201409280clt,oti,SankBi00,pass_yds,0,,,,,
player,201409280clt,oti,SankBi00,pass_td,0,,,,,
player,201409280clt,oti,SankBi00,pass_int,0,,,,,
player,201409280clt,oti,SankBi00,pass_sacked,0,,,,,
player,201409280clt,oti,SankBi00,pass_sacked_yds,0,,,,,
player,201409280clt,oti,SankBi00,pass_long,0,,,,,
player,201409280clt,oti,SankBi00,pass_rating,,,,,,
player,201409280clt,oti,SankBi00,rush_att,6,,,,,
player,201409280clt,oti,SankBi00,rush_yds,34,,,,,
player,201409280clt,oti,SankBi00,rush_td,1,,,,,
player,201409280clt,oti,SankBi00,rush_long,10,,,,,
player,201409280clt,oti,SankBi00,targets,2,,,,,
player,201409280clt,oti,SankBi00,rec,2,,,,,
player,201409280clt,oti,SankBi00,rec_yds,23,,,,,
player,201409280clt,oti,SankBi00,rec_td,0,,,,,
player,201409280clt,oti,SankBi00,rec_long,13,,,,,
player,201409280clt,oti,SankBi00,fumbles,0,,,,,
player,201409280clt,oti,SankBi00,fumbles_lost,0,,,,,
player,201409280clt,oti,GreeSh00,pass_cmp,0,,,,,
player,201409280clt,oti,GreeSh00,pass_att,0,,,,,
player,201409280clt,oti,GreeSh00,pass_yds,0,,,,,
player,201409280clt,oti,GreeSh00,pass_td,0,,,,,
player,201409280clt,oti,GreeSh00,pass_int,0,,,,,
player,201409280clt,oti,GreeSh00,pass_sacked,0,,,,,
player,201409280clt,oti,GreeSh00,pass_sacked_yds,0,,,,,
player,201409280clt,oti,GreeSh00,pass_long,0,,,,,
player,201409280clt,oti,GreeSh00,pass_rating,,,,,,
player,201409280clt,oti,GreeSh00,rush_att,3,,,,,
player,201409280clt,oti,GreeSh00,rush_yds,10,,,,,
player,201409280clt,oti,GreeSh00,rush_td,0,,,,,
player,201409280clt,oti,GreeSh00,rush_long,6,,,,,
player,201409280clt,oti,GreeSh00,targets,0,,,,,
player,201409280clt,oti,GreeSh00,rec,0,,,,,
player,201409280clt,oti,GreeSh00,rec_yds,0,,,,,
player,201409280clt,oti,GreeSh00,rec_td,0,,,,,
player,201409280clt,oti,GreeSh00,rec_long,0,,,,,
player,201409280clt,oti,GreeSh00,fumbles,0,,,,,
player,201409280clt,oti,GreeSh00,fumbles_lost,0,,,,,
player,201409280clt,oti,McClDe00,pass_cmp,0,,,,,
player,201409280clt,oti,McClDe00,pass_att,0,,,,,
player,201409280clt,oti,McClDe00,pass_yds,0,,,,,
player,201409280clt,oti,McClDe00,pass_td,0,,,,,
player,201409280clt,oti,McClDe00,pass_int,0,,,,,
player,201409280clt,oti,McClDe00,pass_sacked,0,,,,,
player,201409280clt,oti,McClDe00,pass_sacked_yds,0,,,,,
player,201409280clt,oti,McClDe00,pass_long,0,,,,,
player,201409280clt,oti,McClDe00,pass_rating,,,,,,
player,201409280clt,oti,McClDe00,rush_att,2,,,,,
player,201409280clt,oti,McClDe00,rush_yds,1,,,,,
player,201409280clt,oti,McClDe00,rush_td,0,,,,,
player,201409280clt,oti,McClDe00,rush_long,1,,,,,
player,201409280clt,oti,McClDe00,targets,1,,,,,
player,201409280clt,oti,McClDe00,rec,0,,,,,
player,201409280clt,oti,McClDe00,rec_yds,0,,,,,
player,201409280clt,oti,McClDe00,rec_td,0,,,,,
player,201409280clt,oti,McClDe00,rec_long,0,,,,,
player,201409280clt,oti,McClDe00,fumbles,0,,,,,
player,201409280clt,oti,McClDe00,fumbles_lost,0,,,,,
player,201409280clt,oti,WalkHu00,pass_cmp,0,,,,,
player,201409280clt,oti,WalkHu00,pass_att,0,,,,,
player,201409280clt,oti,WalkHu00,pass_yds,0,,,,,
player,201409280clt,oti,WalkHu00,pass_td,0,,,,,
player,201409280clt,oti,WalkHu00,pass_int,0,,,,,
player,201409280clt,oti,WalkHu00,pass_sacked,0,,,,,
player,201409280clt,oti,WalkHu00,pass_sacked_yds,0,,,,,
player,201409280clt,oti,WalkHu00,pass_long,0,,,,,
player,201409280clt,oti,WalkHu00,pass_rating,,,,,,
player,201409280clt,oti,WalkHu00,rush_att,0,,,,,
player,201409280clt,oti,WalkHu00,rush_yds,0,,,,,
player,201409280clt,oti,WalkHu00,rush_td,0,,,,,
player,201409280clt,oti,WalkHu00,rush_long,0,,,,,
player,201409280clt,oti,WalkHu00,targets,7,,,,,
player,201409280clt,oti,WalkHu00,rec,5,,,,,
player,201409280clt,oti,WalkHu00,rec_yds,84,,,,,
player,201409280clt,oti,WalkHu00,rec_td,1,,,,,
player,201409280clt,oti,WalkHu00,rec_long,31,,,,,
player,201409280clt,oti,WalkHu00,fumbles,0,,,,,
player,201409280clt,oti,WalkHu00,fumbles_lost,0,,,,,
player,201409280clt,oti,WrigKe01,pass_cmp,0,,,,,
player,201409280clt,oti,WrigKe01,pass_att,0,,,,,
player,201409280clt,oti,WrigKe01,pass_yds,0,,,,,
player,201409280clt,oti,WrigKe01,pass_td,0,,,,,
player,201409280clt,oti,WrigKe01,pass_int,0,,,,,
player,201409280clt,oti,WrigKe01,pass_sacked,0,,,,,
player,201409280clt,oti,WrigKe01,pass_sacked_yds,0,,,,,
player,201409280clt,oti,WrigKe01,pass_long,0,,,,,
player,201409280clt,oti,WrigKe01,pass_rating,,,,,,
player,201409280clt,oti,WrigKe01,rush_att,0,,,,,
player,201409280clt,oti,WrigKe01,rush_yds,0,,,,,
player,201409280clt,oti,WrigKe01,rush_td,0,,,,,
player,201409280clt,oti,WrigKe01,rush_long,0,,,,,
player,201409280clt,oti,WrigKe01,targets,8,,,,,
player,201409280clt,oti,WrigKe01,rec,5,,,,,
player,201409280clt,oti,WrigKe01,rec_yds,55,,,,,
player,201409280clt,oti,WrigKe01,rec_td,0,,,,,
player,201409280clt,oti,WrigKe01,rec_long,18,,,,,
player,201409280clt,oti,WrigKe01,fumbles,1,,,,,
player,201409280clt,oti,WrigKe01,fumbles_lost,1,,,,,
player,201409280clt,oti,WashNa00,pass_cmp,0,,,,,
player,201409280clt,oti,WashNa00,pass_att,0,,,,,
player,201409280clt,oti,WashNa00,pass_yds,0,,,,,
player,201409280clt,oti,WashNa00,pass_td,0,,,,,
player,201409280clt,oti,WashNa00,pass_int,0,,,,,
player,201409280clt,oti,WashNa00,pass_sacked,0,,,,,
