game,2014,14,20141204,201412040chi,dal,"Dallas Cowboys",41,chi,"Chicago Bears",28
player,201412040chi,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201412040chi,dal,BryaDe01,pass_long,0,,,,,
player,201412040chi,dal,BryaDe01,pass_rating,,,,,,
player,201412040chi,dal,BryaDe01,rush_att,0,,,,,
player,201412040chi,dal,BryaDe01,rush_yds,0,,,,,
player,201412040chi,dal,BryaDe01,rush_td,0,,,,,
player,201412040chi,dal,BryaDe01,rush_long,0,,,,,
player,201412040chi,dal,BryaDe01,targets,8,,,,,
player,201412040chi,dal,BryaDe01,rec,6,,,,,
player,201412040chi,dal,BryaDe01,rec_yds,82,,,,,
player,201412040chi,dal,BryaDe01,rec_td,0,,,,,
player,201412040chi,dal,BryaDe01,rec_long,43,,,,,
player,201412040chi,dal,BryaDe01,fumbles,0,,,,,
player,201412040chi,dal,BryaDe01,fumbles_lost,0,,,,,
player,201412040chi,dal,BeasCo00,pass_cmp,0,,,,,
player,201412040chi,dal,BeasCo00,pass_att,0,,,,,
player,201412040chi,dal,BeasCo00,pass_yds,0,,,,,
player,201412040chi,dal,BeasCo00,pass_td,0,,,,,
player,201412040chi,dal,BeasCo00,pass_int,0,,,,,
player,201412040chi,dal,BeasCo00,pass_sacked,0,,,,,
player,201412040chi,dal,BeasCo00,pass_sacked_yds,0,,,,,
player,201412040chi,dal,BeasCo00,pass_long,0,,,,,
player,201412040chi,dal,BeasCo00,pass_rating,,,,,,
player,201412040chi,dal,BeasCo00,rush_att,0,,,,,
player,201412040chi,dal,BeasCo00,rush_yds,0,,,,,
player,201412040chi,dal,BeasCo00,rush_td,0,,,,,
player,201412040chi,dal,BeasCo00,rush_long,0,,,,,
player,201412040chi,dal,BeasCo00,targets,3,,,,,
player,201412040chi,dal,BeasCo00,rec,3,,,,,
player,201412040chi,dal,BeasCo00,rec_yds,42,,,,,
player,201412040chi,dal,BeasCo00,rec_td,2,,,,,
player,201412040chi,dal,BeasCo00,rec_long,24,,,,,
player,201412040chi,dal,BeasCo00,fumbles,0,,,,,
player,201412040chi,dal,BeasCo00,fumbles_lost,0,,,,,
player,201412040chi,dal,WittJa00,pass_cmp,0,,,,,
player,201412040chi,dal,WittJa00,pass_att,0,,,,,
player,201412040chi,dal,WittJa00,pass_yds,0,,,,,
player,201412040chi,dal,WittJa00,pass_td,0,,,,,
player,201412040chi,dal,WittJa00,pass_int,0,,,,,
player,201412040chi,dal,WittJa00,pass_sacked,0,,,,,
player,201412040chi,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201412040chi,dal,WittJa00,pass_long,0,,,,,
player,201412040chi,dal,WittJa00,pass_rating,,,,,,
player,201412040chi,dal,WittJa00,rush_att,0,,,,,
player,201412040chi,dal,WittJa00,rush_yds,0,,,,,
player,201412040chi,dal,WittJa00,rush_td,0,,,,,
player,201412040chi,dal,WittJa00,rush_long,0,,,,,
player,201412040chi,dal,WittJa00,targets,3,,,,,
player,201412040chi,dal,WittJa00,rec,2,,,,,
player,201412040chi,dal,WittJa00,rec_yds,26,,,,,
player,201412040chi,dal,WittJa00,rec_td,0,,,,,
player,201412040chi,dal,WittJa00,rec_long,19,,,,,
player,201412040chi,dal,WittJa00,fumbles,0,,,,,
player,201412040chi,dal,WittJa00,fumbles_lost,0,,,,,
player,201412040chi,dal,EscoGa00,pass_cmp,0,,,,,
player,201412040chi,dal,EscoGa00,pass_att,0,,,,,
player,201412040chi,dal,EscoGa00,pass_yds,0,,,,,
player,201412040chi,dal,EscoGa00,pass_td,0,,,,,
player,201412040chi,dal,EscoGa00,pass_int,0,,,,,
player,201412040chi,dal,EscoGa00,pass_sacked,0,,,,,
player,201412040chi,dal,EscoGa00,pass_sacked_yds,0,,,,,
player,201412040chi,dal,EscoGa00,pass_long,0,,,,,
player,201412040chi,dal,EscoGa00,pass_rating,,,,,,
player,201412040chi,dal,EscoGa00,rush_att,0,,,,,
player,201412040chi,dal,EscoGa00,rush_yds,0,,,,,
player,201412040chi,dal,EscoGa00,rush_td,0,,,,,
player,201412040chi,dal,EscoGa00,rush_long,0,,,,,
player,201412040chi,dal,EscoGa00,targets,1,,,,,
