game,2014,9,20141102,201411020htx,phi,"Philadelphia Eagles",31,htx,"Houston Texans",21
player,201411020htx,htx,JohnDa04,pass_sacked_yds,0,,,,,
player,201411020htx,htx,JohnDa04,pass_long,0,,,,,
player,201411020htx,htx,JohnDa04,pass_rating,,,,,,
player,201411020htx,htx,JohnDa04,rush_att,0,,,,,
player,201411020htx,htx,JohnDa04,rush_yds,0,,,,,
player,201411020htx,htx,JohnDa04,rush_td,0,,,,,
player,201411020htx,htx,JohnDa04,rush_long,0,,,,,
player,201411020htx,htx,JohnDa04,targets,2,,,,,
player,201411020htx,htx,JohnDa04,rec,2,,,,,
player,201411020htx,htx,JohnDa04,rec_yds,16,,,,,
player,201411020htx,htx,JohnDa04,rec_td,0,,,,,
player,201411020htx,htx,JohnDa04,rec_long,11,,,,,
player,201411020htx,htx,JohnDa04,fumbles,0,,,,,
player,201411020htx,htx,JohnDa04,fumbles_lost,0,,,,,
player,201411020htx,htx,JohnAn02,pass_cmp,0,,,,,
player,201411020htx,htx,JohnAn02,pass_att,0,,,,,
player,201411020htx,htx,JohnAn02,pass_yds,0,,,,,
player,201411020htx,htx,JohnAn02,pass_td,0,,,,,
player,201411020htx,htx,JohnAn02,pass_int,0,,,,,
player,201411020htx,htx,JohnAn02,pass_sacked,0,,,,,
player,201411020htx,htx,JohnAn02,pass_sacked_yds,0,,,,,
player,201411020htx,htx,JohnAn02,pass_long,0,,,,,
player,201411020htx,htx,JohnAn02,pass_rating,,,,,,
player,201411020htx,htx,JohnAn02,rush_att,0,,,,,
player,201411020htx,htx,JohnAn02,rush_yds,0,,,,,
player,201411020htx,htx,JohnAn02,rush_td,0,,,,,
player,201411020htx,htx,JohnAn02,rush_long,0,,,,,
player,201411020htx,htx,JohnAn02,targets,7,,,,,
player,201411020htx,htx,JohnAn02,rec,2,,,,,
player,201411020htx,htx,JohnAn02,rec_yds,12,,,,,
player,201411020htx,htx,JohnAn02,rec_td,0,,,,,
player,201411020htx,htx,JohnAn02,rec_long,9,,,,,
player,201411020htx,htx,JohnAn02,fumbles,0,,,,,
player,201411020htx,htx,JohnAn02,fumbles_lost,0,,,,,
player,201411020htx,htx,MartKe01,pass_cmp,0,,,,,
player,201411020htx,htx,MartKe01,pass_att,0,,,,,
player,201411020htx,htx,MartKe01,pass_yds,0,,,,,
player,201411020htx,htx,MartKe01,pass_td,0,,,,,
player,201411020htx,htx,MartKe01,pass_int,0,,,,,
player,201411020htx,htx,MartKe01,pass_sacked,0,,,,,
player,201411020htx,htx,MartKe01,pass_sacked_yds,0,,,,,
player,201411020htx,htx,MartKe01,pass_long,0,,,,,
player,201411020htx,htx,MartKe01,pass_rating,,,,,,
player,201411020htx,htx,MartKe01,rush_att,0,,,,,
player,201411020htx,htx,MartKe01,rush_yds,0,,,,,
player,201411020htx,htx,MartKe01,rush_td,0,,,,,
player,201411020htx,htx,MartKe01,rush_long,0,,,,,
player,201411020htx,htx,MartKe01,targets,1,,,,,
player,201411020htx,htx,MartKe01,rec,0,,,,,
player,201411020htx,htx,MartKe01,rec_yds,0,,,,,
player,201411020htx,htx,MartKe01,rec_td,0,,,,,
player,201411020htx,htx,MartKe01,rec_long,0,,,,,
player,201411020htx,htx,MartKe01,fumbles,0,,,,,
player,201411020htx,htx,MartKe01,fumbles_lost,0,,,,,
player,201411020htx,htx,GrahGa00,pass_cmp,0,,,,,
player,201411020htx,htx,GrahGa00,pass_att,0,,,,,
player,201411020htx,htx,GrahGa00,pass_yds,0,,,,,
player,201411020htx,htx,GrahGa00,pass_td,0,,,,,
player,201411020htx,htx,GrahGa00,pass_int,0,,,,,
player,201411020htx,htx,GrahGa00,pass_sacked,0,,,,,
player,201411020htx,htx,GrahGa00,pass_sacked_yds,0,,,,,
player,201411020htx,htx,GrahGa00,pass_long,0,,,,,
player,201411020htx,htx,GrahGa00,pass_rating,,,,,,
player,201411020htx,htx,GrahGa00,rush_att,0,,,,,
player,201411020htx,htx,GrahGa00,rush_yds,0,,,,,
player,201411020htx,htx,GrahGa00,rush_td,0,,,,,
player,201411020htx,htx,GrahGa00,rush_long,0,,,,,
player,201411020htx,htx,GrahGa00,targets,1,,,,,
player,201411020htx,htx,GrahGa00,rec,0,,,,,
player,201411020htx,htx,GrahGa00,rec_yds,0,,,,,
player,201411020htx,htx,GrahGa00,rec_td,0,,,,,
player,201411020htx,htx,GrahGa00,rec_long,0,,,,,
player,201411020htx,htx,GrahGa00,fumbles,0,,,,,
player,201411020htx,htx,GrahGa00,fumbles_lost,0,,,,,
player,201411020htx,phi,RyanDe20,def_int,1,,,,,
player,201411020htx,phi,RyanDe20,def_int_yds,0,,,,,
player,201411020htx,phi,RyanDe20,def_int_td,0,,,,,
player,201411020htx,phi,RyanDe20,def_int_long,0,,,,,
player,201411020htx,phi,RyanDe20,pass_defended,1,,,,,
player,201411020htx,phi,RyanDe20,sacks,0.0,,,,,
player,201411020htx,phi,RyanDe20,tackles_combined,6,,,,,
player,201411020htx,phi,RyanDe20,tackles_solo,5,,,,,
player,201411020htx,phi,RyanDe20,tackles_assists,1,,,,,
player,201411020htx,phi,RyanDe20,tackles_loss,1,,,,,
player,201411020htx,phi,RyanDe20,qb_hits,0,,,,,
player,201411020htx,phi,RyanDe20,fumbles_rec,0,,,,,
player,201411020htx,phi,RyanDe20,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,RyanDe20,fumbles_rec_td,0,,,,,
player,201411020htx,phi,RyanDe20,fumbles_forced,0,,,,,
player,201411020htx,phi,KendMy00,def_int,0,,,,,
player,201411020htx,phi,KendMy00,def_int_yds,0,,,,,
player,201411020htx,phi,KendMy00,def_int_td,0,,,,,
player,201411020htx,phi,KendMy00,def_int_long,0,,,,,
player,201411020htx,phi,KendMy00,pass_defended,0,,,,,
player,201411020htx,phi,KendMy00,sacks,1.0,,,,,
player,201411020htx,phi,KendMy00,tackles_combined,12,,,,,
player,201411020htx,phi,KendMy00,tackles_solo,5,,,,,
player,201411020htx,phi,KendMy00,tackles_assists,7,,,,,
player,201411020htx,phi,KendMy00,tackles_loss,1,,,,,
player,201411020htx,phi,KendMy00,qb_hits,1,,,,,
player,201411020htx,phi,KendMy00,fumbles_rec,0,,,,,
player,201411020htx,phi,KendMy00,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,KendMy00,fumbles_rec_td,0,,,,,
player,201411020htx,phi,KendMy00,fumbles_forced,1,,,,,
player,201411020htx,phi,BarwCo99,def_int,0,,,,,
player,201411020htx,phi,BarwCo99,def_int_yds,0,,,,,
player,201411020htx,phi,BarwCo99,def_int_td,0,,,,,
player,201411020htx,phi,BarwCo99,def_int_long,0,,,,,
player,201411020htx,phi,BarwCo99,pass_defended,2,,,,,
player,201411020htx,phi,BarwCo99,sacks,1.0,,,,,
player,201411020htx,phi,BarwCo99,tackles_combined,3,,,,,
player,201411020htx,phi,BarwCo99,tackles_solo,2,,,,,
player,201411020htx,phi,BarwCo99,tackles_assists,1,,,,,
player,201411020htx,phi,BarwCo99,tackles_loss,1,,,,,
player,201411020htx,phi,BarwCo99,qb_hits,2,,,,,
player,201411020htx,phi,BarwCo99,fumbles_rec,0,,,,,
player,201411020htx,phi,BarwCo99,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,BarwCo99,fumbles_rec_td,0,,,,,
player,201411020htx,phi,BarwCo99,fumbles_forced,0,,,,,
player,201411020htx,phi,GrahBr99,def_int,0,,,,,
player,201411020htx,phi,GrahBr99,def_int_yds,0,,,,,
player,201411020htx,phi,GrahBr99,def_int_td,0,,,,,
player,201411020htx,phi,GrahBr99,def_int_long,0,,,,,
player,201411020htx,phi,GrahBr99,pass_defended,0,,,,,
player,201411020htx,phi,GrahBr99,sacks,1.0,,,,,
player,201411020htx,phi,GrahBr99,tackles_combined,2,,,,,
player,201411020htx,phi,GrahBr99,tackles_solo,1,,,,,
player,201411020htx,phi,GrahBr99,tackles_assists,1,,,,,
player,201411020htx,phi,GrahBr99,tackles_loss,1,,,,,
player,201411020htx,phi,GrahBr99,qb_hits,1,,,,,
player,201411020htx,phi,GrahBr99,fumbles_rec,0,,,,,
player,201411020htx,phi,GrahBr99,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,GrahBr99,fumbles_rec_td,0,,,,,
player,201411020htx,phi,GrahBr99,fumbles_forced,0,,,,,
player,201411020htx,phi,AlleBe00,def_int,0,,,,,
player,201411020htx,phi,AlleBe00,def_int_yds,0,,,,,
player,201411020htx,phi,AlleBe00,def_int_td,0,,,,,
player,201411020htx,phi,AlleBe00,def_int_long,0,,,,,
player,201411020htx,phi,AlleBe00,pass_defended,0,,,,,
player,201411020htx,phi,AlleBe00,sacks,0.5,,,,,
player,201411020htx,phi,AlleBe00,tackles_combined,2,,,,,
player,201411020htx,phi,AlleBe00,tackles_solo,1,,,,,
player,201411020htx,phi,AlleBe00,tackles_assists,1,,,,,
player,201411020htx,phi,AlleBe00,tackles_loss,0,,,,,
player,201411020htx,phi,AlleBe00,qb_hits,1,,,,,
player,201411020htx,phi,AlleBe00,fumbles_rec,0,,,,,
player,201411020htx,phi,AlleBe00,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,AlleBe00,fumbles_rec_td,0,,,,,
player,201411020htx,phi,AlleBe00,fumbles_forced,0,,,,,
player,201411020htx,phi,BairBr00,def_int,0,,,,,
player,201411020htx,phi,BairBr00,def_int_yds,0,,,,,
player,201411020htx,phi,BairBr00,def_int_td,0,,,,,
player,201411020htx,phi,BairBr00,def_int_long,0,,,,,
player,201411020htx,phi,BairBr00,pass_defended,0,,,,,
