game,2014,4,20140929,201409290kan,nwe,"New England Patriots",14,kan,"Kansas City Chiefs",41
player,201409290kan,nwe,VereSh00,rec_long,28,,,,,
player,201409290kan,nwe,VereSh00,fumbles,0,,,,,
player,201409290kan,nwe,VereSh00,fumbles_lost,0,,,,,
player,201409290kan,nwe,WhitJa02,pass_cmp,0,,,,,
player,201409290kan,nwe,WhitJa02,pass_att,0,,,,,
player,201409290kan,nwe,WhitJa02,pass_yds,0,,,,,
player,201409290kan,nwe,WhitJa02,pass_td,0,,,,,
player,201409290kan,nwe,WhitJa02,pass_int,0,,,,,
player,201409290kan,nwe,WhitJa02,pass_sacked,0,,,,,
player,201409290kan,nwe,WhitJa02,pass_sacked_yds,0,,,,,
player,201409290kan,nwe,WhitJa02,pass_long,0,,,,,
player,201409290kan,nwe,WhitJa02,pass_rating,,,,,,
player,201409290kan,nwe,WhitJa02,rush_att,3,,,,,
player,201409290kan,nwe,WhitJa02,rush_yds,21,,,,,
player,201409290kan,nwe,WhitJa02,rush_td,0,,,,,
player,201409290kan,nwe,WhitJa02,rush_long,11,,,,,
player,201409290kan,nwe,WhitJa02,targets,3,,,,,
player,201409290kan,nwe,WhitJa02,rec,3,,,,,
player,201409290kan,nwe,WhitJa02,rec_yds,15,,,,,
player,201409290kan,nwe,WhitJa02,rec_td,0,,,,,
player,201409290kan,nwe,WhitJa02,rec_long,11,,,,,
player,201409290kan,nwe,WhitJa02,fumbles,0,,,,,
player,201409290kan,nwe,WhitJa02,fumbles_lost,0,,,,,
player,201409290kan,nwe,LaFeBr00,pass_cmp,0,,,,,
player,201409290kan,nwe,LaFeBr00,pass_att,0,,,,,
player,201409290kan,nwe,LaFeBr00,pass_yds,0,,,,,
player,201409290kan,nwe,LaFeBr00,pass_td,0,,,,,
player,201409290kan,nwe,LaFeBr00,pass_int,0,,,,,
player,201409290kan,nwe,LaFeBr00,pass_sacked,0,,,,,
player,201409290kan,nwe,LaFeBr00,pass_sacked_yds,0,,,,,
player,201409290kan,nwe,LaFeBr00,pass_long,0,,,,,
player,201409290kan,nwe,LaFeBr00,pass_rating,,,,,,
player,201409290kan,nwe,LaFeBr00,rush_att,0,,,,,
player,201409290kan,nwe,LaFeBr00,rush_yds,0,,,,,
player,201409290kan,nwe,LaFeBr00,rush_td,0,,,,,
player,201409290kan,nwe,LaFeBr00,rush_long,0,,,,,
player,201409290kan,nwe,LaFeBr00,targets,10,,,,,
player,201409290kan,nwe,LaFeBr00,rec,6,,,,,
player,201409290kan,nwe,LaFeBr00,rec_yds,119,,,,,
player,201409290kan,nwe,LaFeBr00,rec_td,1,,,,,
player,201409290kan,nwe,LaFeBr00,rec_long,44,,,,,
player,201409290kan,nwe,LaFeBr00,fumbles,0,,,,,
player,201409290kan,nwe,LaFeBr00,fumbles_lost,0,,,,,
player,201409290kan,nwe,GronRo00,pass_cmp,0,,,,,
player,201409290kan,nwe,GronRo00,pass_att,0,,,,,
player,201409290kan,nwe,GronRo00,pass_yds,0,,,,,
player,201409290kan,nwe,GronRo00,pass_td,0,,,,,
player,201409290kan,nwe,GronRo00,pass_int,0,,,,,
player,201409290kan,nwe,GronRo00,pass_sacked,0,,,,,
player,201409290kan,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201409290kan,nwe,GronRo00,pass_long,0,,,,,
player,201409290kan,nwe,GronRo00,pass_rating,,,,,,
player,201409290kan,nwe,GronRo00,rush_att,0,,,,,
player,201409290kan,nwe,GronRo00,rush_yds,0,,,,,
player,201409290kan,nwe,GronRo00,rush_td,0,,,,,
player,201409290kan,nwe,GronRo00,rush_long,0,,,,,
player,201409290kan,nwe,GronRo00,targets,3,,,,,
player,201409290kan,nwe,GronRo00,rec,2,,,,,
player,201409290kan,nwe,GronRo00,rec_yds,31,,,,,
player,201409290kan,nwe,GronRo00,rec_td,1,,,,,
player,201409290kan,nwe,GronRo00,rec_long,18,,,,,
player,201409290kan,nwe,GronRo00,fumbles,0,,,,,
player,201409290kan,nwe,GronRo00,fumbles_lost,0,,,,,
player,201409290kan,nwe,EdelJu00,pass_cmp,0,,,,,
player,201409290kan,nwe,EdelJu00,pass_att,0,,,,,
player,201409290kan,nwe,EdelJu00,pass_yds,0,,,,,
player,201409290kan,nwe,EdelJu00,pass_td,0,,,,,
player,201409290kan,nwe,EdelJu00,pass_int,0,,,,,
player,201409290kan,nwe,EdelJu00,pass_sacked,0,,,,,
player,201409290kan,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201409290kan,nwe,EdelJu00,pass_long,0,,,,,
player,201409290kan,nwe,EdelJu00,pass_rating,,,,,,
player,201409290kan,nwe,EdelJu00,rush_att,0,,,,,
player,201409290kan,nwe,EdelJu00,rush_yds,0,,,,,
player,201409290kan,nwe,EdelJu00,rush_td,0,,,,,
player,201409290kan,nwe,EdelJu00,rush_long,0,,,,,
player,201409290kan,nwe,EdelJu00,targets,8,,,,,
player,201409290kan,nwe,EdelJu00,rec,4,,,,,
player,201409290kan,nwe,EdelJu00,rec_yds,23,,,,,
player,201409290kan,nwe,EdelJu00,rec_td,0,,,,,
player,201409290kan,nwe,EdelJu00,rec_long,7,,,,,
player,201409290kan,nwe,EdelJu00,fumbles,0,,,,,
player,201409290kan,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201409290kan,kan,SmitAl03,pass_cmp,20,,,,,
player,201409290kan,kan,SmitAl03,pass_att,26,,,,,
