game,2014,1,20140907,201409070dal,sfo,"San Francisco 49ers",28,dal,"Dallas Cowboys",17
team,201409070dal,sfo,First Downs,19,,,,,,
team,201409070dal,dal,First Downs,26,,,,,,
team,201409070dal,sfo,Rush-Yds-TDs,30-127-1,,,,,,
team,201409070dal,dal,Rush-Yds-TDs,23-127-1,,,,,,
team,201409070dal,sfo,Cmp-Att-Yd-TD-INT,16-23-201-2-0,,,,,,
team,201409070dal,dal,Cmp-Att-Yd-TD-INT,23-37-281-1-3,,,,,,
team,201409070dal,sfo,Sacked-Yards,1-9,,,,,,
team,201409070dal,dal,Sacked-Yards,3-26,,,,,,
team,201409070dal,sfo,Net Pass Yards,192,,,,,,
team,201409070dal,dal,Net Pass Yards,255,,,,,,
team,201409070dal,sfo,Total Yards,319,,,,,,
team,201409070dal,dal,Total Yards,382,,,,,,
team,201409070dal,sfo,Fumbles-Lost,0-0,,,,,,
team,201409070dal,dal,Fumbles-Lost,3-1,,,,,,
team,201409070dal,sfo,Turnovers,0,,,,,,
team,201409070dal,dal,Turnovers,4,,,,,,
team,201409070dal,sfo,Penalties-Yards,11-78,,,,,,
team,201409070dal,dal,Penalties-Yards,10-72,,,,,,
team,201409070dal,sfo,Third Down Conv.,7-12,,,,,,
team,201409070dal,dal,Third Down Conv.,5-9,,,,,,
team,201409070dal,sfo,Fourth Down Conv.,0-0,,,,,,
team,201409070dal,dal,Fourth Down Conv.,1-1,,,,,,
team,201409070dal,sfo,Time of Possession,28:36,,,,,,
team,201409070dal,dal,Time of Possession,31:24,,,,,,
player,201409070dal,sfo,KaepCo00,pass_cmp,16,,,,,
player,201409070dal,sfo,KaepCo00,pass_att,23,,,,,
player,201409070dal,sfo,KaepCo00,pass_yds,201,,,,,
player,201409070dal,sfo,KaepCo00,pass_td,2,,,,,
player,201409070dal,sfo,KaepCo00,pass_int,0,,,,,
player,201409070dal,sfo,KaepCo00,pass_sacked,1,,,,,
player,201409070dal,sfo,KaepCo00,pass_sacked_yds,9,,,,,
player,201409070dal,sfo,KaepCo00,pass_long,37,,,,,
player,201409070dal,sfo,KaepCo00,pass_rating,125.5,,,,,
player,201409070dal,sfo,KaepCo00,rush_att,5,,,,,
player,201409070dal,sfo,KaepCo00,rush_yds,11,,,,,
player,201409070dal,sfo,KaepCo00,rush_td,0,,,,,
player,201409070dal,sfo,KaepCo00,rush_long,8,,,,,
player,201409070dal,sfo,KaepCo00,targets,0,,,,,
