game,2014,12,20141123,201411230nwe,det,"Detroit Lions",9,nwe,"New England Patriots",34
team,201411230nwe,det,First Downs,21,,,,,,
team,201411230nwe,nwe,First Downs,29,,,,,,
team,201411230nwe,det,Rush-Yds-TDs,25-91-0,,,,,,
team,201411230nwe,nwe,Rush-Yds-TDs,20-90-2,,,,,,
team,201411230nwe,det,Cmp-Att-Yd-TD-INT,18-46-264-0-1,,,,,,
team,201411230nwe,nwe,Cmp-Att-Yd-TD-INT,38-53-349-2-1,,,,,,
team,201411230nwe,det,Sacked-Yards,2-20,,,,,,
team,201411230nwe,nwe,Sacked-Yards,0-0,,,,,,
team,201411230nwe,det,Net Pass Yards,244,,,,,,
team,201411230nwe,nwe,Net Pass Yards,349,,,,,,
team,201411230nwe,det,Total Yards,335,,,,,,
team,201411230nwe,nwe,Total Yards,439,,,,,,
team,201411230nwe,det,Fumbles-Lost,0-0,,,,,,
team,201411230nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201411230nwe,det,Turnovers,1,,,,,,
team,201411230nwe,nwe,Turnovers,1,,,,,,
team,201411230nwe,det,Penalties-Yards,9-54,,,,,,
team,201411230nwe,nwe,Penalties-Yards,11-89,,,,,,
team,201411230nwe,det,Third Down Conv.,5-17,,,,,,
team,201411230nwe,nwe,Third Down Conv.,6-14,,,,,,
team,201411230nwe,det,Fourth Down Conv.,2-3,,,,,,
team,201411230nwe,nwe,Fourth Down Conv.,1-1,,,,,,
team,201411230nwe,det,Time of Possession,30:11,,,,,,
team,201411230nwe,nwe,Time of Possession,29:49,,,,,,
player,201411230nwe,det,StafMa00,pass_cmp,18,,,,,
player,201411230nwe,det,StafMa00,pass_att,46,,,,,
player,201411230nwe,det,StafMa00,pass_yds,264,,,,,
player,201411230nwe,det,StafMa00,pass_td,0,,,,,
player,201411230nwe,det,StafMa00,pass_int,1,,,,,
player,201411230nwe,det,StafMa00,pass_sacked,2,,,,,
player,201411230nwe,det,StafMa00,pass_sacked_yds,20,,,,,
player,201411230nwe,det,StafMa00,pass_long,42,,,,,
player,201411230nwe,det,StafMa00,pass_rating,49.5,,,,,
player,201411230nwe,det,StafMa00,rush_att,3,,,,,
player,201411230nwe,det,StafMa00,rush_yds,18,,,,,
player,201411230nwe,det,StafMa00,rush_td,0,,,,,
player,201411230nwe,det,StafMa00,rush_long,10,,,,,
player,201411230nwe,det,StafMa00,targets,0,,,,,
player,201411230nwe,det,StafMa00,rec,0,,,,,
player,201411230nwe,det,StafMa00,rec_yds,0,,,,,
player,201411230nwe,det,StafMa00,rec_td,0,,,,,
player,201411230nwe,det,StafMa00,rec_long,0,,,,,
player,201411230nwe,det,StafMa00,fumbles,0,,,,,
player,201411230nwe,det,StafMa00,fumbles_lost,0,,,,,
player,201411230nwe,det,BellJo01,pass_cmp,0,,,,,
player,201411230nwe,det,BellJo01,pass_att,0,,,,,
player,201411230nwe,det,BellJo01,pass_yds,0,,,,,
player,201411230nwe,det,BellJo01,pass_td,0,,,,,
player,201411230nwe,det,BellJo01,pass_int,0,,,,,
player,201411230nwe,det,BellJo01,pass_sacked,0,,,,,
player,201411230nwe,det,BellJo01,pass_sacked_yds,0,,,,,
player,201411230nwe,det,BellJo01,pass_long,0,,,,,
player,201411230nwe,det,BellJo01,pass_rating,,,,,,
player,201411230nwe,det,BellJo01,rush_att,19,,,,,
player,201411230nwe,det,BellJo01,rush_yds,48,,,,,
player,201411230nwe,det,BellJo01,rush_td,0,,,,,
player,201411230nwe,det,BellJo01,rush_long,6,,,,,
player,201411230nwe,det,BellJo01,targets,2,,,,,
player,201411230nwe,det,BellJo01,rec,1,,,,,
player,201411230nwe,det,BellJo01,rec_yds,-2,,,,,
player,201411230nwe,det,BellJo01,rec_td,0,,,,,
player,201411230nwe,det,BellJo01,rec_long,-2,,,,,
player,201411230nwe,det,BellJo01,fumbles,0,,,,,
player,201411230nwe,det,BellJo01,fumbles_lost,0,,,,,
player,201411230nwe,det,TateGo00,pass_cmp,0,,,,,
player,201411230nwe,det,TateGo00,pass_att,0,,,,,
player,201411230nwe,det,TateGo00,pass_yds,0,,,,,
player,201411230nwe,det,TateGo00,pass_td,0,,,,,
player,201411230nwe,det,TateGo00,pass_int,0,,,,,
player,201411230nwe,det,TateGo00,pass_sacked,0,,,,,
player,201411230nwe,det,TateGo00,pass_sacked_yds,0,,,,,
player,201411230nwe,det,TateGo00,pass_long,0,,,,,
player,201411230nwe,det,TateGo00,pass_rating,,,,,,
player,201411230nwe,det,TateGo00,rush_att,1,,,,,
player,201411230nwe,det,TateGo00,rush_yds,13,,,,,
