game,2014,17,20141228,201412280min,chi,"Chicago Bears",9,min,"Minnesota Vikings",13
team,201412280min,chi,First Downs,12,,,,,,
team,201412280min,min,First Downs,15,,,,,,
team,201412280min,chi,Rush-Yds-TDs,21-99-0,,,,,,
team,201412280min,min,Rush-Yds-TDs,33-121-0,,,,,,
team,201412280min,chi,Cmp-Att-Yd-TD-INT,23-36-172-0-0,,,,,,
team,201412280min,min,Cmp-Att-Yd-TD-INT,17-25-209-1-1,,,,,,
team,201412280min,chi,Sacked-Yards,2-7,,,,,,
team,201412280min,min,Sacked-Yards,3-19,,,,,,
team,201412280min,chi,Net Pass Yards,165,,,,,,
team,201412280min,min,Net Pass Yards,190,,,,,,
team,201412280min,chi,Total Yards,264,,,,,,
team,201412280min,min,Total Yards,311,,,,,,
team,201412280min,chi,Fumbles-Lost,0-0,,,,,,
team,201412280min,min,Fumbles-Lost,0-0,,,,,,
team,201412280min,chi,Turnovers,0,,,,,,
team,201412280min,min,Turnovers,1,,,,,,
team,201412280min,chi,Penalties-Yards,8-50,,,,,,
team,201412280min,min,Penalties-Yards,4-25,,,,,,
team,201412280min,chi,Third Down Conv.,4-15,,,,,,
team,201412280min,min,Third Down Conv.,8-15,,,,,,
team,201412280min,chi,Fourth Down Conv.,2-3,,,,,,
team,201412280min,min,Fourth Down Conv.,0-1,,,,,,
team,201412280min,chi,Time of Possession,31:33,,,,,,
team,201412280min,min,Time of Possession,28:27,,,,,,
player,201412280min,chi,CutlJa00,pass_cmp,23,,,,,
player,201412280min,chi,CutlJa00,pass_att,36,,,,,
player,201412280min,chi,CutlJa00,pass_yds,172,,,,,
player,201412280min,chi,CutlJa00,pass_td,0,,,,,
player,201412280min,chi,CutlJa00,pass_int,0,,,,,
player,201412280min,chi,CutlJa00,pass_sacked,2,,,,,
player,201412280min,chi,CutlJa00,pass_sacked_yds,7,,,,,
player,201412280min,chi,CutlJa00,pass_long,22,,,,,
player,201412280min,chi,CutlJa00,pass_rating,75.2,,,,,
player,201412280min,chi,CutlJa00,rush_att,3,,,,,
player,201412280min,chi,CutlJa00,rush_yds,39,,,,,
player,201412280min,chi,CutlJa00,rush_td,0,,,,,
player,201412280min,chi,CutlJa00,rush_long,22,,,,,
player,201412280min,chi,CutlJa00,targets,0,,,,,
player,201412280min,chi,CutlJa00,rec,0,,,,,
player,201412280min,chi,CutlJa00,rec_yds,0,,,,,
player,201412280min,chi,CutlJa00,rec_td,0,,,,,
player,201412280min,chi,CutlJa00,rec_long,0,,,,,
player,201412280min,chi,CutlJa00,fumbles,0,,,,,
player,201412280min,chi,CutlJa00,fumbles_lost,0,,,,,
player,201412280min,chi,FortMa00,pass_cmp,0,,,,,
player,201412280min,chi,FortMa00,pass_att,0,,,,,
player,201412280min,chi,FortMa00,pass_yds,0,,,,,
player,201412280min,chi,FortMa00,pass_td,0,,,,,
player,201412280min,chi,FortMa00,pass_int,0,,,,,
player,201412280min,chi,FortMa00,pass_sacked,0,,,,,
player,201412280min,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201412280min,chi,FortMa00,pass_long,0,,,,,
player,201412280min,chi,FortMa00,pass_rating,,,,,,
player,201412280min,chi,FortMa00,rush_att,17,,,,,
player,201412280min,chi,FortMa00,rush_yds,51,,,,,
player,201412280min,chi,FortMa00,rush_td,0,,,,,
player,201412280min,chi,FortMa00,rush_long,9,,,,,
player,201412280min,chi,FortMa00,targets,12,,,,,
player,201412280min,chi,FortMa00,rec,8,,,,,
player,201412280min,chi,FortMa00,rec_yds,23,,,,,
player,201412280min,chi,FortMa00,rec_td,0,,,,,
player,201412280min,chi,FortMa00,rec_long,10,,,,,
player,201412280min,chi,FortMa00,fumbles,0,,,,,
player,201412280min,chi,FortMa00,fumbles_lost,0,,,,,
player,201412280min,chi,MorgJo00,pass_cmp,0,,,,,
player,201412280min,chi,MorgJo00,pass_att,0,,,,,
player,201412280min,chi,MorgJo00,pass_yds,0,,,,,
player,201412280min,chi,MorgJo00,pass_td,0,,,,,
player,201412280min,chi,MorgJo00,pass_int,0,,,,,
player,201412280min,chi,MorgJo00,pass_sacked,0,,,,,
player,201412280min,chi,MorgJo00,pass_sacked_yds,0,,,,,
player,201412280min,chi,MorgJo00,pass_long,0,,,,,
player,201412280min,chi,MorgJo00,pass_rating,,,,,,
player,201412280min,chi,MorgJo00,rush_att,1,,,,,
player,201412280min,chi,MorgJo00,rush_yds,9,,,,,
player,201412280min,chi,MorgJo00,rush_td,0,,,,,
player,201412280min,chi,MorgJo00,rush_long,9,,,,,
player,201412280min,chi,MorgJo00,targets,2,,,,,
player,201412280min,chi,MorgJo00,rec,1,,,,,
player,201412280min,chi,MorgJo00,rec_yds,13,,,,,
player,201412280min,chi,MorgJo00,rec_td,0,,,,,
player,201412280min,chi,MorgJo00,rec_long,13,,,,,
player,201412280min,chi,MorgJo00,fumbles,0,,,,,
player,201412280min,chi,MorgJo00,fumbles_lost,0,,,,,
player,201412280min,chi,BennMa00,pass_cmp,0,,,,,
player,201412280min,chi,BennMa00,pass_att,0,,,,,
player,201412280min,chi,BennMa00,pass_yds,0,,,,,
player,201412280min,chi,BennMa00,pass_td,0,,,,,
player,201412280min,chi,BennMa00,pass_int,0,,,,,
player,201412280min,chi,BennMa00,pass_sacked,0,,,,,
player,201412280min,chi,BennMa00,pass_sacked_yds,0,,,,,
player,201412280min,chi,BennMa00,pass_long,0,,,,,
player,201412280min,chi,BennMa00,pass_rating,,,,,,
player,201412280min,chi,BennMa00,rush_att,0,,,,,
player,201412280min,chi,BennMa00,rush_yds,0,,,,,
player,201412280min,chi,BennMa00,rush_td,0,,,,,
player,201412280min,chi,BennMa00,rush_long,0,,,,,
player,201412280min,chi,BennMa00,targets,11,,,,,
player,201412280min,chi,BennMa00,rec,8,,,,,
player,201412280min,chi,BennMa00,rec_yds,59,,,,,
player,201412280min,chi,BennMa00,rec_td,0,,,,,
player,201412280min,chi,BennMa00,rec_long,15,,,,,
player,201412280min,chi,BennMa00,fumbles,0,,,,,
player,201412280min,chi,BennMa00,fumbles_lost,0,,,,,
player,201412280min,chi,JeffAl00,pass_cmp,0,,,,,
player,201412280min,chi,JeffAl00,pass_att,0,,,,,
player,201412280min,chi,JeffAl00,pass_yds,0,,,,,
player,201412280min,chi,JeffAl00,pass_td,0,,,,,
player,201412280min,chi,JeffAl00,pass_int,0,,,,,
player,201412280min,chi,JeffAl00,pass_sacked,0,,,,,
player,201412280min,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201412280min,chi,JeffAl00,pass_long,0,,,,,
player,201412280min,chi,JeffAl00,pass_rating,,,,,,
player,201412280min,chi,JeffAl00,rush_att,0,,,,,
player,201412280min,chi,JeffAl00,rush_yds,0,,,,,
player,201412280min,chi,JeffAl00,rush_td,0,,,,,
player,201412280min,chi,JeffAl00,rush_long,0,,,,,
player,201412280min,chi,JeffAl00,targets,5,,,,,
player,201412280min,chi,JeffAl00,rec,2,,,,,
player,201412280min,chi,JeffAl00,rec_yds,34,,,,,
player,201412280min,chi,JeffAl00,rec_td,0,,,,,
player,201412280min,chi,JeffAl00,rec_long,19,,,,,
player,201412280min,chi,JeffAl00,fumbles,0,,,,,
player,201412280min,chi,JeffAl00,fumbles_lost,0,,,,,
player,201412280min,chi,RosaDa00,pass_cmp,0,,,,,
player,201412280min,chi,RosaDa00,pass_att,0,,,,,
player,201412280min,chi,RosaDa00,pass_yds,0,,,,,
player,201412280min,chi,RosaDa00,pass_td,0,,,,,
player,201412280min,chi,RosaDa00,pass_int,0,,,,,
player,201412280min,chi,RosaDa00,pass_sacked,0,,,,,
player,201412280min,chi,RosaDa00,pass_sacked_yds,0,,,,,
